"","CC_FB_CL_R1","CC_FB_CL_R2","CC_FB_CL_R3","CC_FB_S_R1","CC_FB_S_R2","CC_FB_S_R3","CC_H_R2","CC_H_R3","CC_H_R4","CC_P1_R1","CC_P1_R2","CC_P1_R3","CC_P1_R4","CC_P2_R1","CC_P2_R2","CC_P2_R3","CC_P2_R4","CC_VM_R1","CC_VM_R2","CC_VM_R3","CC_YFB_C_R1","CC_YFB_C_R2","CC_YFB_C_R3","CC_YFB_L_R1","CC_YFB_L_R2","CC_YFB_L_R3","CC_YFB_S_R1","CC_YFB_S_R2","CC_YFB_S_R3"
"jgi|Copci_AmutBmut1|10000|",5.99821908083138,7.01483564514232,6.82354709723966,5.74176161803661,5.25125288713111,5.73108642754197,4.35043734660088,4.86245239793877,4.72711130931751,4.51092807763702,4.17253397113316,4.51928158194205,4.33163975121786,4.23255833655851,4.14252088216435,4.52737059636006,4.49670266763361,4.29022100223272,4.25504094364103,4.22658847948272,6.78053963435064,6.86517301987517,7.81501748504764,6.01102900159873,5.95922555820658,5.70893168363658,5.7190380636343,6.13887018362942,5.67030203085653
"jgi|Copci_AmutBmut1|100137|",9.45427846590914,9.15154705144423,9.43724464598546,10.600471582397,10.0550766719139,10.1673853213765,7.40783473973453,8.19426206010989,7.83959514419525,8.3632276079057,8.25791700294066,8.49805236558407,7.46609505459672,8.359925190346,7.61889783998019,7.86552459349468,7.75469671016566,7.04692019848467,7.42013180708554,6.91041991701622,8.0623961164569,8.37409514146715,8.78996284502737,7.97654216517528,7.16284507763414,7.26555243359472,8.42270892834497,9.08232136186266,8.60005595817901
"jgi|Copci_AmutBmut1|100210|",1.32396488751123,1.27144114328666,1.21559174963312,1.79198693594158,1.87353534551247,1.97831646693776,2.25990250323564,1.04959827182847,1.69356341418597,1.5219677628782,1.88886806081919,1.68642682965673,1.91719686223118,1.43721371537797,2.13010199570619,1.43418150659235,1.87025530933944,2.27770784469581,1.57004679715802,2.1060012816728,1.4454666033078,1.20902548076901,0.698509920875911,2.05767970979476,2.01293055409115,1.9483310146566,1.88695272789733,1.41030621632778,1.88123771072307
"jgi|Copci_AmutBmut1|100336|",1.69731895968992,0.916079508202501,1.24577657935029,1.92497515304357,1.40306687383473,1.55763169152105,5.3367425176283,5.85625174035301,5.82493480377267,5.92423956655869,5.4907016109807,5.51168825165306,5.55524946241203,5.73004600770486,5.50703709963571,5.35307648520902,5.25752628685216,4.6510307568179,4.94204930291853,4.55071281165609,2.39615168668885,2.072794094821,1.20120386385629,5.12509031126749,5.70423875849074,6.0579734833842,3.43460867927448,0.53750672761734,3.07251853793412
"jgi|Copci_AmutBmut1|10085|",5.33627059971806,5.35310963975849,5.24695737714735,7.79738503013634,6.90571455520338,8.65918666357001,5.01447425099242,5.09969796220144,4.5477161634057,4.80320840887159,4.38738448173973,4.39819214885966,4.85418859787724,4.43813247400496,4.71929962920721,4.79338422744772,4.70070620909607,5.2750722229034,5.73565996817369,4.79590748220132,5.25220741969258,5.17729655211348,6.04775639738795,4.21501943084418,4.39410425826636,4.51794496368625,5.01908944865042,5.20896506315535,4.83442861297797
"jgi|Copci_AmutBmut1|101500|",2.40014696388813,0.782270468010307,2.10994554157288,1.19869607546128,-0.345269124620757,1.32940704943675,0.746171556538322,1.13765444849367,-0.220105089618296,0.393639627008424,0.890823500229063,0.573663996933828,0.392940050030268,-0.101063043097856,-0.650967042344581,0.266175238031462,0.36289462764631,0.140252258180383,0.245894844035048,-0.298590292399485,2.47887538404565,1.75164752089968,3.37796305638691,0.766732211686825,1.21078732571643,1.54575207314879,1.03436665678663,0.0433301963169526,0.891291375386989
"jgi|Copci_AmutBmut1|101615|",4.54837276364778,4.72579842812505,4.6695775170444,0.457553382967816,0.346733756371696,2.21771312289699,2.22587998771289,-1.05414965300935,0.486519825739002,0.598725678073984,0.271354291119445,-0.395747683232749,1.45835835402679,-0.133668549751627,1.54713374485576,1.07982556662054,1.15901769384271,1.62401320617942,1.97199433086296,2.00630810208856,4.7214329332972,2.75269156511909,4.52978212087057,2.91144374129421,0.163606787292857,-0.379977168200385,1.93375673624048,1.28307868087579,0.747654556344474
"jgi|Copci_AmutBmut1|101647|",5.55658085553092,5.50366232829139,5.96941292063983,8.36279111466519,8.3212224587293,7.46359341772842,5.90482409199315,6.17441910163019,7.22260762821659,7.40737079004266,6.63254376621451,6.92202006129484,6.56113579398407,7.40333938297095,6.37572752926701,7.11057018110415,6.75423697564672,5.642882185145,5.41018724163151,5.57093491884432,7.47187088701612,6.96620101174395,8.20327985084685,7.9449097836895,7.79069737622485,7.56356154370079,8.63634744464638,10.2704354395943,9.24302076535372
"jgi|Copci_AmutBmut1|101824|",4.95255889246549,5.34763848813582,5.15836493822869,5.01249544224938,4.96513152362842,4.63163717425238,5.84380504177078,5.57687618539205,6.04069018399072,5.73807673910928,5.95512633074596,6.08199710188392,6.18763059387066,5.94582807089696,5.84572080741083,5.74840357753417,6.17322437190713,5.73598206955686,5.49517211993416,5.729707368362,6.30946211517237,6.45937826298279,6.43272635600177,5.81996538632409,6.34069284480022,6.45486977107283,5.27541906543848,5.14515842873115,5.62099685782
"jgi|Copci_AmutBmut1|101964|",5.74253916133521,5.37479031990955,5.15908069392257,6.22888799605031,6.51427018931991,6.13991310862092,5.74424105264952,5.3411006738917,5.20363482187569,5.32029748324995,5.21508780374785,5.03014833152079,5.34122572042879,5.2190679248253,5.28984565861525,5.10370663434707,5.53134673968975,5.60213535581178,5.08555520855356,5.36689065570221,6.01220674924701,6.10502064291458,6.2430334763008,5.81399593923333,6.15568869035486,6.30419647676183,5.40057776201464,5.85717337095179,5.18263699224576
"jgi|Copci_AmutBmut1|102355|",8.95342880029959,9.88653872915304,9.77489334071844,6.34440060578922,6.23937688270004,5.78322560222384,5.37366973235692,5.44500901587379,4.64490737219222,4.76842739026196,4.45435274266522,3.81259891744233,4.87781549096033,4.01777488137741,4.79047353367002,5.16368366686553,5.06570859465668,5.76488028480476,6.91129096613519,5.85573378440099,3.18448931173206,3.00449333618301,4.40711938606061,5.5711715957215,6.0779767502997,6.21723371429538,2.56844673264987,1.28178748230995,3.03901996186299
"jgi|Copci_AmutBmut1|102461|",0.917672698589341,1.33825736631623,0.500857696172522,0.799019441822286,1.52218986378724,1.21796928682954,2.06205666572994,1.90557776335075,2.12294971660025,2.59624497029062,3.82267730053315,3.79070742313205,3.04553922668034,3.82848793880859,3.38269268938992,3.46726687230937,3.28723543761741,-0.139130141740895,-0.804005709763463,-0.49308379473425,4.01903052844804,3.64651604782351,3.02970385190783,6.84647439201868,6.76257211310017,7.11413405920776,5.29111537527581,5.43637313836717,4.94005750825361
"jgi|Copci_AmutBmut1|10253|",0.291456135081767,-0.18307595845706,-0.679065632139137,0.563299518673955,0.539808092861366,0.582979180260684,0.499054161655574,0.0985630789354379,0.828858212824798,-0.150126454313328,0.49579279851845,0.0612620865214111,0.90923535919442,0.627423811443564,0.276859822596878,0.556891256790178,0.454972216047898,0.622958388219822,0.56366822729252,0.548519074883616,0.59559181108603,0.111769547024927,-0.418783766104714,1.2216121227191,0.968420525917366,0.519365965232574,1.29705783387791,1.30775320593461,0.657069664496767
