sample,condition,batch
CC_FB_CL_R1,FB-CL,Replicate 1
CC_FB_CL_R2,FB-CL,Replicate 2
CC_FB_CL_R3,FB-CL,Replicate 3
CC_FB_S_R1,FB-S,Replicate 1
CC_FB_S_R2,FB-S,Replicate 2
CC_FB_S_R3,FB-S,Replicate 3
CC_H_R2,H,Replicate 2
CC_H_R3,H,Replicate 3
CC_H_R4,H,Replicate 4
CC_P1_R1,P1,Replicate 1
CC_P1_R2,P1,Replicate 2
CC_P1_R3,P1,Replicate 3
CC_P1_R4,P1,Replicate 4
CC_P2_R1,P2,Replicate 1
CC_P2_R2,P2,Replicate 2
CC_P2_R3,P2,Replicate 3
CC_P2_R4,P2,Replicate 4
CC_VM_R1,VM,Replicate 1
CC_VM_R2,VM,Replicate 2
CC_VM_R3,VM,Replicate 3
CC_YFB_C_R1,YFB-C,Replicate 1
CC_YFB_C_R2,YFB-C,Replicate 2
CC_YFB_C_R3,YFB-C,Replicate 3
CC_YFB_L_R1,YFB-L,Replicate 1
CC_YFB_L_R2,YFB-L,Replicate 2
CC_YFB_L_R3,YFB-L,Replicate 3
CC_YFB_S_R1,YFB-S,Replicate 1
CC_YFB_S_R2,YFB-S,Replicate 2
CC_YFB_S_R3,YFB-S,Replicate 3
