	Group	CD86	FOS	IFI44L	MS4A4A	RPL35	UCHL3	XK	ZNF91
TRAIN1	1	0.381656469	0.345768688	-0.498157385	0.366812453	0.21311455	0.254428163	0.357876752	0.012036043
TRAIN2	1	0.188722344	-1.335950767	-1.452606114	0.068510572	0.481666072	0.461417594	-0.864784562	0.680970153
TRAIN3	1	-0.185111116	0.113767868	1.356373541	-0.417469537	-0.230480665	-0.159385111	2.032014989	-0.019474063
TRAIN4	1	-0.108381742	-1.946643826	3.082992949	0.809768714	0.515411907	-0.161855684	-0.348180706	0.434326391
TRAIN5	1	0.030537058	0.323695257	0.13495723	1.15101737	-0.666702579	-0.751106146	1.775795059	-0.702712326
TRAIN6	1	0.420663284	-1.504044834	-0.187909637	0.994615701	0.396261793	-0.04851069	3.941268417	0.14781435
TRAIN7	1	0.448493241	0.013396455	-0.985165077	1.610803784	0.2254063	0.074855691	3.195688067	0.210049174
TRAIN8	1	0.551961019	0.717917496	0.390019907	-0.101883718	0.138576522	-0.098446515	0.00688669	0.318438133
TRAIN9	1	0.782126702	0.340200831	0.054960244	0.950142415	0.4652076	0.756273545	-0.001344323	0.686923481
TRAIN10	1	-0.438260106	-0.902547137	3.021627721	0.732622909	0.145660267	-0.69319229	0.326955258	-0.549850238
TRAIN11	1	-0.956900411	0.173850319	-0.708912712	0.616575858	0.948689752	-0.648347745	0.108826202	0.509907288
TRAIN12	1	0.546686724	-1.759934639	4.820909377	1.71695329	0.77449245	0.739891371	2.172686069	0.191496581
TRAIN13	1	1.131111845	-2.511714062	-0.281909029	1.487067555	1.762033424	1.250414668	0.89883318	1.183747543
TRAIN14	1	0.114198513	-0.456875024	-0.799548678	-0.109039679	0.886435519	-0.230982056	-0.710420576	0.312432446
TRAIN15	1	1.040230573	-4.149712643	3.185288057	1.065011356	1.524711635	0.583026535	1.511976558	0.202219184
TRAIN16	1	0.117555002	-3.536384451	-1.655902319	-0.777157435	1.105621965	-0.144540698	-1.008340313	0.815053677
TRAIN17	1	-0.180578601	-1.550942025	0.858899403	0.334537882	1.409328117	0.08638724	1.539467604	0.969560945
TRAIN18	1	0.399570065	-1.178130834	-0.93340061	-0.866215685	0.144568869	0.281756809	0.671836544	0.629081314
TRAIN19	1	0.516428164	-0.511590014	0.189605636	1.59189031	1.015412989	0.726935764	1.21842097	0.807946611
TRAIN20	1	0.188537559	-1.178259231	0.196756804	0.207579543	1.082744767	-0.24844276	-1.335519454	0.914930139
TRAIN21	1	-0.879094004	-0.70960891	1.435728536	0.738360891	0.293901866	-0.801076192	1.218411685	-0.651100899
