corA	corB	rho	p.value	FDR	star
Glucose_Insulin	P000	0.103422770526994	0.247232568641866	0.410786421743408	
Glucose_Insulin	P001	-0.222778143130018	0.0118197555121572	0.0335929893503415	*
Glucose_Insulin	P002	-0.496180891716546	2.99044062404537e-09	4.61382267709857e-08	*
Glucose_Insulin	P003	-0.0563192144721007	0.529408375416934	0.714701306812861	
Glucose_Insulin	P004	0.143856252133069	0.106624449686235	0.242101996505192	
Glucose_Insulin	P005	-0.143460793173653	0.107600887335641	0.242101996505192	
Glucose_Insulin	P006	0.481733457732545	9.81395709953552e-09	1.17767485194426e-07	*
Glucose_Insulin	P007	0.0845959947331633	0.34434306906523	0.516514603597845	
Glucose_Insulin	P008	-0.5301522809932	1.45579516967138e-10	3.93064695811273e-09	*
Glucose_Insulin	P009	0.247305386590691	0.00506118859884679	0.0156173819621558	*
Glucose_Insulin	P010	0.492211655494258	4.16795009477112e-09	5.62673262794102e-08	*
Glucose_Insulin	P011	0.148727720647951	0.0951572069299641	0.22341257279209	
Glucose_Insulin	P012	-0.00159941179141615	0.985761507618895	0.985761507618895	
Glucose_Insulin	P013	-0.0426158291969271	0.634271199058946	0.811447294882787	
Glucose_Insulin	P014	-0.324771402751864	0.000195078358015948	0.00105342313328612	*
Glucose_Insulin	P015	-0.590332346639452	2.78814854167082e-13	1.0037334750015e-11	*
Glucose_Insulin	P016	0.0186803095125656	0.834875178565672	0.937909671043767	
Glucose_Insulin	P017	-0.262880610940434	0.00282722844980315	0.00925274765390123	*
Glucose_Insulin	P018	-0.321572579169032	0.000227338729743113	0.00116917061010744	*
Glucose_Insulin	P019	-0.118792942082966	0.183449957040321	0.335806701022961	
Glucose_Insulin	P020	-0.0332361285447027	0.710673785887073	0.862390661525887	
Glucose_Insulin	P021	0.379605449131935	1.07481350858615e-05	8.29141849480742e-05	*
Glucose_Insulin	P022	-0.420947021681855	8.3127616809581e-07	8.16162055948614e-06	*
Glucose_Insulin	P023	-0.228920938966281	0.00963186348450341	0.0288955904535102	*
Glucose_Insulin	P024	-0.295700775246344	0.000737520694688549	0.00331884312609847	*
Glucose_Insulin	P025	-0.36203535403136	2.88481563224551e-05	0.000207706725521677	*
Glucose_Insulin	P026	-0.188809683178989	0.0335116679480827	0.0883118794260489	
Glucose_Insulin	P027	-0.140672075178364	0.114686487137888	0.25277837981412	
Glucose_Insulin	P028	-0.0168963502067553	0.85045103222535	0.937909671043767	
Glucose_Insulin	P029	0.266744391440211	0.00243374960881526	0.00847886960490477	*
Glucose_Insulin	P030	-0.00554228408307576	0.950689220978038	0.985761507618895	
Glucose_Insulin	P031	0.0116528573374606	0.896545049102721	0.952955436849608	
Glucose_Insulin	P032	0.108282521739374	0.225595361067296	0.380692171801061	
Glucose_Insulin	P033	-0.609534076113321	2.84917500426652e-14	1.53855450230392e-12	*
Glucose_Insulin	P034	0.0189849593775973	0.832221473030853	0.937909671043767	
Glucose_Insulin	P035	0.0980415993533101	0.272819484392353	0.441445835008121	
Leptin_pg_ml	P000	-0.0381740981505219	0.668393848997939	0.820301541952016	
Leptin_pg_ml	P001	0.382061435634499	1.00715036445811e-05	8.29141849480742e-05	*
Leptin_pg_ml	P002	0.134247390587804	0.130728220131722	0.266389580645773	
Leptin_pg_ml	P003	0.119643838124886	0.178340372995428	0.332082073853555	
Leptin_pg_ml	P004	-0.130630836843069	0.1414931483652	0.282986296730399	
Leptin_pg_ml	P005	0.35320339681377	4.838645653919e-05	0.000326608581639532	*
Leptin_pg_ml	P006	-0.462798709027651	5.51506090001285e-08	5.95626577201388e-07	*
Leptin_pg_ml	P007	0.186195293902216	0.0354833865255867	0.0912429939229372	
Leptin_pg_ml	P008	0.520148553378502	4.23577303552806e-10	9.1492697567406e-09	*
Leptin_pg_ml	P009	-0.283636238784105	0.00122609699660108	0.00465304521382222	*
Leptin_pg_ml	P010	-0.334531221388024	0.00012407690899578	0.000705279272186537	*
