	mean_treat	mean_ctrl	FoldChange	log2FoldChange	pvalue	padj
UBE2Q2P3	1.81061929700817	1.44735729767151	1.25098294658898	0.323062122805729	4.88822836209138e-05	0.000204889857108456
LOC149767	3.0975203156983	3.02075702458906	1.02541193829374	0.0362035994315343	3.96504631492612e-08	4.28718878976938e-07
TIMM23	3.36780377608595	3.38843453949617	0.993911417449638	-0.00881081784923799	0.0492212879136347	0.0849720719485323
LOC155060	3.08659530237327	3.02497390441853	1.02037088579995	0.0290936402826803	0.00686408821163014	0.0155916651348923
SRP14P1	1.96500757960595	1.95166524850223	1.0068363829883	0.00982925570807498	0.747353811839881	0.804316112798655
KIAA1618	3.31482678381904	3.35558400810383	0.987853910321912	-0.0176303915771692	0.015706446002315	0.0318718398224689
LOC645851	2.12166788361045	1.82722473774511	1.16114227209331	0.2155447531408	7.65104883595324e-08	7.60030715966799e-07
HSPB1P1	3.2170903215478	3.29386627326317	0.97669123596833	-0.0340255436874588	6.42294723490729e-05	0.000259713841583496
LOC100132347	3.34307868867123	3.35043929972241	0.997803090761324	-0.00317295669042356	0.605431184008479	0.683447438250447
EFCAB12	1.53958639223661	1.46981161267862	1.04747192018087	0.0669115697873586	0.344872752889303	0.437040968699632
LOC147680	3.10666109166337	3.11486818748347	0.997365186798891	-0.00380624852073051	0.697850861312788	0.762862439835201
GGACT	2.86927799607356	2.86739023086674	1.00065835657334	0.000949495244559802	0.94215184851488	0.959429865094259
A2M	3.95998314088367	3.95469245855182	1.00133782396161	0.00192878209702403	0.818488312821258	0.862404444364358
P1	2.95853444966527	2.88345743988962	1.02603714857623	0.0370829659317956	0.0611700109288655	0.102238215386257
AAAS	3.4225482896383	3.42770202235882	0.99849644669026	-0.00217080127065481	0.595328537259517	0.674534959377847
AACS	3.33302586619223	3.32133592586486	1.00351965010113	0.00506886665160252	0.387126142931282	0.479140733287762
AADAT	3.06059007079	2.75827374143382	1.10960345407886	0.150044183739087	4.51755571555031e-18	1.13146256101931e-15
AAGAB	3.45145191445174	3.43957634550325	1.00345262548511	0.00497250649520267	0.122880770570299	0.184417722276328
DKFZp686K16132	3.44313424691526	3.41692164290953	1.00767140916448	0.0110252681504975	0.00600547940078041	0.0138555895930418
AAMP	3.62968335116068	3.63187098446247	0.999397656659297	-0.000869259573191454	0.732707809984007	0.791956839118194
LOC221410	3.43651425953786	3.45723786501054	0.994005733397052	-0.00867392165147223	0.140065948999405	0.205564607955131
AARSD1	3.35890509073505	3.35288872248876	1.00179438351352	0.00258642836755691	0.526645435991609	0.612755233499337
AARS	3.69249442202474	3.71106569329281	0.994995703982919	-0.00723779823199839	0.0610220040630083	0.102046210384702
AASDHPPT	3.49686491354013	3.41907447965464	1.02275189802047	0.0324562145783678	1.27760578695633e-09	2.22315047985407e-08
AASDH	3.14079856665597	3.14055893620746	1.00007630184734	0.000110076097314105	0.985829097022346	0.990122363779671
AASS	3.36762864104579	3.27042493452414	1.02972204177369	0.0422549557842074	6.26861938161111e-07	4.61996946031136e-06
AATF	3.53825582057675	3.56483165221623	0.992544996725734	-0.0107955870080251	0.000999026988727213	0.0029050503109582
LOC100292717	3.1785972943292	3.11139802747343	1.02159777253261	0.0308272845388786	0.102540498455126	0.157940693154292
NPD009	2.92809146591891	2.88089922594319	1.01638107975133	0.0234414245387448	0.3819628707096	0.474171507166756
PRO2543	2.26581631425768	1.88696632736501	1.20077199121073	0.263962230661633	2.52061769789453e-06	1.54534499151014e-05
ABCA11P	2.80732443014083	2.74737615371982	1.02182019245521	0.0311413506047498	0.0331068951829419	0.0605394547701958
ABCA13	2.58918537952152	2.17387603301736	1.19104555190652	0.252228590576446	3.11792754595475e-05	0.000138879583227687
ABCA17P	2.35865090405104	2.06720201354843	1.14098713555446	0.190282525564886	3.6105923829829e-05	0.000157203278504454
TGD	3.36804729903443	3.39478709195539	0.992123278368673	-0.0114086980242842	0.317285134803839	0.407899889728462
ABCA2	3.52272055659357	3.50941597114107	1.00379111098881	0.00545907556835648	0.537799762128111	0.622887178060289
