	mean_treat	mean_ctrl	FoldChange	log2FoldChange	pvalue	padj
UBE2Q2P3	1.47140038122269	1.55606492219816	0.945590611440642	-0.0807123834997392	0.268755864693171	0.403235309563005
LOC149767	3.03607165797864	3.03298312312654	1.00101831587144	0.00146837175148361	0.82352516571322	0.889740292890642
TIMM23	3.38246423230403	3.38709576804039	0.998632593804974	-0.00197410014263461	0.570671299645979	0.693668240591238
LOC155060	3.01057314924393	3.06281758784766	0.982942360390309	-0.0248212752870727	0.00490522744150641	0.0174649417038767
SRP14P1	1.97929326287246	1.92757581800799	1.0268303038362	0.0381977784987772	0.0958003290086336	0.187429559046473
KIAA1618	3.39472061911497	3.29946134008711	1.02887116083783	0.0410623337791344	2.87830548050392e-10	4.36257451697806e-09
LOC645851	1.83654133995615	1.92601821546137	0.953543079298559	-0.0686299766047499	0.0949044114882105	0.186142277078374
HSPB1P1	3.26500687287	3.29585751148096	0.990639571491337	-0.0135678437372999	0.0398203522989111	0.0949437552617044
LOC100132347	3.34272442831667	3.35582568937332	0.996095964966791	-0.00564335509164586	0.278599129838718	0.41405034101906
EFCAB12	1.51237745230057	1.45084693103757	1.04241007093629	0.0599229272570378	0.315754518287426	0.453520497357836
LOC147680	3.08709523422884	3.14100342181716	0.982837271932313	-0.0249755251275512	0.0043910183560027	0.0158933850848162
GGACT	2.86398436195955	2.87166250663931	0.997326237097149	-0.00386259061042012	0.707478373736589	0.803094924879085
A2M	3.98746895246011	3.92222807905799	1.0166336256044	0.0237998544612997	4.97570920246801e-05	0.000340433879065411
P1	2.92522003720647	2.8672913600617	1.02020327545071	0.028856637751933	0.0593447740569114	0.129988452765805
AAAS	3.42085116580701	3.43299498279752	0.996462617320632	-0.00511241206865181	0.0999955498824889	0.193628321867039
AACS	3.2963911238983	3.35183863342547	0.983457583854357	-0.0240652639215138	1.23970921561542e-05	9.75297497228238e-05
AADAT	2.72994545727256	2.89949758625324	0.94152361782105	-0.0869308100468575	7.01956985045254e-06	5.8764377082309e-05
AAGAB	3.44879882070427	3.43427186259194	1.0042299965447	0.00608972434262364	0.0365488821024188	0.0887325315049665
DKFZp686K16132	3.43250310344756	3.41022700707171	1.00653214473103	0.00939324707646024	0.00581324806706163	0.0201257203645066
AAMP	3.62393301633949	3.63939916121155	0.99575035763131	-0.00614400214291754	0.00588135409160602	0.0203108788000807
LOC221410	3.43946366637712	3.46825894405758	0.991697483335321	-0.0120280003366128	0.0043391044090944	0.0157652407044338
AARSD1	3.34180485072634	3.36674532363012	0.99259211181531	-0.0107271053844602	0.00161865064323597	0.0069270993073835
AARS	3.70673696957445	3.708762696917	0.999453799687902	-0.00078821576304466	0.796916141003511	0.869911746374081
AASDHPPT	3.42602495534175	3.44046170267845	0.995803834315186	-0.00606652441525994	0.177504028835289	0.298470895063343
AASDH	3.14759334003506	3.13326117591637	1.00457420027059	0.0065841289381894	0.26307740617887	0.397438604924431
AASS	3.28381196277755	3.29221242163792	0.99744838492038	-0.00368590693186667	0.63870718722911	0.748940233216835
AATF	3.55839282800439	3.5617925797216	0.999045494188358	-0.00137771842572897	0.606613620152377	0.723541485571709
LOC100292717	3.09280802091595	3.15569726401185	0.980071205241043	-0.0290415255408305	0.0680318356883021	0.144115329834794
NPD009	2.92924381972223	2.84753954096625	1.02869293914291	0.0408124076105364	0.0180817341199224	0.0508378236812982
PRO2543	1.92858352743861	1.98296919995441	0.972573617120701	-0.0401206385825818	0.446002144550428	0.582195895799849
ABCA11P	2.73321773766945	2.78434841750296	0.981636393092151	-0.0267393585594355	0.0222369292443201	0.0601740238977221
ABCA13	2.15034478140829	2.35172916873029	0.914367525819003	-0.129153928399524	0.00602167137050734	0.0207111875728526
ABCA17P	2.04101109351981	2.20217425795131	0.926816343507064	-0.109644609932905	0.0163327555312433	0.0467726033751331
TGD	3.42282682063252	3.3554850782048	1.02006915270318	0.0286669589420394	0.000215454891327585	0.00121465676372799
ABCA2	3.49209221474107	3.53251198124668	0.988557783605494	-0.0166027974360405	0.0125376032116577	0.0377140188753113
ABCA3	3.30403988162779	3.26668094114161	1.01143636037902	0.0164055483154197	0.224123729229945	0.353623081239882
STGD1	1.43261080293621	1.64502837440459	0.870873004518685	-0.199465742434315	0.00643058248568135	0.0218324834454738
HSA275973	3.22208050952946	3.20404770692616	1.00562813174234	0.0080969138184306	0.508038034961533	0.639674064458735
