	ID	Description	setSize	enrichmentScore	NES	pvalue	p.adjust	qvalue	rank	leading_edge	core_enrichment
GO_EPIDERMIS_DEVELOPMENT	GO_EPIDERMIS_DEVELOPMENT	GO_EPIDERMIS_DEVELOPMENT	121	0.6510988441236	2.23457648994935	0.0476190476190476	0.362012987012987	0.330371383002962	994	tags=31%, list=7%, signal=30%	OVOL1/SFN/EVPL/SPINK5/ELF3/KRT5/BNC1/TGM1/CNFN/FGFR2/PITX2/DNASE1L2/POU3F1/FLG/CDH3/DCT/HOXB13/LAMC2/HRNR/GRHL1/CRABP2/SOSTDC1/COL7A1/MCOLN3/KRT10/TCHH/PPL/HOXC13/EGFR/STRC/GLI1/FABP5/TMEM79/CELSR1/JAG2/KAZN/VANGL2/AGPAT2
GO_KERATINOCYTE_DIFFERENTIATION	GO_KERATINOCYTE_DIFFERENTIATION	GO_KERATINOCYTE_DIFFERENTIATION	38	0.755526682846523	2.17741632748366	0.00813008130081301	0.118608008509992	0.108241121761931	913	tags=37%, list=6%, signal=35%	SFN/EVPL/TGM1/CNFN/DNASE1L2/POU3F1/FLG/CDH3/HRNR/KRT10/TCHH/PPL/TMEM79/KAZN
GO_EPIDERMAL_CELL_DIFFERENTIATION	GO_EPIDERMAL_CELL_DIFFERENTIATION	GO_EPIDERMAL_CELL_DIFFERENTIATION	61	0.67611736934114	2.12263702153257	0.0144927536231884	0.171771265084547	0.156757664619679	913	tags=33%, list=6%, signal=31%	SFN/EVPL/SPINK5/TGM1/CNFN/PITX2/DNASE1L2/POU3F1/FLG/CDH3/HRNR/MCOLN3/KRT10/TCHH/PPL/STRC/GLI1/TMEM79/JAG2/KAZN
GO_KERATINIZATION	GO_KERATINIZATION	GO_KERATINIZATION	13	0.925105872245143	2.09840919504677	0.0048780487804878	0.0946994208431747	0.0864222548800902	913	tags=77%, list=6%, signal=72%	SFN/EVPL/TGM1/CNFN/CDH3/HRNR/TCHH/PPL/TMEM79/KAZN
GO_DEVELOPMENTAL_PIGMENTATION	GO_DEVELOPMENTAL_PIGMENTATION	GO_DEVELOPMENTAL_PIGMENTATION	24	0.793854892289675	2.09696923291128	0.00609756097560976	0.100497012772971	0.0917131105472788	313	tags=25%, list=2%, signal=25%	TYRP1/GPR143/SLC45A2/KIT/DCT/TYR
GO_DESMOSOME	GO_DESMOSOME	GO_DESMOSOME	17	0.859675477246697	2.05762571356019	0.00555555555555556	0.100064102564103	0.0913180386864598	913	tags=47%, list=6%, signal=44%	EVPL/PKP1/PKP3/KRT80/PPL/PERP/JUP/KAZN
GO_AXO_DENDRITIC_TRANSPORT	GO_AXO_DENDRITIC_TRANSPORT	GO_AXO_DENDRITIC_TRANSPORT	26	0.761257920881291	2.0351268255927	0.00641025641025641	0.103514588859416	0.0944669365721997	399	tags=15%, list=3%, signal=15%	KIF1A/HAP1/KLC3/AP3B2
GO_ANTEROGRADE_AXONAL_TRANSPORT	GO_ANTEROGRADE_AXONAL_TRANSPORT	GO_ANTEROGRADE_AXONAL_TRANSPORT	18	0.832897299732051	2.02160351024503	0.00584795321637427	0.100497012772971	0.0917131105472788	399	tags=17%, list=3%, signal=16%	KIF1A/HAP1/AP3B2
GO_SKIN_DEVELOPMENT	GO_SKIN_DEVELOPMENT	GO_SKIN_DEVELOPMENT	106	0.58762463498052	1.97577423194797	0.0416666666666667	0.337586505190311	0.30807988830207	979	tags=25%, list=6%, signal=24%	OVOL1/SFN/EVPL/SPINK5/TGM1/CNFN/FGFR2/ALOX12/DNASE1L2/CLDN4/POU3F1/FLG/CDH3/HRNR/ASPRV1/SOSTDC1/KRT10/TCHH/PPL/HOXC13/EGFR/TMEM79/CELSR1/JUP/KAZN/VANGL2/TCF15
GO_AXON_CYTOPLASM	GO_AXON_CYTOPLASM	GO_AXON_CYTOPLASM	22	0.753191602838581	1.93131758852172	0.00581395348837209	0.100497012772971	0.0917131105472788	399	tags=14%, list=3%, signal=13%	KIF1A/HAP1/AP3B2
