gene	fc	log2fc	p.value	fdr
TNMD	0.276217269752798	-1.8561245717873	0.198483885096168	0.429958082520358
PDK4	1.15896798338624	0.212840712290975	0.0934575337028418	0.285814354788311
SLC25A5	0.866446174500116	-0.206817966037077	0.0417622635328751	0.176348419949797
HOXA11	0.487677672044575	-1.03600017370892	5.12129015153099e-10	3.59992042305738e-08
SOX8	0.876632489053622	-0.189955947021862	0.482548765662934	0.687820110302716
KRT33A	0.00484156399211994	-7.69031112162616	0.045739587529673	0.186753488315063
CACNG3	5.81375838926174	2.53947111656241	1.71564461755748e-08	8.91086751641382e-07
CX3CL1	1.06148935746235	0.0860899067936816	0.584042670251996	0.760158001418057
ADIPOR2	1.02942407872684	0.0418374333861789	0.495366354446975	0.698208513744136
TSR3	0.95703540643208	-0.0633557953180923	0.272448845000862	0.510343468626139
E2F2	1.06836464353002	0.0954041373118568	0.223600775705893	0.460551586709494
PSMB1	1.03708857921146	0.0525391220503253	0.556470434551928	0.74045574902163
TFAP2D	0.906040268456376	-0.142352923411331	0.833919677006934	0.914631048843011
PGLYRP1	0.761232085812256	-0.393591722625595	0.0628703680029214	0.224770581437596
UFL1	1.02819729717438	0.0401171247886626	0.950627213416125	0.976960956164379
ZC3H3	0.917760926494226	-0.123809709310623	0.128791481159235	0.338793347596423
ZRANB1	0.961272668903507	-0.0569823795199993	0.870555618067154	0.933508071779258
ERP44	1.07416253541006	0.103212309234379	0.121017375140437	0.328415512391277
SNAPC1	0.90767597536223	-0.139750722665489	0.247315408608126	0.487232993988978
TOMM34	0.90548394663008	-0.143239031097314	0.0171331477816728	0.0985103312489905
INSRR	1.34545619444948	0.428095420276518	0.305394903279706	0.540950540121632
ADSS	0.986568141875401	-0.0195093941153207	0.911368984748435	0.956483001261232
TUBG2	0.847817270013997	-0.238174740537541	0.00123775406951858	0.0149696364227021
GUCA2B	0.230105465004794	-2.11963284691125	0.0401975845643441	0.172784927858415
HSPA5	0.955917374456681	-0.0650421718834044	0.541402481527234	0.729228036276922
MAGEC2	0.698571964531363	-0.517519350011977	0.54117009448317	0.729228036276922
XK	0.444758627738221	-1.16890550271833	0.00301788875484058	0.0289474413963723
FAM184B	0.814189805604346	-0.296562937148238	0.000369758779068646	0.00598506750117405
MRPS10	0.973729993127019	-0.0384063139343227	0.661985754423651	0.815509924641813
ALX4	2.71874394172983	1.44294028104557	0.16058965119501	0.385654417935306
METTL24	0.724062520362286	-0.465813820338035	0.140030638807616	0.35650982465985
MRTO4	0.924194668688051	-0.113731327693556	0.0696799518241174	0.23933532619715
CBLN4	0.923805763916305	-0.114338547241734	0.946464553643194	0.975041004078261
HPF1	0.997440420869964	-0.00369742606617345	0.79050563550141	0.888641669439722
MSH4	0.628187919463087	-0.67073189576612	0.124361705433958	0.332853588348719
GNA15	1.13359892738915	0.180910298291753	8.6363579998446e-05	0.00189295084424929
GSC2	0.396860613456099	-1.33329570612273	0.0306530488001943	0.145469722453308
DLX3	0.0776300788396982	-3.68724043704187	1.07984317921967e-06	4.18898501349572e-05
DMRT3	1.80794191305824	0.854348326487048	4.81399456046076e-05	0.00120983965445558
TRAM2	1.02224953253302	0.0317474031308947	0.690731834405633	0.833030433418249
TBC1D22B	1.04015953624672	0.0568048211551434	0.40802680796704	0.63303063851375
NDUFB4	0.935267373890452	-0.0965492337982059	0.810435173575709	0.901321179157145
ZBTB11	1.05294418744462	0.074428966628713	0.396584615548296	0.623766751473926
LRRC40	1.07222174654715	0.10060330090856	0.169104434126496	0.396727065156491
RRP15	0.837826452220373	-0.255276660569886	0.00964015003617978	0.066710409095666
LAPTM4A	1.0006449360355	0.000930146109969604	0.736526390758721	0.860723153400411
PAGE1	0.863813172979184	-0.211208777362069	0.997258787666904	0.998758542783432
NUCKS1	0.899528375067615	-0.152759303767841	0.208587018836771	0.442998645866645
GAL	0.232123309219952	-2.10703669324093	0.000749169443284181	0.0101169106094945
FUNDC1	0.97559164044792	-0.0356506987212848	0.468490653954608	0.677696281477605
DRD4	0.965632178730688	-0.0504543416178967	0.744294936028626	0.864682318644832
SCT	2.96204351514654	1.56659283530096	1.03910449565128e-06	4.06468114219408e-05
FGF10	0.773419868721882	-0.370676267965559	0.332953186526266	0.568082020189934
PRLH	0.862337149624951	-0.213676062006417	0.512526548758789	0.711026963102228
TRPC5	0.0699787199214274	-3.83693991530698	0.154646641514557	0.37788589950852
FNDC8	0.83814701351136	-0.254724775710247	0.124737333485159	0.33305932308342
ABCB11	2.36047333097845	1.23907618322469	0.000168061211580496	0.00322629212949908
CD5L	7.26766390121378	2.86149170255717	2.30332126220259e-08	1.16398651245038e-06
TBX21	7.6507296857051	2.93559735090927	3.81227779953833e-16	1.14970919831883e-13
LMAN1	0.967142557518601	-0.0481995352093951	0.634398365779171	0.796547224443411
NOX3	1.14658193264833	0.197339450951871	0.573237433002597	0.752269800144364
WNT8B	1.33251625419463	0.414153131260598	0.195057694783109	0.426318538618707
CACNG4	0.403539210570383	-1.30921923266796	0.0266110115526732	0.132262810742128
MOCOS	0.894966591195018	-0.160094266831003	0.447170045808337	0.662871183235356
TUBA3D	0.834510773578241	-0.26099741990995	0.143314495023768	0.361632176512066
MCM6	1.02423169925519	0.0345421152935282	0.400344040948378	0.627252629265357
PLXNA2	0.915098466305763	-0.128001106454667	0.284005836805814	0.521030331298578
ITGA8	0.953948811549306	-0.0680162409262739	0.867355458625714	0.932165327358523
EDN1	1.14843047124642	0.199663515118626	0.277483397297119	0.514108656625202
FGF20	0.745825830741529	-0.423089330978583	0.417661192781511	0.640764348954568
BPIFB2	1.0180330878603	0.0257844522939816	0.811553585094144	0.901736922634318
COL5A3	0.895453162738501	-0.159310121807402	0.0156728115831857	0.0927374148678499
GEMIN5	0.913356007271579	-0.130750792383276	0.0865895295125702	0.273027153933564
AC000061.1	0.638346552776083	-0.647588231661753	0.656381193857527	0.812029612461826
NUFIP1	0.792356173550802	-0.335779010154044	0.000149185147255187	0.00293010912119484
ZNF416	0.822741696159346	-0.281488534425234	0.000404757862080981	0.00637823718238559
NOA1	0.926957107462652	-0.109425511465456	0.245380876202469	0.484798354103314
HBQ1	0.800236223949135	-0.321502158869504	0.367339163527467	0.599555488795093
ITPKC	0.822094297194406	-0.282624209140768	0.000115343040090746	0.00239631573735196
CEACAM6	0.158179383820273	-2.66036651529427	0.0021815528187561	0.0229811931408864
MYBPC2	1.54437529810751	0.627023384034471	0.0104413824039966	0.07073658267751
PPP1R15A	1.04595885914998	0.0648261069695879	0.695453424860546	0.836566401057802
REM1	0.902883589511017	-0.147388104591441	0.521907145887323	0.716176413753204
DEFB127	0.573825503355705	-0.801316005576263	0.599729667129518	0.77142482192043
CPXM1	0.543903094748376	-0.878578460285766	0.0069722829048296	0.0531679224121141
SIRT4	0.923156069119877	-0.115353523818718	0.19325501578817	0.424032009322394
PEBP1	0.992790140493508	-0.0104393069087715	0.759870453594361	0.873289063952343
ERP29	1.04124983366733	0.0583162651299941	0.252561029629588	0.493045117144919
EFNB1	0.704980668170466	-0.504344398109254	5.91936043574962e-05	0.00141173726310774
NAT14	0.763924117710802	-0.388498755630704	1.18111690283141e-05	0.00034724094102424
POU4F3	0.604026845637584	-0.727315424132487	0.176144280774877	0.404513112494308
CMTM6	1.12383699890877	0.168432802534825	0.0244110219496042	0.124846085452325
SMPX	1.25530850619795	0.328041966300055	0.5758975621968	0.753904833179006
FH	0.944685240390068	-0.0820943769515875	0.352213925856583	0.585707576099821
ALKBH5	0.951695608486407	-0.0714278809632465	0.294282179552274	0.530411431778332
SLC17A6	0.466028046475105	-1.10151131319886	0.242798316799462	0.482448770193022
MYH7	0.737520743688779	-0.439244467361369	0.172194037736506	0.399365432597022
CEBPE	2.23558056214361	1.16064953626788	1.27260728318695e-06	4.87606782398146e-05
AC016026.1	0.763889839008265	-0.388563493505299	0.0164465973061566	0.0957404970207083
KRT31	0.00369052014073704	-8.08196012106516	0.0209385584674316	0.113067364915006
MAP3K1	0.878709937626701	-0.186541084932437	0.570176728179693	0.750092141723959
NANS	1.03729800603324	0.05283042651632	0.180577119248304	0.409574688119119
TMEM14A	0.967794868484976	-0.0472268052189459	0.775720173726549	0.882667643687056
CDC5L	0.975439231216699	-0.0358760975560336	0.778239826363411	0.88317561239366
SYDE2	0.933289599838522	-0.0996032759519936	0.881043936898755	0.940390428823662
MAGEB2	1.03124639807376	0.044389080337654	0.166417434578548	0.393882682499961
IGFALS	0.790128933472618	-0.339840002984958	0.0804704546909865	0.261949262153911
HCN2	0.738091463050817	-0.438128491184638	0.488208182837092	0.692708802753677
DDTL	0.812614177706279	-0.299357559350963	0.0116432504990632	0.0757499992454713
OSM	1.75148986767713	0.808582642211207	2.81848539995606e-05	0.000752857714405407
SUSD2	1.08764770318921	0.121211333089209	0.122666282215506	0.330747168209556
PLA2G3	0.0333543236452696	-4.90598240295911	0.00129790347181153	0.015596528994815
CRYBB1	1.64229380301843	0.715712245410999	8.38833950746525e-09	4.64038970741376e-07
TIMP3	1.0078566878102	0.011290509388772	0.256307776670322	0.495804139062867
C22ORF31	0.905579648086037	-0.14308655934928	0.443598044659761	0.660691322758644
NEFH	0.493448142549436	-1.01902961794191	0.0328411154924982	0.151620537649069
BIK	1.14431709230367	0.19448688087996	0.0996356943224591	0.295650849869066
RASD2	1.3629812571199	0.446765723224489	0.317254299317972	0.553463415623012
TTLL12	0.883324971904945	-0.178983797326486	0.010192259823056	0.0694309819216161
CABP7	0.873414261150686	-0.195262007181834	0.744084202510016	0.864682318644832
RBX1	0.909657751100704	-0.136604245910312	0.0949096251636708	0.287854669258908
DESI1	0.949764921506276	-0.0743576220175938	0.288704252794558	0.526242164042957
CTSG	0.897258588652542	-0.156404267152917	0.32098815785396	0.556939221458068
TMED8	1.18934961892166	0.250172869282007	0.0018732069735565	0.0205547089152344
SAMD15	0.842365403323278	-0.247481910041893	0.0684097931227145	0.236963007004171
SUSD6	1.41338878658773	0.499158368241152	5.9132603543136e-10	4.09504230018355e-08
SLC10A1	1.11849109002546	0.161553763837991	0.369195486277724	0.601578665112399
MMP9	1.12926371122518	0.175382430708336	8.89511874371619e-06	0.000273554161628298
R3HDML	0.674789292960824	-0.567491012659145	0.00890656768613444	0.063514493743456
TUBB1	0.615662548596508	-0.699788284329228	0.00844769632644953	0.061413307119733
NTSR1	0.677279436751338	-0.562176900912257	0.0817553115446855	0.264291288945804
AVP	0.0884467881112176	-3.49904643645937	0.230169080178831	0.468812795335925
HAO1	1.73865144922192	0.797968741799436	0.869380140617311	0.933144507839076
MAPRE1	1.01081937612894	0.015525224299573	0.763723799444452	0.875865284716166
SNTA1	0.897770963819781	-0.155580658280397	0.273354025623152	0.51050769668213
OXT	0.901016015581387	-0.150375344681522	0.617845428983835	0.785561936022015
CHMP4B	1.0264759512985	0.0376998277886341	0.811813830976039	0.901811728350165
CST9L	2.28072205507984	1.18949064034111	0.052437431130815	0.201971517100733
SLC32A1	4.29721955896453	2.10340349099063	2.37159276657232e-06	8.52770029795562e-05
CST4	2.11973907043844	1.08388668698064	0.103349753053972	0.302320663736416
SPINT3	0.27575138605194	-1.85855995741074	0.328625344812154	0.564753611024762
SYNDIG1	1.96577803077777	0.975100426472316	0.00031992580135251	0.00536210560906427
STS	1.08914844692793	0.123200601484784	0.0967366652816374	0.290988122174398
GUCY2F	0.395595046790812	-1.33790373252914	0.0132614031781736	0.0832645119628909
TLR8	5.27315121698903	2.39866536915698	4.95592751654098e-16	1.40402928339823e-13
PIM2	4.13891695595453	2.04925330234098	1.85616278062218e-16	6.94130633441471e-14
