id,GSH1,GSH2,GSH3,GSH4,GSH5,GSL6,GSL7,GSL8,GSL9,GSL10
K00001,9.00E-05,0.000134249,7.69E-05,4.90E-05,7.09E-05,8.22E-05,8.38E-05,6.09E-05,8.37E-05,7.95E-05
K00003,0.000324592,0.00032336,0.00032599,0.000221673,0.000264283,0.000296245,0.000187718,0.00029631,0.00023255,0.000216974
K00004,9.66E-05,5.77E-05,9.53E-05,4.06E-05,7.66E-05,8.22E-05,3.93E-05,2.37E-05,2.57E-05,3.22E-05
K00005,5.66E-06,2.61E-06,3.60E-06,2.30E-06,7.07E-06,1.84E-06,9.77E-07,4.48E-07,3.96E-06,1.43E-05
K00007,3.82E-05,2.11E-05,5.61E-05,1.05E-05,2.47E-05,1.24E-06,5.99E-06,2.25E-05,4.21E-06,1.38E-05
K00008,6.10E-05,5.56E-05,3.35E-05,4.64E-05,2.37E-05,4.10E-05,7.28E-05,8.00E-05,2.83E-05,5.87E-05
K00009,6.31E-06,2.16E-06,6.93E-06,3.10E-05,1.37E-05,4.08E-05,3.06E-05,3.72E-05,2.82E-05,5.03E-05
K00010,0.000131236,0.000157448,0.0001208,0.00016803,0.000177306,0.000159937,9.60E-05,0.0001335,0.000123421,0.00010486
K00012,0.000192566,0.000355525,0.000329241,0.000315345,0.000438508,0.000362537,0.00038763,0.000405961,0.000474709,0.000389308
K00013,0.000258831,0.000318255,0.000295198,0.000201097,0.000308018,0.000221287,0.000206434,0.000310711,0.000229342,0.000198648
K00014,0.000297526,0.000296184,0.000424338,0.000269757,0.000335199,0.000363946,0.000219963,0.000269838,0.000241239,0.000327078
K00015,1.58E-05,1.27E-05,1.71E-05,2.11E-05,1.59E-05,5.41E-05,2.75E-05,2.70E-05,5.82E-05,4.74E-05
K00016,1.84E-05,8.22E-06,1.68E-05,3.13E-05,8.46E-06,3.89E-05,9.42E-06,9.14E-06,1.70E-05,3.40E-05
K00018,8.43E-06,8.58E-05,4.74E-05,1.72E-05,2.41E-05,4.59E-05,2.54E-05,3.32E-05,4.44E-05,3.90E-05
K00019,0.000264056,0.000219862,0.000279876,0.000246485,0.000256215,0.000275317,0.000267872,0.000249216,0.000234653,0.000269814
K00020,0.000312947,0.000292021,0.000207989,0.000266606,0.000306949,0.000285555,0.000191535,0.000189177,0.000207299,0.000246502
K00021,9.43E-07,5.46E-06,4.95E-06,1.50E-05,2.92E-07,3.33E-06,6.44E-06,3.54E-05,7.01E-06,1.13E-05
K00023,0.00027135,0.000299252,0.000231238,0.000291482,0.000179816,0.000272599,0.000240149,0.000211681,0.000223555,0.000263336
K00024,0.000245812,0.000286454,0.000193787,0.000341634,0.000200282,0.000325961,0.000282039,0.000288331,0.000355416,0.000273419
K00027,3.00E-05,4.19E-05,2.10E-05,5.75E-05,6.39E-06,8.63E-05,5.78E-05,0.000107529,9.53E-05,8.99E-05
K00029,0.00091696,0.000796719,0.000780282,0.000582937,0.000682732,0.000530689,0.000561984,0.000423691,0.000547374,0.000570037
K00030,7.87E-05,2.85E-05,5.32E-05,0.000118124,2.69E-05,7.64E-05,7.59E-05,0.000102646,5.99E-05,5.96E-05
K00031,0.000452074,0.000448353,0.000549793,0.000498084,0.000389389,0.000573136,0.000532365,0.000467868,0.000612255,0.00059634
K00032,9.81E-08,3.39E-06,2.57E-05,8.97E-06,1.42E-05,1.70E-05,1.39E-06,1.47E-07,1.05E-05,8.53E-06
K00033,0.000176365,0.000150806,0.000200942,0.000271634,0.000189233,0.000280972,0.000373652,0.000463902,0.000366478,0.000304275
K00034,1.78E-05,2.13E-05,5.31E-05,4.40E-05,2.71E-05,5.41E-05,0.000124767,0.000147396,0.000137102,7.80E-05
K00035,8.16E-05,6.59E-05,7.43E-05,5.94E-05,0.000128675,6.74E-05,6.77E-05,6.56E-05,0.000102038,5.42E-05
K00036,0.000409238,0.000379237,0.000418675,0.000579028,0.000477817,0.000639096,0.000649522,0.000733094,0.000549399,0.000562845
K00038,4.76E-05,5.47E-05,4.78E-05,7.13E-05,0.000118701,5.38E-05,6.77E-05,6.72E-05,4.65E-05,4.10E-05
