id,GS1,GS2,GS3,GS4,GS5,GS6,GS7,GS8,GS9,GS10,GSH_mean,GSL_mean,Mean_abundance,log2fc,Pvalue,FDR
K00029,0.00091696,0.000796719,0.000780282,0.000582937,0.000682732,0.000530689,0.000561984,0.000423691,0.000547374,0.000570037,0.000751926,0.000526755,0.0006393405,-0.513458584303534,0.00793650793650794,0.0907652866415753
K00036,0.000409238,0.000379237,0.000418675,0.000579028,0.000477817,0.000639096,0.000649522,0.000733094,0.000549399,0.000562845,0.000452799,0.0006267912,0.0005397951,0.469114152853674,0.0317460317460317,0.135276304290389
K00121,0.000366856,0.000426162,0.000359822,0.000448895,0.000376564,0.000334612,0.000359226,0.00031993,0.000347547,0.000313584,0.0003956598,0.0003349798,0.0003653198,-0.240186390834403,0.00793650793650794,0.0907652866415753
K00133,0.000238496,0.000239935,0.000290926,0.000315447,0.000293908,0.000331688,0.000324286,0.000344355,0.000404535,0.000340755,0.0002757424,0.0003491238,0.0003124331,0.34041758684991,0.00793650793650794,0.0907652866415753
K00134,0.000347312,0.000408711,0.000413312,0.000541148,0.000399106,0.000658406,0.000560561,0.000496706,0.000587717,0.000513317,0.0004219178,0.0005633414,0.0004926296,0.417047545525374,0.0317460317460317,0.135276304290389
K00164,0.000480083,0.000470267,0.000555489,0.000733684,0.000566175,0.000907053,0.00077438,0.000759783,0.000843783,0.0007691,0.0005611396,0.0008108198,0.0006859797,0.531021591094679,0.00793650793650794,0.0907652866415753
K00239,0.000456022,0.000433154,0.000517464,0.000555671,0.000514033,0.000587791,0.000629629,0.000616578,0.000666058,0.00055547,0.0004952688,0.0006111052,0.000553187,0.303209017537066,0.0158730158730159,0.0994828565450034
K00252,0.000252868,0.000261082,0.000274877,0.000360481,0.000254072,0.000464766,0.00036812,0.000316079,0.0003939,0.000391654,0.000280676,0.0003869038,0.0003337899,0.463069190990874,0.0158730158730159,0.0994828565450034
K00335,0.000227886,0.000253703,0.000278475,0.000324479,0.000239907,0.000384391,0.000323253,0.000354866,0.000417098,0.000313605,0.00026489,0.0003586426,0.0003117663,0.437153482633607,0.0317460317460317,0.135276304290389
K00382,0.000715477,0.000710793,0.000744563,0.000793822,0.000739419,0.001021922,0.001041944,0.000932775,0.000932173,0.001001503,0.0007408148,0.0009860634,0.0008634391,0.412567488153322,0.00793650793650794,0.0907652866415753
K00384,0.000588615,0.000530665,0.000553117,0.000632185,0.000414171,0.00059181,0.000644924,0.000676517,0.00065326,0.000633524,0.0005437506,0.000640007,0.0005918788,0.235142596716149,0.0158730158730159,0.0994828565450034
K00616,0.000263601,0.000279366,0.000298797,0.000308511,0.00027164,0.000306207,0.000354839,0.000400346,0.000335898,0.000303937,0.000284383,0.0003402454,0.0003123142,0.258740431789213,0.0317460317460317,0.135276304290389
K00641,0.000390194,0.000343638,0.000366504,0.00032697,0.000300739,0.000298485,0.000302508,0.000308474,0.000245254,0.00026841,0.000345609,0.0002846262,0.0003151176,-0.280072318337739,0.0317460317460317,0.135276304290389
K00764,0.000309631,0.000418446,0.000348566,0.000438097,0.000360314,0.000551249,0.000388199,0.000454589,0.000473651,0.000493452,0.0003750108,0.000472228,0.0004236194,0.332551441758157,0.0317460317460317,0.135276304290389
K00799,0.001685168,0.001580873,0.001586401,0.001366832,0.001657046,0.001170517,0.00125727,0.001092719,0.001209328,0.001285612,0.001575264,0.0012030892,0.0013891766,-0.388850020069094,0.00793650793650794,0.0907652866415753
