	CD274	CD8A
COAD-2671-01A	2.45	3.56
COAD-5863-01A	2.72	4.66
COAD-2676-01A	10.24	13.62
COAD-2682-01A	1.05	2.75
COAD-3553-01A	4.46	10.02
COAD-6677-01A	2.35	5.41
COAD-6461-01A	3	3.74
COAD-6716-01A	0.84	0.6
COAD-3989-01A	2.12	10.71
COAD-A1HA-01A	4.53	6.7
COAD-2679-01A	1.28	11.78
COAD-6626-01A	1.51	4.52
COAD-6541-01A	6.2	15.55
COAD-6719-01A	3.1	7.4
COAD-5256-01A	0.66	6.06
COAD-A1DB-01A	1.26	13.2
COAD-6715-01A	0.82	1.37
COAD-A01C-01A	1.54	2.26
COAD-3848-01A	1.01	3.25
COAD-3972-01A	2.22	1.37
COAD-3697-01A	3.6	7.89
COAD-3675-01A	1.89	1.92
COAD-5797-01A	2.02	7.33
COAD-4315-01A	2.67	5.69
COAD-6531-01A	7.72	13.55
COAD-6809-01A	2.14	9.4
COAD-A02R-01A	14.29	28.81
COAD-3667-01A	1.75	2.95
COAD-6964-01A	10.8	25.74
COAD-6854-01A	2.84	10.33
COAD-6311-01A	2	2.16
COAD-A0XD-01A	2.16	1.05
COAD-A00U-01A	2.48	3.96
COAD-A5IV-01A	3.13	18.04
COAD-6781-01A	6.1	11.97
COAD-6895-01A	16.01	17.94
COAD-3693-01A	1.01	4.24
COAD-6650-01A	1.26	1.18
COAD-5656-01A	0.9	1.83
COAD-A28K-01A	1.36	0.58
COAD-3517-01A	3.64	3.94
COAD-5662-01A	1.22	0.69
COAD-A01T-01A	1.33	1.24
COAD-6899-01A	6.17	10.57
COAD-4323-01A	2.45	34.74
COAD-A01R-01A	6.46	35.4
COAD-6782-01A	3.56	12.15
COAD-A50V-01A	5.05	4.03
COAD-A02K-01A	0.62	2.62
COAD-A8F8-01A	2.75	2.52
COAD-AATA-01A	1.84	6.04
COAD-5661-01A	4.06	4.52
COAD-5861-01A	3.96	7.06
COAD-6297-01A	2.75	7.83
COAD-6808-01A	1.36	1.07
COAD-6459-01A	1.27	5.86
COAD-3837-01A	0.96	8.75
COAD-A00L-01A	3.05	1.56
COAD-3555-01A	4.62	2.87
COAD-A00E-01A	8.81	6.7
COAD-3544-01A	6.24	9.52
COAD-2685-01A	1.81	4.77
COAD-6532-01A	0.89	1.89
COAD-3520-01A	3.87	3.8
COAD-5348-01A	5.32	3.79
COAD-3678-01A	5.08	5.33
COAD-6317-01A	0.25	5.4
COAD-A02H-01A	1.16	4.97
COAD-6314-01A	1.58	3.11
COAD-A02W-01A	1.75	6.66
COAD-3947-01A	8.89	3.44
COAD-3852-01A	2.64	6.43
COAD-3655-01A	5.15	6.83
COAD-3984-01A	8.95	12.42
COAD-A00K-01A	2.21	2.31
COAD-3506-01A	3.14	7.94
COAD-6888-01A	0.82	1.21
COAD-6718-01A	35.72	22.48
COAD-6196-01A	8.04	34.64
COAD-6805-01A	4.45	5.77
COAD-7000-01A	5.15	9.3
COAD-A5Z1-01A	0.58	0.66
COAD-5403-01A	1.03	1.07
COAD-A01X-01A	1.14	1.89
COAD-A029-01A	1.22	2
COAD-3831-01A	1.24	6.19
COAD-A565-01A	4.34	25.11
COAD-AAT6-01A	16.52	21.39
COAD-3715-01A	18.52	12.14
COAD-5407-01A	0.97	7.43
COAD-6535-01A	7.06	5.71
COAD-3489-01A	6.82	20.22
COAD-6294-01A	1.31	1.66
COAD-2684-01A	4.2	5.59
COAD-A285-01A	0.7	0.58
COAD-6533-01A	7.21	2.9
COAD-6463-01A	1.68	6.33
COAD-A5EJ-01A	4.91	3.34
COAD-A54L-01A	0.5	1.62
COAD-6654-01A	11.1	15.1
COAD-6807-01A	7.08	28.17
COAD-3875-01A	5.69	12.86
COAD-6747-01A	1.64	5.11
COAD-A50T-01A	0.93	0.72
COAD-A28C-01A	0.31	1.1
COAD-A1D8-01A	1.59	7.92
COAD-4751-01A	4.97	18.82
COAD-3527-01A	1.19	5.3
COAD-3979-01A	8.42	0.8
COAD-6307-01A	0.6	0.82
COAD-A8F7-01A	1.78	0.49
COAD-5344-01A	1.75	2.17
COAD-A1D0-01A	0.39	0.25
COAD-A1D7-01A	0.93	2.86
COAD-3688-01A	1.36	4.32
COAD-5254-01A	3.12	4.7
COAD-6926-01A	6.44	5.99
COAD-6628-01A	12.6	52.24
COAD-6929-01A	1.36	5.25
COAD-3807-01A	6.02	7.2
COAD-AAT5-01A	2.23	1.32
COAD-A00O-01A	2.19	4.18
COAD-6306-01A	1.77	10.79
COAD-A92H-01A	1.55	3.49
COAD-3810-01A	3.17	3.38
COAD-2672-01A	13.59	36.14
COAD-A03F-01A	0.94	2.35
COAD-5540-01A	1.98	4.39
COAD-3526-01A	5.44	11.97
COAD-A01I-01A	2.53	6.19
COAD-A6GB-01A	3.6	3.21
COAD-A010-01A	2.27	9.12
COAD-6303-01A	2.59	4.15
COAD-3811-01A	5.61	9.97
COAD-5860-01A	2.63	5.63
COAD-AA1B-01A	2.04	2.79
COAD-6172-01A	1.2	1.32
COAD-3713-01A	9.38	19.58
COAD-5538-01A	6.68	7.55
COAD-5664-01A	3.42	5.88
COAD-3529-01A	1.09	1.64
COAD-6648-01A	3.22	5.87
COAD-3525-01A	3.55	6.53
COAD-6167-01A	2.77	7.28
COAD-6293-01A	7.71	11.84
COAD-3549-01A	3.74	4.64
COAD-6653-01A	2.89	2.03
COAD-6901-01A	7.15	10.79
COAD-2675-01A	6.15	4.73
COAD-3821-01A	5.33	6.28
COAD-4951-01A	10.99	10.99
COAD-3548-01A	2.02	9.01
COAD-4743-01A	17.16	4.22
COAD-3994-01A	2.06	3.76
COAD-5667-01A	1.84	3.45
COAD-A0XF-01A	1.36	1.43
COAD-3681-01A	7.06	10.03
COAD-6922-01A	3.39	7.53
COAD-6780-01A	14.68	17.22
COAD-5665-01A	2.8	16.52
COAD-A02J-01A	0.91	0.61
COAD-6540-01A	5.16	10.66
COAD-3866-01A	12.55	11.12
COAD-6304-01A	2.02	3.54
COAD-6652-01A	1.16	2.16
COAD-A5YX-01A	1.1	1.45
COAD-A01G-01A	1.17	4.74
COAD-3680-01A	3.65	13.3
COAD-2674-01A	9.36	2.55
COAD-3949-01A	18.84	28.3
COAD-6675-01A	2.9	5.19
COAD-3975-01A	1.78	3.13
COAD-A03J-01A	3.32	14.33
COAD-A8FL-01A	0.21	0.89
COAD-3872-01A	2.68	5.36
COAD-4616-01A	16.3	13.49
COAD-A5YV-01A	1.64	3.98
COAD-6164-01A	3.08	8.17
COAD-A1HB-01A	2.35	0.79
COAD-A93T-01A	0.84	2.6
COAD-3779-01A	3.98	1.39
COAD-A01Z-01A	0.78	0.43
COAD-A01Q-01A	14.66	10.34
COAD-2680-01A	1.67	3.79
COAD-3662-01A	5.21	4.85
COAD-A1D4-01A	0.85	3.84
COAD-6651-01A	3.84	12.49
COAD-6678-01A	0.5	0.86
COAD-A28E-01A	1.05	0.31
COAD-A02F-01A	1.89	0.83
COAD-3692-01A	1.93	4.89
COAD-3522-01A	1.99	8.49
COAD-4746-01A	1.04	4.14
COAD-3850-01A	3.47	5.85
COAD-3534-01A	1.87	3.39
COAD-A02Y-01A	3.25	10.81
COAD-3841-01A	1.58	6.47
COAD-4070-01A	2.46	6.87
COAD-3542-01A	0.41	0.68
COAD-6539-01A	2.61	5.69
COAD-6165-01A	3.02	7.07
COAD-4313-01A	1.38	3.17
COAD-4684-01A	1.32	4.74
COAD-6161-01A	3.19	10.2
COAD-5914-01A	4.14	12.12
COAD-5660-01A	1.19	2.05
COAD-A01F-01A	1.14	0.73
COAD-3684-01A	1.42	4.63
COAD-5539-01A	2.13	2.58
COAD-6569-01A	1.89	10.93
COAD-A5Z2-01A	5.07	22.81
COAD-3511-01A	1.74	4.06
COAD-3502-01A	1.13	10.33
COAD-6605-01A	3.11	7.39
COAD-6166-01A	1.06	2.16
COAD-6679-01A	1.78	4.49
COAD-3815-01A	15.64	33.52
COAD-6603-01A	6.58	5.07
COAD-6601-01A	7.82	13.13
COAD-6600-01A	2.25	4.4
COAD-6598-01A	2.48	2.55
COAD-6171-01A	6.05	5
COAD-A69D-01A	2.32	1.81
COAD-A567-01A	1.69	2.95
COAD-AAT4-01A	1.03	3.35
COAD-A5YW-01A	3.97	3.12
COAD-A004-01A	0.77	4.77
COAD-5916-01A	9.83	20.05
COAD-3531-01A	0.75	3.29
COAD-3510-01A	3.02	5.65
COAD-5912-01A	1.08	0.92
COAD-6704-01A	1.78	6.99
COAD-3950-01A	5.9	14.51
COAD-A97D-01A	3.12	17.52
COAD-3819-01A	1.11	1.93
COAD-4614-01A	0.75	8.68
COAD-3530-01A	3.13	6.71
COAD-3560-01A	1.92	2.22
COAD-6322-01A	3.14	3.14
COAD-2678-01A	6.16	13.92
COAD-6570-01A	9.99	35.19
COAD-6625-01A	10.93	21.23
COAD-3812-01A	1.49	6.34
COAD-3952-01A	0.76	2.04
COAD-2677-01A	1.28	2.83
COAD-3860-01A	5.64	9.44
COAD-3666-01A	6.89	2.88
COAD-6537-01A	4.01	5.06
COAD-3543-01A	9.19	40.69
COAD-3986-01A	6.16	20.29
COAD-3492-01A	5.03	8.09
COAD-A01D-01A	2.73	2.61
COAD-6321-01A	2.28	17.45
COAD-A28G-01A	0.9	4
COAD-6965-01A	0.79	5.85
COAD-6310-01A	0.95	0.52
COAD-5666-01A	0.86	1.15
COAD-3808-01A	4.72	10.17
COAD-A02O-01A	1.35	2.09
COAD-3864-01A	3.69	8.64
COAD-A00A-01A	5.22	10.34
COAD-3814-01A	4.88	9.44
COAD-3552-01A	2.98	9.35
COAD-6004-01A	6.04	8.56
COAD-3861-01A	2.17	7.53
COAD-AA8H-01A	1	1.81
COAD-A017-01A	1.49	2.27
COAD-5915-01A	0.37	0.79
COAD-4950-01A	2.77	13.28
COAD-3679-01A	1.98	2.79
COAD-4747-01A	0.79	1.07
COAD-6606-01A	2.7	0.82
COAD-A00Q-01A	2.53	6.17
COAD-3982-01A	2.64	16.16
COAD-6588-01A	3.85	4.21
COAD-A5ZU-01A	2.53	5.56
COAD-6898-01A	4.32	6.96
COAD-3869-01A	4.75	9.01
COAD-4752-01A	3.04	5.29
