	KIRC	KIRP	KICH	LGG	GBM	BRCA	LUSC	LUAD	READ	COAD	UCS	UCEC	OV	HNSC	THCA	PRAD	STAD	SKCM	BLCA	LIHC	CESC	ACC	PCPG	SARC	LAML	PAAD	ESCA	TGCT	THYM	MESO	UVM	DLBC	CHOL
ALKBH5	0.085227273	0.048611111	0.757575758	0.027290448	0.119584055	0.52962963	0.576846307	0.445736434	0.684848485	0.536585366	0.571428571	0.230055659	0.849740933	0.19348659	0.014028056	0.12195122	0.380952381	0.332425068	0.470588235	0.432432432	0.342372881	0.3	0.37654321	0.143968872	0.073298429	0.413043478	0.456521739	0.253333333	0.097560976	0.275862069	0.025	0.145833333	0.277777778
FTO	0.041666667	0.024305556	0.075757576	0.04288499	0.159445407	0.559259259	0.375249501	0.277131783	0.090909091	0.055432373	0.696428571	0.261595547	0.663212435	0.180076628	0.004008016	0.229674797	0.281179138	0.324250681	0.296568627	0.397297297	0.203389831	0.066666667	0.037037037	0.53307393	0.020942408	0.065217391	0.293478261	0.34	0.105691057	0.195402299	0.2125	0.125	0.194444444
ZC3H13	0.153409091	0.083333333	0.666666667	0.274853801	0.410745234	0.452777778	0.680638723	0.550387597	0.048484848	0.042128603	0.517857143	0.194805195	0.625215889	0.421455939	0.036072144	0.461382114	0.106575964	0.245231608	0.350490196	0.481081081	0.396610169	0.444444444	0.043209877	0.661478599	0.005235602	0.108695652	0.391304348	0.766666667	0.113821138	0.471264368	0.0375	0.104166667	0.472222222
RBM15B	0.880681818	0.090277778	0.166666667	0.095516569	0.097053726	0.323148148	0.870259481	0.467054264	0.157575758	0.159645233	0.625	0.13729128	0.331606218	0.720306513	0.006012024	0.032520325	0.340136054	0.196185286	0.296568627	0.175675676	0.413559322	0.244444444	0.388888889	0.252918288	0.031413613	0.27173913	0.679347826	0.206666667	0.105691057	0.517241379	0.55	0.125	0.805555556
RBM15	0.123106061	0.121527778	0.803030303	0.360623782	0.041594454	0.302777778	0.443113772	0.304263566	0.333333333	0.274944568	0.214285714	0.064935065	0.188255613	0.229885057	0.008016032	0.089430894	0.206349206	0.223433243	0.151960784	0.232432432	0.108474576	0.344444444	0.74691358	0.167315175	0	0.239130435	0.315217391	0.14	0.056910569	0.390804598	0.25	0.125	0.138888889
VIRMA	0.115530303	0.03125	0.136363636	0.021442495	0.076256499	0.025	0.071856287	0.071705426	0.036363636	0.028824834	0.125	0.037105751	0.124352332	0.024904215	0.008016032	0.020325203	0.038548753	0.0626703	0.049019608	0.043243243	0.061016949	0.122222222	0.080246914	0.163424125	0	0.065217391	0.070652174	0.026666667	0.016260163	0.057471264	0	0.083333333	0.055555556
WTAP	0.285984848	0.107638889	0.772727273	0.155945419	0.273830156	0.337037037	0.261477046	0.501937984	0.163636364	0.119733925	0.142857143	0.085343228	0.644214162	0.168582375	0.012024048	0.12601626	0.206349206	0.59400545	0.460784314	0.375675676	0.328813559	0.2	0.12345679	0.190661479	0	0.494565217	0.266304348	0.166666667	0.178861789	0.413793103	0.2875	0.1875	0.694444444
METTL14	0.145833333	0.09375	0.015151515	0.208576998	0.109185442	0.291666667	0.608782435	0.325581395	0.43030303	0.310421286	0.678571429	0.204081633	0.678756477	0.298850575	0.004008016	0.085365854	0.383219955	0.261580381	0.379901961	0.435135135	0.338983051	0.122222222	0.067901235	0.245136187	0.010471204	0.157608696	0.5	0.733333333	0.032520325	0.436781609	0.05	0.125	0.472222222
METTL3	0.392045455	0.173611111	0.03030303	0.132553606	0.298093588	0.225925926	0.345309381	0.195736434	0.406060606	0.314855876	0.482142857	0.111317254	0.29015544	0.141762452	0.002004008	0.073170732	0.253968254	0.302452316	0.286764706	0.210810811	0.094915254	0.2	0.12962963	0.214007782	0.005235602	0.10326087	0.282608696	0.133333333	0.016260163	0.425287356	0.0125	0.041666667	0.388888889
RBMX	0.096590909	0.097222222	0.575757576	0.148148148	0.180242634	0.166666667	0.205588822	0.087209302	0.139393939	0.110864745	0.392857143	0.135435993	0.378238342	0.111111111	0.008016032	0.058943089	0.095238095	0.250681199	0.196078431	0.167567568	0.183050847	0.166666667	0.327160494	0.501945525	0.031413613	0.10326087	0.130434783	0.193333333	0.032520325	0.287356322	0.175	0.083333333	0.416666667
