	LN(+)_1	LN(-)_1	LN(+)_2	LN(-)_2	LN(+)_3	LN(-)_3	LN(+)_4	LN(-)_4	LN(+)_5	LN(-)_5
SFTPA2	0.1325381335	0.4234874665	-0.0440631335	0.0771788005	0.2385748005	0.0440631335	-0.7233565335	-0.3224527	-0.553026533	-1.2017098665
CES1	-0.91299900025	-1.19219450025	-0.60493100025	0.82444866675	2.93894000075	0.24244633375	0.11632999975	0.45004100025	-0.11632999975	-1.80337666625
NOS2	0.61057735	1.078221183	0.137322483	0.5837166835	-0.137322483	0.26354385	-0.448523317	-0.2979014835	-0.3335458165	-0.98222915
SCGB3A1	0.3589485	0.649897833	0.130392833	0.303589167	-0.130392833	2.269210167	-0.496946167	-0.2909718335	-0.3266161665	-0.9752995
MMP1	-0.0333585	-0.356269267	28.620094168	1.4439355005	-0.695500833	-0.4072816665	-1.0719078335	1.723097833	0.0333585	2.0669135
AKR1B1	-2.5134995035	5.4825164995	5.5442114995	1.6012078335	201.5581591335	-1.6012078335	-5.2901941705	-5.793069834	162.3376025	-4.5862475035
VNN2	2.3000694985	10.2911988315	-2.3000694985	11.1609568355	-7.7597651645	6.0267744985	-4.0380318315	-2.395207498	-4.678511831	4.9547681685
SLC39A2	0.593015	0.155972333	-0.363532667	-0.155972333	134.996348367	0.948004667	-0.353429667	-0.5024613335	30.3028916635	-0.929755
UGT2B15	0.1916390005	0.4825883335	-0.0369166665	0.1362796675	-0.2977023325	0.1031640005	0.0369166665	-0.406983533	-0.493925666	-1.1426089995
SUSD2	-0.2702720005	-0.2101483335	0.2204106665	-0.2101483335	0.2101483335	-0.7534860005	4.4090549995	4.419339333	2.657488333	-1.7365628335
ANPEP	-0.1185305005	1.6303604995	1.5409104995	0.0955968335	-1.0286051665	-0.4710588335	-0.388071834	1.2974324995	-0.0955968334999999	1.1019735
GALR2	0.1585153335	0.4494646665	-0.0700403335000001	0.1031560005	0.2889110005	0.0700403334999999	-0.6973793335	-0.491405	-0.527049333	-1.1757326665
GPAT2	0.42376583325	0.12863416625	-0.71029050025	-0.33459616625	2.91356950025	-0.10123116675	-1.00629660025	-0.97116166675	0.13324116725	0.10123116675
ID4	0.3589485	0.649897833	0.130392833	0.303589167	-0.130392833	0.2704735	-0.198015167	-0.1880720835	-0.3266161665	-0.470834
KISS1	0.1585153335	0.4494646665	-0.0700403335000001	0.1031560005	0.4436445005	0.0700403334999999	-0.6175698335	-0.491405	-0.527049333	-1.1757326665
LARP7	-3.1429515	-5.564335507	1.193192833	5.513822497	-1.193192833	-2.19079317	12.143887163	-1.8028051735	2.1377504935	5.78416716
ALDH3A1	0.53723283275	1.57312883275	0.08591783275	0.07058416675	-0.39899843325	0.39955649975	-0.83689516725	-0.63092083375	-0.0705841667499999	-0.58996950025
ERVMER34-1	0.0276796665000001	0.3186289995	-0.2008760005	-0.0276796665	0.0453528335000001	-0.0607953335	2.6985233325	0.7556716665	-0.657885	-1.3065683335
HBB	77.644543665	-8.979807002	18.310821328	-4.130048998	-21.470097668	6.821435335	4.130048998	35.0873566615	-25.1650543345	-20.528791002
OSGIN1	-0.0872495835	0.2036997495	0.7519314165	0.0872495834999999	-0.1556759165	0.1963254165	-0.6143592505	-0.493380917	0.602932417	-0.9019535835
GUF1	1.7426313365	1.6627306695	-2.7348610005	1.8158020035	0.4767533335	-1.5564270005	4.4109333295	-1.454642334	-4.380423333	-0.4767533335
EFCAB1	0.5335485	0.702451533	0.130392833	0.303589167	-0.130392833	0.3896235	-0.496946167	-0.2909718335	-0.3266161665	-0.9752995
METTL7B	0.111480333	0.647517999	1.342911666	-0.111480333	1.577026	0.755235666	-1.277567334	-1.0043641005	-0.9917403335	-0.810013167
ATP6V0A1	-0.4005995425	0.710196455499999	-0.662914543000001	-0.1025941255	2.1157602895	0.188243372499999	0.1025941255	-0.415603211	6.4286157895	-0.709150457500001
KLHDC9	-0.4516830415	-0.0879592084999999	-0.5071417085	0.163992959	1.771035792	0.0879592084999999	-0.330290542	-0.708277375	1.3763424585	1.795133792
GAS6	-4.2433663335	6.8536363295	-2.2034353305	0.839961003499999	2.9144790035	9.0526786665	-3.4906810005	6.486000003	-4.818347667	-0.839961003499999
HS3ST1	1.0739975	1.887666833	-0.0317415000000002	0.884104834	-0.0259971660000002	-0.637726833	2.480722833	-0.000972833499999881	0.000972833499999881	-0.6360305
FAM219A	-0.8478001665	1.1004391665	2.2232608325	-0.4324361665	2.8103351665	0.1668448335	-1.6751648335	-0.605673834	3.443765167	-0.1668448335
CD177	0.1585153335	0.4494646665	-0.0700403335000001	1.4213060005	-0.3308259995	0.0700403334999999	-0.5782438335	-0.4298485	-0.527049333	8.7187839985
KLRF1	5.4994479995	6.7345773325	-2.7037570005	2.6700453335	-2.0061933335	4.8471596665	-2.6998520005	-2.280073	-3.198574	2.0061933335
FMNL2	2.4240581665	1.9567408295	5.3764691695	-0.9443078335	0.133016833500001	-0.133016833499999	-0.155473170500001	-0.571225497	0.37842683	-1.1282898335
TGS1	0.0442375	0.335186833	0.327482833	0.6771098335	-0.445103833	-0.0442375	-0.811657167	-0.6056828335	-0.6413271665	2.3346261665
SKIL	-16.33062266475	-17.58993333525	14.37170333125	-11.13338366475	44.14334933375	-16.57734599825	35.17735431625	11.13338366475	37.17489268525	-23.09057433475
RPRM	0.3589485	0.649897833	0.130392833	0.303589167	-0.130392833	0.2704735	-0.496946167	-0.2909718335	-0.3266161665	-0.9752995
MED28	2.238201503	7.869489166	-3.2147275005	5.8705456685	9.2510170035	0.334346500000001	-1.8832831655	-1.879058832	-5.2273064965	-0.334346499999999
KRT23	-0.0480199585	-0.0349558755	0.3233755415	0.0349558755	9.3232555385	-0.0769424585	0.3233755415	-0.532125792	8.347268875	-1.7388644585
EDEM1	-1.2017818325	3.4233008305	-1.3412374995	5.0978921645	16.9360768345	2.1243764975	-3.7543098345	-6.040668836	1.2017818325	-4.128193334
SMOC1	0.5169125835	0.3298812495	-0.3350492505	-0.1025359165	-1.1147974165	0.1025359165	20.2630159195	4.71191025	-1.26581915	-0.5681340835
KPNA7	0.3589485	0.649897833	0.130392833	0.303589167	-0.130392833	0.2704735	-0.291649817	-0.2168103335	-0.1567546665	-0.9752995
NOP14	0.146141998499999	-0.146141998500001	-1.6752469985	8.7108493355	7.8017673355	-5.2261030015	0.483880661500001	-0.236478334999999	8.634844002	-2.4666393315
ATG4C	2.70608833375	2.60973599975	-2.39785200025	1.77529233375	-2.43824133275	0.142023333749999	-0.558958000250001	0.0911963332499997	-3.81257299975	-0.0911963332500001
CRH	0.0276796665000001	0.3186289995	-0.2008760005	-0.0276796665	1.5739850005	-0.0607953335	1.4375849995	-0.622240667	15.221015	-1.3065683335
C2ORF88	0.8821015	1.519684166	-1.182325834	1.379712167	-1.2164315	0.5072865	-1.094669834	0.8615378325	-1.5518278335	-0.5072865
