ENSG00000238009	RP11-34P13.7
ENSG00000279457	FO538757.2
ENSG00000228463	AP006222.2
ENSG00000237094	RP4-669L17.10
ENSG00000230021	RP5-857K21.4
ENSG00000237491	RP11-206L10.9
ENSG00000177757	FAM87B
ENSG00000225880	LINC00115
ENSG00000230368	FAM41C
ENSG00000230699	RP11-54O7.1
ENSG00000187634	SAMD11
ENSG00000188976	NOC2L
ENSG00000187961	KLHL17
ENSG00000187583	PLEKHN1
ENSG00000187642	PERM1
ENSG00000272512	RP11-54O7.17
ENSG00000188290	HES4
ENSG00000187608	ISG15
ENSG00000188157	AGRN
ENSG00000237330	RNF223
ENSG00000131591	C1orf159
ENSG00000272141	RP11-465B22.8
ENSG00000205231	TTLL10-AS1
ENSG00000162571	TTLL10
ENSG00000186891	TNFRSF18
ENSG00000186827	TNFRSF4
ENSG00000078808	SDF4
ENSG00000176022	B3GALT6
ENSG00000184163	FAM132A
ENSG00000160087	UBE2J2
ENSG00000230415	RP5-902P8.10
ENSG00000162572	SCNN1D
ENSG00000131584	ACAP3
ENSG00000169972	PUSL1
ENSG00000127054	CPSF3L
ENSG00000224051	CPTP
ENSG00000169962	TAS1R3
ENSG00000107404	DVL1
ENSG00000162576	MXRA8
ENSG00000175756	AURKAIP1
ENSG00000221978	CCNL2
ENSG00000242485	MRPL20
ENSG00000272455	RP4-758J18.13
ENSG00000235098	ANKRD65
ENSG00000225285	RP4-758J18.10
ENSG00000179403	VWA1
ENSG00000215915	ATAD3C
ENSG00000160072	ATAD3B
ENSG00000197785	ATAD3A
ENSG00000205090	TMEM240
ENSG00000160075	SSU72
ENSG00000215014	RP5-832C2.5
ENSG00000279244	AL645728.1
ENSG00000228594	C1orf233
ENSG00000272106	RP11-345P4.9
ENSG00000197530	MIB2
ENSG00000189409	MMP23B
ENSG00000248333	CDK11B
ENSG00000272004	RP11-345P4.10
ENSG00000189339	SLC35E2B
ENSG00000269737	RP11-345P4.7
ENSG00000008128	CDK11A
ENSG00000215790	SLC35E2
ENSG00000008130	NADK
ENSG00000078369	GNB1
ENSG00000231050	RP1-140A9.1
ENSG00000178821	TMEM52
ENSG00000142609	CFAP74
ENSG00000233542	RP11-547D24.1
ENSG00000187730	GABRD
ENSG00000067606	PRKCZ
ENSG00000271806	RP5-892K4.1
ENSG00000162585	FAAP20
ENSG00000234396	RP11-181G12.4
ENSG00000157933	SKI
ENSG00000116151	MORN1
ENSG00000157916	RER1
ENSG00000157911	PEX10
ENSG00000149527	PLCH2
ENSG00000157881	PANK4
ENSG00000197921	HES5
ENSG00000272449	RP3-395M20.12
ENSG00000238164	RP3-395M20.8
ENSG00000157873	TNFRSF14
ENSG00000228037	RP3-395M20.9
ENSG00000157870	FAM213B
ENSG00000142606	MMEL1
ENSG00000215912	TTC34
ENSG00000177133	LINC00982
ENSG00000142611	PRDM16
ENSG00000130762	ARHGEF16
ENSG00000162591	MEGF6
ENSG00000238260	RP11-46F15.2
ENSG00000158109	TPRG1L
ENSG00000116213	WRAP73
ENSG00000078900	TP73
ENSG00000227372	TP73-AS1
ENSG00000235169	SMIM1
ENSG00000130764	LRRC47
ENSG00000116198	CEP104
ENSG00000169598	DFFB
ENSG00000198912	C1orf174
ENSG00000236423	LINC01134
ENSG00000196581	AJAP1
ENSG00000131697	NPHP4
ENSG00000069424	KCNAB2
ENSG00000116251	RPL22
ENSG00000226944	RP1-120G22.11
ENSG00000158286	RNF207
ENSG00000116237	ICMT
ENSG00000225077	LINC00337
ENSG00000158292	GPR153
ENSG00000097021	ACOT7
ENSG00000271746	RP1-202O8.3
ENSG00000069812	HES2
ENSG00000187017	ESPN
ENSG00000215788	TNFRSF25
ENSG00000171680	PLEKHG5
ENSG00000162408	NOL9
ENSG00000204859	ZBTB48
ENSG00000162413	KLHL21
ENSG00000116273	PHF13
ENSG00000041988	THAP3
ENSG00000007923	DNAJC11
ENSG00000228750	RP11-242F24.1
ENSG00000171735	CAMTA1
ENSG00000049245	VAMP3
ENSG00000049246	PER3
ENSG00000236266	RP3-467L1.4
ENSG00000049247	UTS2
ENSG00000049249	TNFRSF9
ENSG00000116288	PARK7
ENSG00000116285	ERRFI1
ENSG00000238290	RP11-431K24.1
ENSG00000162426	SLC45A1
ENSG00000142599	RERE
ENSG00000074800	ENO1
ENSG00000230679	ENO1-AS1
ENSG00000142583	SLC2A5
ENSG00000180758	GPR157
ENSG00000228526	MIR34AHG
ENSG00000234546	RP3-510D11.2
ENSG00000049239	H6PD
ENSG00000171621	SPSB1
ENSG00000171612	SLC25A33
ENSG00000188807	TMEM201
ENSG00000171608	PIK3CD
ENSG00000231789	PIK3CD-AS2
ENSG00000171603	CLSTN1
ENSG00000178585	CTNNBIP1
ENSG00000162441	LZIC
ENSG00000173614	NMNAT1
ENSG00000162444	RBP7
ENSG00000130939	UBE4B
ENSG00000054523	KIF1B
ENSG00000142657	PGD
ENSG00000251503	APITD1-CORT
ENSG00000175279	APITD1
ENSG00000160049	DFFA
ENSG00000142655	PEX14
ENSG00000130940	CASZ1
ENSG00000120948	TARDBP
ENSG00000009724	MASP2
ENSG00000271895	RP4-635E18.8
ENSG00000116649	SRM
ENSG00000171824	EXOSC10
ENSG00000230337	RP4-635E18.6
ENSG00000198793	MTOR
ENSG00000120942	UBIAD1
ENSG00000116661	FBXO2
ENSG00000132879	FBXO44
ENSG00000116663	FBXO6
