,aDC,B cells,CD8 T cells,Cytotoxic cells,DC,Eosinophils,iDC,Macrophages,Mast cells,Neutrophils,NK CD56bright cells,NK CD56dim cells,NK cells,pDC,T cells,T helper cells,Tcm,Tem,TFH,Tgd,Th1 cells,Th17 cells,Th2 cells,TReg
aDC,1,-0.0695876121160166,0.165622380682751,0.503782104777615,0.00187173189825104,-0.14003831720212,0.414109931789835,0.184373381808813,0.0154593017127601,0.149440762091209,0.0909079041307747,0.532767405227703,-0.065213681259784,0.286211817000371,0.367179847596729,0.0840455970473669,-0.13889638909936,0.0649669199166466,-0.0655953897731867,0.46539496769249,0.177613887471228,0.107993424338108,0.484214133129809,0.14269813777566
B cells,-0.0695876121160166,1,0.293349798005413,0.373054496692037,0.70612776811744,0.498495691792267,0.4937630655515,0.64336159977892,0.64622472987373,0.598140037852913,0.278764123853385,0.224161552478467,0.541156687032222,-0.308834493662594,0.692669366876436,0.683323206096705,0.223962820666954,0.291972630625055,0.669984698361087,-0.0996612607195876,0.735323457783072,-0.0947043201124451,-0.047098096477002,0.386188838636635
CD8 T cells,0.165622380682751,0.293349798005413,1,0.551363374497991,0.364103184262284,0.252091933575989,0.273205803129596,0.261453209300161,0.107185303840011,0.380749178428602,0.251532196987067,0.257054594227858,0.402769721174033,0.133530104775103,0.3614637455723,0.233343024895741,0.0245828780289175,0.322772443062822,0.269509789822517,0.0618184373745315,0.404796446544068,-0.232899024285602,0.00863844584437108,0.524307750927727
Cytotoxic cells,0.503782104777615,0.373054496692037,0.551363374497991,1,0.41620234658031,0.0827821234256645,0.594863853600116,0.387180646224034,0.310574866886105,0.43075927198673,0.356198428410016,0.733944716081111,0.403928009341392,0.103178407349819,0.674182503383895,0.333913358318683,-0.219163752692634,0.191361351097714,0.34795316657434,0.410965385660436,0.441055178795179,0.103154739916152,0.161507359292489,0.33481122490087
DC,0.00187173189825104,0.70612776811744,0.364103184262284,0.41620234658031,1,0.549416672763734,0.662868340334095,0.703532250032433,0.573121934765593,0.654504709723842,0.282372140608274,0.170346425706956,0.51315393381361,-0.191162908394569,0.600113092975384,0.497181851736961,0.0328876408055253,0.327890208622994,0.599002735773221,-0.0903138169106915,0.721497279263421,-0.13112916731124,-0.110023403620266,0.359937426385339
Eosinophils,-0.14003831720212,0.498495691792267,0.252091933575989,0.0827821234256645,0.549416672763734,1,0.201409374442218,0.321518198442317,0.325412255729545,0.43491000525005,0.362855725728216,-0.193399604198467,0.42219853647299,-0.122473009266919,0.31178009340472,0.402016238872567,0.11718572363905,0.221944798854549,0.492962236714516,-0.349581050894948,0.530364649987439,-0.233069985666048,-0.201982621573985,0.221487909640362
iDC,0.414109931789835,0.4937630655515,0.273205803129596,0.594863853600116,0.662868340334095,0.201409374442218,1,0.721301750762599,0.560966270046452,0.517219417962286,0.267945531742905,0.562178795528132,0.325461439825468,0.0187402044637069,0.643832432202431,0.410799777151035,-0.0418518718180656,0.257437108704816,0.47757509280105,0.222784048785881,0.610144351576646,-0.00661741295256248,0.26854212520952,0.356979126145675
Macrophages,0.184373381808813,0.64336159977892,0.261453209300161,0.387180646224034,0.703532250032433,0.321518198442317,0.721301750762599,1,0.663992187142082,0.608669780726326,0.239592761359424,0.310273894902327,0.43032383569969,-0.222306943114723,0.633064737871467,0.570589156209298,0.0407782223843835,0.196211613046935,0.435704909531123,-0.0157406899207204,0.734246871340271,-0.330387691704134,0.312939603011403,0.467391564974865
Mast cells,0.0154593017127601,0.64622472987373,0.107185303840011,0.310574866886105,0.573121934765593,0.325412255729545,0.560966270046452,0.663992187142082,1,0.53009239260589,0.302515637947651,0.289038340839392,0.450399395284832,-0.244554275048896,0.591658872159938,0.48100637015963,0.144536737403478,0.111318362297103,0.575955351323028,-0.0260254533796996,0.51591886596032,0.0148731228102555,0.104585013593958,0.278625707206459
Neutrophils,0.149440762091209,0.598140037852913,0.380749178428602,0.43075927198673,0.654504709723842,0.43491000525005,0.517219417962286,0.608669780726326,0.53009239260589,1,0.305109753072409,0.254312864184691,0.484351995894316,-0.373680343506544,0.594251154592619,0.502514798997373,0.00900549929358238,0.194702389835343,0.382570615956166,-0.138942022219612,0.617590383984724,-0.309941761131406,-0.00510852866162026,0.399933133236585
