,aDC,B cells,CD8 T cells,Cytotoxic cells,DC,Eosinophils,iDC,Macrophages,Mast cells,Neutrophils,NK CD56bright cells,NK CD56dim cells,NK cells,pDC,T cells,T helper cells,Tcm,Tem,TFH,Tgd,Th1 cells,Th17 cells,Th2 cells,TReg
aDC,1,0.278442170800224,0.45062325193471,0.778747821070413,0.537748387027176,-0.00721737620468156,0.408428376817581,0.473620704480134,0.244611031038773,0.389391066397246,0.129562720358561,0.238474711653878,0.118857070442893,0.220987542813676,0.721467079326833,0.130909128065567,-0.12767070594064,0.186976763466813,0.343942521510415,0.185198347953139,0.584968731793408,-0.00153114067472676,0.185118663151245,0.581688816273092
B cells,0.278442170800224,1,0.379571595910095,0.337643884176724,0.284426205577277,0.146467915092825,0.208612018406672,0.169292759163099,0.304035906514336,0.0363330519986198,-0.0918707723102262,0.0668723525310192,-0.0946991197615786,0.167509490905204,0.550621161009533,0.253607625194265,0.163767310633867,0.203826862760046,0.573680198857135,0.178948819164212,0.183685987621066,0.0352142364243125,0.0617811154894364,0.262890720281181
CD8 T cells,0.45062325193471,0.379571595910095,1,0.577689788773976,0.269360870577582,-0.00401207913906578,0.201436942833398,0.277493015899786,0.219460833552286,0.199251261801633,0.0962041947887184,0.0935650520809938,0.0999046262059929,0.113369062505041,0.55584812204195,0.187911329588163,0.0189144092798175,0.152190602162115,0.366858760618883,0.235530851226855,0.381975835698176,-0.0669995991492385,0.0649935985365005,0.295158918216024
Cytotoxic cells,0.778747821070413,0.337643884176724,0.577689788773976,1,0.582121994889069,0.030536157355678,0.510673612238834,0.497936931284874,0.293331530491217,0.432928188809843,0.273491696929286,0.268887794545547,0.164759213272048,0.237647650729375,0.820909772185029,0.0799298718850313,-0.198528448218937,0.194177802519502,0.480917651675771,0.120533244334721,0.620133397710928,0.0774512418376401,0.1146171181815,0.563934845634281
DC,0.537748387027176,0.284426205577277,0.269360870577582,0.582121994889069,1,0.289403252239306,0.751211751834501,0.715087249275905,0.561688209269944,0.646993803758682,0.0744596256145546,0.193417241546477,0.314363403833754,0.418481407591846,0.578840624449029,-0.00910929924846254,-0.190182958959217,0.358119381907658,0.378224758427647,0.174367935705344,0.601712628595116,0.0173457600393452,-0.0725892554509477,0.64116123105952
Eosinophils,-0.00721737620468156,0.146467915092825,-0.00401207913906578,0.030536157355678,0.289403252239306,1,0.32090246162252,0.263420779686886,0.387626754929921,0.200996599852992,0.00365765846280824,-0.0445271408101355,0.167626712018189,0.139013674818465,0.10386020282745,0.0409642248041308,0.206507434002095,0.297876996023946,0.21918618558927,0.11320371185584,0.187410431459573,0.0272428488816398,-0.132955558886015,0.124580526734007
iDC,0.408428376817581,0.208612018406672,0.201436942833398,0.510673612238834,0.751211751834501,0.32090246162252,1,0.642352532607749,0.645853493388143,0.470498499747643,0.205893221201177,0.155023491233426,0.43677135328522,0.327614800384715,0.514014658186989,-0.179293272329926,-0.353012184637858,0.288163236051028,0.381490057884899,0.0322729161760851,0.432915888235022,0.0627585363356128,-0.23655218683605,0.590642094195233
Macrophages,0.473620704480134,0.169292759163099,0.277493015899786,0.497936931284874,0.715087249275905,0.263420779686886,0.642352532607749,1,0.555818827575839,0.714975370462012,-0.131203423535823,0.00118512827865704,0.324235673812689,0.349018752564915,0.48471154909806,0.236551572082535,0.0905964582571267,0.406712854001249,0.348497282099794,0.46706609504542,0.703469325605019,-0.19747679975742,0.129090855925268,0.439858191744356
Mast cells,0.244611031038773,0.304035906514336,0.219460833552286,0.293331530491217,0.561688209269944,0.387626754929921,0.645853493388143,0.555818827575839,1,0.38670211838833,0.0685105951791891,-0.0194674117781363,0.323258763249922,0.307199342155614,0.363645526106294,-0.0663303787341666,-0.104109303474756,0.289277255394161,0.318702192488483,0.214633348285788,0.366539872157013,0.00257618901876219,-0.132370092370129,0.431673144378211
Neutrophils,0.389391066397246,0.0363330519986198,0.199251261801633,0.432928188809843,0.646993803758682,0.200996599852992,0.470498499747643,0.714975370462012,0.38670211838833,1,0.0119542320834855,0.100140786922479,0.228466689337928,0.326760175828621,0.345908140403906,0.0821430549502393,0.046146663749535,0.416572225924663,0.269432696796456,0.301775735860086,0.605988069072174,0.019149545791961,0.0658326185378462,0.356207018770495
