otu,phylum,class,order,value
OTU_1,phylum_2,class_6,order_39,819.965755382553
OTU_2,phylum_1,class_23,order_70,255.626304991776
OTU_3,phylum_3,class_17,order_63,246.39555611345
OTU_4,phylum_5,class_11,order_57,910.912266679341
OTU_5,phylum_1,class_10,order_38,853.425779762678
OTU_6,phylum_1,class_10,order_42,119.180957753211
OTU_7,phylum_4,class_10,order_32,970.962596251396
OTU_8,phylum_2,class_18,order_68,353.507141845301
OTU_9,phylum_5,class_16,order_44,42.6593852448277
OTU_10,phylum_1,class_8,order_41,144.614818252157
OTU_11,phylum_5,class_25,order_42,457.791810282506
OTU_12,phylum_4,class_12,order_39,755.230033847271
OTU_13,phylum_5,class_24,order_72,489.009375196649
OTU_14,phylum_4,class_15,order_51,685.686664379667
OTU_15,phylum_1,class_20,order_56,675.020874684444
OTU_16,phylum_5,class_14,order_64,713.052709096344
OTU_17,phylum_3,class_22,order_42,523.769024738111
OTU_18,phylum_2,class_22,order_62,673.575223918306
OTU_19,phylum_1,class_17,order_36,347.726299546193
OTU_20,phylum_3,class_13,order_60,943.067015632056
OTU_21,phylum_4,class_11,order_55,111.352400367847
OTU_22,phylum_1,class_13,order_58,410.090637532296
OTU_23,phylum_3,class_24,order_43,276.671098256717
OTU_24,phylum_5,class_10,order_72,696.76709503145
OTU_25,phylum_4,class_25,order_41,881.072284176946
OTU_26,phylum_1,class_8,order_54,463.560886388645
OTU_27,phylum_1,class_27,order_58,432.840371603612
OTU_28,phylum_2,class_18,order_61,842.192254160764
OTU_29,phylum_3,class_20,order_71,975.513137771748
OTU_30,phylum_5,class_19,order_56,554.06937925308
OTU_31,phylum_3,class_15,order_39,930.129931785166
OTU_32,phylum_5,class_20,order_76,556.454680524999
OTU_33,phylum_5,class_16,order_67,72.3267706334591
OTU_34,phylum_5,class_29,order_75,999.579790186603
OTU_35,phylum_1,class_6,order_57,621.335884083994
OTU_36,phylum_4,class_19,order_31,630.558583682403
OTU_37,phylum_5,class_11,order_53,400.122118396219
OTU_38,phylum_4,class_16,order_58,317.037275481271
OTU_39,phylum_3,class_11,order_53,691.304579353891
OTU_40,phylum_4,class_27,order_58,963.852946836734
OTU_41,phylum_3,class_27,order_46,597.294412010582
OTU_42,phylum_5,class_9,order_38,845.079213789664
OTU_43,phylum_3,class_10,order_78,727.662286354695
OTU_44,phylum_1,class_21,order_63,166.288021493703
OTU_45,phylum_4,class_24,order_44,872.034734531073
OTU_46,phylum_3,class_11,order_77,347.765405983897
OTU_47,phylum_2,class_29,order_50,471.350869520102
OTU_48,phylum_5,class_27,order_45,541.824917730642
OTU_49,phylum_2,class_25,order_37,455.532088802429
OTU_50,phylum_2,class_21,order_42,858.890082024038
OTU_51,phylum_4,class_14,order_80,858.225039752666
OTU_52,phylum_3,class_12,order_31,360.292606662493
OTU_53,phylum_3,class_23,order_76,296.454701288138
OTU_54,phylum_1,class_12,order_76,215.11754809902
OTU_55,phylum_4,class_20,order_46,460.93176422664
OTU_56,phylum_3,class_27,order_52,111.563493582653
OTU_57,phylum_5,class_21,order_38,990.885838449467
OTU_58,phylum_4,class_19,order_70,655.731377326418
OTU_59,phylum_2,class_18,order_75,454.312951323111
OTU_60,phylum_2,class_20,order_59,125.215136751533
OTU_61,phylum_1,class_28,order_49,669.188360083383
OTU_62,phylum_4,class_19,order_42,359.190101634944
OTU_63,phylum_2,class_23,order_67,881.322170287604
OTU_64,phylum_5,class_16,order_75,901.725389470113
OTU_65,phylum_4,class_30,order_68,476.195365132764
OTU_66,phylum_4,class_29,order_70,928.78092587553
OTU_67,phylum_1,class_29,order_48,518.393386204494
OTU_68,phylum_2,class_15,order_60,744.0637520405
OTU_69,phylum_4,class_26,order_59,90.7143269409426
OTU_70,phylum_3,class_24,order_55,924.432630246971
OTU_71,phylum_5,class_9,order_44,153.845474789152
OTU_72,phylum_3,class_19,order_50,579.195538198575
OTU_73,phylum_4,class_19,order_48,991.316490043886
OTU_74,phylum_3,class_28,order_39,544.20041105058
OTU_75,phylum_4,class_9,order_45,208.088994609658
OTU_76,phylum_2,class_15,order_79,819.010423364816
OTU_77,phylum_2,class_6,order_71,390.132345634978
OTU_78,phylum_2,class_18,order_33,138.979296088684
OTU_79,phylum_2,class_29,order_58,674.753796571633
OTU_80,phylum_1,class_28,order_67,701.57922698441
OTU_81,phylum_1,class_21,order_46,798.605266642524
OTU_82,phylum_2,class_24,order_57,214.001574495109
OTU_83,phylum_4,class_26,order_36,685.370356707135
OTU_84,phylum_3,class_16,order_31,942.646947703324
OTU_85,phylum_3,class_10,order_42,54.1159868030809
OTU_86,phylum_4,class_13,order_47,871.975059236167
OTU_87,phylum_4,class_19,order_53,266.9732573824
OTU_88,phylum_4,class_17,order_62,680.33284584689
OTU_89,phylum_2,class_26,order_40,407.004152243026
OTU_90,phylum_4,class_15,order_75,167.716476070927
OTU_91,phylum_2,class_16,order_80,924.923028078629
OTU_92,phylum_2,class_15,order_44,473.226244513178
OTU_93,phylum_4,class_23,order_38,757.037801029626
OTU_94,phylum_2,class_9,order_73,812.285118576372
OTU_95,phylum_2,class_8,order_79,499.202784319408
OTU_96,phylum_3,class_30,order_51,454.696242979029
OTU_97,phylum_3,class_6,order_40,500.621954987524
OTU_98,phylum_1,class_26,order_44,682.877914602403
OTU_99,phylum_2,class_20,order_41,697.53601036896
OTU_100,phylum_5,class_23,order_71,793.219048862578
OTU_101,phylum_3,class_21,order_74,86.2831511292607
OTU_102,phylum_2,class_25,order_45,765.510499679483
OTU_103,phylum_4,class_14,order_41,707.134180289228
OTU_104,phylum_5,class_24,order_68,629.567813527072
OTU_105,phylum_1,class_13,order_73,264.023436101153
OTU_106,phylum_3,class_28,order_78,885.567405081587
OTU_107,phylum_5,class_16,order_47,26.5846948309336
OTU_108,phylum_5,class_16,order_78,691.195299784187
OTU_109,phylum_5,class_6,order_45,744.757457572967
OTU_110,phylum_3,class_15,order_43,996.399524250301
OTU_111,phylum_5,class_25,order_59,282.040919751627
OTU_112,phylum_5,class_27,order_68,306.339898072649
OTU_113,phylum_4,class_15,order_76,623.34117100318
