term,genes,logFC
DNA replication,MCM5,2.01082077632796
DNA replication,MCM2,1.95616237474706
DNA replication,MCM6,1.43952616479606
DNA replication,MCM4,1.42233434283868
DNA replication,FEN1,1.38561056537436
DNA replication,RFC4,1.26648546387317
DNA replication,PCNA,1.13090947270134
DNA replication,RNASEH2A,1.05899063786084
DNA replication,DNA2,1.03163057364487
DNA replication,POLE2,0.942885237902386
DNA replication,POLA2,0.923985951470291
DNA replication,MCM7,0.908939197388748
DNA replication,RFC2,0.837041105154788
DNA replication,PRIM1,0.817764699171964
DNA replication,PRIM2,0.726468238227586
DNA replication,MCM3,0.726437419139054
DNA replication,POLD1,0.723253605924336
DNA replication,RFC3,0.629957339021564
DNA replication,POLD2,0.515218615051844
DNA replication,POLE3,0.494834421581624
DNA replication,RPA3,0.463948159097742
Cell cycle,CDC45,4.51459371540294
Cell cycle,CDC20,3.67785700608222
Cell cycle,CCNB2,3.12523889932218
Cell cycle,CCNA2,2.44693353068464
Cell cycle,CDK1,2.42216462691667
Cell cycle,MAD2L1,2.41518776914574
Cell cycle,TTK,2.28817170180098
Cell cycle,CHEK1,2.23657190148115
Cell cycle,CCNB1,2.04681066073153
Cell cycle,MCM5,2.01082077632796
Cell cycle,PTTG1,2.00517449045459
Cell cycle,MCM2,1.95616237474706
Cell cycle,CDC25A,1.8900079550939
Cell cycle,CDC6,1.85726845073093
Cell cycle,PLK1,1.85434640933315
Cell cycle,BUB1B,1.80940373672263
Cell cycle,ESPL1,1.62650999376696
Cell cycle,CCNE1,1.60916031940894
Cell cycle,ORC6,1.5947372349711
Cell cycle,ORC1,1.52996553916593
Cell cycle,CCNE2,1.44972233623598
Cell cycle,MCM6,1.43952616479606
Cell cycle,MCM4,1.42233434283868
Cell cycle,DBF4,1.34573738860289
Cell cycle,SKP2,1.32663728021362
Cell cycle,CDC25B,1.24958335271795
Cell cycle,BUB1,1.18545727779091
Cell cycle,MYC,1.17108798008082
Cell cycle,PCNA,1.13090947270134
Cell cycle,E2F1,1.06776435142637
Cell cycle,CDKN2A,1.04047781891948
Cell cycle,CDC7,0.957484171388924
Cell cycle,MCM7,0.908939197388748
Cell cycle,SFN,0.814031773598932
Cell cycle,HDAC2,0.804922203958904
Cell cycle,E2F3,0.795385638897856
Cell cycle,CDKN2C,0.792429796175751
Cell cycle,PKMYT1,0.773006976849846
Cell cycle,CDC25C,0.765226418436822
Cell cycle,CDK4,0.744958937683803
Cell cycle,MCM3,0.726437419139054
Cell cycle,RAD21,0.707028277313344
Cell cycle,CHEK2,0.695134067560225
Cell cycle,TFDP1,0.684634414468209
Cell cycle,E2F5,0.66803535083932
Cell cycle,YWHAZ,0.642444524367553
p53 signaling pathway,CCNB2,3.12523889932218
p53 signaling pathway,RRM2,2.78798248037097
p53 signaling pathway,CDK1,2.42216462691667
p53 signaling pathway,CHEK1,2.23657190148115
p53 signaling pathway,CCNB1,2.04681066073153
p53 signaling pathway,GTSE1,1.79858084558316
p53 signaling pathway,CCNE1,1.60916031940894
p53 signaling pathway,CCNE2,1.44972233623598
p53 signaling pathway,SERPINB5,1.04514760494316
p53 signaling pathway,CDKN2A,1.04047781891948
p53 signaling pathway,SFN,0.814031773598932
p53 signaling pathway,CYCS,0.803935639522761
p53 signaling pathway,CDK4,0.744958937683803
p53 signaling pathway,BID,0.736200929845609
p53 signaling pathway,ADGRB1,0.696591131562125
p53 signaling pathway,CHEK2,0.695134067560225
