,TPM_BALB_notx_rep1,TPM_BALB_notx_rep2,TPM_BALB_KLA_rep1,TPM_BALB_KLA_rep2,TPM_C57_notx_rep1,TPM_C57_notx_rep2,TPM_C57_KLA_rep1,TPM_C57_KLA_rep2,TPM_NOD_notx_rep1,TPM_NOD_notx_rep2,TPM_NOD_KLA_rep1,TPM_NOD_KLA_rep2,TPM_PWK_notx_rep1,TPM_PWK_notx_rep2,TPM_PWK_KLA_rep1,TPM_PWK_KLA_rep2,TPM_SPRET_notx_rep1,TPM_SPRET_notx_rep2,TPM_SPRET_KLA_rep1,TPM_SPRET_KLA_rep2
NR_003513,338.33,197.646,227.454,125.928,272.487,194.629,133.544,109.043,287.291,315.604,183.351,258.395,343.774,178.243,171.634,74.907,194.71,117.791,162.228,103.868
NM_001042408,183.215,185.957,170.894,163.125,175.554,174.455,155.767,147.745,175.578,184.103,167.469,181.953,187.222,181.327,160.389,176.384,166.207,154.207,155.511,125.836
NM_012000,132.605,147.425,114.389,144.701,141.599,159.84,109.693,132.255,121.117,115.191,98.884,95.976,132.641,140.169,111.434,120.945,86.899,85.662,55.185,60.335
NR_015476,166.888,116.054,125.83,107.697,124.133,110.92,98.595,80.612,114.627,169.844,102.926,130.851,125.813,112.565,91.741,90.875,95.201,71.324,61.144,43.259
NM_001077529,129.202,111.077,108.904,107.51,128.559,104.143,110.832,92.559,108.053,130.716,96.593,116.423,127.688,137.38,91.351,113.743,99.184,67.906,93.536,57.821
NM_026938,155.288,117.156,103.413,100.882,109.248,94.71,100.1,67.788,117.187,149.152,95.016,120.213,125.307,107.346,88.344,91.395,93.483,82.791,84.345,67.477
NM_022417,121.234,124.018,97.569,107.809,105.502,97.923,90.528,82.02,123.154,121.914,97.479,102.689,128.025,120.638,98.557,96.908,78.194,86.846,62.189,68.044
NM_001177352,82.494,91.428,221.538,231.248,89.661,113.255,232.541,255.678,74.197,71.3,192.062,228.81,52.848,56.597,127.8,124.266,148.762,154.38,426.339,363.265
NM_015747,71.509,69.699,90.89,99.737,85.258,89.717,95.382,112.154,85.219,75.702,119.722,104.022,93.433,91.832,104.41,119.361,64.192,67.988,93.96,167.536
NM_153526,86.153,93.082,152.297,199.055,75.076,67.147,117.254,126.419,138.447,122.493,168.516,172.093,64.649,64.867,95.603,106.966,137.961,175.85,213.526,324.449
NM_012051,56.458,62.188,123.815,117.304,62.155,70,142.747,133.464,86.595,78.783,113.434,138.059,59.668,61.673,109.046,76.874,130.704,93.276,311.499,237.438
NM_133346,66.406,59.35,49.117,42.247,62.874,56.595,48.447,33.539,56.333,54.987,42.113,56.506,64.368,52.88,44.685,39.942,44.933,37.404,40.211,26.157
NM_008551,37.1,43.198,60.59,59.291,45.524,49.208,79.039,74.833,71.257,63.545,93.749,85.917,52.902,58.176,69.266,65.754,120.038,111.524,192.209,153.366
NM_007707,34.874,34.452,2083.461,1162.032,37.922,47.395,2685.97,1564.662,100.228,74.446,1515.346,1718.361,34.145,53.222,883.617,376.922,196.4,201.554,5202.096,4608.438
NR_028053,42.602,41.77,27.293,27.921,26.339,22.568,12.484,12.433,29.604,36.693,17.637,19.187,32.908,31.012,22.258,21.557,21.392,22.423,14.717,14.286
NM_025926,17.871,19.687,39.253,51.217,18.398,20.291,35.577,51.252,17.024,18.318,31.498,24.186,21.475,23.48,51.438,45.82,44.185,26.912,122.312,92.968
NM_145459,18.32,12.481,8.578,8.054,16.973,14.436,8.961,5.982,31.569,29.745,10.886,14.732,40.82,30.652,24.183,18.769,26.754,19.055,195.111,142.118
NR_132308,12.484,14.484,12.009,13.748,11.316,13.205,14.016,14.152,8.543,8.957,8.068,7.825,16.546,15.592,20.531,15.289,20.844,24.513,69.835,62.999
NM_027514,12.307,12.593,41.414,36.117,10.565,11.65,44.537,40.029,8.03,7.503,24.944,24.647,7.443,10.287,36.995,20.77,15.354,10.558,113.279,96.09
NM_021451,5.968,9.696,11.865,14.889,8.29,12.076,12.326,22.245,17.132,15.075,20.944,23.662,17.7,20.275,21.058,20.34,43.72,28.696,118.072,107.944
NM_146085,11.605,11.531,9.915,6.248,9.871,9.135,10.931,8.787,15.184,14.233,24.787,28.225,14.617,11.559,13.72,9.865,23.962,23.658,44.916,46.409
NM_172833,15.018,18.884,44.557,44.633,8.105,9.102,24.709,25.954,5.472,4.794,26.847,22.996,27.477,29.21,45.272,36.176,47.464,39.686,86.228,80.149
NM_145968,5.537,8.376,25.52,20.2,8.047,7.811,23.006,14.446,6.926,6.733,9.606,10.414,10.2,8.605,16.46,8.881,8.903,12.264,30.541,50.777
NM_008176,10.218,8.54,5509.465,3326.696,6.65,9.119,1600.143,1238.071,38.079,21.623,4067.432,3371.054,8.925,43.991,2014.416,1725.079,95.247,137.33,9632.52,8244.146
NM_010444,6.574,4.688,21.073,18.68,5.736,7.368,20.301,25.463,4.135,4.522,11.056,16.08,12.249,5.893,25.369,10.187,11.55,6.003,35.026,54.006
NM_010215,5.217,3.663,17.328,3.781,5.209,6.405,17.898,5.274,3.635,1.656,5.059,7.774,4.538,6.731,7.842,4.207,11.191,9.911,61.747,18.072
NM_025499,6.416,11.348,10.627,24.737,4.193,5.926,9.941,29.457,5.255,2.299,9.238,11.034,6.938,10.948,21.952,38.181,14.934,13.373,73.775,91.289
NM_011636,6.127,5.87,12.806,14.957,4.599,5.394,12.89,14.95,8.326,9.642,14.369,11.285,6.296,6.325,12.356,9.05,10.072,14.153,30.199,38.529
NM_029423,3.67,3.809,13.854,15.084,3.855,4.449,17.26,18.87,5.153,4.509,24.26,21.999,8.782,13.236,23.089,25.697,29.159,34.892,74.453,79.505
NM_030701,2.455,6.687,69.109,17.818,1.259,6.448,29.994,26.598,103.441,110.049,150.306,111.647,38.237,46.794,192.115,114.29,102.115,139.855,232.37,360.576
NR_045840,2.548,2.35,6.364,8.695,2.273,3.03,9.789,9.499,4.231,2.865,11.335,14.104,4.809,8.046,14.257,14.784,14.687,17.826,42.963,45.083
NM_009871,1.084,1.145,6.425,1.891,2.051,1.012,12.575,8.865,3.645,2.536,4.951,11.209,1.346,1.323,2.437,2.596,7.533,4.116,61.342,37.284
NM_001310039,0.459,0.908,3.225,7.875,0.847,1.341,7.964,9.059,0.3,0,5.15,3.33,4.158,4.564,21.677,8.561,12.055,10.467,121.62,101.356
NM_010554,0.461,2.283,73.937,111.796,0.6,1.18,58.227,79.416,0.132,0,38.566,18.347,0.805,3.809,60.709,93.998,7.247,23.743,422.021,904.958
NR_040371,0.514,2.376,71.077,106.774,0.577,1.2,56.556,76.588,0.131,0,37.184,17.265,0.831,3.593,58.699,89.795,7.269,22.974,405.625,861.401
