,TPM_BALB_notx_rep1,TPM_BALB_notx_rep2,TPM_BALB_KLA_rep1,TPM_BALB_KLA_rep2,TPM_C57_notx_rep1,TPM_C57_notx_rep2,TPM_C57_KLA_rep1,TPM_C57_KLA_rep2,TPM_NOD_notx_rep1,TPM_NOD_notx_rep2,TPM_NOD_KLA_rep1,TPM_NOD_KLA_rep2,TPM_PWK_notx_rep1,TPM_PWK_notx_rep2,TPM_PWK_KLA_rep1,TPM_PWK_KLA_rep2,TPM_SPRET_notx_rep1,TPM_SPRET_notx_rep2,TPM_SPRET_KLA_rep1,TPM_SPRET_KLA_rep2
NM_011311,3684.167,2286.512,3162.015,1854.966,3870.511,3502.947,3194.719,3257.762,3373.151,4556.629,2891.494,3232.287,2476.734,1382.228,2023.34,1260.4,3399.714,2719.936,3111.515,2552.611
NM_011655,2396.677,2118.884,2000.885,1848.601,3269.817,2703.953,2703.935,2301.552,2645.584,2807.515,2288.681,2437.69,1031.688,550.677,816.666,464.47,2155.472,2145.776,1739.819,1780.596
NM_001267808,2002.419,1906.353,1684.282,1730.637,2448.148,2094.925,2401.025,1986.529,2615.726,3044.592,2542.526,3005.066,1075.121,1517.305,861.568,1385.192,892.194,880.703,965.183,864.49
NM_018853,2835.085,1706.388,2271.882,1418.954,2672.504,1813.57,2300.8,1787.813,2312.407,3101.37,1964.943,2753.697,1680.153,917.116,1151.784,927.775,2544.41,1617.233,2274.509,1458.799
NM_021273,971.281,761.372,758.419,633.267,826.815,661.737,679.156,588.189,857.976,755.071,724.31,703.172,832.023,349.661,604.428,341.073,1037.231,569.531,916.928,454.845
NM_010312,639.937,600.729,570.764,543.245,739.761,674.926,706.778,591.253,684.682,735.288,608.924,692.265,593.963,515.745,485.883,448.623,780.939,738.802,661.871,624.254
NM_033444,482.835,401.791,427.394,342.485,549.895,476.254,464.585,432.054,433.944,537.833,386.981,435.76,356.649,278.037,278.904,251.292,532.148,466.416,438.592,416.545
NM_010448,448.539,374.88,408.153,359.817,553.319,408.586,546.732,424.614,530.904,634.064,542.467,590.624,358.012,339.472,311.904,328.06,575.461,377.064,527.47,374.176
NM_146116,381.429,243.881,289.746,226.91,542.993,345.405,422.345,303.811,374.099,388.526,291.932,318.377,134.9,105.981,104.595,83.782,360.681,268.266,281.536,240.986
NM_009795,385.166,390.726,356.179,375.228,432.217,441.787,374.844,395.886,403.748,426.221,340.05,378.198,357.4,343.348,290.318,300.369,395.793,422.04,313.141,364.188
NM_007631,286.412,237.67,199.668,173.037,482.998,344.001,371.058,301.72,482.991,485.211,409.258,361.1,131.164,44.606,107.81,39.286,248.269,156.377,203.788,129.57
NM_007450,333.165,366.835,277.442,289.723,343.78,331.579,292.488,287.926,340.848,378.481,295.343,337.974,232.531,203.727,178.531,175.655,307.452,287.404,260.677,230.933
NM_010161,243.548,202.362,214.941,180.848,303.829,321.039,252.548,298.826,400.526,406.584,322.926,318.481,207.094,141.491,187.796,138.441,151.115,141.23,110.188,120.73
NM_025313,267.376,280.446,217.354,235.613,311.998,302.557,281.477,265.629,300.22,313.37,250.496,280.469,287.356,258.661,229.09,208.434,333.306,319.772,278.444,271.48
NM_026211,240.481,234.686,209.988,191.644,272.914,251.037,229.678,214.561,253.208,262.465,221.78,236.179,218.965,210.847,146.246,194.068,229.488,217.584,203.265,179.014
NM_025849,275.185,251.303,222.248,227.419,263.805,258.577,213.273,193.438,314.425,326.192,241.512,233.117,195.864,165.817,126.218,129.261,243.674,222.572,200.51,203.367
NM_001286542,209.395,230.513,161.821,188.636,263.41,241.372,205.33,194.192,247.499,259.701,218.814,199.552,143.159,171.556,110.414,147.547,212.48,197.16,167.527,160.04
NM_001170486,218.373,215.405,182.21,188.278,256.393,241.955,215.532,209.963,259.573,280.358,230.315,254.124,226.316,196.775,192.596,180.163,218.912,227.182,202.64,189.861
NM_023258,153.116,117.626,125.036,104.764,271.198,226.544,196.652,200.538,216.331,260.607,165.543,213.304,209.265,145.762,146.429,116.165,238.574,194.296,206.802,178.01
NM_053162,175.46,215.268,164.225,191.334,233.967,253.668,190.076,186.353,228.503,246.279,180.48,183.514,191.722,189.458,117.643,137.416,204.298,169.06,168.933,134.389
NM_025954,218.013,182.228,135.802,160.472,267.422,216.317,204.197,156.395,237.779,272.047,235.807,300.16,187.321,141.426,101.343,119.003,222.004,226.833,186.723,159.684
NM_020024,246.259,187.593,192.574,162.679,263.817,210.121,249.834,190.9,253.2,261.353,233.402,246.711,230.199,224.42,159.303,211.105,205.947,190.199,164.565,142.284
NM_010071,218.865,182.77,160.63,144.268,238.058,217.319,204.856,204.034,225.065,296.387,189.933,233.047,49.032,19.365,32.666,18.143,176.502,169.359,153.57,149.933
NM_008948,207.16,169.625,180.728,137.271,262.417,190.133,227.244,166.574,199.268,220.965,177.822,202.417,164.105,142.821,133.965,138.981,221.04,143.469,194.977,138.111
NM_146184,191.367,169.575,127.473,110.185,233.132,196.225,154.256,142.429,136.496,146.87,87.083,95.886,45.094,22.043,28.39,17.774,136.92,193.43,81.876,103.184
NM_009279,245.582,185.059,212.436,168.579,229.868,199.339,184.17,177.072,195.836,262.942,187.821,203.756,173.051,212.529,140.81,183.051,177.246,160.321,165.563,163.19
NM_026914,239.965,233.561,200.187,197.876,219.2,206.857,173.326,182.413,217.028,262.178,211.124,222.998,173.161,167.99,127.163,143.443,188.629,180.338,177.554,152.081
NM_026559,221.918,209.519,196.475,161.682,218.145,200.095,179.321,178.255,217.1,233.345,183.857,173.207,168.222,170.394,144.154,148.999,213.793,197.606,183.628,148.294
NM_019419,174.442,161.265,143.778,142.896,215.905,196.619,178.904,168.915,170.931,200.33,129.843,165.632,145.074,146.906,118.363,124.99,154.251,154.317,130.238,137.751
NM_025366,224.462,158.651,181.815,134.845,224.117,185.043,189.423,174.718,214.514,286.021,157.564,179.408,156.94,171.43,127.803,139.902,190.779,120.486,168.513,137.512
NM_026785,136.782,93.303,129.965,76.55,255.007,152.922,223.435,140.06,112.386,172.276,96.36,172.489,66.781,26.071,61.656,20.507,148.696,104.94,124.594,89.315
NM_013686,144.946,169.286,148.7,148.39,192.479,201.013,178.524,184.625,183.669,187.328,174.671,166.189,143.611,175.093,148.249,163.547,160.527,137.975,164.374,125.713
NM_010070,253.932,183.152,148.455,123.876,216.348,172.618,126.289,114.936,240.382,274.115,133.426,175.823,161.028,108.796,79.857,70.034,226.587,169.878,154.413,113.16
NM_001283013,158.135,151.011,153.01,153.89,207.521,173.341,200.325,172.09,178.512,165.584,171.354,162.101,149.608,139.854,129.864,131.503,174.03,141.969,151.326,127.742
NM_011654,175.873,134.721,137.375,125.931,235.775,143.86,189.203,135.809,209.176,262.673,159.868,202.999,116.92,57.772,79.306,41.208,149.09,196.151,214.328,162.827
NM_130884,149.053,164.139,130.145,150.35,173.894,203.677,142.714,154.495,179.493,163.972,154.499,145.4,130.237,128.08,111.997,111.263,157.387,154.186,145.272,130.327
NM_009259,201.241,107.432,155.781,87.408,223.401,149.149,196.356,137.045,195.008,216.17,178.702,193.84,137.516,82.976,121.132,70.875,48.071,40.292,36.319,32.373
NM_001271615,165.762,138.796,129.242,110.547,210.686,154.223,170.814,130.915,179.034,210.429,148.616,168.686,84.126,48.579,59.872,37.206,131.718,82.268,101.771,61.811
NM_011568,145.756,104.184,133.06,92.879,211.116,152.141,211.678,144.446,142.309,201.547,136.975,162.285,88.259,59.98,66.359,60.064,204.846,126.866,178.622,110.193
NM_029711,166.235,152.855,152.787,128.036,184.244,173.716,168.821,155.735,162.31,154.333,144.269,145.561,124.365,104.179,107.443,95.905,183.666,167.402,155.768,139.929
NM_026744,184.795,186.623,148.709,136.911,193.205,159.706,149.82,155.977,169.509,212.644,173.833,137.652,158.662,157.254,99.493,124.894,191.706,155.578,189.147,150.189
NM_008098,162.924,197.138,173.326,202.148,150.376,188.242,154.831,188,165.352,148.149,181.382,144.922,212.928,224.393,210.321,219.799,191.71,196.085,189.147,202.714
NM_012002,144.209,134.216,127.948,122.009,180.624,157.974,140.436,134.998,163.449,187.589,145.762,154.654,138.021,156.167,111.758,140.127,149.737,135.748,135.377,116.524
NM_026404,140.772,160.113,119.354,144.715,169.267,163.473,151.309,154.057,175.922,186.595,161.631,172.92,116.276,112.815,106.242,99.395,169.669,145.88,151.313,136.711
NM_027289,112.829,95.69,93.665,89.534,177.993,149.916,156.13,133.033,187.242,183.736,164.869,153.731,101.682,50.713,70.932,42.253,37.843,32.347,32.171,24.334
NM_009104,145.384,133.107,138.078,110.738,178.331,147.771,162.517,134.631,151.764,185.039,139.531,182.746,47.27,13.034,47.383,14.238,199.328,171.104,169.156,163.291
NM_001163510,149.515,125.736,131.938,100.785,172.398,153.204,158.97,132.854,129.984,134.742,104.112,121.293,60.451,39.904,44.951,32.072,171.414,154.582,154.897,127.312
NM_007457,174.135,130.359,149.814,120.704,171.055,141.338,154.839,125.341,155.424,182.564,133.9,140.322,124.867,111.509,96.693,95.511,170.719,123.383,152.171,104.939
NM_025521,161.46,163.791,114.158,125.022,162.193,149.862,126.019,112.356,159.451,201.812,121.786,139.34,102.356,107.317,66.148,66.79,125.5,102.769,96.255,79.646
NM_146023,119.626,111.635,100.844,92.662,152.471,158.206,122.116,141.068,180.234,183.025,147.526,149.699,88.38,61.013,80.273,58.787,94.118,87.604,69.37,77.85
NM_024226,114.7,111.536,135.129,121.513,148.531,160.958,155.631,173.337,157.961,161.571,161.06,146.523,59.921,66.661,56.009,62.262,104.35,98.828,97.139,85.659
NM_001002004,123.581,140.636,101.238,120.559,147.957,155.7,121.672,131.879,175.967,165.886,151.217,149.843,101.598,74.94,91.433,67.727,139.664,138.972,119.076,116.297
NM_009087,117.026,117.95,121.769,109.463,157.219,145.344,135.374,123.331,125.919,168.694,139.738,137.719,115.702,124.617,97.937,112.124,144.335,132.808,138.043,113.073
NM_028274,144.215,118.29,107.798,76.297,182.005,113.403,144.584,79.443,128.152,159.366,117.189,125.391,116.777,90.078,58.833,62.578,169.153,98.317,140.07,70.504
NM_024456,137.722,119.911,125.511,103.705,159.111,133.875,137.618,120.436,150.375,169.295,128.707,144.117,108.767,94.121,89.113,84.049,127.684,113.37,105.787,100.212
NM_024227,125.189,106.309,106.187,104.584,145.271,141.22,110.807,95.368,149.705,161.316,116.111,146.398,94.92,79.354,72.476,67.907,122.565,112.723,103.362,96.874
NM_144509,172.247,131.78,119.337,95.475,164.571,111.157,142.442,103.94,145.007,189.441,109.583,133.957,110.459,89.543,86.576,76.655,197.014,128.418,160.169,110.105
NM_016906,128.13,144.311,115.723,127.647,134.585,140.811,123.462,127.084,143.489,130.015,123.039,125.864,112.255,129.168,99.555,109.374,139.986,144.481,124.924,126.829
NM_007636,111.568,123.404,104.196,106.279,137.745,134.617,124.201,123.473,128.004,135.784,124.351,125.026,103.53,111.699,98.044,104.961,114.575,105.693,108.21,93.915
NM_001077496,103.12,105.899,82.97,82.737,134.081,136.645,103.803,117.186,141.595,143.885,117.736,123.16,65.741,45.847,59.729,43.43,97.072,90.155,71.911,81.716
NM_027206,105.378,94.791,61.335,70.53,134.583,134.074,66.916,83.782,127.82,145.064,85.221,108.04,113.657,68.086,63.147,47.245,100.557,120.268,72.416,81.363
NM_130863,122.732,107.071,100.7,97.419,138.766,125.691,131.943,117.503,139.625,144.627,131.719,137.453,105.414,89.551,91.885,86.945,97.674,92.112,91.913,84.307
NM_133655,84.752,55.639,71.65,45.942,133.546,125.437,112.655,111.523,107.709,118.683,99.594,112.185,38.115,39.422,32.948,33.158,28.911,50.233,25.685,39.615
NM_173180,108.243,110.788,98.93,95.25,122.088,123.561,103.728,109.16,117.681,121.572,115.057,115.71,89.599,95.555,81.034,88.035,124.408,114.7,111.238,104.029
NM_001185182,109.469,96.147,92.64,64.956,124.497,112.535,113.097,83.08,107.93,126.468,86.401,124.79,85.152,101.896,79.523,90.957,96.826,73.574,90.199,53.692
NM_025823,105.4,118.566,77.344,82.521,121.843,114.364,90.632,82.089,96.952,89.904,79.173,81.282,82.34,65.84,55.997,43.592,106.065,117.717,80.142,85.606
NM_009739,107.498,91.928,92.518,86.04,121.514,111.299,100.935,92.367,114.134,118.929,91.929,98.007,92.663,90.408,74.181,73.627,93.851,89.787,75.927,77.633
NM_144522,97.797,94.931,67.938,79.584,118.888,111.47,101.998,89.54,120.53,117.669,103.104,104.48,99.71,97.66,76.243,76.689,98.175,101.75,75.653,78.471
NM_198613,101.909,107.046,79.644,82.356,109.575,116.467,99.108,97.052,123.73,132.555,113.088,121.664,85.083,66.64,63.423,60.844,94.753,94.71,76.388,77.351
NM_030240,85.64,81.739,59.683,67.706,120.526,99.84,87.079,80.119,90.458,112.596,64.866,100.67,84.32,65.51,51.649,54.264,110.737,86.906,85.56,75.453
NM_025486,101.889,84.556,83.889,83.421,106.55,110.637,90.258,84.869,105.766,140.139,107.273,91.355,70.626,98.705,61.11,78.422,98.698,89.045,87.479,84.436
NM_153775,78.671,71.58,71.053,65.29,120.677,96.077,106.823,87.205,116.856,108.402,117.788,99.774,63.747,65.11,55.916,56.852,75.082,60.837,71.75,49.45
NM_010886,134.49,106.282,120.413,95.7,120.559,95.803,94.64,83.867,105.514,134.874,90.366,94.863,63.17,47.598,50.92,40.547,143.776,99.07,121.087,97.125
