,TPM_BALB_notx_rep1,TPM_BALB_notx_rep2,TPM_BALB_KLA_rep1,TPM_BALB_KLA_rep2,TPM_C57_notx_rep1,TPM_C57_notx_rep2,TPM_C57_KLA_rep1,TPM_C57_KLA_rep2,TPM_NOD_notx_rep1,TPM_NOD_notx_rep2,TPM_NOD_KLA_rep1,TPM_NOD_KLA_rep2,TPM_PWK_notx_rep1,TPM_PWK_notx_rep2,TPM_PWK_KLA_rep1,TPM_PWK_KLA_rep2,TPM_SPRET_notx_rep1,TPM_SPRET_notx_rep2,TPM_SPRET_KLA_rep1,TPM_SPRET_KLA_rep2
NR_110993,7458.778,8444.73,6872.152,7917.065,6515.756,7338.195,5780.436,6316.337,4778.432,3729.823,4334.38,3501.189,8291.813,9621.669,7418.564,8506.376,6761.371,8168.387,5241.766,7240.822
NM_001146124,4900.107,6967.937,4214.61,6072.096,4482.474,5468.329,3735.749,4388.588,2263.879,1627.049,1978.694,1598.856,6675.781,7201.275,5745.76,6115.854,4247.325,5814.466,3688.963,4684.352
NM_001177307,3223.49,3534.762,2711.465,2818.062,3026.398,3945.403,2658.532,3455.154,2294.658,2211.834,2099.738,2078.334,3564.689,3968.256,2966.049,3481.191,3144.378,4479.468,2805.035,3539.027
NM_008906,2110.808,2448.669,1890.911,2140.938,1325.936,1503.321,1133.481,1268.233,1370.685,1147.074,1212.807,1101.042,2026.695,2006.961,1752.634,1723.914,1502.414,1704.878,1206.327,1428.767
NM_001014836,1671.897,1761.84,1069.667,1232.086,1350.924,1121.66,856.276,781.351,839.46,900.556,555.599,673.348,1927.676,1403.108,1265.224,968.686,885.531,777.543,607.462,522.315
NM_008143,1193.065,1109.286,1048.924,978.826,1242.963,1221.254,1051.812,1052.466,1063.871,1186.665,930.243,983.349,1335.01,1354.618,1057.572,1173.523,1135.606,1224.307,1044.339,1073.359
NM_019749,1084.999,1233.471,1032.16,1074.725,1014.768,1226.333,909.83,1041.089,831.796,784.572,725.441,637.853,980.357,1177.689,835.553,993.873,981.818,1224.918,767.529,1060.594
NM_001172101,1321.819,1133.733,1134.679,999.416,1039.802,984.236,843.209,848.759,632.43,620.175,510.127,543.468,1157.577,1183.664,911.33,1038.893,1098.314,936.346,965.155,862.722
NM_001310726,1163.775,749.909,1000.776,638.082,1145.916,793.66,979.497,673.233,746.538,859.366,672.715,626.074,1396.889,858.886,1132.531,793.751,1022.007,653.46,920.125,543.112
NM_018860,858.744,648.472,721.266,545.614,793.325,699.465,674.713,587.607,468.535,608.662,456.218,513.385,1275.797,645.403,908.914,590.08,867.271,355.271,720.575,278.516
