gene	nominal.p.value	adjusted.p.value
ALKBH5	0.54944703656989	0.595234289617381
YTHDF2	2.69157762175106e-17	1.74952545413819e-16
YTHDF1	0.000582278897720931	0.000841069518930233
WTAP	1.29335099076988e-11	4.20339072000211e-11
HNRNPC	0.732061446310019	0.732061446310019
KIAA1429	7.31729434709257e-06	1.18906033140254e-05
RBM15	0.00901078809580625	0.0117140245245481
YTHDC2	2.01263833938439e-10	5.23285968239942e-10
METTL14	3.52788893412341e-07	6.55179373480063e-07
METTL3	1.00372850390583e-08	2.17474509179597e-08
YTHDC1	1.79090859585331e-12	7.76060391536436e-12
ZC3H13	0.0145867219519706	0.0172388532159652
FTO	3.17035623880481e-20	4.12146311044625e-19
