,TPM_BALB_notx_rep1,TPM_BALB_notx_rep2,TPM_BALB_KLA_rep1,TPM_BALB_KLA_rep2,TPM_C57_notx_rep1,TPM_C57_notx_rep2,TPM_C57_KLA_rep1,TPM_C57_KLA_rep2,TPM_NOD_notx_rep1,TPM_NOD_notx_rep2,TPM_NOD_KLA_rep1,TPM_NOD_KLA_rep2,TPM_PWK_notx_rep1,TPM_PWK_notx_rep2,TPM_PWK_KLA_rep1,TPM_PWK_KLA_rep2,TPM_SPRET_notx_rep1,TPM_SPRET_notx_rep2,TPM_SPRET_KLA_rep1,TPM_SPRET_KLA_rep2
NM_007393,9679.471,8695.588,8977.449,8016.248,11655.336,10446.086,10977.044,9496.427,19388.608,17261.609,17579.981,16738.774,10449.326,7014.896,10420.657,7105.237,12682.475,11865.027,11276.972,10033.205
NM_017372,11088.079,10541.113,9827.576,9485.17,8062.96,9063.045,6708.213,7604.788,31073.087,30558.663,26071.233,25208.023,2647.076,2295.951,2172.992,2076.417,6253.887,11811.606,5351.482,10422.595
NM_021278,8976.383,5154.037,8339.677,4604.613,10002.415,6330.707,8813.137,6147.731,13503.457,17894.955,11680.977,14323.658,4725.131,2722.223,3747.145,2633.417,6867.52,6298.906,6838.387,5892.991
NM_010380,2957.906,3062.974,2655.924,2836.524,3170.596,2999.189,3050.017,2841.894,3684.502,4252.644,3522.486,4127.176,2337.28,3249.429,1980.821,2898.069,1625.841,1730.544,1633.141,1624.888
NM_011072,2221.12,2325.926,2106.219,2146.202,2691.689,2777.209,2578.612,2464.63,3362.1,3190.197,3084.582,3167.712,2261.141,2023.178,1919.234,1836.455,2664.242,2495.02,2164.798,2070.919
NM_001204233,2233.723,1560.089,2452.081,1670.18,2726.172,2427.353,3075.331,2734.567,10983.933,13138.82,11363.339,12361.257,1824.436,1345.005,1864.137,1237.957,1059.432,773.591,1115.133,758.512
NM_001039392,1821.788,1994.896,1552.839,1634.539,1585.995,2018.87,1462.153,1864.937,971.707,1140.539,788.857,888.121,1975.833,1505.523,1536.337,1330.394,2211.231,1982.491,1686.949,1710.283
NM_012037,2106.064,2372.077,1777.472,2133.945,1479.742,1651.478,1327.132,1466.819,952.913,780.653,764.117,689.742,1923.184,2284.837,1592.063,1962.472,2325.486,2534.572,1973.415,2144.888
NM_025378,1364.008,832.337,1264.836,716.904,1610.899,1409.416,1435.187,1337.489,5777.675,5671.124,4935.742,5245.285,227.485,284.731,205.271,279.371,71.617,40.984,69.084,34.098
NM_007591,1613.195,1670.67,1430.876,1549.126,1481.63,1304.555,1327.634,1118.931,2347.967,2144.806,2197.853,1971.931,1322.043,1087.946,1193.945,1013.645,2263.732,1790.566,1930.655,1607.386
NM_001163434,1453.17,1349.852,1569.179,1570.083,1439.701,1198.296,1599.189,1548.296,2417.905,2275.908,2429.609,2081.941,1155.912,979.735,1261.359,1187.536,1586.456,1062.187,1594.083,1295.837
NM_008605,1533.235,1981.93,1747.466,2063.363,988.46,1320.182,1027.628,1438.504,255.415,185.84,292.023,178.345,2088.094,1216.615,2121.666,1249.066,1028.731,1187.53,935.157,1049.174
NR_046233,2399.83,1078.547,1021.83,846.952,1594.29,618.902,1218.943,684.969,4144.254,4361.814,4353.045,4827.393,1120.266,712.332,903.261,822.096,940.668,671.753,1267.393,528.75
NM_007483,922.27,982.83,709.058,1142.613,788.654,733.27,1014.426,886.71,465.682,464.886,453.681,503.805,759.142,569.398,1337.624,1181,618.619,753.148,1308.439,1590.541
NM_009643,806.686,1022.405,843.439,924.977,607.801,895.193,660.71,903.507,451.251,385.713,427.6,419.679,703.432,659.371,907.88,612.558,562.327,775.976,694.886,723.237
NM_001290421,688.254,648.641,630.275,582.312,738.834,705.494,680.524,694.253,911.426,744.48,887.232,713.223,660.269,610.204,668.712,560.773,804.523,807.381,760.201,689.033
NM_001291066,418.832,398.655,333.624,322.299,747.255,676.274,615.15,599.438,1244.886,1051.94,1108.222,977.626,207.475,66.129,167.958,59.831,147.321,117.157,115.158,83.259
NM_009779,535.553,722.637,552.434,676.695,605.996,789.63,594.317,735.706,1129.874,968.942,1059.65,956.714,275.134,118.944,281.516,115.646,109.123,206.402,105.33,192.179
NM_001301374,713.253,428.623,594.694,364.029,731.324,552.612,632.166,520.475,1052.741,1135.489,1005.78,1034.481,658.185,344.71,540.955,331.631,499.271,388.373,454.167,338.144
NM_015786,874.268,801.4,695.858,940.999,648.483,619.954,623.302,669.919,136.18,242.014,123.029,211.828,860.62,560.895,819.078,747.775,383.562,799.952,305.914,716.922
NM_009841,1218.837,674.883,3714.713,2077.058,697.34,556.225,3138.142,2403.297,9217.208,9709.972,12891.342,12283.956,1851.717,1657.914,4845.844,2895.229,1103.622,1497.908,3983.953,3996.164
NM_008486,668.047,915.514,605.985,822.435,491.542,637.448,428.047,551.278,318.734,194.587,294.991,206.018,779.542,714.392,732.087,641.685,784.122,918.947,698.838,780.317
NM_011338,299.928,268.371,713.364,535.428,546.795,575.433,1041.146,1094.278,1728.048,1702.107,2445.469,2219.062,86.881,48.1,186.955,89.463,57.724,82.554,85.837,92.965
NM_001040131,403.79,432.67,416.045,433.97,550.847,507.492,528.798,492.345,670.802,691.709,680.449,632.324,396.955,534.964,408.472,559.415,642.784,477.333,614.29,491.524
NM_001164040,401.164,295.418,351.7,272.529,533.214,467.579,447.579,404.148,2178.029,2180.074,1874.882,2065.91,301.987,340.211,245.209,299.208,124.08,171.344,101.063,148.217
NM_030685,422.181,471.287,370.013,408.622,442.336,543.849,412.877,458.947,892.729,1011.535,816.403,904.712,374.63,465.123,314.99,396.248,439.792,401.409,358.411,354.803
NM_001025577,203.202,281.187,138.265,201.869,425.706,483.559,305.154,404.265,910.904,928.334,684.987,760.376,67.135,44.796,54.272,36.972,103.307,262.872,73.362,177.042
NM_001281472,439.39,389.083,399.269,307.889,472.611,396.566,417.161,328.159,1131.214,1337.641,1054.648,990.532,277.047,381.354,241.412,325.466,706.93,635.252,670.421,610.975
