,TPM_BALB_notx_rep1,TPM_BALB_notx_rep2,TPM_BALB_KLA_rep1,TPM_BALB_KLA_rep2,TPM_C57_notx_rep1,TPM_C57_notx_rep2,TPM_C57_KLA_rep1,TPM_C57_KLA_rep2,TPM_NOD_notx_rep1,TPM_NOD_notx_rep2,TPM_NOD_KLA_rep1,TPM_NOD_KLA_rep2,TPM_PWK_notx_rep1,TPM_PWK_notx_rep2,TPM_PWK_KLA_rep1,TPM_PWK_KLA_rep2,TPM_SPRET_notx_rep1,TPM_SPRET_notx_rep2,TPM_SPRET_KLA_rep1,TPM_SPRET_KLA_rep2
NM_010240,18045.086,15463.928,15733.634,14341.678,18324.906,14821.064,15284.989,12599.083,13224.029,11238.109,11139.992,10052.458,6528.345,4191.959,4858.093,3796.167,6159.091,7361.568,5091.249,6287.347
NM_009983,11438.979,13926.371,9626.801,12320.499,7945.476,8294.304,6671.063,6847.422,7582.024,5557.777,6592.688,5016.852,7879.051,8167.536,6429.948,6778.878,4389.357,6387.591,3596.006,5292.23
NM_011701,5196.78,5094.193,4663.203,4669.645,4644.704,5064.48,4349.993,4725.36,3122.923,3084.178,3010.277,3012.333,5096.226,3516.731,4866.063,3546.252,3983.071,3780.11,3323.537,2983.875
NM_001329527,5530.421,3931.137,5070.521,3586.577,4715.013,3715.214,4043.789,3404.111,3787.997,3748.727,3532.85,3377.355,3826.967,2299.758,3265.351,2163.129,2439.376,2691.754,2212.037,2371.836
NM_011313,2046.782,1857.625,1760.32,1427.854,1777.81,2210.154,1487.494,1838.42,1370.266,1626.661,1309.801,1390.486,1201.415,667.126,886.163,598.441,1868.534,1767.311,1786.316,1399.718
NM_009976,2399.753,1830.847,2060.601,1589.474,1618.431,1363.677,1341.782,1152.38,1092.963,1367.59,960.409,1170.963,1157.245,838.923,986.055,759.919,1468.569,1057.547,1206.916,876.324
NM_001317353,1491.987,1608.147,1346.644,1413.531,1282.744,1420.933,1120.509,1199.934,966.775,846.324,853.749,798.817,1204.751,1266.854,1006.631,1112.839,962.315,1093.185,810.344,945.379
NM_001305819,1884.988,468.988,1341.791,411.967,1829.018,827.538,1529.406,708.456,50.223,66.05,54.764,68.974,167.557,332.793,141.301,296.401,166.228,239.41,139.24,205.411
NM_031254,1465.157,1282.267,1170.134,1051.149,1162.201,1044.345,911.946,846.653,712.07,741.786,561.379,597.41,722.814,533.829,485.731,450.462,983.038,776.716,812.143,672.845
NM_001146346,983.086,1082.863,995.607,1014.078,996.085,1126.822,989.517,1038.619,1053.432,1079.474,1002.221,953.094,601.656,578.49,514.198,521.738,921.169,940.294,795.158,850.962
