"","Unnormalized DAC","DAC"
"mitotic sister chromatid segregation",-0.0348411885676125,-0.00194536219493027
"protein polyubiquitination",-0.00488241333274803,-0.000272610169401071
"microtubule cytoskeleton organization",-0.498086303571193,-0.0278107121087332
"sister chromatid segregation",-0.0410912220826933,-0.00229433361115192
"pseudouridine synthesis",-0.0126399063687458,-0.000705750779698541
"vasculogenesis",-0.0318604824046288,-0.00177893408722058
"cell fate specification",0.00818813744150113,0.000457185695450023
"somitogenesis",-0.0511384725264316,-0.00285532311753213
"neuron migration",-0.0808401271652909,-0.00451371878188163
"columnar/cuboidal epithelial cell differentiation",-0.0474117726775767,-0.00264724235749302
"hematopoietic progenitor cell differentiation",-0.0644185465728588,-0.00359681774093339
"immune effector process",-0.369253943274195,-0.0206173408860766
"positive regulation of immune system process",0.195823179156787,0.0109338121138838
"circulatory system process",-0.131708927314914,-0.00735398470795651
"DNA-dependent DNA replication",-0.0644553898160079,-0.0035988748881005
"DNA replication initiation",-0.0508769478721247,-0.00284072085519703
"DNA repair",-1.91897383351839,-0.107146148058143
"base-excision repair",-0.0617596048475541,-0.00344835539152494
"double-strand break repair",-0.193803292605451,-0.0108210314913918
"DNA recombination",-0.68226176434907,-0.0380941723855218
"regulation of translational initiation",-0.0234837802689416,-0.00131121985808818
"protein glycosylation",0.00443736818438764,0.000247761016939543
"peptide metabolic process",-0.0237686468054362,-0.00132712541738395
"membrane lipid metabolic process",-0.0236727342004142,-0.00132177012488395
"vitamin metabolic process",-0.0228269326705554,-0.00127454468889148
"porphyrin-containing compound biosynthetic process",-0.0124647199875504,-0.000695969225823507
"xenobiotic metabolic process",-0.133341865794727,-0.00744516003566127
"post-Golgi vesicle-mediated transport",-0.000200323352118895,-1.11850798435751e-05
"Golgi to plasma membrane transport",-0.00530197085334396,-0.00029603621692474
"movement of cell or subcellular component",0,0
"defense response",1.05761096557657,0.0590518427746435
"inflammatory response",0.318512112368814,0.0177841643039025
"immune response",0.0335011827684154,0.00187054280070418
"humoral immune response",-0.17556532455644,-0.00980271222578913
"cellular response to DNA damage stimulus",-2.62442420594956,-0.146535059325159
"organelle organization",-9.96371202275003,-0.556325128019543
"chromosome segregation",-0.204072049974642,-0.0113943888651268
"meiosis I",-0.00916332068981984,-0.000511635176148049
"regulation of actin polymerization or depolymerization",-0.0149580942902093,-0.000835187097130924
"actin polymerization or depolymerization",-0.0263631546123749,-0.00147199009076544
