"","Unnormalized DAC","DAC"
"mitotic sister chromatid segregation",-0.197848115566967,-0.00399562574786495
"protein polyubiquitination",-0.258325379785,-0.00521698948629394
"microtubule cytoskeleton organization",-1.77602604927007,-0.0358675916169664
"sister chromatid segregation",-0.226786132273256,-0.00458004114304043
"pseudouridine synthesis",-0.0182506555139445,-0.000368579649484948
"vasculogenesis",-0.07561922128319,-0.0015271619177507
"cell fate specification",0.00250262489220554,5.05415602665145e-05
"somitogenesis",-0.0769982353706844,-0.0015550116861393
"neuron migration",-0.132666554012879,-0.00267925674993327
"columnar/cuboidal epithelial cell differentiation",-0.0835634641518456,-0.00168759923736999
"hematopoietic progenitor cell differentiation",-0.0875506484306739,-0.00176812209764751
"immune effector process",-0.575082917592763,-0.0116140409328952
"positive regulation of immune system process",-0.63985726048406,-0.0129221859789869
"circulatory system process",-0.325425683395421,-0.0065721082855155
"DNA-dependent DNA replication",-0.131830017042184,-0.00266236253464307
"DNA replication initiation",-0.255832413758082,-0.00516664299086657
"DNA repair",-5.93370508195258,-0.119833665019983
"base-excision repair",-0.17294764646214,-0.00349275032140942
"double-strand break repair",-0.589345965559929,-0.0119020891740287
"DNA recombination",-1.80651414693607,-0.0364833115478265
"regulation of translational initiation",-0.036372249053391,-0.000734552838216418
"protein glycosylation",-0.143032662559863,-0.0028886046635932
"peptide metabolic process",-0.0256944350775043,-0.000518909902570038
"membrane lipid metabolic process",-0.0143712369243679,-0.000290233162540464
"vitamin metabolic process",-0.0711247865451837,-0.00143639492151313
"porphyrin-containing compound biosynthetic process",-0.0185433562870265,-0.000374490864469205
"xenobiotic metabolic process",-0.534651929319095,-0.0107975201523209
"post-Golgi vesicle-mediated transport",-0.012841266443396,-0.000259334766416112
"Golgi to plasma membrane transport",-0.00718680040512235,-0.000145140451104036
"movement of cell or subcellular component",0,0
"defense response",0.504394205260298,0.0101864527131661
"inflammatory response",0.0190485083839936,0.000384692623123542
"immune response",-1.03302941654189,-0.0208624627189819
"humoral immune response",-0.348315027876062,-0.00703436820594239
"cellular response to DNA damage stimulus",-8.74643951937579,-0.176638017732004
"organelle organization",-28.9397863427564,-0.584451133726815
"chromosome segregation",-0.687442480178537,-0.013883189466355
"meiosis I",-0.026835793920814,-0.000541960123537839
"regulation of actin polymerization or depolymerization",-0.0127929772416058,-0.000258359545714797
"actin polymerization or depolymerization",-0.0422531099452729,-0.000853319292634641
"fibroblast growth factor receptor signaling pathway",-0.166731984784098,-0.00336722242456979
"regulation of Notch signaling pathway",-0.0297126563389449,-0.000600059567740319
"catabolic process",-5.6213729845481,-0.113525987200067
"nucleobase metabolic process",-0.147312228933959,-0.00297503230302273
"purine ribonucleotide catabolic process",-1.18473707115131,-0.0239262624886614
"cyclic nucleotide biosynthetic process",-0.0222943902484461,-0.00045024456995391
"ribonucleotide catabolic process",-1.18001394096834,-0.0238308768919095
"response to xenobiotic stimulus",0.00124525183544162,2.51483835567921e-05
"response to bacterium",-0.133301928565906,-0.00269208840575338
"axis specification",-0.0264792222142608,-0.000534759008239968
"positive regulation of macromolecule biosynthetic process",-1.22193383950766,-0.0246774668403232
"negative regulation of organelle organization",-1.45676557417405,-0.0294199923011292
"positive regulation of cell development",-0.146588868276995,-0.00296042373089822
"negative regulation of cell development",-0.0970019217964093,-0.00195899453078656
"negative regulation of protein processing",-0.0551579425738555,-0.00111393780484483
"establishment of localization by movement along microtubule",0,0
"negative regulation of translation",-0.0660461915961593,-0.00133383056459142
"cytokine-mediated signaling pathway",-0.0593825112321534,-0.00119925474231652
"spinal cord motor neuron differentiation",-0.0154658928194373,-0.000312340197863279
"diencephalon development",-0.00102835580405618,-2.0768077152913e-05
"rostrocaudal neural tube patterning",-0.00263290880481647,-5.31726985731344e-05
"central nervous system neuron differentiation",-0.0248670273529232,-0.000502200056237438
"cell cycle process",-36.3818495514924,-0.734746724305736
"actin filament polymerization",-0.0347975254392293,-0.000702750633780533
"macrophage differentiation",-0.0142585548752896,-0.000287957501256912
"chromosome condensation",-0.181919894811404,-0.00367394864325252
"neutrophil chemotaxis",-0.0353255169782548,-0.000713413644554931
"leukocyte chemotaxis",-0.0590769302282382,-0.00119308340566364
"cytoskeleton-dependent intracellular transport",-0.0260962019180848,-0.000527023752571901
"regulation of actin filament length",-0.0150571245259509,-0.000304084950580864
"regulation of actin filament polymerization",-0.0268475792221753,-0.000542198132646141
"notochord development",-0.0088650174587891,-0.000179032748995887
"embryonic camera-type eye development",-0.0033180121711867,-6.7008648654202e-05
"RNA 3'-end processing",-0.0978845717212143,-0.00197682001654261
"regulation of defense response",-0.844021016250727,-0.017045358731906
"positive regulation of defense response",-0.0592330488061191,-0.00119623628588043
"regulation of response to external stimulus",-1.18418140839567,-0.0239150406460515
"positive regulation of response to external stimulus",-0.347661502249285,-0.00702116998156834
"regulation of protein polymerization",-0.0112513031407855,-0.000227224790074585
"regulation of intracellular transport",-0.287513195564024,-0.00580644967860562
"multicellular organismal process",-1.27722226155823,-0.0257940397329739
"regulation of cellular component size",-0.0565925214599742,-0.00114290972766701
"regulation of actin cytoskeleton organization",-0.207532587601949,-0.00419120772602311
"tetrapyrrole biosynthetic process",-0.0200433041805082,-0.00040478294183611
"regulation of organelle organization",-4.70855567533013,-0.0950912584519246
"histone lysine methylation",-0.0353414336248208,-0.000713735087913927
"exocrine system development",-0.00123840564720082,-2.5010121911331e-05
"intracellular signal transduction",-2.72404148984274,-0.055013161403521
"peptidyl-tyrosine autophosphorylation",-0.00420402339044902,-8.49020171628521e-05
"locomotion",-1.01678426578884,-0.0205343850800273
"response to chemical",-5.97674829137909,-0.120702940703314
"pigment metabolic process",-0.0653389944816153,-0.00131954842199132
"defense response to bacterium",-0.183185465773409,-0.00369950738009997
"protein ubiquitination involved in ubiquitin-dependent protein catabolic process",-0.0120269077242309,-0.000242888450225684
"negative regulation of cysteine-type endopeptidase activity involved in apoptotic process",-0.0820380659491386,-0.00165679318032458
"regulation of protein complex disassembly",-0.151886628538438,-0.00306741422330689
"regulation of protein complex assembly",-0.0508213544146891,-0.00102635858652881
"positive regulation of MAPK cascade",-0.435363755350936,-0.00879235379918783
"macromolecule glycosylation",-0.143032662559863,-0.0028886046635932
"macromolecule methylation",-0.214967599007514,-0.00434136090247673
"cellular amide metabolic process",-0.0846117378808223,-0.00170876956537795
"response to estrogen",-0.182109919900128,-0.0036777862796893
"mitotic cell cycle phase transition",-4.69358435171081,-0.0947889062866711
"cilium organization",-0.0160387411708917,-0.000323909110794968
"establishment of protein localization",0.144422920209493,0.00291668150043902
"establishment or maintenance of epithelial cell apical/basal polarity",-0.0168449718630571,-0.000340191278068098
"cell redox homeostasis",-0.037539554162769,-0.000758127054919363
"positive regulation of cell differentiation",-1.01250564421934,-0.0204479765213232
"positive regulation of transcription from RNA polymerase II promoter",-0.441147569979268,-0.00890916036357495
"cGMP metabolic process",-0.0702557799096021,-0.00141884496771021
"pigment biosynthetic process",-0.0466864583710238,-0.000942852625152993
"inositol lipid-mediated signaling",-0.241060438113759,-0.00486831674165188
"regulation of retinoic acid receptor signaling pathway",-0.0204340992008858,-0.000412675211323153
"embryonic organ morphogenesis",-0.117114624395646,-0.00236517900282143
"digestive tract development",-0.0653251782591373,-0.00131926939757851
"embryonic organ development",-0.119431785116969,-0.00241197503630159
