"","Unnormalized DAC","DAC"
"mitotic sister chromatid segregation",0.00078500343753968,0.000194234734392496
"protein polyubiquitination",0.0752370604154999,0.0186160336979902
"microtubule cytoskeleton organization",0.0360212087634719,0.00891278888994159
"sister chromatid segregation",-0.000657133263186591,-0.00016259559988114
"pseudouridine synthesis",0.00405883247876757,0.00100428381680457
"vasculogenesis",0.00966496862707206,0.00239141960967051
"cell fate specification",0.00302179638041737,0.000747688212905318
"somitogenesis",-0.000951006752222673,-0.000235309216609773
"neuron migration",0.0284448062122708,0.00703814673322008
"columnar/cuboidal epithelial cell differentiation",0.00971836603751932,0.00240463182166792
"hematopoietic progenitor cell differentiation",0.00266485854001524,0.000659370476562112
"immune effector process",0.292499283730735,0.0723735947749438
"positive regulation of immune system process",0.544123760064356,0.13463346650301
"circulatory system process",-0.000154418970952741,-3.82081483645121e-05
"DNA-dependent DNA replication",0.00138611507378095,0.000342968807929161
"DNA replication initiation",0.000519454731879723,0.000128529566942799
"DNA repair",-0.0365715281382486,-0.00904895534792017
"base-excision repair",0.00155392551313498,0.000384490430074376
"double-strand break repair",0.0280920572467711,0.00695086545731153
"DNA recombination",0.0609594607264038,0.0150833029470706
"regulation of translational initiation",0.0484171473910435,0.0119799370471754
"protein glycosylation",-0.000755323994092278,-0.000186891099270348
"peptide metabolic process",0.00231072145199362,0.000571745735139329
"membrane lipid metabolic process",0.00807884528519592,0.00199896241612162
"vitamin metabolic process",0.0239903210433112,0.00593596589900628
"porphyrin-containing compound biosynthetic process",0.00488334984846127,0.0012082955505702
"xenobiotic metabolic process",-0.100434458407272,-0.0248506686973642
"post-Golgi vesicle-mediated transport",0.00176072767155098,0.000435659839520048
"Golgi to plasma membrane transport",0.0017656249874483,0.000436871590713818
"movement of cell or subcellular component",0,0
"defense response",1.26223489557769,0.312316924944778
"inflammatory response",0.364719213288709,0.0902430946582851
"immune response",1.15851169496412,0.286652517175228
"humoral immune response",0.0333613256800133,0.00825464949904935
"cellular response to DNA damage stimulus",0.116485158108309,0.0288221205970091
"organelle organization",-1.09715040087027,-0.271469787915272
"chromosome segregation",0.0207836860100398,0.00514254274415589
"meiosis I",0.00491293295573154,0.00121561534906835
"regulation of actin polymerization or depolymerization",0.0429372005628025,0.0106240244921879
