"","Unnormalized DAC","DAC"
"mitotic sister chromatid segregation",0.0018347615813502,0.000678717380481351
"protein polyubiquitination",0.0422700863787294,0.0156366050997095
"microtubule cytoskeleton organization",0.0759966884928168,0.0281127934350707
"sister chromatid segregation",0.00202798090686516,0.000750193323625626
"pseudouridine synthesis",-0.00035413069636918,-0.000131000485856506
"vasculogenesis",0.00659413309630276,0.00243931025543626
"cell fate specification",0.00115694058868205,0.000427976960987476
"somitogenesis",0.000453764656817406,0.000167857209547351
"neuron migration",0.0200310022116182,0.00740989428145796
"columnar/cuboidal epithelial cell differentiation",-0.00402072887502462,-0.00148735323293298
"hematopoietic progenitor cell differentiation",0.0100120606733798,0.00370367445150884
"immune effector process",0.393334432932381,0.145502782861044
"positive regulation of immune system process",1.14453206891939,0.423386785285865
"circulatory system process",0.0107003246845365,0.00395827796592737
"DNA-dependent DNA replication",-0.00149374512078793,-0.00055256812971956
"DNA replication initiation",0.00326801814684874,0.00120890950548595
"DNA repair",0.0839354143470583,0.0310494971849853
"base-excision repair",0.00155414694953265,0.00057491205243879
"double-strand break repair",0.0173554560972695,0.00642015279758001
"DNA recombination",0.0472868239030301,0.0174924031421724
"regulation of translational initiation",0.00382398249674214,0.00141457255786085
"protein glycosylation",-0.00429176180966865,-0.00158761408714728
"peptide metabolic process",-0.0010888570223602,-0.00040279139995464
"membrane lipid metabolic process",-0.00613981275397289,-0.00227124748598444
"vitamin metabolic process",0.0346577288763535,0.012820631953216
"porphyrin-containing compound biosynthetic process",0.00163668715771346,0.000605445433151741
"xenobiotic metabolic process",0.0373238735054719,0.0138068956275011
"post-Golgi vesicle-mediated transport",-0.00518153847575722,-0.00191676142386918
"Golgi to plasma membrane transport",-0.00024050422299841,-8.89676336628213e-05
"movement of cell or subcellular component",0,0
"defense response",2.66127990286112,0.984464108447451
"inflammatory response",0.557162054187212,0.206106108698477
"immune response",1.46616927557841,0.542367237344545
"humoral immune response",0.0248558144676243,0.00919469508009961
"cellular response to DNA damage stimulus",0.246612209971633,0.0912271081147712
"organelle organization",1.09447502563831,0.404869619003487
"chromosome segregation",0.0526327054515721,0.0194699585683766
"meiosis I",0.00091389387969031,0.000338068807613077
"regulation of actin polymerization or depolymerization",0.0461702957538052,0.0170793756031295
"actin polymerization or depolymerization",0.000147726386546842,5.46471362405919e-05
"fibroblast growth factor receptor signaling pathway",0.0358388560874169,0.0132575560608803
"regulation of Notch signaling pathway",0.00495242244194859,0.00183200652390096
"catabolic process",-0.534968181384152,-0.197896122526571
"nucleobase metabolic process",0.00136664118866364,0.000505549678528321
"purine ribonucleotide catabolic process",0.0278438996589234,0.0103000514241109
"cyclic nucleotide biosynthetic process",0.00278760587113192,0.00103119477424242
"ribonucleotide catabolic process",0.0275655501982946,0.0101970840311282
"response to xenobiotic stimulus",0.000745870898672833,0.000275913528858588
"response to bacterium",0.157772369996561,0.0583633594494595
"axis specification",0.00428283424306119,0.00158431159014524
"positive regulation of macromolecule biosynthetic process",0.412079854839753,0.152437113611324
"negative regulation of organelle organization",0.10686241900353,0.0395306844416277
"positive regulation of cell development",0.0152261102980588,0.00563246244169428
"negative regulation of cell development",0.00878108927762216,0.00324831191848628
"negative regulation of protein processing",0.0153019377154837,0.00566051261815666
"establishment of localization by movement along microtubule",0,0
"negative regulation of translation",0.00579480061630105,0.00214362014917123
"cytokine-mediated signaling pathway",0.140717442080468,0.052054378425892
"spinal cord motor neuron differentiation",2.19393711603608e-05,8.11584059461837e-06
"diencephalon development",0.000354106945121376,0.000130991699764156
"rostrocaudal neural tube patterning",-0.000400452974845396,-0.000148136083105151
"central nervous system neuron differentiation",0.00271129321609062,0.00100296509805251
"cell cycle process",0.703469269172436,0.260228263156942
"actin filament polymerization",-0.00578536917284571,-0.00214013125739302
