,TCGA-K4-A54R-11,TCGA-BL-A13J-11,TCGA-GD-A3OP-11,TCGA-CU-A0YN-11,TCGA-BT-A20R-11,TCGA-BT-A20Q-11,TCGA-K4-A3WV-11,TCGA-GD-A3OQ-11,TCGA-BT-A2LA-11,TCGA-BT-A2LB-11,TCGA-CU-A0YR-11,TCGA-BT-A20W-11,TCGA-GD-A2C5-11,TCGA-BT-A20U-11,TCGA-GC-A3WC-11,TCGA-BT-A20N-11,TCGA-GC-A3BM-11
ENSG00000000003,4383,269,10055,325,883,197,9289,10540,14704,3301,1416,3722,13783,3321,2213,230,4142
ENSG00000000005,11,5,3,5,46,9,6,4,3,7,42,3,5,2,12,11,7
ENSG00000000419,1583,853,2481,689,1821,699,1567,1845,2024,1968,1019,1591,2778,1087,1220,726,1567
ENSG00000000457,377,499,775,431,1079,401,892,1472,484,297,630,525,702,394,612,368,433
ENSG00000000460,147,100,194,198,231,58,308,300,207,177,136,391,398,125,147,93,190
ENSG00000000938,559,298,1009,102,946,76,328,696,466,953,462,523,1076,154,446,268,474
ENSG00000000971,9049,4436,12564,5544,4074,2566,6778,15056,7562,5529,9437,13372,9001,1855,7427,2264,10917
ENSG00000001036,2577,834,3297,1348,2067,692,2859,4195,5025,1920,1567,3154,3833,1100,1787,748,2336
ENSG00000001084,15012,2058,8417,1826,5763,1803,5716,13441,7671,3689,2557,5619,9693,3602,3115,1395,6845
ENSG00000001167,2930,564,2374,599,1649,441,1829,3185,2661,943,871,1242,2214,688,1025,554,2903
ENSG00000001460,1167,134,1908,59,226,117,885,1159,2680,724,211,515,961,231,426,94,722
ENSG00000001461,850,588,3622,242,813,853,2652,4008,2534,3562,604,1268,3532,1106,1117,445,1969
ENSG00000001497,1585,1218,2660,839,2420,1036,2545,2500,2939,1989,1737,2062,2294,1402,1674,967,1731
ENSG00000001561,516,1383,2056,968,1653,960,804,1692,487,313,1566,685,2166,137,1244,888,540
ENSG00000001617,3727,238,17100,372,1066,262,8498,11211,9124,11609,1838,4805,10644,6882,2035,227,5118
ENSG00000001626,11,11,33,24,15,4,13,35,9,10,24,30,79,27,138,6,8
ENSG00000001629,1636,1533,3257,1844,3668,1442,1978,4521,1377,1639,1736,2641,3796,1193,1816,1499,1912
ENSG00000001630,277,51,186,124,189,66,155,258,73,308,100,183,353,156,58,82,210
ENSG00000001631,878,884,1879,845,1870,721,1306,2375,939,1090,1101,1079,1624,773,1170,832,1400
ENSG00000002016,156,286,440,223,363,273,411,835,198,136,278,248,413,174,462,201,228
ENSG00000002079,12,2,4,2,1,1,12,9,9,6,1,2,8,2,6,0,3
ENSG00000002330,955,767,2554,1144,1711,969,1560,1863,3158,1199,982,1240,1666,1161,1330,808,1169
ENSG00000002549,2346,1992,9499,2632,5697,1685,3049,3956,3209,3661,3324,3681,4081,1624,3513,2158,2634
ENSG00000002586,6569,11651,6663,12883,16399,7976,5667,12640,12166,9060,14342,12587,6337,3599,9996,8702,9039
ENSG00000002587,15821,149,8372,61,217,104,1596,4864,22663,11738,906,1059,10515,826,3325,43,6590
ENSG00000002726,43,10,147,12,4,0,164,18,34,253,20,83,135,40,166,3,10
ENSG00000002745,1,1,27,1,2,1,5,4,0,34,0,36,63,10,8,2,0
ENSG00000002746,42,21,20,18,55,12,17,139,85,16,31,131,58,46,44,7,97
ENSG00000002822,899,685,2111,670,1042,529,1353,1469,2145,1363,938,1079,1748,798,991,485,1036
ENSG00000002834,8961,2711,12559,3684,4378,2410,11251,14609,16467,7106,6187,9947,26343,3220,6360,2344,10117
ENSG00000002919,665,751,1433,719,1009,716,1019,1341,847,1199,912,879,1773,729,1016,605,810
ENSG00000002933,1286,582,1102,1178,1007,159,722,2354,2080,1389,1187,3626,2045,415,1381,600,1309
ENSG00000003056,3309,1695,5406,1844,3045,1362,3660,6331,2173,2805,2332,2936,4933,1052,2175,1414,3129
ENSG00000003096,441,999,960,1540,2174,886,602,1263,304,247,1296,862,273,394,1039,995,604
ENSG00000003137,49,156,314,105,369,177,33,296,60,687,484,117,152,235,78,129,150
ENSG00000003147,2913,88,3374,73,314,65,3059,3396,6279,1136,570,935,3333,842,973,75,2667
ENSG00000003249,166,16,423,36,57,26,481,260,1291,981,92,418,1334,811,324,54,123
ENSG00000003393,737,782,1280,638,1693,678,729,1696,563,902,891,1071,1175,466,982,690,926
ENSG00000003400,555,250,3082,210,386,122,767,1049,853,1225,616,776,1506,1039,991,182,891
ENSG00000003402,6745,3726,8129,2292,8039,2213,4546,9713,4472,6893,4065,3619,5527,2500,4622,2658,4912
ENSG00000003436,2842,2326,2368,1782,4363,1057,826,2405,1147,2842,4433,4932,3103,536,2063,1282,1896
ENSG00000003509,474,328,758,297,1324,233,558,751,677,392,417,487,767,304,508,269,379
ENSG00000003756,5042,2323,6764,1884,3989,1892,5864,7797,3223,3673,2853,2410,3915,1769,4653,2286,4586
