,TPM_BALB_notx_rep1,TPM_BALB_notx_rep2,TPM_BALB_KLA_rep1,TPM_BALB_KLA_rep2,TPM_C57_notx_rep1,TPM_C57_notx_rep2,TPM_C57_KLA_rep1,TPM_C57_KLA_rep2,TPM_NOD_notx_rep1,TPM_NOD_notx_rep2,TPM_NOD_KLA_rep1,TPM_NOD_KLA_rep2,TPM_PWK_notx_rep1,TPM_PWK_notx_rep2,TPM_PWK_KLA_rep1,TPM_PWK_KLA_rep2,TPM_SPRET_notx_rep1,TPM_SPRET_notx_rep2,TPM_SPRET_KLA_rep1,TPM_SPRET_KLA_rep2
NM_001267808,2002.419,1906.353,1684.282,1730.637,2448.148,2094.925,2401.025,1986.529,2615.726,3044.592,2542.526,3005.066,1075.121,1517.305,861.568,1385.192,892.194,880.703,965.183,864.49
NM_007682,2244.01,1851.852,1587.257,1595.569,2038.935,1703.397,1731.283,1513.774,1464.008,1796.787,1209.32,1523.351,1216.219,939.301,879.9,832.56,722.654,585.424,559.75,485.058
NM_001291894,1227.417,1174.517,1660.177,1245.343,1043.985,1075.705,1309.804,1210.965,1545.299,1099.929,1762.022,1185.078,500.713,582.385,820.497,751.285,704.117,622.639,762.482,679.305
NM_011099,742.125,606.619,582.055,476.573,655.109,650.78,563.337,600.999,715.722,761.977,644.404,657.637,588.215,621.451,501.953,537.324,544.551,737.964,476.165,587.398
NM_026381,621.223,709.701,589.019,623.905,588.391,631.522,549.526,559.896,705.742,657.692,612.539,694.485,528.213,515.248,442.996,448.899,308.507,323.563,269.398,277.587
NM_008321,672.83,461.483,990.949,484.953,751.334,463.162,1007.749,355.974,187.524,389.183,402.507,673.61,22.811,14.538,105.463,83.257,74.951,54.7,90.945,56.823
NM_008946,654.922,582.229,740.535,596.36,607.923,580.469,619.442,598.303,637.321,586.223,593.902,549.971,281.251,283.673,237.916,250.597,303.538,196.406,270.489,197.329
NM_025613,314.545,223.83,226.696,168.683,432.616,419.597,316.238,353.695,328.604,410.63,214.504,300.402,170.16,79.502,113.949,60.44,129.778,117.673,93.583,95.596
NM_007631,286.412,237.67,199.668,173.037,482.998,344.001,371.058,301.72,482.991,485.211,409.258,361.1,131.164,44.606,107.81,39.286,248.269,156.377,203.788,129.57
NM_009155,287.826,315.056,235.856,259.227,376.767,432.145,298.717,322.479,337.492,273.404,273.169,229.464,210.645,126.599,177.887,115.295,58.153,103.338,46.234,83.422
NM_011045,364.204,273.702,319.307,274.915,434.673,354.31,374.441,339.617,229.634,311.902,232.453,242.051,93.4,82.671,96.732,104.462,104.238,77.989,92.887,81.998
NM_001037722,321.162,294.986,268.22,265.249,348.804,314.568,300.088,290.892,356.314,341.817,324.792,318.646,167.292,136.044,138.372,116.441,169.85,165.742,142.83,134.314
NM_025365,298.742,341.758,247.211,300.431,280.82,350.215,254.058,299.966,289.446,345.797,293.144,310.147,231.671,296.888,176.324,263.339,270.488,314.313,242.357,265.871
NM_010161,243.548,202.362,214.941,180.848,303.829,321.039,252.548,298.826,400.526,406.584,322.926,318.481,207.094,141.491,187.796,138.441,151.115,141.23,110.188,120.73
NM_031843,412.326,392.74,371.344,344.714,273.656,262.052,246.079,234.523,511.225,394.961,474.089,389.7,749.176,819.678,598.113,685.27,613.288,632.165,526.578,587.155
NR_003363,117.437,48.442,106.889,37.125,291.152,210.978,256.455,177.121,185.358,174.805,157.619,147.296,26.602,33.699,18.671,31.097,28.519,19.737,22.755,16.205
