,TPM_BALB_notx_rep1,TPM_BALB_notx_rep2,TPM_BALB_KLA_rep1,TPM_BALB_KLA_rep2,TPM_C57_notx_rep1,TPM_C57_notx_rep2,TPM_C57_KLA_rep1,TPM_C57_KLA_rep2,TPM_NOD_notx_rep1,TPM_NOD_notx_rep2,TPM_NOD_KLA_rep1,TPM_NOD_KLA_rep2,TPM_PWK_notx_rep1,TPM_PWK_notx_rep2,TPM_PWK_KLA_rep1,TPM_PWK_KLA_rep2,TPM_SPRET_notx_rep1,TPM_SPRET_notx_rep2,TPM_SPRET_KLA_rep1,TPM_SPRET_KLA_rep2
NM_011311,3684.167,2286.512,3162.015,1854.966,3870.511,3502.947,3194.719,3257.762,3373.151,4556.629,2891.494,3232.287,2476.734,1382.228,2023.34,1260.4,3399.714,2719.936,3111.515,2552.611
NM_011655,2396.677,2118.884,2000.885,1848.601,3269.817,2703.953,2703.935,2301.552,2645.584,2807.515,2288.681,2437.69,1031.688,550.677,816.666,464.47,2155.472,2145.776,1739.819,1780.596
NM_018853,2835.085,1706.388,2271.882,1418.954,2672.504,1813.57,2300.8,1787.813,2312.407,3101.37,1964.943,2753.697,1680.153,917.116,1151.784,927.775,2544.41,1617.233,2274.509,1458.799
NM_031868,904.085,883.441,798.603,751.45,988.059,979.937,815.919,807.554,879.01,947.013,752.629,856.121,820.457,775.548,645.82,683.284,968.654,899.3,803.318,785.516
NM_021273,971.281,761.372,758.419,633.267,826.815,661.737,679.156,588.189,857.976,755.071,724.31,703.172,832.023,349.661,604.428,341.073,1037.231,569.531,916.928,454.845
NM_010312,639.937,600.729,570.764,543.245,739.761,674.926,706.778,591.253,684.682,735.288,608.924,692.265,593.963,515.745,485.883,448.623,780.939,738.802,661.871,624.254
NM_024473,552.789,603.71,416.657,445.889,659.781,637.355,467.488,460.613,559.464,523.398,450.66,446.065,310.993,319.561,264.232,260.485,406.878,372.435,328.902,296.85
NM_033444,482.835,401.791,427.394,342.485,549.895,476.254,464.585,432.054,433.944,537.833,386.981,435.76,356.649,278.037,278.904,251.292,532.148,466.416,438.592,416.545
NM_010448,448.539,374.88,408.153,359.817,553.319,408.586,546.732,424.614,530.904,634.064,542.467,590.624,358.012,339.472,311.904,328.06,575.461,377.064,527.47,374.176
NM_001037859,341.452,359.609,316.002,313.842,467.549,494.027,465.625,443.99,398.646,342.255,367.08,319.982,218.644,206.827,211.444,187.659,416.949,458.395,391.871,381.854
NM_146116,381.429,243.881,289.746,226.91,542.993,345.405,422.345,303.811,374.099,388.526,291.932,318.377,134.9,105.981,104.595,83.782,360.681,268.266,281.536,240.986
NM_009795,385.166,390.726,356.179,375.228,432.217,441.787,374.844,395.886,403.748,426.221,340.05,378.198,357.4,343.348,290.318,300.369,395.793,422.04,313.141,364.188
NM_146035,426.905,371.382,317.494,314.502,449.358,414.774,367.094,319.58,406.882,402.03,301.497,307.289,324.038,309.402,239.406,247.692,423.552,364.423,309.28,282.228
NM_001276288,436.714,414.964,357.681,354.419,447.713,397.699,392.634,359.414,375.206,397.585,317.126,372.228,425.107,326.962,298.09,286.432,363.811,401.279,291.464,316.335
NM_133668,358.568,402.123,324.146,352.807,374.103,410.068,358.518,362.402,374.188,381.445,363.632,377.914,308.486,296.544,253.773,277.32,397.39,385.1,387.137,339.709
NM_008248,351.693,291.207,318.929,256.222,379.268,356.879,314.937,302.102,298.304,366.833,263.992,294.863,271.104,282.46,198.304,254.686,330.991,279.923,264.051,259.666
NM_009870,334.685,332.782,300.432,293.636,363.134,337.234,307.74,303.031,319.729,329.723,268.94,290.5,266.899,281.766,220.922,246.984,299.066,291.393,253.557,249.103
NM_023665,352.704,318.863,177.326,147.621,368.506,311.444,154.318,127.493,474.616,505.862,276.735,363.018,345.942,260.802,137.048,110.441,353.153,267.314,240.327,158.971
NM_007450,333.165,366.835,277.442,289.723,343.78,331.579,292.488,287.926,340.848,378.481,295.343,337.974,232.531,203.727,178.531,175.655,307.452,287.404,260.677,230.933
NM_025313,267.376,280.446,217.354,235.613,311.998,302.557,281.477,265.629,300.22,313.37,250.496,280.469,287.356,258.661,229.09,208.434,333.306,319.772,278.444,271.48
NM_026211,240.481,234.686,209.988,191.644,272.914,251.037,229.678,214.561,253.208,262.465,221.78,236.179,218.965,210.847,146.246,194.068,229.488,217.584,203.265,179.014
NM_025849,275.185,251.303,222.248,227.419,263.805,258.577,213.273,193.438,314.425,326.192,241.512,233.117,195.864,165.817,126.218,129.261,243.674,222.572,200.51,203.367
NM_001286542,209.395,230.513,161.821,188.636,263.41,241.372,205.33,194.192,247.499,259.701,218.814,199.552,143.159,171.556,110.414,147.547,212.48,197.16,167.527,160.04
NM_001170486,218.373,215.405,182.21,188.278,256.393,241.955,215.532,209.963,259.573,280.358,230.315,254.124,226.316,196.775,192.596,180.163,218.912,227.182,202.64,189.861
NM_023258,153.116,117.626,125.036,104.764,271.198,226.544,196.652,200.538,216.331,260.607,165.543,213.304,209.265,145.762,146.429,116.165,238.574,194.296,206.802,178.01
NM_001347325,229.334,196.988,219.731,190.553,256.9,233.273,226.016,227.255,222.556,268.618,217.744,234.24,203.972,266.486,171.445,234.305,268.597,210.296,262.533,198.707
NM_146115,205.418,251.002,122.301,158.576,228.128,261.381,123.421,161.695,242.892,227.584,133.514,179.542,117.997,112.692,73.574,66.97,113.936,142.211,71.21,83.516
NM_053162,175.46,215.268,164.225,191.334,233.967,253.668,190.076,186.353,228.503,246.279,180.48,183.514,191.722,189.458,117.643,137.416,204.298,169.06,168.933,134.389
NM_025954,218.013,182.228,135.802,160.472,267.422,216.317,204.197,156.395,237.779,272.047,235.807,300.16,187.321,141.426,101.343,119.003,222.004,226.833,186.723,159.684
NM_010071,218.865,182.77,160.63,144.268,238.058,217.319,204.856,204.034,225.065,296.387,189.933,233.047,49.032,19.365,32.666,18.143,176.502,169.359,153.57,149.933
NM_008948,207.16,169.625,180.728,137.271,262.417,190.133,227.244,166.574,199.268,220.965,177.822,202.417,164.105,142.821,133.965,138.981,221.04,143.469,194.977,138.111
NM_026914,239.965,233.561,200.187,197.876,219.2,206.857,173.326,182.413,217.028,262.178,211.124,222.998,173.161,167.99,127.163,143.443,188.629,180.338,177.554,152.081
NM_026559,221.918,209.519,196.475,161.682,218.145,200.095,179.321,178.255,217.1,233.345,183.857,173.207,168.222,170.394,144.154,148.999,213.793,197.606,183.628,148.294
NM_019419,174.442,161.265,143.778,142.896,215.905,196.619,178.904,168.915,170.931,200.33,129.843,165.632,145.074,146.906,118.363,124.99,154.251,154.317,130.238,137.751
NM_025366,224.462,158.651,181.815,134.845,224.117,185.043,189.423,174.718,214.514,286.021,157.564,179.408,156.94,171.43,127.803,139.902,190.779,120.486,168.513,137.512
NM_026785,136.782,93.303,129.965,76.55,255.007,152.922,223.435,140.06,112.386,172.276,96.36,172.489,66.781,26.071,61.656,20.507,148.696,104.94,124.594,89.315
NM_008972,166.467,158.387,139.558,133.372,215.318,182.398,184.936,161.463,162.098,193.152,127.599,164.915,168.763,120.018,158.725,114.364,178.26,147.751,153.6,136.466
NM_029841,194.939,176.357,156.351,153.687,215.348,180.1,187.34,168.788,163.837,190.378,158.266,165.502,147.771,143.01,114.758,116.027,205.61,189.566,172.84,157.325
NM_010070,253.932,183.152,148.455,123.876,216.348,172.618,126.289,114.936,240.382,274.115,133.426,175.823,161.028,108.796,79.857,70.034,226.587,169.878,154.413,113.16
NM_011654,175.873,134.721,137.375,125.931,235.775,143.86,189.203,135.809,209.176,262.673,159.868,202.999,116.92,57.772,79.306,41.208,149.09,196.151,214.328,162.827
NM_130884,149.053,164.139,130.145,150.35,173.894,203.677,142.714,154.495,179.493,163.972,154.499,145.4,130.237,128.08,111.997,111.263,157.387,154.186,145.272,130.327
NM_001271615,165.762,138.796,129.242,110.547,210.686,154.223,170.814,130.915,179.034,210.429,148.616,168.686,84.126,48.579,59.872,37.206,131.718,82.268,101.771,61.811
NM_011568,145.756,104.184,133.06,92.879,211.116,152.141,211.678,144.446,142.309,201.547,136.975,162.285,88.259,59.98,66.359,60.064,204.846,126.866,178.622,110.193
NM_029711,166.235,152.855,152.787,128.036,184.244,173.716,168.821,155.735,162.31,154.333,144.269,145.561,124.365,104.179,107.443,95.905,183.666,167.402,155.768,139.929
NM_026744,184.795,186.623,148.709,136.911,193.205,159.706,149.82,155.977,169.509,212.644,173.833,137.652,158.662,157.254,99.493,124.894,191.706,155.578,189.147,150.189
NM_008098,162.924,197.138,173.326,202.148,150.376,188.242,154.831,188,165.352,148.149,181.382,144.922,212.928,224.393,210.321,219.799,191.71,196.085,189.147,202.714
NM_012002,144.209,134.216,127.948,122.009,180.624,157.974,140.436,134.998,163.449,187.589,145.762,154.654,138.021,156.167,111.758,140.127,149.737,135.748,135.377,116.524
NM_026404,140.772,160.113,119.354,144.715,169.267,163.473,151.309,154.057,175.922,186.595,161.631,172.92,116.276,112.815,106.242,99.395,169.669,145.88,151.313,136.711
NM_009104,145.384,133.107,138.078,110.738,178.331,147.771,162.517,134.631,151.764,185.039,139.531,182.746,47.27,13.034,47.383,14.238,199.328,171.104,169.156,163.291
NM_007457,174.135,130.359,149.814,120.704,171.055,141.338,154.839,125.341,155.424,182.564,133.9,140.322,124.867,111.509,96.693,95.511,170.719,123.383,152.171,104.939
NM_025521,161.46,163.791,114.158,125.022,162.193,149.862,126.019,112.356,159.451,201.812,121.786,139.34,102.356,107.317,66.148,66.79,125.5,102.769,96.255,79.646
NM_001002004,123.581,140.636,101.238,120.559,147.957,155.7,121.672,131.879,175.967,165.886,151.217,149.843,101.598,74.94,91.433,67.727,139.664,138.972,119.076,116.297
NM_009087,117.026,117.95,121.769,109.463,157.219,145.344,135.374,123.331,125.919,168.694,139.738,137.719,115.702,124.617,97.937,112.124,144.335,132.808,138.043,113.073
NM_001290470,148.088,130.513,112.986,112.41,158.107,139.515,136.39,120.614,128.747,137.021,105.363,121.251,121.967,97.478,100.955,88.236,143.892,114.533,124.276,98.718
NM_028274,144.215,118.29,107.798,76.297,182.005,113.403,144.584,79.443,128.152,159.366,117.189,125.391,116.777,90.078,58.833,62.578,169.153,98.317,140.07,70.504
NM_024456,137.722,119.911,125.511,103.705,159.111,133.875,137.618,120.436,150.375,169.295,128.707,144.117,108.767,94.121,89.113,84.049,127.684,113.37,105.787,100.212
NM_024227,125.189,106.309,106.187,104.584,145.271,141.22,110.807,95.368,149.705,161.316,116.111,146.398,94.92,79.354,72.476,67.907,122.565,112.723,103.362,96.874
NM_144509,172.247,131.78,119.337,95.475,164.571,111.157,142.442,103.94,145.007,189.441,109.583,133.957,110.459,89.543,86.576,76.655,197.014,128.418,160.169,110.105
NM_027206,105.378,94.791,61.335,70.53,134.583,134.074,66.916,83.782,127.82,145.064,85.221,108.04,113.657,68.086,63.147,47.245,100.557,120.268,72.416,81.363
NM_026268,77.693,89.176,23.878,39.914,118.67,135.336,30.683,52.037,98.087,96.721,47.492,55.152,28.581,23.508,19.49,28.407,32.636,84.67,14.449,31.322
NM_173180,108.243,110.788,98.93,95.25,122.088,123.561,103.728,109.16,117.681,121.572,115.057,115.71,89.599,95.555,81.034,88.035,124.408,114.7,111.238,104.029
NM_009739,107.498,91.928,92.518,86.04,121.514,111.299,100.935,92.367,114.134,118.929,91.929,98.007,92.663,90.408,74.181,73.627,93.851,89.787,75.927,77.633
NM_144522,97.797,94.931,67.938,79.584,118.888,111.47,101.998,89.54,120.53,117.669,103.104,104.48,99.71,97.66,76.243,76.689,98.175,101.75,75.653,78.471
NM_001286573,101.517,102.825,73.906,84.193,119.483,107.308,93.703,87.257,101.64,101.025,82.157,92.932,95.391,72.466,78.87,61.372,99.723,97.334,84.32,81.669
NM_020285,99.697,91.866,71.614,67.617,122.095,102.946,84.096,72.737,91.61,110.642,65.121,91.075,80.302,72.337,50.27,45.965,95.889,81.816,67.702,68.323
NM_030240,85.64,81.739,59.683,67.706,120.526,99.84,87.079,80.119,90.458,112.596,64.866,100.67,84.32,65.51,51.649,54.264,110.737,86.906,85.56,75.453
NM_001130444,110.185,88.645,78.437,76.556,122.624,94.787,99.13,77.16,90.506,98.245,81.626,91.848,75.35,71.736,52.214,52.848,93.318,60.447,75.959,57.123
NM_025486,101.889,84.556,83.889,83.421,106.55,110.637,90.258,84.869,105.766,140.139,107.273,91.355,70.626,98.705,61.11,78.422,98.698,89.045,87.479,84.436
NM_010886,134.49,106.282,120.413,95.7,120.559,95.803,94.64,83.867,105.514,134.874,90.366,94.863,63.17,47.598,50.92,40.547,143.776,99.07,121.087,97.125
NM_026631,105.382,84.043,109.257,79.682,114.639,100.91,118.808,107.576,111.189,129.201,114.84,128.095,100.933,129.707,89.854,111.879,145.517,91.165,133.994,91.31
NM_001037170,96.587,81.982,80.206,74.848,109.299,105.931,90.903,80.735,83.714,90.917,71.031,86.133,50.632,42.747,38.311,34.269,96.123,72.83,74.765,67.459
NM_025577,132.481,108.703,111.109,95.156,120.23,93.51,94.193,71.178,108.181,133.024,92.629,100.704,97.352,88.563,70.249,75.866,134.85,95.1,99.369,75.617
NM_008379,76.343,74.692,60.482,57.88,117.794,95.697,96.462,73.918,118.171,120.15,105.881,102.432,58.568,56.474,47.231,44.738,110.479,92.538,89.296,68.779
