,TPM_BALB_notx_rep1,TPM_BALB_notx_rep2,TPM_BALB_KLA_rep1,TPM_BALB_KLA_rep2,TPM_C57_notx_rep1,TPM_C57_notx_rep2,TPM_C57_KLA_rep1,TPM_C57_KLA_rep2,TPM_NOD_notx_rep1,TPM_NOD_notx_rep2,TPM_NOD_KLA_rep1,TPM_NOD_KLA_rep2,TPM_PWK_notx_rep1,TPM_PWK_notx_rep2,TPM_PWK_KLA_rep1,TPM_PWK_KLA_rep2,TPM_SPRET_notx_rep1,TPM_SPRET_notx_rep2,TPM_SPRET_KLA_rep1,TPM_SPRET_KLA_rep2
NM_009095,713.226,636.605,637.859,552.45,770.882,740.88,687.273,664.774,650.722,786.621,573.643,649.238,755.892,776.907,571.051,681.607,675.869,669.489,623.957,592.447
NM_181452,555.731,648.012,468.144,543.12,551.489,614.776,415.831,475.488,525.545,553.891,468.058,510.928,544.57,538.453,394.825,448.509,483.388,497.114,382,426.691
NM_001164598,377.396,380.531,257.956,234.116,470.532,517.185,303.303,307.639,314.634,310.007,147.534,206.685,420.291,395.351,176.036,202.876,465.843,502.854,185.176,228.555
NM_011588,197.716,218.871,160.267,177.888,260.479,245.01,208.582,221.382,194.06,195.471,175.829,186.224,207.562,226.111,173.119,208.139,192.133,220.885,175.901,171.844
NM_019502,237.255,224.344,170.934,167.282,234.169,226.83,176.087,171.572,182.582,206.564,134.665,135.882,169.723,163.059,111.134,135.296,158.764,172.626,118.645,113.706
NM_001291205,174.24,185.547,141.9,157.809,200.712,203.771,157.512,160.194,180.54,181.58,144.527,146.684,197.695,186.189,147.368,152.723,190.532,167.879,136.546,140.288
NM_026859,177.071,180.274,140.91,149.806,187.731,191.028,139.638,142.184,146.527,149.079,105.771,136.754,164.608,154.804,118.808,127.944,142.602,162.506,114.873,139.864
NM_145836,221.876,187.463,109.215,111.788,207.606,169.995,114.05,101.572,224.508,204.366,116.24,151.554,325.123,269.392,143.123,141.303,198.752,183.57,82.621,76.647
NM_010562,162.288,159.692,146.118,139.896,181.566,171.464,156.352,144.827,170.066,157.972,153.955,138.367,187.593,165.586,156.141,138.848,155.011,143.801,127.345,120.248
NM_020011,135.355,173.399,96.691,113.336,141.073,174.041,101.866,112.586,146.615,143.658,106.245,107.633,134.566,144.666,91.107,107.329,100.239,116.575,68.504,77.447
NM_013859,159.585,145.869,102.89,95.274,157.625,149.522,99.802,91.777,125.969,125.888,83.046,106.418,135.387,128.965,79.231,93.602,120.55,106.268,70.134,51.691
NM_023900,158.56,136.453,130.61,100.303,147.994,131.783,129.98,116.91,136.015,166.531,118.606,136.552,205.569,145.364,152.807,116.771,156.459,116.565,131.165,97.946
NM_133940,138.668,121.571,97.001,95.521,142.576,124.491,107.025,106.992,107.458,118.231,81.616,102.639,119.447,118.935,92.406,99.213,116.042,96.194,81.619,70.43
NM_001003949,122.907,109.513,104.024,95.982,138.886,120.446,123.915,102.761,124.022,128.573,101.17,116.547,132.765,124.616,97.698,105.53,113.864,105.876,91.409,84.697
NM_021513,99.577,121.044,60.284,81.175,125.466,128.736,67.359,77.143,91.934,81.082,57.349,78.709,122.365,102.466,66.089,76.844,98.788,103.999,57.598,64.564
NM_001025587,98.908,99.307,54.386,60.04,120.317,106.057,78.636,69.096,101.685,110.59,72.499,73.813,120.779,132.414,70.384,84.509,100.49,87.117,68.633,59.605
NM_001145859,95.667,91.306,62.545,53.029,108.584,96.323,68.67,50.038,100.587,99.037,52.725,67.023,117.196,110.535,71.503,70.509,90.773,82.19,44.167,46.884
NM_028820,101.015,91.621,44.537,51.893,101.049,103.286,41.281,44.705,66.356,63.535,30.452,32.333,116.082,108.78,45.433,56.287,70.728,54.821,24.719,19.086
NM_178757,86.871,84.399,50.128,57.381,111.59,85.984,65.909,66.606,78.67,79.376,42.383,63.949,87.249,83.893,53.008,69.419,96.903,84.882,57.293,59.452
NM_026975,113.086,77.043,83.628,70.467,105.717,89.627,68.9,84.495,63.117,102.04,51.862,62.429,96.507,84.334,53.082,85.036,78.453,79.4,56.766,60.497
NM_023633,69.136,69.864,50.07,44.776,106.615,85.344,62.737,49.352,67.154,81.745,37.984,64.038,84.517,95.61,64.939,56.157,82.788,64.045,66.136,49.956
