group	M1	M2	M3	M4	M5	M6	M7	M8
group1	16	1276	27	1232	35	40	65	6
group2	0	0	0	0	0	1	2	956
group3	55	66	1072	461	731	601	1182	25
group4	1	11	1	2	8	5	13	1
group5	578	32521	450	606	470	441	772	9051
group6	29216	665	5302	8503	4623	1044	10977	83
group7	359	32	142	42	181	55	151	2
group8	0	0	0	0	4	1	7	692
group9	204	925	89	198	27137	252	7925	39
group10	997	444	1587	443	652	416	996	26209
group11	266	5	278	6	24	37	45	0
group12	37	24	45	331	105	819	842	18
group13	0	53	2	2	3	1	10	1
group14	0	0	13	1	24	23	19	4
group15	1	1	0	3	3	191	0	0
group16	0	0	6	1	13	3	2	0
group17	52	9116	20	51	39	46	63	13
group18	0	0	1	0	0	2	1	0
group19	18	39	14	32	46	38	892	7
group20	815	188	717	1174	2146	381	6384	15
group21	147	295	869	916	46	187	69	2
group22	748	20	54	68	128	33	105	6813
group23	476	78	97	236	185	107	224	28
group24	98	261	33	2241	75	218	147	6
