gene,HR,z,pvalue,lower,upper
TSPAN6,1.25035831272457,1.04431784682432,0.296338358506591,0.822093576255077,1.90172500473883
TNMD,1.04656072508821,0.275967984438859,0.782572656412138,0.757520888529021,1.44588666515063
DPM1,0.89564555150412,-0.411247024636439,0.680891410055529,0.529689974004407,1.51443484547141
SCYL3,0.91809828793667,-0.183108499864199,0.854712886604957,0.367841641402389,2.29148734520292
C1ORF112,0.842581053179819,-0.422718881256305,0.672500378099002,0.380807398289275,1.86430944978205
FGR,1.04162306249181,0.236811468838753,0.812803053757272,0.743240509928462,1.45979476336568
CFH,1.04290926881348,0.243476059493013,0.80763662894217,0.743641047422866,1.46261391399307
FUCA2,0.621238276638696,-1.10602103350739,0.268717415539242,0.267235434521694,1.44418346710562
GCLC,0.806328942422102,-0.565923947363638,0.571445481554619,0.382592268325682,1.69937141237285
NFYA,1.19294695550922,0.399360301335019,0.689627740867137,0.501860600567712,2.83569269444317
STPG1,0.627928743056774,-1.06467051107093,0.287025059146943,0.266612965168773,1.47890222108014
NIPAL3,0.719050127490306,-0.837435999334765,0.40234753761699,0.332287039339813,1.55598330549114
LAS1L,1.63216431117374,1.50822332591729,0.131497379240549,0.863521789821192,3.08499492435609
ENPP4,0.998166051642074,-0.00614400556262374,0.995097823661998,0.555764796134382,1.79272863913067
SEMA3F,1.10407948889874,0.452380241819357,0.650995078323722,0.718950241115373,1.6955158341915
CFTR,1.00552610529468,0.0440911741115997,0.964831727983246,0.787051034974901,1.28464699682574
ANKIB1,0.755317937417874,-0.741866956286519,0.458167948094263,0.359879158112401,1.5852687595957
CYP51A1,1.11414894996156,0.368002267661591,0.712871543316099,0.626506426772481,1.98134900083195
KRIT1,0.954907867775621,-0.132108169057514,0.894898734574581,0.481580368297411,1.89345142777218
RAD52,2.02312119627023,1.66774662489084,0.0953660355316593,0.883852505838141,4.63088507161785
MYH16,1.92742801644743,1.06120751028587,0.288595607038727,0.573649558653416,6.47604221522805
BAD,1.47310579308909,1.02316539734673,0.306229650457332,0.701401875079907,3.09386209922152
LAP3,0.623071382818707,-1.33633121618192,0.181441037668567,0.311308858301432,1.24705075919078
CD99,0.874244897751212,-0.481266872304585,0.630326838486666,0.505747061923799,1.51123792659657
HS3ST1,1.0456529497791,0.128531247749938,0.897728571172076,0.529356095311766,2.06550958998175
AOC1,1.00753781335798,0.040211801885203,0.967924268697437,0.698714306154041,1.45285767931934
HECW1,1.08135001138524,0.152587293257932,0.878723746160323,0.395980419990756,2.95296885424324
MAD1L1,1.76495647176538,1.45997401789014,0.144297214810467,0.823194096020736,3.78412741573892
LASP1,1.39707381471198,0.769741872307113,0.441453026541067,0.596283684681283,3.27329976300987
SNX11,2.05970328896406,1.42728686135116,0.153497226142343,0.763633716148597,5.55551378737687
TMEM176A,1.26648718855118,1.31354599191107,0.188999033882907,0.890242711312045,1.80174437643
M6PR,1.7077245132167,1.01766107269215,0.308839052775959,0.609246170997846,4.78677282167363
KLHL13,0.990452903493603,-0.0613094228344827,0.951112786584379,0.72886657511135,1.34592117067385
CYP26B1,1.0469077800867,0.174195196930005,0.861712060126471,0.625040255863152,1.75351249735508
ICA1,0.999765004946837,-0.000711862018049558,0.999432016334347,0.52344618540058,1.90951829050284
DBNDD1,1.10098014859901,0.473642924296596,0.635754560539337,0.73942368479783,1.6393271037031
ALS2,0.739879775413103,-0.781282923608657,0.434636111338513,0.347482172658986,1.57539616457554
CASP10,0.722437771414197,-1.02767772102219,0.304101451095376,0.388604483379103,1.34305278474298
CFLAR,0.825022360972294,-0.484871189265938,0.627767720478412,0.379140700634759,1.79527519721499
TFPI,0.901287692300862,-0.47757299957449,0.63295415214121,0.588332154879692,1.3807158040837
NDUFAF7,0.780871964777882,-0.54832636385249,0.58346782800031,0.322561135906377,1.8903735059795
RBM5,1.50085927904245,0.967345681949587,0.333371254178768,0.659254363940158,3.41685804250862
MTMR7,0.32283396594686,-1.65643224554134,0.0976343155176005,0.0847191699911547,1.2302029113347
SLC7A2,0.840231526428958,-0.881738018332055,0.377918496579786,0.570623773112216,1.23722328313563
ARF5,1.53798671763567,1.14122446228496,0.253776527064143,0.734304356771908,3.22128436500408
SARM1,1.47153254592218,0.857183276249317,0.391343603485418,0.608360820408874,3.55941402053615
POLDIP2,1.65382140741231,1.12368353641893,0.26114730319021,0.687691949770147,3.97725354867018
PLXND1,1.21664895944392,0.983794417677423,0.32521660463329,0.823179943437485,1.79819090870304
AK2,0.773983020889621,-0.530547126656988,0.595732643500734,0.3003859214295,1.9942669542388
CD38,0.899433365319969,-0.481461268923648,0.630188700448452,0.584228808419224,1.38469785637532
FKBP4,2.06149532137998,1.8373909638812,0.0661521998269133,0.952885636822539,4.45988773032898
KDM1A,1.0543509191068,0.118629781826782,0.905568669469305,0.439775714202708,2.52777910357492
RBM6,1.14211015287206,0.436526497747673,0.662454778359684,0.628933015987384,2.07401355650821
CAMKK1,1.04831446320537,0.133867722847758,0.893507173945045,0.525379799990695,2.09175003261457
RECQL,1.0158297179822,0.0507215803871792,0.95954738011848,0.553668425311547,1.8637689432175
VPS50,1.08501260134047,0.207345676298666,0.835739904617487,0.501744420470363,2.34631875719512
HSPB6,1.11009100738878,1.05381662536653,0.291966880326436,0.914107822304808,1.34809265889263
ARHGAP33,1.09936802564821,0.363003371887713,0.716602365494144,0.659172630320071,1.83352584774459
NDUFAB1,0.776660151979852,-0.715297074136457,0.474425496116266,0.388558446785785,1.55240735766559
PDK4,0.894041850738786,-0.677954326930328,0.497800652503744,0.646745672981544,1.23589668128362
ZMYND10,2.14555942033818,2.04201056602435,0.0411504832506901,1.03114816050836,4.46436836383667
SLC25A13,0.904118337592345,-0.283478555462041,0.77681001801464,0.450368379206301,1.81502522404288
ST7,0.569352474231978,-1.1218244036813,0.261937107996376,0.21281506642525,1.52321095192729
CDC27,0.678379327709342,-1.51443927624411,0.129914464079447,0.410550935996294,1.12092915132833
HCCS,0.923439713845728,-0.196494525802513,0.844223116930111,0.417225598447159,2.04383649584597
DVL2,2.85150694586167,2.50117309698707,0.0123782661132735,1.25449797968239,6.48155038428677
