Tumor.sample.barcode	TME_Subtype	sampleID
TCGA-4N-A93T-01A-11R-A37K-07	Active immune	TCGA-4N-A93T-01A
TCGA-4T-AA8H-01A-11R-A41B-07	Active immune	TCGA-4T-AA8H-01A
TCGA-A6-2672-01A-01R-0826-07	Active immune	TCGA-A6-2672-01A
TCGA-A6-2676-01A-01R-0826-07	Active immune	TCGA-A6-2676-01A
TCGA-A6-2679-01A-02R-1410-07	Active immune	TCGA-A6-2679-01A
TCGA-A6-2686-01A-01R-A32Z-07	Active immune	TCGA-A6-2686-01A
TCGA-A6-3809-01A-01R-1022-07	Active immune	TCGA-A6-3809-01A
TCGA-A6-3809-01A-01R-A278-07	Active immune	TCGA-A6-3809-01A
TCGA-A6-5661-01A-01R-1653-07	Active immune	TCGA-A6-5661-01A
TCGA-A6-5665-01A-01R-1653-07	Active immune	TCGA-A6-5665-01A
TCGA-A6-6137-01A-11R-1774-07	Active immune	TCGA-A6-6137-01A
TCGA-A6-6138-01A-11R-1774-07	Active immune	TCGA-A6-6138-01A
TCGA-A6-6140-01A-11R-1774-07	Active immune	TCGA-A6-6140-01A
TCGA-A6-6141-01A-11R-1774-07	Active immune	TCGA-A6-6141-01A
TCGA-A6-6648-01A-11R-1774-07	Active immune	TCGA-A6-6648-01A
TCGA-A6-6649-01A-11R-1774-07	Active immune	TCGA-A6-6649-01A
TCGA-A6-6780-01A-11R-1839-07	Active immune	TCGA-A6-6780-01A
TCGA-A6-6780-01B-04R-A277-07	Active immune	TCGA-A6-6780-01B
TCGA-A6-6780-01A-11R-A278-07	Active immune	TCGA-A6-6780-01A
TCGA-A6-A565-01A-31R-A28H-07	Active immune	TCGA-A6-A565-01A
TCGA-AA-3495-01A-01R-1410-07	Active immune	TCGA-AA-3495-01A
TCGA-AA-3502-01A-01R-1410-07	Active immune	TCGA-AA-3502-01A
TCGA-AA-3506-01A-01R-1410-07	Active immune	TCGA-AA-3506-01A
TCGA-AA-3510-01A-01R-1410-07	Active immune	TCGA-AA-3510-01A
TCGA-AA-3516-01A-02R-0826-07	Active immune	TCGA-AA-3516-01A
TCGA-AA-3518-01A-02R-0826-07	Active immune	TCGA-AA-3518-01A
TCGA-AA-3522-01A-01R-0821-07	Active immune	TCGA-AA-3522-01A
TCGA-AA-3525-01A-02R-0826-07	Active immune	TCGA-AA-3525-01A
TCGA-AA-3530-01A-01R-1022-07	Active immune	TCGA-AA-3530-01A
TCGA-AA-3543-01A-01R-0826-07	Active immune	TCGA-AA-3543-01A
TCGA-AA-3544-01A-01R-1873-07	Active immune	TCGA-AA-3544-01A
TCGA-AA-3548-01A-01R-1873-07	Active immune	TCGA-AA-3548-01A
TCGA-AA-3552-01A-01R-0821-07	Active immune	TCGA-AA-3552-01A
TCGA-AA-3554-01A-01R-0826-07	Active immune	TCGA-AA-3554-01A
TCGA-AA-3556-01A-01R-0821-07	Active immune	TCGA-AA-3556-01A
TCGA-AA-3560-01A-01R-0821-07	Active immune	TCGA-AA-3560-01A
TCGA-AA-3663-01A-01R-1723-07	Active immune	TCGA-AA-3663-01A
TCGA-AA-3664-01A-01R-0905-07	Active immune	TCGA-AA-3664-01A
TCGA-AA-3666-01A-02R-0905-07	Active immune	TCGA-AA-3666-01A
TCGA-AA-3667-01A-01R-0905-07	Active immune	TCGA-AA-3667-01A
TCGA-AA-3672-01A-01R-0905-07	Active immune	TCGA-AA-3672-01A
TCGA-AA-3678-01A-01R-0905-07	Active immune	TCGA-AA-3678-01A
TCGA-AA-3680-01A-01R-0905-07	Active immune	TCGA-AA-3680-01A
TCGA-AA-3681-01A-01R-0905-07	Active immune	TCGA-AA-3681-01A
TCGA-AA-3685-01A-02R-A32Z-07	Active immune	TCGA-AA-3685-01A
TCGA-AA-3692-01A-01R-0905-07	Active immune	TCGA-AA-3692-01A
TCGA-AA-3697-01A-01R-1723-07	Active immune	TCGA-AA-3697-01A
TCGA-AA-3710-01A-01R-1022-07	Active immune	TCGA-AA-3710-01A
TCGA-AA-3713-01A-21R-1723-07	Active immune	TCGA-AA-3713-01A
TCGA-AA-3811-01A-01R-1022-07	Active immune	TCGA-AA-3811-01A
TCGA-AA-3815-01A-01R-1022-07	Active immune	TCGA-AA-3815-01A
TCGA-AA-3831-01A-01R-0905-07	Active immune	TCGA-AA-3831-01A
TCGA-AA-3841-01A-01R-0905-07	Active immune	TCGA-AA-3841-01A
TCGA-AA-3844-01A-01R-1022-07	Active immune	TCGA-AA-3844-01A
TCGA-AA-3845-01A-01R-1022-07	Active immune	TCGA-AA-3845-01A
TCGA-AA-3846-01A-01R-1022-07	Active immune	TCGA-AA-3846-01A
TCGA-AA-3848-01A-01R-0905-07	Active immune	TCGA-AA-3848-01A
TCGA-AA-3850-01A-01R-1022-07	Active immune	TCGA-AA-3850-01A
TCGA-AA-3851-01A-01R-1022-07	Active immune	TCGA-AA-3851-01A
TCGA-AA-3854-01A-01R-0905-07	Active immune	TCGA-AA-3854-01A
TCGA-AA-3855-01A-01R-1022-07	Active immune	TCGA-AA-3855-01A
TCGA-AA-3856-01A-01R-0905-07	Active immune	TCGA-AA-3856-01A
TCGA-AA-3861-01A-01R-1022-07	Active immune	TCGA-AA-3861-01A
TCGA-AA-3862-01A-01R-1022-07	Active immune	TCGA-AA-3862-01A
TCGA-AA-3869-01A-01R-1022-07	Active immune	TCGA-AA-3869-01A
TCGA-AA-3875-01A-01R-0905-07	Active immune	TCGA-AA-3875-01A
TCGA-AA-3930-01A-01R-1022-07	Active immune	TCGA-AA-3930-01A
TCGA-AA-3941-01A-01R-1022-07	Active immune	TCGA-AA-3941-01A
TCGA-AA-3949-01A-01R-1022-07	Active immune	TCGA-AA-3949-01A
TCGA-AA-3970-01A-01R-1022-07	Active immune	TCGA-AA-3970-01A
TCGA-AA-3971-01A-01R-1022-07	Active immune	TCGA-AA-3971-01A
TCGA-AA-3975-01A-01R-1022-07	Active immune	TCGA-AA-3975-01A
TCGA-AA-3980-01A-02R-1022-07	Active immune	TCGA-AA-3980-01A
TCGA-AA-3982-01A-02R-1022-07	Active immune	TCGA-AA-3982-01A
TCGA-AA-3986-01A-02R-1022-07	Active immune	TCGA-AA-3986-01A
TCGA-AA-3989-01A-01R-1022-07	Active immune	TCGA-AA-3989-01A
TCGA-AA-A004-01A-01R-A00A-07	Active immune	TCGA-AA-A004-01A
TCGA-AA-A00D-01A-01R-A002-07	Active immune	TCGA-AA-A00D-01A
TCGA-AA-A00E-01A-01R-A002-07	Active immune	TCGA-AA-A00E-01A
TCGA-AA-A00R-01A-01R-A002-07	Active immune	TCGA-AA-A00R-01A
TCGA-AA-A00U-01A-01R-A002-07	Active immune	TCGA-AA-A00U-01A
TCGA-AA-A00W-01A-01R-A002-07	Active immune	TCGA-AA-A00W-01A
TCGA-AA-A010-01A-01R-A089-07	Active immune	TCGA-AA-A010-01A
TCGA-AA-A01I-01A-02R-A089-07	Active immune	TCGA-AA-A01I-01A
TCGA-AA-A01P-01A-21R-A083-07	Active immune	TCGA-AA-A01P-01A
TCGA-AA-A01Q-01A-01R-A002-07	Active immune	TCGA-AA-A01Q-01A
TCGA-AA-A01R-01A-21R-A083-07	Active immune	TCGA-AA-A01R-01A
TCGA-AA-A01V-01A-23R-A083-07	Active immune	TCGA-AA-A01V-01A
TCGA-AA-A022-01A-21R-A16W-07	Active immune	TCGA-AA-A022-01A
TCGA-AA-A024-01A-02R-A00A-07	Active immune	TCGA-AA-A024-01A
TCGA-AA-A029-01A-01R-A00A-07	Active immune	TCGA-AA-A029-01A
TCGA-AA-A02R-01A-01R-A00A-07	Active immune	TCGA-AA-A02R-01A
TCGA-AA-A02Y-01A-43R-A32Y-07	Active immune	TCGA-AA-A02Y-01A
TCGA-AA-A03F-01A-11R-A16W-07	Active immune	TCGA-AA-A03F-01A
TCGA-AA-A03J-01A-21R-A16W-07	Active immune	TCGA-AA-A03J-01A
TCGA-AD-5900-01A-11R-1653-07	Active immune	TCGA-AD-5900-01A
TCGA-AD-6963-01A-11R-1928-07	Active immune	TCGA-AD-6963-01A
TCGA-AF-2691-01A-01R-0821-07	Active immune	TCGA-AF-2691-01A
TCGA-AF-2693-01A-02R-1736-07	Active immune	TCGA-AF-2693-01A
TCGA-AF-6136-01A-11R-1830-07	Active immune	TCGA-AF-6136-01A
TCGA-AF-6672-01A-11R-1830-07	Active immune	TCGA-AF-6672-01A
TCGA-AG-3580-01A-01R-0821-07	Active immune	TCGA-AG-3580-01A
TCGA-AG-3581-01A-01R-0821-07	Active immune	TCGA-AG-3581-01A
TCGA-AG-3583-01A-01R-0821-07	Active immune	TCGA-AG-3583-01A
TCGA-AG-3591-01A-01R-1736-07	Active immune	TCGA-AG-3591-01A
TCGA-AG-3593-01A-01R-0821-07	Active immune	TCGA-AG-3593-01A
TCGA-AG-3594-01A-02R-0821-07	Active immune	TCGA-AG-3594-01A
TCGA-AG-3598-01A-01R-0826-07	Active immune	TCGA-AG-3598-01A
TCGA-AG-3599-01A-02R-0826-07	Active immune	TCGA-AG-3599-01A
TCGA-AG-3600-01A-01R-0826-07	Active immune	TCGA-AG-3600-01A
TCGA-AG-3605-01A-01R-0826-07	Active immune	TCGA-AG-3605-01A
TCGA-AG-3608-01A-01R-0826-07	Active immune	TCGA-AG-3608-01A
TCGA-AG-3611-01A-01R-0826-07	Active immune	TCGA-AG-3611-01A
TCGA-AG-3725-01A-11R-1736-07	Active immune	TCGA-AG-3725-01A
TCGA-AG-3728-01A-01R-0905-07	Active immune	TCGA-AG-3728-01A
TCGA-AG-3732-01A-11R-1660-07	Active immune	TCGA-AG-3732-01A
TCGA-AG-3882-01A-01R-0905-07	Active immune	TCGA-AG-3882-01A
TCGA-AG-3885-01A-01R-0905-07	Active immune	TCGA-AG-3885-01A
TCGA-AG-3890-01A-01R-1119-07	Active immune	TCGA-AG-3890-01A
TCGA-AG-3892-01A-01R-1119-07	Active immune	TCGA-AG-3892-01A
TCGA-AG-3902-01A-01R-A32Z-07	Active immune	TCGA-AG-3902-01A
TCGA-AG-3909-01A-01R-1119-07	Active immune	TCGA-AG-3909-01A
TCGA-AG-A008-01A-01R-A002-07	Active immune	TCGA-AG-A008-01A
TCGA-AG-A00C-01A-01R-A002-07	Active immune	TCGA-AG-A00C-01A
TCGA-AG-A00Y-01A-02R-A002-07	Active immune	TCGA-AG-A00Y-01A
TCGA-AG-A01J-01A-01R-A00A-07	Active immune	TCGA-AG-A01J-01A
TCGA-AG-A01W-01A-21R-A083-07	Active immune	TCGA-AG-A01W-01A
TCGA-AG-A01Y-01A-41R-A083-07	Active immune	TCGA-AG-A01Y-01A
TCGA-AG-A020-01A-21R-A083-07	Active immune	TCGA-AG-A020-01A
TCGA-AG-A02G-01A-01R-A00A-07	Active immune	TCGA-AG-A02G-01A
TCGA-AG-A02N-01A-11R-A083-07	Active immune	TCGA-AG-A02N-01A
TCGA-AG-A02X-01A-01R-A00A-07	Active immune	TCGA-AG-A02X-01A
TCGA-AH-6547-01A-11R-1830-07	Active immune	TCGA-AH-6547-01A
TCGA-AY-4070-01A-01R-1113-07	Active immune	TCGA-AY-4070-01A
TCGA-AY-4071-01A-01R-1113-07	Active immune	TCGA-AY-4071-01A
TCGA-AY-5543-01A-01R-1653-07	Active immune	TCGA-AY-5543-01A
TCGA-AY-6197-01A-11R-1723-07	Active immune	TCGA-AY-6197-01A
TCGA-AY-6386-01A-21R-1723-07	Active immune	TCGA-AY-6386-01A
TCGA-AY-A71X-01A-12R-A37K-07	Active immune	TCGA-AY-A71X-01A
TCGA-AZ-4323-01A-21R-1839-07	Active immune	TCGA-AZ-4323-01A
TCGA-AZ-5407-01A-01R-1723-07	Active immune	TCGA-AZ-5407-01A
TCGA-AZ-6598-01A-11R-1774-07	Active immune	TCGA-AZ-6598-01A
TCGA-AZ-6599-01A-11R-1774-07	Active immune	TCGA-AZ-6599-01A
TCGA-AZ-6601-01A-11R-1774-07	Active immune	TCGA-AZ-6601-01A
TCGA-AZ-6606-01A-11R-1839-07	Active immune	TCGA-AZ-6606-01A
TCGA-CA-5796-01A-01R-1653-07	Active immune	TCGA-CA-5796-01A
TCGA-CA-6718-01A-11R-1839-07	Active immune	TCGA-CA-6718-01A
TCGA-CI-6619-01B-11R-1830-07	Active immune	TCGA-CI-6619-01B
TCGA-CK-4950-01A-01R-1723-07	Active immune	TCGA-CK-4950-01A
TCGA-CK-4952-01A-01R-1723-07	Active immune	TCGA-CK-4952-01A
TCGA-CK-5916-01A-11R-1653-07	Active immune	TCGA-CK-5916-01A
TCGA-CK-6746-01A-11R-1839-07	Active immune	TCGA-CK-6746-01A
TCGA-CM-4744-01A-01R-A32Z-07	Active immune	TCGA-CM-4744-01A
TCGA-CM-6161-01A-11R-1653-07	Active immune	TCGA-CM-6161-01A
TCGA-CM-6171-01A-11R-1653-07	Active immune	TCGA-CM-6171-01A
TCGA-D5-6530-01A-11R-1723-07	Active immune	TCGA-D5-6530-01A
TCGA-D5-6535-01A-11R-1723-07	Active immune	TCGA-D5-6535-01A
TCGA-D5-6539-01A-11R-1723-07	Active immune	TCGA-D5-6539-01A
TCGA-D5-6920-01A-11R-1928-07	Active immune	TCGA-D5-6920-01A
TCGA-D5-6928-01A-11R-1928-07	Active immune	TCGA-D5-6928-01A
TCGA-D5-6931-01A-11R-1928-07	Active immune	TCGA-D5-6931-01A
TCGA-DC-6160-01A-11R-1660-07	Active immune	TCGA-DC-6160-01A
TCGA-DM-A0X9-01A-11R-A155-07	Active immune	TCGA-DM-A0X9-01A
TCGA-DM-A1D4-01A-21R-A155-07	Active immune	TCGA-DM-A1D4-01A
TCGA-DM-A1DB-01A-11R-A155-07	Active immune	TCGA-DM-A1DB-01A
TCGA-DM-A1HA-01A-11R-A155-07	Active immune	TCGA-DM-A1HA-01A
TCGA-EI-6506-01A-11R-1736-07	Active immune	TCGA-EI-6506-01A
TCGA-EI-6510-01A-11R-1736-07	Active immune	TCGA-EI-6510-01A
TCGA-EI-6511-01A-11R-1736-07	Active immune	TCGA-EI-6511-01A
TCGA-EI-6881-01A-11R-A32Z-07	Active immune	TCGA-EI-6881-01A
TCGA-EI-6882-01A-11R-1928-07	Active immune	TCGA-EI-6882-01A
TCGA-EI-6883-01A-31R-1928-07	Active immune	TCGA-EI-6883-01A
TCGA-F4-6856-01A-11R-1928-07	Active immune	TCGA-F4-6856-01A
TCGA-F5-6814-01A-31R-1928-07	Active immune	TCGA-F5-6814-01A
TCGA-G4-6293-01A-11R-1723-07	Active immune	TCGA-G4-6293-01A
TCGA-G4-6295-01A-11R-1723-07	Active immune	TCGA-G4-6295-01A
TCGA-G4-6304-01A-11R-1928-07	Active immune	TCGA-G4-6304-01A
TCGA-G4-6306-01A-11R-1774-07	Active immune	TCGA-G4-6306-01A
TCGA-G4-6315-01A-11R-1723-07	Active immune	TCGA-G4-6315-01A
TCGA-G4-6320-01A-11R-1723-07	Active immune	TCGA-G4-6320-01A
TCGA-G4-6321-01A-11R-1723-07	Active immune	TCGA-G4-6321-01A
TCGA-G4-6323-01A-11R-1723-07	Active immune	TCGA-G4-6323-01A
TCGA-G4-6586-01A-11R-1774-07	Active immune	TCGA-G4-6586-01A
TCGA-G4-6625-01A-21R-1774-07	Active immune	TCGA-G4-6625-01A
TCGA-G4-6628-01A-11R-1839-07	Active immune	TCGA-G4-6628-01A
TCGA-G5-6235-01A-11R-1736-07	Active immune	TCGA-G5-6235-01A
TCGA-NH-A5IV-01A-42R-A37K-07	Active immune	TCGA-NH-A5IV-01A
TCGA-NH-A6GB-01A-11R-A37K-07	Active immune	TCGA-NH-A6GB-01A
TCGA-QG-A5YW-01A-11R-A28H-07	Active immune	TCGA-QG-A5YW-01A
TCGA-QG-A5YX-01A-11R-A28H-07	Active immune	TCGA-QG-A5YX-01A
TCGA-QG-A5Z2-01A-11R-A28H-07	Active immune	TCGA-QG-A5Z2-01A
TCGA-QL-A97D-01A-12R-A41B-07	Active immune	TCGA-QL-A97D-01A
TCGA-A6-2671-01A-01R-1410-07	Active stroma	TCGA-A6-2671-01A
TCGA-A6-2675-01A-02R-1723-07	Active stroma	TCGA-A6-2675-01A
TCGA-A6-2677-01B-02R-A277-07	Active stroma	TCGA-A6-2677-01B
TCGA-A6-2678-01A-01R-0821-07	Active stroma	TCGA-A6-2678-01A
TCGA-A6-2681-01A-01R-1410-07	Active stroma	TCGA-A6-2681-01A
TCGA-A6-2682-01A-01R-1410-07	Active stroma	TCGA-A6-2682-01A
TCGA-A6-2684-01C-08R-A277-07	Active stroma	TCGA-A6-2684-01C
