gene,HR,z,pvalue,lower,upper
SAMD11,1.09811955455671,0.426901551460509,0.669451035465418,0.714531832510073,1.68763167886271
NOC2L,1.0618151346669,0.266179259384242,0.790101155613699,0.682719569523003,1.65141213250324
KLHL17,1.11165693763117,0.555064968908694,0.578850222800902,0.764971929811445,1.61545946828154
PLEKHN1,0.982345208447851,-0.0836965541277872,0.933297696941521,0.647305696386379,1.49079810968393
C1ORF170,1.10327134836311,0.500224282183967,0.616917162347078,0.750664120837282,1.62150772140449
HES4,1.10527912472871,0.418617896543782,0.675495408082069,0.691730197358864,1.76606709989745
ISG15,0.934634822603712,-0.305500616415378,0.7599849005642,0.60574949072157,1.44208499553653
AGRN,0.840068715083099,-0.70042248911003,0.483663495692809,0.515855425863651,1.36804889641289
C1ORF159,1.15017423655988,0.623755059261843,0.532788457766322,0.741023632839294,1.78523425680407
TNFRSF18,0.845100937428976,-0.76659628868445,0.443321582755412,0.549585248420595,1.29951740243356
TNFRSF4,0.976002114228165,-0.105020316291201,0.916359687794792,0.620259314229308,1.53577722272733
SDF4,0.818982498812873,-0.815054760948522,0.415040965195967,0.506670841016824,1.32380290923334
B3GALT6,1.21060872753362,0.87445475094366,0.381870651934731,0.788792502399753,1.85799622425649
UBE2J2,1.02027213197247,0.0884016273845772,0.929557467895981,0.653840644539137,1.59206257973359
SCNN1D,1.30504431133042,1.39413834003037,0.163275833371503,0.897578163184673,1.89748450262318
ACAP3,1.27746706147845,1.17229642566909,0.241078066155726,0.84828831533545,1.92378235519732
PUSL1,1.17727578022555,0.749464637743058,0.45357720471002,0.768282453417838,1.80399572649345
CPSF3L,1.22748316427027,0.958973769033759,0.337571959775618,0.807391794824876,1.866150892571
DVL1,1.06584676691059,0.31085629512308,0.755909870908677,0.712980896136972,1.59335171066843
MXRA8,1.16986922053306,0.646898987280371,0.517697321309605,0.727270533029721,1.88182241819867
ATAD3A,1.09630832071628,0.402596943306487,0.687244758694464,0.700693629769875,1.71528879813917
TMEM240,0.900290487084178,-0.446046793567708,0.655563445075778,0.567461705645984,1.42833067512738
SSU72,0.988099698957068,-0.0535406639179378,0.957301131973672,0.637488502378734,1.53154293988976
C1ORF233,1.24063327931046,0.988343443768973,0.322984475675432,0.808986049619816,1.90259267691448
MIB2,1.13883880381773,0.53838935712851,0.590308272441868,0.70944031725005,1.82813661635172
CDK11B,1.02864705676069,0.120600097134642,0.904007791902786,0.650003929499505,1.62785903186334
SLC35E2B,0.996112910265359,-0.0169420255173859,0.986482866056223,0.634793961294958,1.56309131859601
NADK,0.9214004380159,-0.396904816097457,0.691437652573887,0.61502162275216,1.38040474638404
GNB1,0.992285268604512,-0.0351840126143374,0.971933010424064,0.644572147590508,1.52757151851845
TMEM52,0.974625748529258,-0.116725621744265,0.907077485846682,0.633012717300906,1.50059441735462
GABRD,1.29062672720796,1.17740216777891,0.239035025050519,0.844026742095113,1.97353622332954
PRKCZ,0.744973472557287,-1.26552906145886,0.205681737443266,0.472194936099671,1.17533127186463
C1ORF86,0.87024397210632,-0.560012635954047,0.575470818850722,0.535048628803527,1.4154312902005
SKI,0.948922407852379,-0.221383856866783,0.824793560960542,0.596552525297037,1.50942909122043
MORN1,0.914206117345695,-0.389345145439948,0.697020844453793,0.582023052060514,1.43597890501662
RER1,1.0015099276184,0.00627605931780292,0.994992462041249,0.625205990186112,1.60430666190455
PEX10,1.04323471534436,0.168958335232886,0.865829413826262,0.638477108815355,1.70458526433148
PLCH2,1.19234887169014,0.952495638117819,0.34084567702907,0.830208321542127,1.71245673517212
PANK4,0.95551564968702,-0.177777412152838,0.858897787247461,0.578579649229104,1.57801982495115
TNFRSF14,0.73588841144657,-1.47293481028415,0.14076861458334,0.489311031473129,1.10672296202072
FAM213B,1.32788650333055,1.24938233154775,0.211525267601583,0.851045254097767,2.07190223696951
MMEL1,1.30299992415192,1.54723502373425,0.121806583360837,0.93183342658759,1.82200890620265
ARHGEF16,1.11103120240876,0.420111840647893,0.674403753187632,0.679826029998276,1.81574443792478
MEGF6,0.889839133687353,-0.50828371718695,0.611254387452314,0.567354442395548,1.39562436578125
TPRG1L,1.13291722790957,0.565870066106156,0.571482111702941,0.735319000504884,1.7455028965837
WRAP73,1.22713303544931,0.979802335096766,0.327183699253832,0.81484640475804,1.84802372311894
TP73,1.09548482495725,0.408765748885715,0.682711577790441,0.707457587517845,1.6963377351315
SMIM1,0.723107841130232,-1.24687784826431,0.212442290231945,0.434394933476168,1.20370867523645
LRRC47,1.09404756643992,0.422172017358025,0.672899464730517,0.720788443529469,1.6605983189354
CEP104,1.08174840181472,0.420049095522894,0.674449588542474,0.749707597013779,1.56084800192732
DFFB,1.12487369478068,0.579380223937621,0.562332645015804,0.755486544010583,1.67486878388639
C1ORF174,1.01890715648036,0.0992742810608147,0.920920498265415,0.703936725457842,1.47480839680821
NPHP4,1.10338823014256,0.457417272339969,0.647371151864033,0.723842081931438,1.68194916654824
KCNAB2,0.862147834542806,-0.718451975805719,0.472478648938153,0.575236337819938,1.29216261167339
RPL22,0.890806543982626,-0.461308149638262,0.644577538813304,0.545039131980886,1.45592536799743
RNF207,0.971766096992127,-0.135806563927584,0.891974201877424,0.642765396193325,1.46916643748396
ICMT,0.805783631523821,-0.992628583645731,0.320890989807385,0.526071739523999,1.2342180962224
GPR153,0.847352970127936,-0.619028608656569,0.535897512359173,0.501536137704912,1.43161579396914
ACOT7,0.917996616977864,-0.364621003713115,0.715394334034038,0.579560848723058,1.45406265906256
HES2,1.21463359087118,1.14323348896279,0.252941661403789,0.870305954534286,1.69519092956463
ESPN,0.933366635830382,-0.315671985966014,0.75225149218638,0.608290379201554,1.43216678525285
TNFRSF25,1.05648653410483,0.248549479268519,0.803709291892959,0.68498658128607,1.62946811987065
PLEKHG5,0.956727232372857,-0.179579353502626,0.857482814677802,0.590345307746564,1.55049423642879
NOL9,0.890285216785696,-0.539502183333301,0.589540390862314,0.583677626293054,1.35795468512476
ZBTB48,0.976499180054695,-0.0986544014527692,0.921412674542801,0.608812410260068,1.56624706161979
KLHL21,0.983222103876979,-0.0710868777018393,0.943328611825584,0.616661672254634,1.56767600298189
