id,type,color,size,alpha,shape
P1,P,firebrick,7,0.8,15
P2,P,firebrick,4,0.9,15
P3,P,firebrick,8,0.8,15
P4,P,firebrick,9,0.6,15
P5,P,firebrick,10,0.7,15
P6,P,firebrick,4,0.9,15
P7,P,firebrick,3,0.6,15
P8,P,firebrick,3,0.5,15
P9,P,firebrick,10,1,15
P10,P,firebrick,7,1,15
P11,P,firebrick,10,1,15
P12,P,firebrick,5,0.9,15
P13,P,firebrick,5,0.8,15
P14,P,firebrick,8,0.9,15
P15,P,firebrick,5,0.9,15
P16,P,firebrick,10,0.5,15
P17,P,firebrick,6,0.5,15
P18,P,firebrick,5,1,15
P19,P,firebrick,4,0.5,15
P20,P,firebrick,10,1,15
P21,P,firebrick,6,0.8,15
P22,P,firebrick,4,0.7,15
P23,P,firebrick,3,0.7,15
P24,P,firebrick,4,1,15
P25,P,firebrick,9,0.8,15
P26,P,firebrick,4,0.5,15
P27,P,firebrick,9,0.9,15
P28,P,firebrick,9,0.7,15
P29,P,firebrick,9,0.9,15
P30,P,firebrick,10,1,15
RBP1,RBP,#F46D43,7,0.6,16
RBP2,RBP,#9E0142,9,0.5,16
RBP3,RBP,#FFFFBF,7,0.9,16
RBP4,RBP,#D53E4F,10,0.7,16
RBP5,RBP,#E6F598,6,0.7,16
RBP6,RBP,#FDAE61,6,0.7,16
RBP7,RBP,#FFFFBF,4,0.6,16
RBP8,RBP,#5E4FA2,3,0.9,16
RBP9,RBP,#F46D43,4,0.5,16
RBP10,RBP,#9E0142,3,0.5,16
RBP11,RBP,#F46D43,6,0.5,16
RBP12,RBP,#D53E4F,3,0.7,16
RBP13,RBP,#E6F598,8,0.5,16
RBP14,RBP,#FEE08B,10,0.6,16
RBP15,RBP,#3288BD,8,0.8,16
RBP16,RBP,#E6F598,6,1,16
RBP17,RBP,#D53E4F,9,0.6,16
RBP18,RBP,#F46D43,9,0.6,16
RBP19,RBP,#5E4FA2,4,0.7,16
RBP20,RBP,#F46D43,5,0.8,16
N1,N,dodgerblue,10,0.7,15
N2,N,dodgerblue,8,0.6,15
N3,N,dodgerblue,8,0.6,15
N4,N,dodgerblue,5,0.9,15
N5,N,dodgerblue,4,0.8,15
N6,N,dodgerblue,5,0.5,15
N7,N,dodgerblue,5,0.6,15
N8,N,dodgerblue,4,1,15
N9,N,dodgerblue,5,0.9,15
N10,N,dodgerblue,6,0.6,15
N11,N,dodgerblue,6,0.8,15
N12,N,dodgerblue,6,0.9,15
N13,N,dodgerblue,4,0.8,15
N14,N,dodgerblue,3,0.9,15
N15,N,dodgerblue,4,1,15
N16,N,dodgerblue,5,0.5,15
N17,N,dodgerblue,4,1,15
N18,N,dodgerblue,10,0.8,15
N19,N,dodgerblue,8,0.5,15
N20,N,dodgerblue,8,0.6,15
N21,N,dodgerblue,9,0.7,15
N22,N,dodgerblue,10,0.8,15
N23,N,dodgerblue,8,0.9,15
N24,N,dodgerblue,3,0.8,15
N25,N,dodgerblue,7,0.8,15
N26,N,dodgerblue,9,0.8,15
N27,N,dodgerblue,7,0.7,15
N28,N,dodgerblue,10,0.5,15
N29,N,dodgerblue,9,0.5,15
N30,N,dodgerblue,6,1,15
