id,type,color,size,alpha,shape
Gene1,Gene,#FEE08B,6,0.8,4
Gene2,Gene,#E6F598,10,0.5,14
Gene3,Gene,#3288BD,7,0.9,15
Gene4,Gene,#E6F598,5,0.8,3
Gene5,Gene,#9E0142,4,0.6,12
Gene6,Gene,#ABDDA4,10,0.8,2
Gene7,Gene,#5E4FA2,9,0.9,10
Gene8,Gene,#E6F598,5,0.9,13
Gene9,Gene,#5E4FA2,4,0.8,3
Gene10,Gene,#ABDDA4,6,0.7,13
Meth1,Meth,#9E0142,4,0.6,1
Meth2,Meth,#FDAE61,4,0.9,10
Meth3,Meth,#FFFFBF,10,0.9,14
Meth4,Meth,#E6F598,8,0.8,2
Meth5,Meth,#66C2A5,8,0.5,12
Meth6,Meth,#3288BD,3,0.5,1
Meth7,Meth,#FDAE61,5,1,10
Meth8,Meth,#9E0142,8,0.9,16
Meth9,Meth,#ABDDA4,4,0.7,7
Meth10,Meth,#ABDDA4,7,0.9,3
Mir1,Mir,#66C2A5,9,0.8,20
Mir2,Mir,#E6F598,3,0.6,7
Mir3,Mir,#E6F598,4,0.6,8
Mir4,Mir,#FEE08B,7,0.9,3
Mir5,Mir,#ABDDA4,4,1,14
Mir6,Mir,#F46D43,3,1,7
Drug1,Drug,#F46D43,5,1,9
Drug2,Drug,#FDAE61,8,0.9,20
Drug3,Drug,#5E4FA2,10,0.5,9
Drug4,Drug,#9E0142,3,0.6,3
Drug5,Drug,#FFFFBF,9,0.6,10
Drug6,Drug,#FEE08B,5,0.8,9
Drug7,Drug,#E6F598,4,1,10
Drug8,Drug,#3288BD,8,0.8,13
Tar1,Tar,#FFFFBF,6,0.6,16
Tar2,Tar,#9E0142,3,1,19
Tar3,Tar,#FDAE61,5,0.7,2
Tar4,Tar,#66C2A5,3,0.6,6
Tar5,Tar,#FEE08B,6,0.9,8
Tar6,Tar,#E6F598,5,0.8,15
Tar7,Tar,#F46D43,5,0.9,13
Tar8,Tar,#FEE08B,6,0.6,20
Path1,Path,#FFFFBF,7,0.5,2
Path2,Path,#E6F598,3,0.8,6
Path3,Path,#FDAE61,8,0.7,1
Path4,Path,#5E4FA2,7,0.7,20
Path5,Path,#FEE08B,9,0.8,8
Path6,Path,#D53E4F,10,0.8,2
