samID	pca1.A	pca1.B	ICI.score	subtype
HNSC-6998-01	-13.6225558987236	3.61519424144525	-17.2377501401689	A
HNSC-7423-01	-17.4412612226711	3.89223053773091	-21.333491760402	A
HNSC-A6C4-01	-5.52409548597254	3.65861180535535	-9.18270729132789	A
HNSC-6956-01	-18.2093829212066	3.92730580569293	-22.1366887268996	A
HNSC-7252-01	-4.52593529734971	3.20192603419993	-7.72786133154965	A
HNSC-4727-01	-12.5424304662326	0.741444233777146	-13.2838747000097	A
HNSC-A6WZ-01	-12.332486726656	0.778630045957605	-13.1111167726136	A
HNSC-A6VB-01	-14.0084834874561	0.592342599016022	-14.6008260864721	A
HNSC-6872-01	-10.0245525969771	3.61621088089664	-13.6407634778738	A
HNSC-6951-01	-11.1404040669474	1.35620093969007	-12.4966050066374	A
HNSC-A71E-01	-15.2217329410152	1.80243858461052	-17.0241715256257	A
HNSC-A45X-01	-14.6885248958673	4.37866228903507	-19.0671871849024	A
HNSC-5432-01	-8.06248039699914	3.00137290018374	-11.0638532971829	A
HNSC-A480-01	-8.48406418847895	3.21981088941232	-11.7038750778913	A
HNSC-5977-01	-16.7304134365638	2.21716771097409	-18.9475811475379	A
HNSC-6955-01	-7.42448987017653	-0.0646467819773075	-7.35984308819922	A
HNSC-4742-01	-2.43914579537481	3.08646531424549	-5.52561110962031	A
HNSC-A6DE-01	-10.8867036049698	2.84327924128332	-13.7299828462531	A
HNSC-6940-01	-3.52050020581075	1.2312263690535	-4.75172657486425	A
HNSC-A45O-01	-13.9388004177141	3.34648259821437	-17.2852830159285	A
HNSC-A4CE-01	-9.14991694819098	2.85187623024683	-12.0017931784378	A
HNSC-7372-01	-2.75100609969135	2.81380196886175	-5.5648080685531	A
HNSC-A51W-01	-12.060586420451	3.6173364475347	-15.6779228679857	A
HNSC-5973-01	-19.8673564202725	2.84158537018955	-22.7089417904621	A
HNSC-7089-01	-7.93789724586919	2.2394831909769	-10.1773804368461	A
HNSC-7432-01	-17.1555824268293	2.21190488949092	-19.3674873163202	A
HNSC-7631-01	-5.86551623817352	-6.22497464189457	0.359458403721052	A
HNSC-6950-01	-1.85739680580616	0.420311708947329	-2.27770851475349	A
HNSC-A63U-01	-12.0837176226726	-2.80019700461208	-9.28352061806054	A
HNSC-7414-01	-5.0298287431456	-3.03639295184838	-1.99343579129721	A
HNSC-A49A-01	-8.79432049623739	-0.338026688918926	-8.45629380731847	A
HNSC-A6T7-01	-13.3396427660611	1.93024457635177	-15.2698873424129	A
HNSC-A66T-01	-19.4094052756605	3.23857209878079	-22.6479773744413	A
HNSC-A6SG-01	-13.7163345776794	1.92010644790437	-15.6364410255838	A
HNSC-A63V-01	-2.81946730069967	1.00899175499292	-3.8284590556926	A
HNSC-A7GZ-01	-10.1933573506713	2.42237166847631	-12.6157290191476	A
HNSC-6869-01	-10.5532573155721	1.33517668954553	-11.8884340051177	A
HNSC-7071-01	-6.31807743849197	3.57964025387554	-9.8977176923675	A
HNSC-6441-01	-10.402085325256	-5.06799105943462	-5.33409426582134	A
HNSC-4227-01	-12.6176350244984	1.10024788185991	-13.7178829063583	A
HNSC-7434-01	-7.96336689052459	1.6268085178281	-9.59017540835268	A
HNSC-A6JU-01	-4.02066576085249	-3.93388494834153	-0.0867808125109617	A
HNSC-7365-01	-6.345493029382	3.72093939556286	-10.0664324249449	A
HNSC-A6IJ-01	-11.4574882412836	1.4825314141391	-12.9400196554228	A
HNSC-7588-01	-26.1295895315609	2.12583905991227	-28.2554285914732	A
HNSC-6988-01	-16.7195581341216	2.28180080509691	-19.0013589392185	A
HNSC-7430-01	-17.8175360022327	1.94666116783278	-19.7641971700654	A
HNSC-A61V-01	-9.47565208082624	1.86387933734187	-11.3395314181681	A
HNSC-A6TP-01	-10.7822515502064	-2.36818261713402	-8.41406893307238	A
HNSC-6003-01	-16.0642405490118	2.67335346156206	-18.7375940105739	A
HNSC-6491-01	-14.7215779344418	4.77638098548098	-19.4979589199228	A
HNSC-A7JF-01	-7.10513840036873	1.33083084462187	-8.4359692449906	A
HNSC-A6EO-01	-10.6110068394386	1.21669491036198	-11.8277017498005	A
HNSC-A4CI-01	-10.6651966326171	-0.51049826846479	-10.1546983641523	A
HNSC-5332-01	-3.84793866969307	4.50326010007647	-8.35119876976954	A
HNSC-A6T0-01	-17.9190984454307	1.54610802911377	-19.4652064745445	A
HNSC-6962-01	-10.3402963884197	-2.25358370943964	-8.08671267898007	A
HNSC-6223-01	-9.67417386629507	3.57652712543462	-13.2507009917297	A
HNSC-A6DL-01	-13.2807729864945	4.36772864804273	-17.6485016345373	A
HNSC-A6ES-01	-18.1722401191224	-0.280391412998996	-17.8918487061234	A
HNSC-6952-01	-5.96340100228631	3.34089991469264	-9.30430091697895	A
HNSC-A6T5-01	-9.1810852447308	3.02145184344637	-12.2025370881772	A
HNSC-8601-01	-21.0149886881172	0.929167017219723	-21.944155705337	A
HNSC-A622-01	-19.7516218764229	4.04230113206916	-23.7939230084921	A
HNSC-4074-01	-8.10311451068721	0.768811592020931	-8.87192610270814	A
HNSC-A641-01	-13.0864710475896	3.97250996396651	-17.0589810115561	A
HNSC-7177-01	-2.81528903546575	1.30435192283092	-4.11964095829667	A
HNSC-A4C1-01	-10.1293675861521	3.29684181364626	-13.4262093997984	A
HNSC-A51X-01	-9.9721302239505	3.85056813037921	-13.8226983543297	A
HNSC-6960-01	-13.0486097086443	3.33963872931222	-16.3882484379565	A
HNSC-7069-01	-10.4085839195228	3.73839826603279	-14.1469821855556	A
HNSC-5441-01	-7.44088774185078	2.31265229460587	-9.75354003645666	A
HNSC-A463-01	-16.3531541839453	3.00001610530225	-19.3531702892476	A
HNSC-7401-01	-1.7390663510536	1.50120968754873	-3.24027603860233	A
HNSC-A6II-01	-20.2074735266627	2.94636949857635	-23.1538430252391	A
HNSC-A5HU-01	-5.27541588462373	1.32037950029965	-6.59579538492338	A
HNSC-A7JS-01	-8.34199546193012	-1.11948970033132	-7.2225057615988	A
HNSC-4726-01	-9.84462886705009	3.73270673555337	-13.5773356026035	A
HNSC-6868-01	-12.922470518653	1.51293254669174	-14.4354030653448	A
HNSC-7390-01	-7.65316128135206	5.02570060902588	-12.6788618903779	A
HNSC-A4IF-01	-9.66823727727859	2.33429561551624	-12.0025328927948	A
HNSC-A6D8-01	-7.10610551153406	-3.85083847518203	-3.25526703635204	A
HNSC-A63W-01	-13.0051250264224	4.25016588409862	-17.255290910521	A
HNSC-5435-01	-8.0755384707716	-1.60770299575665	-6.46783547501495	A
HNSC-A6JM-01	-14.7345069177034	1.43935790952901	-16.1738648272324	A
HNSC-A5QF-01	-7.76067535828056	0.445757682789347	-8.20643304106991	A
HNSC-5440-01	-5.87017362815481	1.44654038796156	-7.31671401611638	A
HNSC-6229-01	-4.14860993936028	3.17662208930499	-7.32523202866527	A
