	B2M	TAP1	TAP2	HLA-A	HLA-B	HLA-C	HLA-DPA1	HLA-DPB1	HLA-E	HLA-F	PD-1	CTLA-4	LAG3	TIGIT	TIM3	PD-L1	PD-L2	CD27	ICOS	IDO1	Act CD4	Act CD8	Tem CD4	Tem CD8	MDSC	Treg
COAD-A6-2671-01A-01R-1410-07	3.71310843272678	2.94624491101503	1.3169747023759	4.56586750387503	4.63132038446835	4.65251220514918	2.21087593180542	2.95728644199903	3.81053336448053	2.25656553899209	-0.0950755550647839	-0.152565296433266	-0.613813189499096	0.241936509219043	-0.979711460212108	-0.205548024917016	-0.343376923108992	0.226771537403475	0.0142754242139706	-0.787670665419642	1.05873159291983	1.23435138333114	0.877453687864963	0.879728747342648	-1.55918012521344	-1.1713201350173
COAD-CM-5863-01A-21R-1839-07	4.31976541318354	2.62255941079556	1.35907821479541	4.54498363839622	4.55338182577346	4.57114785828326	2.15836558654451	2.72167076723709	4.17650436277718	2.36709759461736	0.258958606339853	0.125955752345438	-0.211702670824582	0.258958606339853	-0.892435904217241	-0.268796847132578	-0.227403270667802	0.676381348138468	-0.35704401608911	-0.802181519916484	1.11689550278352	1.15987538820522	0.910891365080473	1.06342965384251	-1.63290835963014	-1.13014916301721
COAD-A6-2676-01A-01R-0826-07	4.18609462339232	4.00462219221644	2.32450459114986	5.4558400211856	5.68936048449977	5.50248042391529	3.43235915925477	3.49898045229953	4.56870030241899	3.59642397953949	-0.97717082680018	-1.02274699139959	-1.33728460385464	-0.295385858330395	-1.62123555987746	-1.0462728755532	-1.05714047342147	0.552375059882761	0.488055448062996	-2.26967386202791	1.65924855712904	1.69918067210591	0.851953097210307	1.33876916005592	-1.96294404614173	-1.4581777054892
COAD-A6-2682-01A-01R-1410-07	4.40612684913404	2.59452898182583	0.889759209137901	4.76321719030403	4.54442173888027	4.62139650963342	2.1477258739544	2.72284899191594	3.78339466090658	2.25814261129651	0.294886091694998	0.000509208170985585	-0.384155257550888	0.120220785564729	-0.848424947023787	0.120220785564729	-0.328867759204931	0.744238828734989	-0.120220785564729	-0.551875355722178	1.17314742915065	1.35033983738995	0.856269235306992	0.803131196222081	-1.53008110043467	-1.25343919693856
COAD-AA-3553-01A-01R-0821-07	4.26495660421344	3.13121772709021	1.69162893515934	4.39665435827133	4.70595765001049	4.74932276499743	2.91218270467433	2.98294036470015	4.02990361098323	2.37689296290849	-0.560894592603642	-0.696099303701747	-0.491070565278076	-0.133318674370088	-1.0565782503138	-0.540068832663675	-0.504311414922051	1.01521818692707	0.565703349519555	-1.88828696974633	1.33250359439902	1.54892984973267	0.950248409790754	1.02356437567441	-1.58098246257021	-1.17147958103086
COAD-CM-6677-01A-11R-1839-07	4.12712858870742	2.9281113268712	1.58278296824984	4.33595534571043	4.53561773349948	4.77443833601672	2.06679869182893	2.56402183620483	3.98803310492073	2.529298462028	-0.405460707593766	-0.570108611649188	-0.552331517589343	-0.195885734845543	-0.731751960279127	-0.195885734845543	-0.314707590253934	0.979398239232879	0.17319462285987	-1.24442414497034	1.37084934670077	1.40600720178724	0.936663414685082	0.865222647904063	-1.36691497858231	-1.00732401568331
COAD-F4-6461-01A-11R-1774-07	4.2845500325039	2.78782463535913	1.42733987613814	4.66193208934161	4.66273890674398	4.58104607453203	2.37166745125861	2.77677042044994	4.26090989931088	2.58696423322212	-0.377274115069525	-1.09285531183835	-0.160855797528017	-0.176994786406274	-0.641020197329184	-0.290470317459209	0.0316161370453455	1.34875978851166	-0.0853201945175228	-0.609247181030429	1.2208839926601	1.323406402343	0.900269429983594	1.03075562939233	-1.60205085288107	-0.904422753082763
COAD-CA-6716-01A-11R-1839-07	3.76272155732545	2.06507121211312	1.10832701415158	4.18498548897711	3.90954421857115	3.86370195843644	0.932981584803278	1.76458684548178	3.51545183347475	1.56132280639326	0.385090511576528	0.221360932503655	0.236041746226005	0.403907252665385	-0.0661990418439667	0.221360932503655	0.385090511576528	0.137753695189124	-0.423269481849536	0.0579470944603255	0.886595209962184	0.97562209633798	0.923733981539739	0.624138194306746	-1.05946328480452	-0.661214489309834
COAD-AA-3989-01A-01R-1022-07	4.40591682753787	3.00866906178696	1.23652310162762	4.87605639091674	4.75872755461207	4.87586223430112	2.66978227928849	2.81851585509782	4.15805683809884	2.22524351892266	-0.871131304167615	-0.312520368044772	-1.04662027951408	-0.0330930652996794	-0.816185032945163	-0.190089775072165	-0.432532401352141	1.82487496390442	0.212049349292079	-1.37912758107403	1.16231666610425	1.49429104406023	0.841190683291279	0.9437822129768	-1.70319144653598	-1.0617236916175
COAD-CK-4948-01B-11R-1653-07	3.83246284228553	2.55600014587794	1.47665236104892	4.13882394376582	4.20095287616686	4.39659312543866	2.09690666602843	2.37899413899705	3.67594120239119	2.19923198478009	-0.146890107506279	-0.343372395455021	0.0117118336436078	0.0196556127729673	-0.909870275477279	-0.0652799980134733	-0.0722810415109623	0.459572400548698	0.262880018060258	-0.409623933316565	1.32021254997415	1.21926745582425	0.907736509049192	0.839265910780551	-1.48808568872855	-1.13765970834718
