,TCGA-3X-AAV9-01,TCGA-3X-AAVA-01,TCGA-3X-AAVB-01,TCGA-3X-AAVC-01,TCGA-3X-AAVE-01,TCGA-4G-AAZO-01,TCGA-4G-AAZT-01,TCGA-W5-AA2G-01,TCGA-W5-AA2H-01,TCGA-W5-AA2I-01,TCGA-W5-AA2O-01,TCGA-W5-AA2Q-01,TCGA-W5-AA2T-01,TCGA-W5-AA2U-01,TCGA-W5-AA2W-01,TCGA-W5-AA2X-01,TCGA-W5-AA2Z-01,TCGA-W5-AA30-01,TCGA-W5-AA31-01,TCGA-W5-AA33-01,TCGA-W5-AA34-01,TCGA-W5-AA36-01,TCGA-W5-AA38-01,TCGA-W5-AA39-01,TCGA-W6-AA0S-01,TCGA-WD-A7RX-01,TCGA-YR-A95A-01,TCGA-ZD-A8I3-01,TCGA-ZH-A8Y1-01,TCGA-ZH-A8Y2-01,TCGA-ZH-A8Y4-01,TCGA-ZH-A8Y5-01,TCGA-ZH-A8Y6-01,TCGA-ZH-A8Y8-01,TCGA-ZU-A8S4-01,TCGA-W5-AA2I-11,TCGA-W5-AA2Q-11,TCGA-W5-AA2R-11,TCGA-W5-AA2U-11,TCGA-W5-AA2X-11,TCGA-W5-AA30-11,TCGA-W5-AA31-11,TCGA-W5-AA34-11,TCGA-ZU-A8S4-11
NFYA,1042,1495,1520,750,1121,1004,488,2004,886,1472,562,2458,1287,1610,1528,2937,1287,1755,2814,1511,1237,1144,1188,429,773,1186,1289,1253,1470,2083,1486,3756,1022,973,901,297,276,461,481,509,396,568,551,324
MYH16,75,19,60,9,7,4,11,19,11,6,16,5,11,4,41,13,6,13,10,12,1,1,4,7,45,3,5,43,5,20,129,9,4,148,131,3,0,0,1,2,2,1,2,0
LAP3,3367,2217,3456,5889,8485,3375,3060,4325,4347,2334,2538,4277,3607,5386,4163,1520,7199,4962,4246,4164,3214,2713,3834,3544,4625,6525,3650,2830,3096,1541,4919,4448,5166,4892,6323,3730,3446,5104,4090,3132,3603,5244,5037,4673
MAD1L1,57,14,18,16,12,6,10,13,185,10,9,6,8,10,8,35,10,18,18,33,8,19,4,12,22,34,5,4,3,5,7,3,6,32,26,4,17,13,12,8,6,4,1,10
KLHL13,194,76,90,513,29,88,123,125,34,11,90,169,26,39,102,35,413,365,112,750,341,47,28,22,78,90,181,15,81,191,101,256,677,78,19,62,79,115,190,102,72,139,117,98
CYP26B1,104,47,42,34,228,12,0,321,219,251,12,3314,3025,91,52,199,556,83,8216,193,476,125,21,75,417,54,26,1633,841,134,171,759,119,454,71,28,55,10,14,21,39,37,82,6
ARHGAP33,264,426,415,611,495,323,246,492,978,634,681,754,2297,903,576,310,461,1006,383,564,306,330,467,609,1316,562,524,663,439,316,369,967,1074,408,444,73,103,71,110,188,171,78,55,51
ABCB5,7,16,4,72,4,17,0,19,3,1,1,37,3,2,5,1,3,16,11,8,13,0,8,1,38,0,0,2,8,1,10,6,1,34,4,1,0,0,0,0,2,0,0,0
POLR2J,1336,1600,2715,1619,1487,572,4007,1569,1939,2832,2479,1259,1215,1353,1154,2052,1014,1492,1524,984,1990,2020,2630,676,1762,1749,1520,975,953,1784,2076,2273,1556,1618,1767,1125,784,820,926,809,845,795,1084,821
MAP3K9,286,338,682,185,520,134,146,359,416,198,315,600,431,378,948,1660,425,368,2215,974,251,307,529,278,471,215,826,794,420,659,412,298,2049,357,185,81,39,118,89,138,56,86,103,45
PHTF2,931,533,1413,623,1134,397,584,918,2114,979,692,867,720,1131,1604,689,1347,1102,4199,1355,928,357,1021,278,1119,1129,897,759,1395,793,776,1654,701,827,1074,187,247,224,305,218,256,219,260,247
TRAPPC6A,964,1567,1308,1660,1133,566,4046,1829,2363,2689,2836,1568,1964,1299,1760,1848,1003,1197,1930,1366,1150,2528,1740,255,4802,2022,1827,886,941,951,964,1902,1329,1492,365,662,536,522,817,611,738,711,1056,631
SCN4A,44,13,5,13,6,5,41,25,74,48,11,8,14,91,37,15,36,29,41,76,5,38,35,78,12,53,44,9,28,42,34,17,210,31,4,6,33,23,10,32,30,19,12,21
RHBDF1,3124,3065,5808,3453,2161,2251,1926,4460,519,3799,3006,8534,3175,3058,2463,1593,2269,2750,7752,2633,4648,2022,2639,368,3693,2774,2391,2937,5220,2503,2065,9532,2798,4974,1684,241,211,383,212,435,376,192,213,150
NADK,2028,1379,3281,2894,3454,991,878,3146,3884,1380,2085,1559,2848,1595,1339,4284,2196,2730,5525,2102,1409,1284,2047,1919,1872,2256,1593,2431,1293,1721,1808,1759,4295,2267,1842,2821,1940,2470,1568,2256,2036,3047,3212,2862
ADAM22,441,182,1030,139,412,33,26,71,250,390,17,99,261,691,468,135,453,370,69,449,35,210,11,75,336,352,184,158,97,447,320,116,14,194,85,28,11,19,13,24,34,13,11,8
PLEKHG6,1404,322,938,2498,912,360,653,419,13,1844,667,1369,2076,2073,121,881,2065,1276,2540,706,2389,349,1814,180,661,1669,850,1084,1690,325,602,6055,853,1331,187,261,169,126,116,148,141,169,184,143
TENM1,30,13,11,585,34,39,7,92,51,12,17,16,0,8,44,7,77,5,58,76,12,2,2,20,9,45,193,9,18,33,93,3,149,25,12,1227,235,889,350,694,284,612,1071,408
DYRK4,577,302,606,250,693,337,1152,504,1363,703,690,440,820,473,630,410,868,554,788,489,1299,357,568,145,682,779,715,731,274,299,103,2025,424,651,951,236,175,179,228,222,248,185,301,191
STAB1,4236,1909,2914,1643,2441,781,1666,2426,4134,436,3735,1500,787,2285,1013,1291,2780,3608,4090,3478,1518,2038,1829,703,2973,3152,1369,1962,1868,1436,1592,1226,3422,2913,7410,1465,3412,2871,1692,4878,2972,2995,2346,3662
HFE,781,662,1020,602,870,475,211,1479,294,1149,1156,2023,1135,1264,1349,1015,1341,702,1677,1039,943,951,1307,890,552,912,457,1388,1021,1571,1445,822,1702,528,889,564,383,481,506,618,642,788,750,522
SCMH1,1303,796,1725,1715,2199,743,2702,1091,1262,1286,1310,2034,2036,2648,916,835,4338,2362,2160,1169,3022,855,1198,766,2515,1288,612,1059,1915,3181,1733,1456,3476,2437,1326,349,200,372,341,415,363,351,371,248
FYN,2682,846,1327,1180,1547,291,478,810,6671,140,1093,618,622,748,486,5841,1055,1215,1496,1899,1030,548,281,134,837,1588,612,545,1057,520,377,1151,2361,2051,3406,1081,848,873,839,996,1103,1375,1180,1332
ELOA,1607,1162,1802,1815,1306,665,1031,1194,1737,935,1199,1521,1246,1294,883,2655,986,1343,1906,1980,1051,640,1093,1304,960,1428,1209,1158,1080,1173,1052,1669,4394,1831,2288,1548,826,1415,1891,1529,1541,1761,1648,2043
DPF1,23,4,13,13,11,7,16,15,12,19,31,7,19,10,9,9,4,8,12,17,10,17,15,13,64,10,9,27,13,27,14,16,16,13,41,0,2,0,0,1,0,0,1,1
PIK3C2A,2526,1758,2613,3454,2200,1316,613,2028,851,719,1913,2537,1132,4039,1696,2669,3107,4735,3302,3825,1420,786,1264,1075,2155,1388,1572,2786,2400,3153,1872,3180,5087,2829,1268,777,568,1701,727,1148,947,1227,1390,1101
MAP4K5,2347,1069,2574,1945,294,1932,412,2657,852,1614,1905,1755,1105,2264,1544,1981,2661,1590,2911,2694,1607,273,2015,415,2548,1541,1930,2746,2427,1356,3946,4131,2297,2101,1285,337,332,630,445,515,463,499,585,427
CD6,1009,231,255,301,937,85,234,325,7691,53,41,78,46,339,278,66,130,420,208,767,165,118,158,25,394,1191,145,105,118,87,106,62,57,534,420,57,193,114,87,169,229,57,61,87
DPEP1,778,105,1277,8620,101,24,304,24,495,0,7,44,15,69,21,1682,76,353,40,129,17,40,3,13,18,165,7,78,21,390,25,57,14,44,11,1,7,1,5,14,9,2,6,1
STMN4,6,1,8,2,1,1,0,0,4,3,1,0,1,1,2,0,0,4,0,1,0,0,0,1,1,3,2,0,0,3,2,0,1,7,1,2,2,0,1,0,0,0,0,0
IL20RA,679,53,1772,552,408,1064,36,24,5,689,34,2170,844,2509,20,1239,588,668,1164,3135,1308,46,2,74,192,1518,129,506,1332,54,138,2058,379,482,323,14,26,22,36,35,35,17,19,35
CLCA4,11,0,10,29,1,0,0,0,1,0,0,1,0,0,0,4,0,2,1,0,0,0,0,0,0,1,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0
GLT8D1,2350,1618,3259,1339,1622,821,1373,1529,1626,1367,1496,2897,1875,1293,1288,1160,1872,1474,4003,1660,1331,1603,1280,309,1664,1996,2423,1727,1067,1757,2050,4043,2840,1933,3006,1626,1252,1053,1495,1370,1554,1422,1600,959
MARCO,228,73,510,283,74,26,21,2074,1174,26,76,38,8,96,14,33,233,91,489,235,43,80,9,2,633,256,274,47,71,25,82,4,2,403,352,212,3908,1704,1722,1240,1205,1938,1199,2467
PRDM11,866,380,302,291,727,759,603,395,594,445,277,549,568,1533,1164,594,1312,526,334,686,585,710,1753,245,510,343,387,827,1374,1713,713,902,433,642,170,93,74,125,123,173,162,90,142,103
ZRANB1,852,526,407,397,582,408,53,540,186,132,453,1552,672,810,672,531,871,409,860,989,470,202,667,313,652,425,371,632,657,577,326,925,1077,912,267,487,359,498,554,435,297,968,783,732
CCT8L1P,0,1,1,0,0,0,0,0,2,0,1,0,0,0,1,3,1,1,0,0,0,10,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
ZNF839,259,167,401,291,284,152,36,189,446,144,363,545,389,290,579,170,504,316,435,485,183,96,232,89,168,204,364,390,222,221,244,361,468,335,321,139,107,98,141,147,122,201,164,115
ZDHHC6,1790,2182,1741,1513,1426,1693,1390,1932,1876,1206,1907,3662,2176,2268,1011,3040,1460,1536,1284,2012,1503,1560,1630,948,2050,1881,2388,1916,778,1659,1303,2382,2536,1937,1311,784,537,978,824,800,797,920,1016,780
HSD17B6,115,40,274,8,38,0,5,4168,32,69,1057,25,54,29,68,59,55,40,3933,2462,13,7,161,12891,29,3920,1712,28,27,51,511,29,134,1833,60,36555,15207,32048,22335,21955,24211,51604,28838,36558
POU2F2,509,201,385,234,486,38,95,132,5985,42,108,60,47,121,64,188,130,316,229,359,72,86,91,22,179,497,89,89,111,212,69,64,52,573,256,32,116,33,41,77,93,47,58,67
ARNTL2,1207,427,4059,407,3108,468,296,1007,352,507,1229,806,1498,4954,545,1069,3760,3506,3832,912,2742,504,768,165,3458,1031,859,1923,3730,1905,2116,1847,1711,2156,7857,112,115,637,125,243,181,139,187,284
NUP160,1899,1703,2256,1855,2136,1006,640,1976,1566,913,1720,2793,1335,3308,2237,3254,3620,1737,2681,1856,1556,1031,1248,781,2152,1366,839,2319,2827,3307,1970,3523,2574,2451,1720,639,496,821,779,802,783,1005,1137,717
IKZF2,707,114,702,51,352,32,18,116,575,106,53,931,316,92,69,197,208,290,218,233,110,15,7,167,395,204,163,92,68,176,73,308,192,505,510,92,85,53,50,166,101,129,178,108
FAM13B,756,1006,845,486,1994,569,418,809,1268,940,637,1338,1044,1941,791,411,2034,1148,1819,1593,654,705,1441,265,973,1038,787,1223,664,1310,1169,1471,1428,1231,634,272,214,389,225,299,322,305,346,320
RANBP3,2557,3191,3339,2283,3166,1924,3272,1962,4134,3425,3273,3080,3635,2903,2231,1965,2938,3484,4853,3315,3247,3326,3881,1027,3464,3030,2449,2921,2166,3138,3374,4123,2847,3355,3563,945,909,847,963,1031,996,1082,1212,799
CHPF2,4245,1417,3748,1593,3118,1438,1223,2386,2247,1154,2156,2869,1789,2192,1637,3485,2356,2343,5868,2357,2943,1545,2380,396,3360,2007,1511,2453,2007,2842,2435,3785,2370,4168,6038,686,776,918,548,968,821,830,879,746
SLC4A7,638,278,1402,669,919,197,40,1396,512,96,474,672,178,631,930,597,1088,1210,800,1482,213,101,160,63,514,381,478,1253,3842,453,348,3350,1127,1518,1147,71,93,197,148,278,153,169,275,248
APBA2,468,324,600,72,808,689,1007,370,1240,1523,16,802,78,67,942,42,149,699,444,157,528,577,500,33,138,164,59,243,1079,58,1878,1113,203,227,141,15,83,44,27,38,82,34,41,56
DAPK2,418,190,308,903,322,153,226,265,497,146,307,235,506,798,116,81,408,955,566,82,827,70,804,127,641,451,63,192,398,1374,116,79,4232,1026,134,93,82,161,80,129,84,106,83,59
TIMP2,26830,22473,17230,2279,20152,4018,5955,29518,2618,2987,13901,17610,9032,16922,7181,1879,18713,14251,16182,14169,9715,12124,17543,3365,39349,7217,6919,24529,11423,11867,42153,21208,17187,26988,9963,1498,3128,1531,1802,3001,3341,1689,1906,2153
RPL26L1,512,886,726,402,1130,366,1156,824,497,1237,1134,587,892,785,881,635,1020,645,1264,597,846,1056,1370,471,1120,828,837,810,520,845,1111,845,545,1016,2089,439,234,363,322,335,339,394,470,419
DNAH5,325,446,399,4,659,198,2555,355,13,475,284,394,1237,1130,368,319,1626,502,256,399,529,11904,152,1012,421,781,275,2251,1627,518,418,511,71,884,258,61,8,95,60,150,59,29,74,129
PHLPP2,353,472,345,927,541,557,221,1620,308,380,786,390,915,1360,390,285,604,469,817,1182,336,399,681,183,1396,550,452,1085,298,1155,264,412,654,1127,484,135,159,521,163,183,189,186,345,185
CDH10,2,0,33,3,5,0,0,0,24,0,0,0,3,0,13,0,0,0,1,1,0,1,0,0,0,0,1,0,0,0,17,0,2,1,0,0,0,0,0,0,1,0,1,0
PARP3,1409,1848,1447,1032,2063,1295,1471,1276,1511,1362,1285,3264,1864,1490,2324,376,1779,1243,902,1653,1332,2162,2147,375,1786,1796,2572,2425,1317,1381,2379,2166,1599,2059,1765,765,437,423,529,655,624,675,730,425
THAP3,529,476,590,654,389,210,809,301,1012,618,381,444,475,387,261,567,588,471,407,410,643,721,437,224,427,544,401,628,332,387,364,558,854,425,546,359,258,167,226,244,230,192,260,183
JADE2,2513,3492,3216,1588,5690,1673,2944,2092,5333,1291,2128,2321,2790,6469,2995,835,4227,2075,3274,2921,3044,2246,1312,1106,3012,2374,1504,2262,1122,3648,4439,5225,2912,2700,2613,218,343,296,275,375,349,233,283,257
GEMIN8,744,1144,788,1124,863,705,1213,538,815,612,624,1417,750,1074,1853,838,1593,1106,978,1214,2117,1269,947,133,2289,1270,887,1313,1962,695,1202,1313,1318,1538,537,222,182,253,171,201,243,215,299,197
FAM214A,1023,1159,754,1122,1152,710,335,744,1726,902,1362,1427,1507,1604,1079,489,1404,1284,1483,1672,826,424,906,857,881,1240,1090,1269,1195,1601,1077,2138,6302,1841,549,1154,560,826,916,1155,911,1783,1714,1858
MAP4,11245,15642,12232,8674,18070,5540,9715,15040,6282,6110,12219,18200,9099,14164,11547,6189,13885,11249,21296,10390,8970,9133,15799,3050,16815,8247,7330,10485,8530,14321,16467,25702,52540,14517,23428,3508,2609,2369,1770,4493,3632,4569,4413,3762
USP28,829,624,917,1575,702,267,322,734,1002,660,493,1137,647,316,794,1757,1038,833,957,1309,796,586,626,449,1083,719,414,839,876,594,633,1005,1570,1110,891,543,334,455,499,360,508,680,702,421
