,Category,ID,Description,GeneRatio,BgRatio,pvalue,p.adjust,qvalue,geneID,Count
8918,H,HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION,HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION,96/801,200/4383,6.11845516672083e-23,3.05922758336042e-21,2.12535811054513e-21,SDC1/MFAP5/LAMC2/LAMA3/SFRP1/PLAUR/SDC4/ITGA2/MYLK/OXTR/IL32/FSTL3/PRSS2/ID2/PTHLH/MMP1/DKK1/TGM2/CXCL1/SLC6A8/PCOLCE/PRRX1/SPOCK1/SPP1/MGP/COL3A1/GLIPR1/IGFBP2/FBLN1/COL6A3/PMP22/PCOLCE2/TIMP1/COL1A2/EMP3/CDH11/NID2/LAMC1/MMP2/TGFB1/WNT5A/ANPEP/BGN/COL5A2/TPM2/IGFBP4/COL6A2/SPARC/HTRA1/SERPINH1/ADAM12/BDNF/COL4A2/THY1/COL5A3/COL4A1/LGALS1/SNAI2/GPX7/CALU/LOXL2/DPYSL3/ECM2/FBLN5/DST/POSTN/COL7A1/ACTA2/FLNA/IGFBP3/NT5E/FUCA1/ITGA5/COL1A1/TIMP3/SGCB/TGFBR3/ECM1/FZD8/FSTL1/AREG/FBN1/SERPINE1/SERPINE2/GEM/CDH2/LOX/VIM/CRLF1/MYL9/VEGFC/ITGB5/DCN/NNMT/PTX3/FBN2,96
8919,H,HALLMARK_ESTROGEN_RESPONSE_LATE,HALLMARK_ESTROGEN_RESPONSE_LATE,76/801,200/4383,1.33097271906924e-11,3.3274317976731e-10,2.31168945943605e-10,KLK10/CDH1/KRT13/TRIM29/FGFR3/SCNN1A/GJB3/MAPK13/LSR/ST14/CA2/AGR2/CELSR2/NMU/KLK11/TSPAN13/LAMC2/ST6GALNAC2/FRK/HSPB8/PKP3/TFAP2C/TJP3/FLNB/TIAM1/KLF4/PERP/SLC7A5/NRIP1/SNX10/SULT2B1/ATP2B4/OVOL2/ADD3/TPD52L1/CKB/CD9/EGR3/SLC27A2/LLGL2/ISG20/ID2/SFN/HOMER2/SLC9A3R1/CYP4F11/CLIC3/ANXA9/PTPN6/S100A9/FABP5/PPIF/EMP2/FAM102A/RPS6KA2/ALDH3B1/UGDH/ARL3/IGFBP4/IL6ST/CHPT1/PAPSS2/FKBP5/CAV1/SLC26A2/PRSS23/XBP1/AREG/CDC6/TOP2A/GINS2/SERPINA5/ACOX2/CDC20/CA12/KIF20A,76
8920,H,HALLMARK_ESTROGEN_RESPONSE_EARLY,HALLMARK_ESTROGEN_RESPONSE_EARLY,73/801,200/4383,3.12691502494326e-10,5.21152504157209e-09,3.6206384499343e-09,KLK10/KRT13/AQP3/SCNN1A/ELF3/KRT18/CELSR2/MREG/ZNF185/CLDN7/SLC2A1/CALB2/LAD1/DHRS3/FRK/KRT15/HSPB8/TFAP2C/TJP3/KRT8/FLNB/HES1/TIAM1/KLF4/SLC7A5/P2RY2/NRIP1/MAST4/WWC1/PMAIP1/ENDOD1/SULT2B1/OVOL2/ADD3/ABLIM1/TPD52L1/IGF1R/RHOD/EGR3/SLC27A2/CANT1/SFN/UGCG/SLC9A3R1/CLIC3/ANXA9/PPIF/AKAP1/TGM2/FAM102A/RHOBTB3/RPS6KA2/ALDH3B1/ARL3/MYBL1/TMEM164/IGFBP4/DLC1/IL6ST/LRIG1/OLFML3/CHPT1/PAPSS2/FKBP5/MLPH/MYC/SLC26A2/PRSS23/XBP1/NAV2/AREG/CA12/STC2,73
8921,H,HALLMARK_TNFA_SIGNALING_VIA_NFKB,HALLMARK_TNFA_SIGNALING_VIA_NFKB,65/801,200/4383,5.1937184916449e-07,6.49214811455612e-06,4.51033447958636e-06,SERPINB2/IL18/IL1A/LAMB3/HBEGF/EFNA1/IFIH1/HES1/MXD1/CFLAR/KLF4/DDX58/BMP2/IL1B/PLAUR/SERPINB8/PTGS2/SDC4/SNN/CXCL10/SPHK1/EGR3/MAP3K8/CCL5/FOSL2/LIF/GCH1/MAFF/B4GALT5/PLAU/ID2/LITAF/SPSB1/EDN1/SMAD3/PLK2/CXCL11/RIPK2/REL/ZC3H12A/F2RL1/CXCL1/BIRC3/TNIP1/PHLDA1/TSC22D1/KLF9/EGR1/IL6ST/DUSP4/MCL1/MYC/PTGER4/KYNU/IRS2/ATP2B1/FUT4/AREG/SERPINE1/GEM/DUSP1/GFPT2/DNAJB4/TNFAIP6/PTX3,65
8922,H,HALLMARK_KRAS_SIGNALING_UP,HALLMARK_KRAS_SIGNALING_UP,64/801,200/4383,1.18210166957385e-06,1.18210166957385e-05,8.21249580967096e-06,SLPI/MAP7/MMP10/CA2/MALL/HBEGF/TSPAN1/HDAC9/TSPAN13/ALDH1A3/KLF4/JUP/BMP2/IL1B/PLAUR/PTGS2/GALNT3/MMP9/PCSK1N/ITGA2/CXCL10/SOX9/PRDM1/EMP1/STRN/PTPRR/LIF/PLAU/ID2/MYCN/LAT2/F2RL1/BIRC3/WNT7A/PRRX1/SPP1/SPARCL1/ETV1/DUSP6/CMKLR1/CFH/GNG11/ITGBL1/CBR4/APOD/NRP1/SPRY2/LAPTM5/AKAP12/TFPI/ETV5/TMEM158/PECAM1/TMEM100/EREG/ANKH/CCND2/GPNMB/IGFBP3/FUCA1/BTBD3/PTCD2/ANGPTL4/GFPT2,64
8923,H,HALLMARK_UV_RESPONSE_DN,HALLMARK_UV_RESPONSE_DN,49/801,144/4383,3.22315625667647e-06,2.6859635472304e-05,1.8660378328127e-05,INPP4B/ZMIZ1/DLG1/RND3/ATP2B4/ADD3/IGF1R/RASA2/NEK7/RBPMS/SMAD3/ARHGEF9/VLDLR/GRK5/COL3A1/LTBP1/PMP22/NRP1/COL1A2/LAMC1/PTGFR/KCNMA1/DDAH1/COL5A2/DLC1/PPARG/TFPI/PRKCA/MTA1/BDNF/SYNE1/SNAI2/SDC2/CAV1/FBLN5/MYC/TGFBR2/HAS2/AMPH/MT1E/COL1A1/TGFBR3/ADORA2B/ATP2B1/MAP1B/SERPINE1/DUSP1/FZD2/PTPRM,49
8924,H,HALLMARK_INFLAMMATORY_RESPONSE,HALLMARK_INFLAMMATORY_RESPONSE,58/801,200/4383,9.96555559685555e-05,0.000711825399775397,0.000494531330370276,IL18/IL1A/TNFSF10/ITGB8/HBEGF/MXD1/IL1B/PLAUR/RTP4/IL4R/P2RY2/GNA15/SLC31A2/CXCL10/FZD5/SPHK1/LYN/CD55/IRF7/TLR1/CCL5/LIF/GCH1/ABI1/EDN1/NOD2/PTAFR/SEMA4D/BST2/CXCL11/RIPK2/ADM/SLC11A2/LAMP3/CMKLR1/TIMP1/EMP3/CALCRL/ROS1/CHST2/EREG/MYC/HAS2/PTGER2/PTGER4/IL1R1/AXL/ITGA5/ADORA2B/ATP2B1/PDPN/SERPINE1/PCDH7/LY6E/CD70/FPR1/TNFAIP6/CSF3,58
8925,H,HALLMARK_P53_PATHWAY,HALLMARK_P53_PATHWAY,57/801,200/4383,0.000191756927114641,0.0011984807944665,0.000832628762471466,KLK8/TGFA/IL1A/ST14/KRT17/HBEGF/SDC1/TM4SF1/UPP1/VDR/NDRG1/MXD1/KLF4/BMP2/PERP/CEBPA/CASP1/TPD52L1/SPHK1/WWP1/GLS2/CTSD/ZNF365/LIF/SFN/CDK5R1/PLK2/VAMP8/DEF6/BAIAP2/EPS8L2/ZBTB16/STEAP3/EPHX1/TSC22D1/TGFB1/ALOX15B/MXD4/SESN1/S100A4/CCNG1/PROCR/ZFP36L1/PRMT2/PMM1/TSPYL2/CCND2/RB1/F2R/FUCA1/CDH13/ZMAT3/DDIT3/FDXR/CCNK/PDGFA/CYFIP2,57
8926,H,HALLMARK_APOPTOSIS,HALLMARK_APOPTOSIS,47/801,161/4383,0.000385002722887421,0.00213890401604123,0.00148597542167075,ERBB3/IL18/IL1A/TNFSF10/KRT18/BIK/CFLAR/HSPB1/BMP2/IL1B/ANXA1/GNA15/PMAIP1/CASP1/TIMP2/EGR3/EMP1/ISG20/GCH1/CASP4/BIRC3/TIMP1/LEF1/MMP2/SLC20A1/BGN/IGFBP6/MCL1/HMGB2/DAP/CAV1/EREG/ANKH/NEDD9/CDC25B/CCND2/NEFH/F2R/DPYD/TIMP3/TGFBR3/FEZ1/IFITM3/TOP2A/DDIT3/FDXR/DCN,47
8927,H,HALLMARK_IL2_STAT5_SIGNALING,HALLMARK_IL2_STAT5_SIGNALING,55/801,199/4383,0.000577205200054104,0.00288602600027052,0.00200502858966162,TNFSF10/CA2/IRF6/MYO1E/DHRS3/PRKCH/SYNGR2/IL1R2/PLSCR1/NDRG1/MXD1/TIAM1/PIM1/BMP2/IL4R/HK2/TNFRSF21/SMPDL3A/CXCL10/IGF1R/GABARAPL1/ITGA6/EMP1/MAP3K8/SLC39A8/FURIN/LIF/MAFF/IL1RL1/TGM2/RRAGD/ADAM19/CCNE1/SPP1/PRAF2/PHLDA1/NRP1/ARL4A/LRIG1/SPRY4/COL6A1/MYC/SOCS2/PTGER2/CCND2/NT5E/SPRED2/XBP1/ECM1/PHTF2/CDC6/IFITM3/SYT11/ENPP1/FAH,55
