,Category,ID,Description,GeneRatio,BgRatio,pvalue,p.adjust,qvalue,geneID,Count
1,C2,ONDER_CDH1_TARGETS_2_DN,ONDER_CDH1_TARGETS_2_DN,285/817,473/21587,3.43806317676833e-295,1.54953507376948e-291,9.96676419875786e-292,KLK10/FXYD3/KLK7/SPRR1B/KLK8/SPRR1A/RAB25/CDH1/KRT13/AQP3/CLDN1/ANXA3/KRT16/IVL/KRT81/SLPI/LCN2/KLK5/ERBB3/TMPRSS11E/NCF2/MAP7/SERPINB2/GPRC5A/TRIM29/S100A14/CD24/SPINT1/ITGB6/C1orf116/LYPD3/IGSF3/SPINT2/CEACAM6/FGFR3/SCNN1A/KRT6A/CDH3/GJB3/VGLL1/DSC2/MAPK13/INPP4B/LSR/IL18/ATP12A/TGFA/SERPINB7/KCNK1/SCEL/HERC6/IL1RN/EPS8L1/IL1A/TNFSF10/ST14/MMP10/CRCT1/CA2/CKMT1B/ZBED2/IRF6/PRRG4/CDS1/KRT18/FGFBP1/COL17A1/CELSR2/SLC5A1/MREG/ZNF185/CXADR/KRT17/RAB38/LAMB3/MALL/SYK/CLDN7/S100A7/NMU/HBEGF/EPN3/SPAG1/PRSS8/TSPAN1/EPHA1/TACSTD2/FLRT3/KLK11/KRT14/MYO1E/CST6/ST6GALNAC5/LRRC1/PRKCZ/ARHGAP8/SDC1/DDR1/FGFR2/ZHX2/MFAP5/SERINC5/HOOK1/CNTNAP2/AP1M2/LAD1/TMEM51/HDAC9/SEMA3F/ANK3/EHF/TSPAN13/DUSP10/ELMO3/BIK/CYB5R1/TMEM40/KRT6B/CLDN4/LAMC2/FRMD4B/SERPINB13/ST6GALNAC2/DSC3/KRT15/TMPRSS4/PKP3/SLC20A2/SERPINB1/ARHGEF5/MYO1D/PSTPIP2/ALDH1A3/KLF5/LAMA3/UPP1/EFNA1/CEACAM1/PRKCH/KRT5/PTPRF/KRT8/GJB5/AMPD3/TFCP2L1/FLNB/IFIH1/MIA/RAPGEF5/VDR/DAPP1/KIAA0040/HES1/DSG3/SFRP1/IL1R2/CORO1A/GRHL2/NDRG1/SOX15/JUP/STAP2/DDX58/IRX4/BMP2/IL1B/PERP/CYP1A1/DSP/CTSC/SEMA3A/CAMK2N1/DUOX1/FST/RIMS3/IL4R/RPS6KA1/ZDHHC13/SIRPA/PTGS2/TNFRSF21/CREG1/SLC7A5/B4GALT4/PI3/P2RY2/GALNT3/TMEM30B/FGD6/MAST4/MMP9/MTUS1/SDC4/PPL/EPB41L4B/WWC1/ABCA12/FZD3/GNA15/ITGA2/SNX10/SLC31A2/IL13RA2/ATP2B4/OVOL2/CASP1/ABLIM1/TPD52L1/SERPINB3/DHRS1/STAC/SOX9/FZD5/TFRC/LYN/CD9/KCNG1/MBP/TINAGL1/NFE2L3/RHOD/CD55/RNF128/TMEM132A/ITGA6/LIMK2/TIAF1/XDH/CYB5R2/CTSH/RIPK4/ANXA8/SLC39A8/MTSS1/BACE2/F11R/GPR87/ISG20/EXPH5/MYO5C/SEMA3C/CSTA/GCH1/ARTN/OAS3/ZNF165/PARP12/GCLC/DMD/PLAU/HOXA1/SFN/PAK6/SLC12A8/HLA-DOB/SAA1/SMPDL3B/PTHLH/PTPN3/RLN2/EDN1/CORO2A/S100P/CDK5R1/MMP1/PTAFR/PLK2/CYP4F11/MST1R/HS3ST1/S100A9/S100A8/HOOK2/VSNL1/HPSE/MAP3K9/ZC3H12A/AKAP1/ARHGEF3/EPS8L2/CXCL1/BIRC3/ARHGAP25/SLC6A8/GNAL,285
2,C2,JAEGER_METASTASIS_DN,JAEGER_METASTASIS_DN,124/817,258/21587,8.54696916680918e-107,1.92605950174045e-103,1.23886068870487e-103,KLK10/FXYD3/KLK7/SPRR1B/KLK8/SPRR1A/RAB25/CDH1/AQP3/KRT16/IVL/SLPI/ZNF750/MAP7/TRIM29/S100A14/CD24/C1orf116/LYPD3/SPINT2/FGFR3/SCNN1A/KRT6A/CDH3/GJB3/DSC2/MAPK13/LSR/SCEL/ST14/CA2/CKMT1B/ZBED2/CALML5/IRF6/CDS1/FGFBP1/COL17A1/ZNF185/CXADR/KRT17/LAMB3/SLC2A1/S100A7/NMU/KRT23/TUFT1/PRSS8/TACSTD2/KLK11/KRT14/CST6/SDC1/FGFR2/CALML3/LAD1/ANK3/EHF/TM4SF1/ELMO3/KRT6B/LAMC2/SERPINB13/DSC3/KRT15/PKP3/TFAP2C/KLF5/LAMA3/KRT5/DSG3/IL1R2/GRHL2/MYO6/KLF4/SOX15/JUP/STAP2/IRX4/BBOX1/PERP/DSP/NLRX1/DUOX1/FST/PKP1/PI3/CTNND1/MAST4/PPL/ABCA12/GNA15/MAF/KRT33A/ABLIM1/TPD52L1/SERPINB3/ALDH3B2/CLTB/BICD2/SSH3/EFS/SPINK5/ANXA8/GPR87/PALMD/EXPH5/CSTA/SFN/PAK6/S100P/PRSS3/SERPINB4/MST1R/CLIC3/LY6D/S100A9/S100A8/VSNL1/CDA/GATA3/DEFB1/F2RL1/COBL,124
3,C2,LIN_SILENCED_BY_TUMOR_MICROENVIRONMENT,LIN_SILENCED_BY_TUMOR_MICROENVIRONMENT,62/817,107/21587,4.68147797769824e-60,7.03314041516199e-57,4.52378608792314e-57,KLK10/SPRR1A/KRT13/SPRR3/ANXA3/IVL/KRT81/LCN2/ERBB3/GPRC5A/CEACAM6/ELF3/VGLL1/DSC2/INPP4B/SCEL/IL1RN/EPS8L1/CRCT1/GDPD3/MALL/CLDN7/KRT23/TUFT1/TRIM2/RAB11FIP1/CST6/SAMD9/VTCN1/ALDH1A3/CEACAM1/DAPP1/MXD1/MYO6/KLK6/KRT7/PSCA/CAMK2N1/RARRES1/MUC16/PTGS2/B4GALT4/PI3/AZGP1/SOX9/EGR3/SLCO3A1/EMP1/TLR1/CRIM1/APOBEC3A/SLC6A14/SYTL2/TMOD3/S100P/GABRP/CLIC3/DAPK1/PINK1/DKK1/GCNT3/SH3TC2,62
4,C2,CHARAFE_BREAST_CANCER_LUMINAL_VS_MESENCHYMAL_UP,CHARAFE_BREAST_CANCER_LUMINAL_VS_MESENCHYMAL_UP,105/817,453/21587,7.07886236655086e-53,7.97610817151118e-50,5.13031235723186e-50,FXYD3/RAB25/CDH1/ERBB3/MAP7/S100A14/CD24/SPINT1/LYPD3/SPINT2/CEACAM6/CDH3/ELF3/LSR/EPS8L1/CRABP2/ST14/CKMT1B/AGR2/IRF6/OCLN/BSPRY/PRRG4/CDS1/MREG/CLDN7/KRT23/DAAM1/TUFT1/EPN3/PCDH1/PRSS8/TSPAN1/EPHA1/GRB7/ARHGAP8/ABCG1/BLNK/DDR1/ZHX2/HOOK1/AP1M2/LAD1/SEMA3F/ANK3/EHF/TSPAN13/ELMO3/BIK/CLDN4/ST6GALNAC2/PKP3/ARHGEF5/MYO1D/TJP3/SYNGR2/KIAA0040/GRHL2/MYO6/IRX5/JUP/TTC9/CAMK2N1/SH3YL1/PPFIBP2/OVOL1/CEBPA/TMEM30B/DLG3/ABCA12/RNF103/ULK1/AZGP1/SULT2B1/RUSC1/OVOL2/EPHB3/TPD52L1/CASZ1/SPTLC2/ALDH3B2/SSH3/LIMK2/LLGL2/PPP1R3D/F11R/EXPH5/MYO5C/ZNF165/RMND5B/SMPDL3B/USP18/S100P/SLC9A3R1/EFNA4/ANXA9/RAB27B/PTPN6/S100A8/HOOK2/RAB3D/PAQR4/EMP2/GATA3/FAM102A,105
5,C2,COLDREN_GEFITINIB_RESISTANCE_DN,COLDREN_GEFITINIB_RESISTANCE_DN,77/817,228/21587,5.73549779563877e-52,5.16997771298879e-49,3.32538124825035e-49,FXYD3/RAB25/CDH1/ERBB3/S100A14/SPINT1/ITGB6/C1orf116/CDH3/ELF3/MAPK13/LSR/SCEL/EPS8L1/ST14/AGR2/IRF6/BSPRY/PRRG4/CDS1/FGFBP1/RAB38/CLDN7/EPN3/PRSS8/TSPAN1/EPHA1/TACSTD2/CST6/BLNK/DDR1/AP1M2/LAD1/EHF/ELMO3/BIK/TMEM40/CLDN4/LAMC2/FRMD4B/KRT15/TMPRSS4/MYO1D/ALDH1A3/TJP3/RNF141/DAPP1/KIAA0040/GRHL2/PSD4/MYO6/STAP2/KLK6/SH3YL1/OVOL1/TJP2/GALNT3/TMEM30B/PPL/GAB1/SLC35A3/ENDOD1/OVOL2/RHOD/ACPP/RIPK4/CNKSR1/GCA/GPR87/EXPH5/SMPDL3B/PRSS22/MST1R/ANXA9/HS3ST1/VAMP8/EPS8L2,77
6,C2,CHARAFE_BREAST_CANCER_BASAL_VS_MESENCHYMAL_UP,CHARAFE_BREAST_CANCER_BASAL_VS_MESENCHYMAL_UP,59/817,125/21587,3.90711987594399e-50,2.93489821347992e-47,1.88775581374557e-47,FXYD3/RAB25/CDH1/KRT16/SLPI/LCN2/KLK5/TRIM29/S100A14/CD24/SPINT1/ITGB6/C1orf116/SPINT2/SCNN1A/CDH3/GJB3/ELF3/KCNK1/ST14/CKMT1B/IRF6/BSPRY/PRRG4/CDS1/FGFBP1/EPN3/PRSS8/EPHA1/TACSTD2/BLNK/LAD1/EHF/ELMO3/KRT15/PKP3/KRT5/KIAA0040/DSG3/GRHL2/KLK6/SH3YL1/OVOL1/TMEM30B/PPL/MAF/OVOL2/SSH3/RHOD/LIMK2/F11R/ZNF165/LITAF/S100P/PTPN6/S100A8/RNF39/HOOK2/SLC11A2,59
7,C2,ONDER_CDH1_TARGETS_3_DN,ONDER_CDH1_TARGETS_3_DN,42/817,59/21587,1.01883294603364e-46,6.55982869681945e-44,4.21934726823556e-44,KLK10/KLK7/KRT13/IVL/LCN2/TMPRSS11E/SERPINB2/GPRC5A/C1orf116/CEACAM6/VGLL1/DSC2/ATP12A/TGFA/SCEL/MMP10/CRCT1/S100A7/HBEGF/EPN3/SPAG1/KLK11/ST6GALNAC5/MFAP5/EHF/SERPINB13/KRT15/SERPINB1/KRT8/IL1R2/IL1B/FST/PTGS2/PI3/P2RY2/SOX9/CYB5R2/MYO5C/PTHLH/EDN1/CXCL1/ARHGAP25,42
8,C2,WU_CELL_MIGRATION,WU_CELL_MIGRATION,65/817,183/21587,1.49797205154559e-45,8.43920004539497e-43,5.42817767099547e-43,FXYD3/RAB25/CDH1/AQP3/SLPI/TRIM29/S100A14/CD24/SPINT1/SCNN1A/CDH3/GJB3/VGLL1/MAPK13/KCNK1/IL1A/ST14/AGR2/KRT18/CXADR/KRT17/CLDN7/NMU/TACSTD2/CST6/LAD1/EHF/TM4SF1/TSPAN13/CLDN4/PKP3/KLF5/LAMA3/JUP/PERP/KRT7/CSTB/SH3YL1/SIRPA/PTGS2/TNFRSF21/GALNT3/TMEM30B/MTUS1/PPL/SOX9/CD55/RNF128/SLC27A2/CTSH/ANXA8/GPR87/RBPMS/SFN/UGCG/S100P/BST2/RGS20/DAPK1/FABP5/CDA/GATA3/F2RL1/TGM2/CXCL1,65
9,C2,HOLLERN_EMT_BREAST_TUMOR_DN,HOLLERN_EMT_BREAST_TUMOR_DN,55/817,123/21587,3.58407603240333e-45,1.79482563089354e-42,1.15444975359518e-42,FXYD3/RAB25/CDH1/CLDN1/ERBB3/MAP7/CD24/SPINT1/SPINT2/CDH3/DSC2/LSR/KCNK1/EPS8L1/ST14/IRF6/EFNA3/OCLN/BSPRY/CELSR2/ZNF185/CXADR/CLDN7/PRSS8/EPHA1/GRB7/DDR1/AP1M2/CALML3/EHF/ELMO3/CLDN4/KRT15/PKP3/TFAP2C/CEACAM1/SORT1/TJP3/PTPRF/GRHL2/JUP/STAP2/DSP/PPFIBP2/OVOL1/TMEM30B/EPB41L4B/WWC1/LLGL2/RIPK4/C1orf56/CLIC3/PPIF/ARHGEF16/EPS8L2,55
10,C2,ZHANG_RESPONSE_TO_IKK_INHIBITOR_AND_TNF_UP,ZHANG_RESPONSE_TO_IKK_INHIBITOR_AND_TNF_UP,68/817,223/21587,1.18192501815053e-42,5.32693605680444e-40,3.42633842103848e-40,SPRR1A/CLDN1/SPRR3/LYPD3/IL1RN/IL1A/TNFSF10/MMP10/IRF6/ITGB8/LAMB3/HBEGF/RAB11FIP1/PPARD/HDAC9/TM4SF1/KRT6B/FRMD4B/SERPINB1/EFNA1/IFIH1/DAPP1/C3orf52/STARD5/IL1R2/MXD1/DDX58/SPRR2C/BMP2/IL1B/PLAUR/PI3/MFHAS1/MAST4/IFIT1/SDC4/ABCA12/NEDD4L/CXCL10/LYN/MARCKSL1/TRIM38/SLCO3A1/GLS/N4BP1/IL32/CCL5/ISG20/LIF/GCH1/ZNF165/GCLC/MAFF/B4GALT5/PLAU/OASL/SPSB1/EDN1/USP18/SMAD3/RHOF/PTAFR/RIPK2/ZC3H12A/CXCL1/BIRC3/AMOTL2/TNIP1,68
