GBM	LGG	CESC	LUAD	COAD	BRCA	ESCA	SARC	KIRP	STAD	PRAD	UCEC	HNSC	KIRC	LUSC	THYM	LIHC	THCA	MESO	READ	PAAD	OV	TGCT	PCPG	SKCM	UVM	UCS	BLCA	ACC	KICH	CHOL	DLBC
YTHDC1	0	0	0	0	0	0	0	0	0	0	0	0	0	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
IGF2BP1	0	1	0	1	0	0	0	0	0	1	0	0	0	1	0	0	0	1	1	0	1	0	0	0	1	1	-1	0	1	1	0	0
IGF2BP2	0	1	0	1	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	1	0	0	0	0	-1	0	1	0	0	0	0
IGF2BP3	0	1	0	1	1	0	0	1	1	0	0	0	0	1	0	0	1	0	1	0	0	0	0	0	0	1	0	1	0	0	0	0
YTHDF1	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	0	0	1	0	1	-1	0	0	0	0	0	1	0	0	0	0	0	0
YTHDF3	0	0	0	0	0	1	0	0	0	0	0	0	0	-1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
YTHDC2	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
HNRNPA2B1	0	1	0	1	0	0	0	1	0	0	0	0	0	0	0	-1	1	0	1	0	0	0	0	0	0	0	0	0	1	1	0	0
YTHDF2	0	1	0	0	0	0	0	1	0	0	0	-1	0	-1	0	0	1	0	0	-1	0	0	0	0	0	0	0	0	1	1	0	0
HNRNPC	-1	0	0	1	0	0	0	1	1	0	0	0	0	-1	0	-1	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0
RBMX	0	0	0	0	0	0	1	1	0	0	0	0	0	-1	0	0	1	0	0	0	0	0	0	1	1	0	0	0	1	0	0	0
METTL3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	-1	0	-1	0	0	0	0	0	0	0	1	1	0	0
METTL14	0	0	1	0	0	0	0	0	0	0	0	0	0	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
WTAP	0	0	0	0	0	0	0	0	1	0	0	0	0	-1	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
KIAA1429	0	0	0	1	1	0	0	0	1	0	0	0	0	1	0	-1	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
RBM15	0	1	0	1	0	0	0	0	0	0	0	0	0	-1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	1	-1	0
RBM15B	0	0	0	0	0	0	0	0	0	0	0	0	0	-1	0	0	1	0	0	0	0	0	0	0	0	-1	0	0	1	0	0	0
ZC3H13	0	0	1	0	0	0	0	0	0	0	0	0	0	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FTO	0	0	0	0	0	0	0	0	0	0	0	0	0	-1	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0
ALKBH5	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	1	0	0
