Rank	Score	Type	ID	Name	Description
10	99.33	cp	BRD-A68631409	evodiamine	ATPase inhibitor
11	99.3	cp	BRD-K95402279	geranylgeraniol	Farnesyltransferase inhibitor
12	99.3	cp	BRD-K36324071	NF-449	Purinergic receptor antagonist
13	99.26	cp	BRD-A04352665	maraviroc	CC chemokine receptor antagonist
14	99.19	cp	BRD-K64451768	GANT-58	GLI antagonist
15	99.12	cp	BRD-A04706586	bucladesine	Adenosine receptor agonist
18	99.08	cp	BRD-A67373739	AICA-ribonucleotide	AMPK activator
21	98.7	cp	BRD-K86465814	HO-013	PPAR receptor agonist
22	98.63	cp	BRD-K80527266	triacsin-c	Adrenergic receptor antagonist
23	98.61	cp	BRD-K40892394	AR-C133057XX	Nitric oxide synthase inhibitor
25	98.52	cp	BRD-K54256913	MK-1775	WEE1 kinase inhibitor
26	98.48	cp	BRD-K06878038	deferiprone	Chelating agent
27	98.48	cp	BRD-K17349619	HLI-373	MDM inhibitor
30	98.24	cp	BRD-K14329163	BAY-K8644	Calcium channel activator
31	98.23	cp	BRD-K16554956	PTB1	AMPK activator
32	98.14	cp	BRD-K48935217	epothilone	Microtubule inhibitor
33	98.13	cp	BRD-K77793136	hydroxyfasudil	Rho associated kinase inhibitor
35	97.99	cp	BRD-K83636919	entacapone	Catechol O methyltransferase inhibitor
36	97.93	cp	BRD-K92492521	LY-255283	Leukotriene receptor antagonist
41	97.55	cp	BRD-K64785675	TG100-115	-666
43	97.46	cp	BRD-K48427617	U-0124	MEK inhibitor
49	97.15	cp	BRD-K14550461	doxercalciferol	Vitamin D receptor agonist
52	96.99	cp	BRD-K57926513	tyrphostin-AG-1295	PDGFR receptor inhibitor
56	96.85	cp	BRD-K63265447	docetaxel	Tubulin inhibitor
57	96.83	cp	BRD-K89162000	tandutinib	FLT3 inhibitor
58	96.83	cp	BRD-A62182663	YK-4279	Apoptosis stimulant
60	96.69	cp	BRD-K74236984	UNC-0321	Histone lysine methyltransferase inhibitor
62	96.61	cp	BRD-K08640512	RS-100329	Adrenergic receptor antagonist
69	96.23	cp	BRD-A73680854	PT-630	Dipeptidyl peptidase inhibitor
70	96.21	cp	BRD-K15402119	huperzine-a	Acetylcholinesterase inhibitor
76	95.78	cp	BRD-K19416115	sitagliptin	Dipeptidyl peptidase inhibitor
84	95.24	cp	BRD-A32161980	carbetocin	Oxytocin receptor agonist
87	95.08	cp	BRD-K01192156	tyrphostin-AG-112	Protein tyrosine kinase inhibitor
89	95	cp	BRD-K20285085	fostamatinib	SYK inhibitor
92	94.83	cp	BRD-A24543851	nornicotine	Acetylcholine receptor agonist
93	94.75	cp	BRD-K05926469	lenalidomide	Antineoplastic
96	94.52	cp	BRD-K22631935	neurodazine	Neurogenesis of non-pluripotent C2C12 myoblast inducer
