id	fc	log2fc	pvalue	padj
CLEC4G	0.0162215961313152	-5.94594040860177	2.8239092646039e-81	9.08988153183349e-77
CLEC4M	0.0600507340774239	-4.0576743078174	5.86416735675946e-79	9.4380841523365e-75
CLEC1B	0.10094557619594	-3.30835040700176	3.12066867110514e-78	3.34837346180677e-74
GDF2	0.0473802199468426	-4.39957129395127	3.71007665682827e-75	2.98559143766613e-71
INS-IGF2	0.0359812667737092	-4.79661021007869	6.380409261092e-71	4.10757987410581e-67
STAB2	0.140785652670791	-2.8284277770724	2.79340522644955e-70	1.49861534723641e-66
BMPER	0.20666354386822	-2.27464417985032	7.54622141113742e-65	3.47007601433004e-61
COLEC10	0.0527193868812008	-4.24552259766462	1.1701559729985e-64	4.70826882685611e-61
CRHBP	0.0309885547414844	-5.01212071835865	4.52185073808537e-64	1.61726503786922e-60
FCN2	0.0181626968851739	-5.7828777528953	2.25433317783e-59	7.25647306611698e-56
FCN3	0.0283073368906894	-5.14268016060585	1.83004062902711e-54	5.35519798252305e-51
NTF3	0.231171709310613	-2.11296324261378	7.76121581865254e-54	2.08188146655506e-50
SLC26A6	7.48520614124737	2.90404204839593	2.69073943461933e-52	6.66247782007397e-49
CCT3	3.88407275286806	1.95757022424293	1.65260640055568e-51	3.79969624482049e-48
UBE2T	13.913340533198	3.79839694122886	7.22271145502922e-51	1.54994572683957e-47
PLVAP	8.40026132714394	3.07043420997594	2.26351325310985e-50	4.55376425652205e-47
CDKN3	13.3100607217138	3.73444524785884	2.46086465054595e-50	4.65957483743669e-47
PPOX	3.44526478741877	1.78461486618527	4.04258836895847e-49	7.22927094491135e-46
MXD3	7.48379200902865	2.9037694634808	9.46145623756485e-49	1.60292007805776e-45
VIPR1	0.156392899382786	-2.6767530826116	2.30535581237037e-48	3.7103549122195e-45
DNAJB11	3.01422540442664	1.59178730601647	7.33628590300246e-48	1.12451289015117e-44
RSPO3	0.231780631266405	-2.10916808222464	2.51086403490719e-47	3.67373647361944e-44
CCNB1	14.8357843256525	3.89100929489853	3.62672923231953e-47	5.07568640257101e-44
FLAD1	3.28879716304223	1.71756003252815	3.94118437573486e-47	5.28594932793873e-44
ABHD12	3.14223829268188	1.65179259203715	9.23258258478292e-47	1.18875040328631e-43
BMP10	0.314032493618679	-1.67101424928275	1.05350293646398e-46	1.30427715468612e-43
PTH1R	0.118284605399492	-3.07966577403325	2.4333002926824e-46	2.90094456004273e-43
CDCA5	10.9279631737968	3.44995262189025	3.26161418021907e-46	3.74957495882399e-43
SCAMP3	4.15822667831812	2.0559684062895	4.56931713686944e-46	5.07178445926519e-43
E2F1	16.8065856945663	4.07095476164891	5.48439444192247e-46	5.88457242303474e-43
PSMB4	2.89399404761512	1.53306195452859	7.70303894950494e-46	7.99848776598756e-43
AZI1	5.48046882626485	2.45429931369609	9.88899879239389e-46	9.94740569151147e-43
VPS72	3.77174667927852	1.91523278396074	1.35954773597537e-45	1.32613582040337e-42
AURKA	8.55634694867589	3.09699498308569	2.16846728242917e-45	2.05296451041508e-42
BIRC5	17.5264765296164	4.13146408504187	2.59088252718827e-45	2.38279764764752e-42
SLC41A3	3.27114510090773	1.7097957556656	2.76245239810816e-45	2.47001611785287e-42
CENPW	10.4652232787237	3.38753118714712	4.21783341170853e-45	3.66940107268881e-42
DDX41	2.70918762180378	1.43786030925525	4.40511173606455e-45	3.73147741242584e-42
HHIP	0.241612043499753	-2.04923572522305	6.41955496752345e-45	5.29843730383621e-42
RP11-685F15.1	0.332674752669325	-1.58781571343027	1.63591369430587e-44	1.31646064765029e-41
PIGU	4.11957203769945	2.04249447062259	1.74769143487383e-44	1.3721082828574e-41
SCNM1	4.32910125501615	2.11406754469471	2.44727054217081e-44	1.87559979718896e-41
TOMM40L	5.12646781610264	2.35796513785221	3.25782877749468e-44	2.43875001206457e-41
MARCO	0.029260465089994	-5.09490348872979	3.50913748118006e-44	2.56717332685693e-41
DNASE1L3	0.0801619418712067	-3.64093873246382	7.01941981745739e-44	5.0210689889808e-41
RP11-863K10.7	0.374176563734377	-1.41820889558992	8.14995624579397e-44	5.70302046947526e-41
USF1	2.9686352835178	1.56979985958227	9.59028396117099e-44	6.56812022183262e-41
SMG5	4.81425750058346	2.26731330942344	1.85674000895904e-43	1.24513758642464e-40
RRM2	10.3787418766428	3.37555966398417	1.91910830606944e-43	1.24538413150729e-40
B4GALT7	2.8884312584306	1.53028616049027	1.93448714080476e-43	1.24538413150729e-40
SNRPC	3.59179549947301	1.84470521191233	2.86336161888832e-43	1.79015798481556e-40
CLN3	3.58277511255865	1.84107748977285	2.89192628570036e-43	1.79015798481556e-40
NPLOC4	3.30479027299766	1.72455871902287	4.21504540376143e-43	2.55996408493729e-40
MEA1	2.95225114957277	1.56181545745211	9.43046643035591e-43	5.62143118382827e-40
AP5Z1	3.87782087159046	1.95524616248627	1.15821963456637e-42	6.7785330576467e-40
CDCA8	11.155770257828	3.47971822377953	1.2248147200308e-42	7.04027875411987e-40
CDT1	10.9468665995658	3.45244607081615	1.39233652379646e-42	7.86279304640076e-40
NSFL1C	2.31786015580714	1.212793526392	1.52307474102647e-42	8.45280221360365e-40
NECAB3	4.39305886510144	2.13522583105393	1.55144497283578e-42	8.46431563230691e-40
HDAC11	5.2437477530513	2.390598287357	1.93610441575554e-42	1.03868775064592e-39
DDX49	3.34046296931106	1.74004806594537	1.96975324188874e-42	1.03941618201896e-39
NABP2	3.40919922296848	1.76943290853934	2.24948757733661e-42	1.16788315527239e-39
GABRD	5.73299672979057	2.51928945609631	2.32223752968308e-42	1.18651593401538e-39
RNASEH2A	6.41121997678494	2.68059891019637	2.4343315056539e-42	1.22435463805458e-39
RP11-474N8.5	0.15743690922132	-2.66715429160039	2.65636873651211e-42	1.31547466553213e-39
CCNB2	13.67680513932	3.7736593552306	2.92987394413745e-42	1.4289350361794e-39
TRAIP	5.79989542685435	2.53602688842664	3.05647061987445e-42	1.46842884750953e-39
CDK5RAP1	2.29424563671143	1.19801986384446	3.78490051893035e-42	1.79164945299778e-39
ESR1	0.208337986474379	-2.26300218348879	3.85229211819653e-42	1.79712218829896e-39
PSMC4	2.97003555897624	1.57048020390536	4.43728078741875e-42	2.04045187523175e-39
CDC25C	7.9535749054431	2.991603456511	5.97929224522737e-42	2.71080898706512e-39
TBC1D16	5.15064698900254	2.36475366515001	6.45285956050682e-42	2.88487633879381e-39
SPC24	10.2909631396962	3.36330610645242	6.68356034371035e-42	2.94708388909168e-39
CFP	0.126673873973111	-2.98080909034606	7.05852318013589e-42	3.07036219791073e-39
UBE2C	19.3764507359344	4.27623242546442	1.16895434783944e-41	5.01699620034718e-39
TAZ	3.12268880333631	1.64278880238643	1.30881194408787e-41	5.54333521950587e-39
DCTN2	2.76143759918832	1.46541952688075	1.78994756457617e-41	7.4826782020964e-39
RP11-701P16.4	0.0374447575061428	-4.73909244303517	2.23469424095534e-41	9.22212473360404e-39
ANAPC7	3.29866745961843	1.72188334639611	2.86446985868251e-41	1.16714456052065e-38
TOP2A	17.3151863750506	4.11396601120761	2.97006138852302e-41	1.1950413254396e-38
TMEM106C	5.12664139467626	2.35801398565871	3.17987030487918e-41	1.26366475609575e-38
MYBL2	24.0624045577021	4.58870891321747	3.76082332721564e-41	1.47630661072859e-38
ENTPD6	3.22604632579343	1.68976715563942	3.9297518424385e-41	1.52403351875004e-38
PDZD11	3.10800212430175	1.6359874898198	3.98733708864401e-41	1.52795706602812e-38
AC092171.4	6.41934393779409	2.68242586026724	4.21245180104101e-41	1.59523071792599e-38
FASTK	2.92817333753182	1.55000095860682	4.4219228420688e-41	1.65508458562038e-38
IQGAP3	8.80017035938492	3.13753145264321	4.84866851675523e-41	1.7939516193774e-38
CXCL14	0.0421500454673186	-4.56832200236918	5.20280161905008e-41	1.90310206040458e-38
VPS45	3.42072090944411	1.77430040197604	5.87149577928542e-41	2.12356828808335e-38
GPAA1	4.08923127549834	2.03182965997333	6.55079289968406e-41	2.34292747386589e-38
ALG3	2.78660797297934	1.47851005474885	6.96983645743511e-41	2.46540731569647e-38
RFWD2	2.70582386684796	1.43606793144482	7.42735115674966e-41	2.59868485200668e-38
SF3B4	4.16618522140097	2.05872698053471	7.90839961778847e-41	2.73724166986014e-38
IP6K1	3.38582715711776	1.75950832706293	8.14973403255586e-41	2.79076371036107e-38
MCRS1	3.11027646186454	1.63704282229614	1.14705508408629e-40	3.88658485280565e-38
NDC80	9.09348203052448	3.18483282976139	1.16223654096247e-40	3.89700333510843e-38
CNDP1	0.0940071805508689	-3.41108523139423	1.22200314060928e-40	4.05516073124454e-38
ANGPTL6	0.164081205628729	-2.60751809734629	1.34671405095379e-40	4.42340597817871e-38
NR2C2AP	4.25449023016833	2.0889862796277	1.69324012189327e-40	5.5054248771336e-38
EZH2	6.22120540441992	2.63719414024221	1.77154781623043e-40	5.70243526566414e-38
SSR2	3.6641603569783	1.87348264239638	2.42096535207041e-40	7.71568848691035e-38
PRCC	3.19462474453821	1.67564647546366	2.46706096794183e-40	7.78551230363525e-38
