"","id","level3","level2","level1"
"1","ko01100"," Metabolic pathways","Global and overview maps","Metabolism"
"2","ko01110"," Biosynthesis of secondary metabolites","Global and overview maps","Metabolism"
"3","ko01120"," Microbial metabolism in diverse environments","Global and overview maps","Metabolism"
"4","ko01200"," Carbon metabolism","Global and overview maps","Metabolism"
"5","ko01210"," 2-Oxocarboxylic acid metabolism","Global and overview maps","Metabolism"
"6","ko01212"," Fatty acid metabolism","Global and overview maps","Metabolism"
"7","ko01230"," Biosynthesis of amino acids","Global and overview maps","Metabolism"
"8","ko01240"," Biosynthesis of cofactors","Global and overview maps","Metabolism"
"9","ko01220"," Degradation of aromatic compounds","Global and overview maps","Metabolism"
"10","ko00010"," Glycolysis / Gluconeogenesis","Carbohydrate metabolism","Metabolism"
"11","ko00020"," Citrate cycle (TCA cycle)","Carbohydrate metabolism","Metabolism"
"12","ko00030"," Pentose phosphate pathway","Carbohydrate metabolism","Metabolism"
"13","ko00040"," Pentose and glucuronate interconversions","Carbohydrate metabolism","Metabolism"
"14","ko00051"," Fructose and mannose metabolism","Carbohydrate metabolism","Metabolism"
"15","ko00052"," Galactose metabolism","Carbohydrate metabolism","Metabolism"
"16","ko00053"," Ascorbate and aldarate metabolism","Carbohydrate metabolism","Metabolism"
"17","ko00500"," Starch and sucrose metabolism","Carbohydrate metabolism","Metabolism"
"18","ko00520"," Amino sugar and nucleotide sugar metabolism","Carbohydrate metabolism","Metabolism"
"19","ko00620"," Pyruvate metabolism","Carbohydrate metabolism","Metabolism"
"20","ko00630"," Glyoxylate and dicarboxylate metabolism","Carbohydrate metabolism","Metabolism"
"21","ko00640"," Propanoate metabolism","Carbohydrate metabolism","Metabolism"
"22","ko00650"," Butanoate metabolism","Carbohydrate metabolism","Metabolism"
"23","ko00660"," C5-Branched dibasic acid metabolism","Carbohydrate metabolism","Metabolism"
"24","ko00562"," Inositol phosphate metabolism","Carbohydrate metabolism","Metabolism"
"25","ko00190"," Oxidative phosphorylation","Energy metabolism","Metabolism"
"26","ko00195"," Photosynthesis","Energy metabolism","Metabolism"
"27","ko00196"," Photosynthesis - antenna proteins","Energy metabolism","Metabolism"
"28","ko00710"," Carbon fixation in photosynthetic organisms","Energy metabolism","Metabolism"
"29","ko00720"," Carbon fixation pathways in prokaryotes","Energy metabolism","Metabolism"
"30","ko00680"," Methane metabolism","Energy metabolism","Metabolism"
"31","ko00910"," Nitrogen metabolism","Energy metabolism","Metabolism"
"32","ko00920"," Sulfur metabolism","Energy metabolism","Metabolism"
"33","ko00061"," Fatty acid biosynthesis","Lipid metabolism","Metabolism"
"34","ko00062"," Fatty acid elongation","Lipid metabolism","Metabolism"
"35","ko00071"," Fatty acid degradation","Lipid metabolism","Metabolism"
"36","ko00072"," Synthesis and degradation of ketone bodies","Lipid metabolism","Metabolism"
"37","ko00073"," Cutin, suberine and wax biosynthesis","Lipid metabolism","Metabolism"
"38","ko00100"," Steroid biosynthesis","Lipid metabolism","Metabolism"
"39","ko00120"," Primary bile acid biosynthesis","Lipid metabolism","Metabolism"
"40","ko00121"," Secondary bile acid biosynthesis","Lipid metabolism","Metabolism"
"41","ko00140"," Steroid hormone biosynthesis","Lipid metabolism","Metabolism"
"42","ko00561"," Glycerolipid metabolism","Lipid metabolism","Metabolism"
"43","ko00564"," Glycerophospholipid metabolism","Lipid metabolism","Metabolism"
"44","ko00565"," Ether lipid metabolism","Lipid metabolism","Metabolism"
"45","ko00600"," Sphingolipid metabolism","Lipid metabolism","Metabolism"
"46","ko00590"," Arachidonic acid metabolism","Lipid metabolism","Metabolism"
"47","ko00591"," Linoleic acid metabolism","Lipid metabolism","Metabolism"
"48","ko00592"," alpha-Linolenic acid metabolism","Lipid metabolism","Metabolism"
"49","ko01040"," Biosynthesis of unsaturated fatty acids","Lipid metabolism","Metabolism"
"50","ko00230"," Purine metabolism","Nucleotide metabolism","Metabolism"
"51","ko00240"," Pyrimidine metabolism","Nucleotide metabolism","Metabolism"
"52","ko00250"," Alanine, aspartate and glutamate metabolism","Amino acid metabolism","Metabolism"
"53","ko00260"," Glycine, serine and threonine metabolism","Amino acid metabolism","Metabolism"
"54","ko00270"," Cysteine and methionine metabolism","Amino acid metabolism","Metabolism"
"55","ko00280"," Valine, leucine and isoleucine degradation","Amino acid metabolism","Metabolism"
