GSMID	plate	well	tissue
GSM2243439	1001000173	G8	Tumor
GSM2243440	1001000173	D4	Tumor
GSM2243441	1001000173	B4	Tumor
GSM2243442	1001000173	A2	Tumor
GSM2243443	1001000173	E2	Tumor
GSM2243444	1001000173	F6	Tumor
GSM2243445	1001000173	B12	Tumor
GSM2243446	1001000173	D6	Tumor
GSM2243447	1001000173	H1	Tumor
GSM2243448	1001000173	E4	Tumor
GSM2243449	1001000173	B6	Tumor
GSM2243450	1001000173	C2	Tumor
GSM2243451	1001000173	F4	Tumor
GSM2243452	1001000173	E10	Tumor
GSM2243453	1001000173	E6	Tumor
GSM2243454	1001000173	C4	Tumor
GSM2243455	1001000173	B1	Tumor
GSM2243456	1001000173	B10	Tumor
GSM2243457	1001000173	A7	Tumor
GSM2243458	1001000173	B8	Tumor
GSM2243459	1001000173	F9	Tumor
GSM2243460	1001000173	G6	Tumor
GSM2243461	1001000173	A9	Tumor
GSM2243462	1001000173	D2	Tumor
GSM2243463	1001000173	F2	Tumor
GSM2243464	1001000173	H9	Tumor
GSM2243465	1001000173	G1	Tumor
GSM2243466	1001000173	B3	Tumor
GSM2243467	1001000173	D7	Tumor
GSM2243468	1001000173	A12	Tumor
GSM2243469	1001000173	C1	Tumor
GSM2243470	1001000173	H7	Tumor
GSM2243471	1001000173	H5	Tumor
GSM2243472	1001000173	G2	Tumor
GSM2243473	1001000173	A3	Tumor
GSM2243474	1001000173	D3	Tumor
GSM2243475	1001000173	E1	Tumor
GSM2243476	1001000173	G12	Tumor
GSM2243477	1001000173	C10	Tumor
GSM2243478	1001000173	C3	Tumor
GSM2243479	1001000173	D11	Tumor
GSM2243480	1001000173	A5	Tumor
GSM2243481	1001000173	G4	Tumor
GSM2243482	1001000173	B11	Tumor
GSM2243483	1001000173	G9	Tumor
GSM2243484	1001000173	F1	Tumor
GSM2243485	1001000173	D8	Tumor
GSM2243486	1001000173	E12	Tumor
GSM2243487	1001000173	F11	Tumor
GSM2243488	1001000173	E5	Tumor
GSM2243489	1001000173	G10	Tumor
GSM2243490	1001000173	B9	Tumor
GSM2243491	1001000173	F8	Tumor
GSM2243492	1001000173	C7	Tumor
GSM2243493	1001000173	B2	Tumor
GSM2243494	1001000173	H4	Tumor
GSM2243495	1001000173	D1	Tumor
GSM2243496	1001000174	G5	Tumor
GSM2243497	1001000174	H9	Tumor
GSM2243498	1001000174	H2	Tumor
GSM2243499	1001000174	E12	Tumor
GSM2243500	1001000174	A10	Tumor
GSM2243501	1001000174	G10	Tumor
GSM2243502	1001000174	C8	Tumor
GSM2243503	1001000174	F6	Tumor
GSM2243504	1001000174	B4	Tumor
GSM2243505	1001000174	H7	Tumor
GSM2243506	1001000174	E10	Tumor
GSM2243507	1001000174	D5	Tumor
GSM2243508	1001000174	E5	Tumor
GSM2243509	1001000174	B11	Tumor
GSM2243510	1001000174	F10	Tumor
GSM2243511	1001000174	A5	Tumor
GSM2243512	1001000174	B8	Tumor
GSM2243513	1001000174	F2	Tumor
GSM2243514	1001000174	F9	Tumor
GSM2243515	1001000174	F4	Tumor
GSM2243516	1001000174	C10	Tumor
GSM2243517	1001000174	B6	Tumor
GSM2243518	1001000174	E2	Tumor
GSM2243519	1001000174	G2	Tumor
GSM2243520	1001000174	D8	Tumor
GSM2243521	1001000174	H6	Tumor
GSM2243522	1001000174	C3	Tumor
GSM2243523	1001000174	B7	Tumor
GSM2243524	1001000174	A7	Tumor
GSM2243525	1001000174	H10	Tumor
GSM2243526	1001000174	F7	Tumor
GSM2243527	1001000174	A2	Tumor
GSM2243528	1001000174	E4	Tumor
GSM2243529	1001000174	D12	Tumor
GSM2243530	1001000174	H4	Tumor
GSM2243531	1001000174	C5	Tumor
GSM2243532	1001000174	E9	Tumor
GSM2243533	1001000174	D1	Tumor
GSM2243534	1001000174	G4	Tumor
GSM2243535	1001000174	G9	Tumor
GSM2243536	1001000174	D4	Tumor
GSM2243537	1001000174	H11	Tumor
GSM2243538	1001000174	A9	Tumor
GSM2243539	1001000174	G12	Tumor
GSM2243540	1001000174	A4	Tumor
GSM2243541	1001000174	C7	Tumor
GSM2243542	1001000174	B12	Tumor
GSM2243543	1001000174	D11	Tumor
GSM2243544	1001000174	B3	Tumor
GSM2243545	1001000174	F5	Tumor
GSM2243546	1001000174	G6	Tumor
GSM2243547	1001000174	D6	Tumor
GSM2243548	1001000174	H3	Tumor
GSM2243549	1001000174	F12	Tumor
GSM2243550	1001000174	E6	Tumor
GSM2243551	1001000174	G3	Tumor
GSM2243552	1001000174	A8	Tumor
GSM2243553	1001000174	B10	Tumor
GSM2243554	1001000174	C2	Tumor
GSM2243555	1001000174	F1	Tumor
GSM2243556	1001000174	F3	Tumor
GSM2243557	1001000174	C11	Tumor
GSM2243558	1001000174	H8	Tumor
GSM2243559	1001000174	H1	Tumor
GSM2243560	1001000174	G8	Tumor
GSM2243561	1001000174	B5	Tumor
GSM2243562	1001000174	E11	Tumor
GSM2243563	1001000174	E8	Tumor
GSM2243564	1001000174	F11	Tumor
GSM2243565	1001000174	A1	Tumor
GSM2243566	1001000174	E7	Tumor
GSM2243567	1001000174	B1	Tumor
GSM2243568	1001000174	C12	Tumor
GSM2243569	1001000174	C9	Tumor
GSM2243570	1001000174	D7	Tumor
GSM2243571	1001000174	D2	Tumor
GSM2243572	1001000174	C4	Tumor
GSM2243573	1001000174	F8	Tumor
GSM2243574	1001000174	D10	Tumor
GSM2243575	1001000174	G11	Tumor
GSM2243576	1001000174	A3	Tumor
GSM2243577	1001000174	E3	Tumor
GSM2243578	1001000174	H5	Tumor
GSM2243579	1001000174	C6	Tumor
GSM2243580	1001000174	D3	Tumor
GSM2243581	1001000174	D9	Tumor
GSM2243582	1001000175	E1	Tumor
GSM2243583	1001000175	A3	Tumor
GSM2243584	1001000175	H2	Tumor
GSM2243585	1001000175	C11	Tumor
GSM2243586	1001000175	D9	Tumor
GSM2243587	1001000175	G12	Tumor
GSM2243588	1001000175	F3	Tumor
GSM2243589	1001000175	B9	Tumor
GSM2243590	1001000175	H4	Tumor
GSM2243591	1001000175	G2	Tumor
GSM2243592	1001000175	H9	Tumor
GSM2243593	1001000175	G11	Tumor
GSM2243594	1001000175	B4	Tumor
GSM2243595	1001000175	D2	Tumor
GSM2243596	1001000175	C1	Tumor
GSM2243597	1001000175	G7	Tumor
GSM2243598	1001000175	E8	Tumor
GSM2243599	1001000175	F6	Tumor
GSM2243600	1001000175	H6	Tumor
GSM2243601	1001000175	H11	Tumor
GSM2243602	1001000175	C7	Tumor
GSM2243603	1001000175	A11	Tumor
GSM2243604	1001000175	G8	Tumor
GSM2243605	1001000175	A7	Tumor
GSM2243606	1001000175	H5	Tumor
GSM2243607	1001000175	F8	Tumor
GSM2243608	1001000175	D12	Tumor
GSM2243609	1001000175	A5	Tumor
GSM2243610	1001000175	D4	Tumor
GSM2243612	1001000175	B6	Tumor
GSM2243614	1001000175	D10	Tumor
GSM2243616	1001000175	A9	Tumor
GSM2243618	1001000175	H7	Tumor
GSM2243620	1001000175	G6	Tumor
GSM2243622	1001000175	B8	Tumor
GSM2243623	1001000175	B1	Tumor
GSM2243624	1001000175	D5	Tumor
GSM2243625	1001000175	C5	Tumor
GSM2243626	1001000175	B12	Tumor
GSM2243627	1001000175	E3	Tumor
GSM2243628	1001000175	F11	Tumor
GSM2243629	1001000175	G9	Tumor
GSM2243630	1001000175	G4	Tumor
GSM2243631	1001000175	C4	Tumor
GSM2243632	1001000175	F9	Tumor
GSM2243633	1001000175	E7	Tumor
GSM2243634	1001000175	A10	Tumor
GSM2243635	1001000175	E4	Tumor
GSM2243636	1001000175	B3	Tumor
GSM2243637	1001000175	G1	Tumor
GSM2243638	1001000175	A2	Tumor
GSM2243639	1001000175	H1	Tumor
GSM2243640	1001000175	E11	Tumor
GSM2243641	1001000175	B10	Tumor
GSM2243642	1001000175	C10	Tumor
GSM2243643	1001000175	B5	Tumor
GSM2243644	1001000175	D1	Tumor
GSM2243645	1001000175	C2	Tumor
GSM2243646	1001000175	F4	Tumor
GSM2243647	1001000175	E2	Tumor
GSM2243648	1001000175	H3	Tumor
GSM2243649	1001000175	A4	Tumor
GSM2243650	1001000175	C12	Tumor
GSM2243651	1001000175	G10	Tumor
GSM2243652	1001000175	F2	Tumor
GSM2243653	1001000175	D11	Tumor
GSM2243654	1001000175	F5	Tumor
GSM2243655	1001000175	C8	Tumor
GSM2243656	1001000175	F12	Tumor
GSM2243657	1001000175	B7	Tumor
GSM2243658	1001000175	D3	Tumor
GSM2243659	1001000175	C9	Tumor
GSM2243660	1001000175	D6	Tumor
GSM2243661	1001000175	E6	Tumor
GSM2243662	1001000175	A6	Tumor
GSM2243663	1001000175	H8	Tumor
GSM2243664	1001000175	B2	Tumor
GSM2243665	1001000175	B11	Tumor
GSM2243666	1001000175	E10	Tumor
GSM2243667	1001000175	D8	Tumor
GSM2243668	1001000175	F10	Tumor
GSM2243669	1001000175	E9	Tumor
GSM2243670	1001000175	F7	Tumor
GSM2243671	1001000175	G3	Tumor
GSM2243672	1001000175	C6	Tumor
GSM2243673	1001000175	E12	Tumor
GSM2243674	1001000175	A12	Tumor
GSM2243675	1001000175	A1	Tumor
GSM2243676	1001000175	A8	Tumor
GSM2243677	1001000176	A7	Tumor
GSM2243678	1001000176	B9	Tumor
GSM2243679	1001000176	D9	Tumor
GSM2243680	1001000176	G5	Tumor
GSM2243681	1001000176	H3	Tumor
GSM2243682	1001000176	A9	Tumor
GSM2243683	1001000176	G2	Tumor
GSM2243684	1001000176	F10	Tumor
GSM2243685	1001000176	F1	Tumor
GSM2243686	1001000176	D7	Tumor
GSM2243687	1001000176	C9	Tumor
GSM2243688	1001000176	B7	Tumor
GSM2243689	1001000176	A5	Tumor
GSM2243690	1001000176	D4	Tumor
GSM2243691	1001000176	F2	Tumor
GSM2243692	1001000176	A10	Tumor
GSM2243693	1001000176	C2	Tumor
GSM2243694	1001000176	G11	Tumor
GSM2243695	1001000176	E8	Tumor
GSM2243696	1001000176	F12	Tumor
GSM2243697	1001000176	E11	Tumor
GSM2243698	1001000176	E3	Tumor
GSM2243699	1001000176	B5	Tumor
GSM2243700	1001000176	D5	Tumor
GSM2243701	1001000176	B10	Tumor
GSM2243702	1001000176	D11	Tumor
GSM2243703	1001000176	B12	Tumor
GSM2243704	1001000176	E7	Tumor
GSM2243705	1001000176	H7	Tumor
GSM2243706	1001000176	E1	Tumor
GSM2243707	1001000176	G8	Tumor
GSM2243708	1001000176	D3	Tumor
GSM2243709	1001000176	A12	Tumor
GSM2243710	1001000176	G10	Tumor
GSM2243711	1001000176	C12	Tumor
GSM2243712	1001000176	B3	Tumor
GSM2243713	1001000176	A8	Tumor
GSM2243714	1001000176	G7	Tumor
GSM2243715	1001000176	D10	Tumor
GSM2243716	1001000176	F5	Tumor
GSM2243717	1001000176	A3	Tumor
GSM2243718	1001000176	H11	Tumor
GSM2243719	1001000176	H9	Tumor
GSM2243720	1001000176	C5	Tumor
GSM2243721	1001000176	E5	Tumor
GSM2243722	1001000176	H2	Tumor
GSM2243723	1001000176	A1	Tumor
GSM2243724	1001000176	C1	Tumor
GSM2243725	1001000176	F7	Tumor
GSM2243726	1001000176	G3	Tumor
GSM2243727	1001000176	B8	Tumor
GSM2243728	1001000176	C7	Tumor
GSM2243729	1001000176	C11	Tumor
GSM2243730	1001000176	D1	Tumor
GSM2243731	1001000176	G4	Tumor
GSM2243732	1001000176	G12	Tumor
GSM2243733	1001000176	A11	Tumor
GSM2243734	1001000176	C3	Tumor
GSM2243735	1001000176	E10	Tumor
GSM2243736	1001000176	G1	Tumor
GSM2243737	1001000176	E2	Tumor
GSM2243738	1001000176	F9	Tumor
GSM2243739	1001000176	B1	Tumor
GSM2243740	1001000176	H4	Tumor
GSM2243741	1001000176	A4	Tumor
GSM2243742	1001000176	C8	Tumor
GSM2243743	1001000176	C4	Tumor
GSM2243744	1001000176	B11	Tumor
GSM2243745	1001000176	H1	Tumor
GSM2243746	1001000176	E9	Tumor
GSM2243747	1001000176	D2	Tumor
GSM2243748	1001000176	G9	Tumor
GSM2243749	1001000176	B4	Tumor
GSM2243750	1001000176	F11	Tumor
GSM2243751	1001000176	F4	Tumor
GSM2243752	1001000176	H10	Tumor
GSM2243753	1001000176	D12	Tumor
GSM2243754	1001000176	H8	Tumor
GSM2243755	1001000176	C10	Tumor
GSM2243756	1001000176	E4	Tumor
GSM2243757	1001000176	B2	Tumor
GSM2243758	1001000176	D8	Tumor
GSM2243759	1001000176	A2	Tumor
GSM2243760	1001000177	G9	Tumor
GSM2243761	1001000177	B6	Tumor
GSM2243762	1001000177	A8	Tumor
GSM2243763	1001000177	D6	Tumor
GSM2243764	1001000177	E11	Tumor
GSM2243765	1001000177	G6	Tumor
GSM2243766	1001000177	B10	Tumor
GSM2243767	1001000177	G12	Tumor
GSM2243768	1001000177	B1	Tumor
GSM2243769	1001000177	A6	Tumor
GSM2243770	1001000177	A10	Tumor
GSM2243771	1001000177	E9	Tumor
GSM2243772	1001000177	A2	Tumor
GSM2243773	1001000177	C1	Tumor
GSM2243774	1001000177	B7	Tumor
GSM2243775	1001000177	D7	Tumor
GSM2243776	1001000177	F2	Tumor
GSM2243777	1001000177	G8	Tumor
GSM2243778	1001000177	B12	Tumor
GSM2243779	1001000177	A12	Tumor
GSM2243780	1001000177	E7	Tumor
GSM2243781	1001000177	H1	Tumor
GSM2243782	1001000177	F3	Tumor
GSM2243783	1001000177	C3	Tumor
GSM2243784	1001000177	H5	Tumor
GSM2243785	1001000177	D10	Tumor
GSM2243786	1001000177	C6	Tumor
GSM2243787	1001000177	F5	Tumor
GSM2243788	1001000177	B4	Tumor
GSM2243789	1001000177	C12	Tumor
GSM2243790	1001000177	E1	Tumor
GSM2243791	1001000177	A9	Tumor
GSM2243792	1001000177	F11	Tumor
GSM2243793	1001000177	H3	Tumor
GSM2243794	1001000177	G2	Tumor
GSM2243795	1001000177	A3	Tumor
GSM2243796	1001000177	H7	Tumor
GSM2243797	1001000177	D1	Tumor
GSM2243798	1001000177	D4	Tumor
GSM2243799	1001000177	C8	Tumor
GSM2243800	1001000177	H11	Tumor
GSM2243801	1001000177	E3	Tumor
GSM2243802	1001000177	F7	Tumor
GSM2243803	1001000177	G4	Tumor
GSM2243804	1001000177	H2	Tumor
GSM2243805	1001000177	B11	Tumor
GSM2243806	1001000177	H10	Tumor
GSM2243807	1001000177	G11	Tumor
GSM2243808	1001000177	G5	Tumor
GSM2243809	1001000177	E12	Tumor
GSM2243810	1001000177	A7	Tumor
GSM2243811	1001000177	E6	Tumor
GSM2243812	1001000177	F12	Tumor
GSM2243813	1001000177	B8	Tumor
GSM2243814	1001000177	C2	Tumor
GSM2243815	1001000177	D3	Tumor
GSM2243816	1001000177	B2	Tumor
GSM2243817	1001000177	F4	Tumor
GSM2243818	1001000177	G7	Tumor
GSM2243819	1001000177	G10	Tumor
GSM2243820	1001000177	A11	Tumor
GSM2243821	1001000177	E8	Tumor
GSM2243822	1001000177	H4	Tumor
GSM2243823	1001000177	D12	Tumor
GSM2243824	1001000177	D8	Tumor
GSM2243825	1001000177	D5	Tumor
GSM2243826	1001000177	F1	Tumor
GSM2243827	1001000177	E10	Tumor
GSM2243828	1001000177	C4	Tumor
GSM2243829	1001000177	F10	Tumor
GSM2243830	1001000177	F6	Tumor
GSM2243831	1001000177	A4	Tumor
GSM2243832	1001000177	C9	Tumor
GSM2243833	1001000177	H6	Tumor
GSM2243834	1001000177	C11	Tumor
GSM2243835	1001000177	E2	Tumor
GSM2243836	1001000177	B9	Tumor
GSM2243837	1001000177	C5	Tumor
GSM2243838	1001000177	E4	Tumor
GSM2243839	1001000177	G3	Tumor
GSM2243840	1001000177	A5	Tumor
GSM2243841	1001000177	G1	Tumor
GSM2243842	1001000177	D2	Tumor
GSM2243843	1001000177	D9	Tumor
GSM2243844	1001000177	H8	Tumor
GSM2243845	1001000177	F8	Tumor
GSM2243846	1001000177	C7	Tumor
GSM2243847	1001000177	D11	Tumor
GSM2243848	1001000177	B3	Tumor
GSM2243849	1001000178	G8	Periphery
GSM2243850	1001000178	A9	Periphery
GSM2243851	1001000178	B7	Periphery
GSM2243852	1001000178	E5	Periphery
GSM2243853	1001000178	D12	Periphery
GSM2243854	1001000178	F4	Periphery
GSM2243855	1001000178	F10	Periphery
GSM2243856	1001000178	B5	Periphery
GSM2243857	1001000178	D10	Periphery
GSM2243858	1001000178	A12	Periphery
GSM2243859	1001000178	F11	Periphery
GSM2243860	1001000178	E3	Periphery
GSM2243861	1001000178	C4	Periphery
GSM2243862	1001000178	F2	Periphery
GSM2243863	1001000178	F9	Periphery
GSM2243864	1001000178	C9	Periphery
GSM2243865	1001000178	D8	Periphery
GSM2243866	1001000178	C2	Periphery
GSM2243867	1001000178	G1	Periphery
GSM2243868	1001000178	B3	Periphery
GSM2243869	1001000178	A6	Periphery
GSM2243870	1001000178	C10	Periphery
GSM2243871	1001000178	C5	Periphery
GSM2243872	1001000178	B1	Periphery
GSM2243873	1001000178	F8	Periphery
GSM2243874	1001000178	A11	Periphery
GSM2243875	1001000178	C3	Periphery
GSM2243876	1001000178	E1	Periphery
GSM2243877	1001000178	D3	Periphery
GSM2243878	1001000178	C12	Periphery
GSM2243879	1001000178	C7	Periphery
GSM2243880	1001000178	G3	Periphery
GSM2243881	1001000178	E12	Periphery
GSM2243882	1001000178	A8	Periphery
GSM2243883	1001000178	D1	Periphery
GSM2243884	1001000178	F6	Periphery
GSM2243885	1001000178	G5	Periphery
GSM2243886	1001000178	E11	Periphery
GSM2243887	1001000178	F3	Periphery
GSM2243888	1001000178	E8	Periphery
GSM2243889	1001000178	D11	Periphery
GSM2243890	1001000178	D7	Periphery
GSM2243891	1001000178	G7	Periphery
GSM2243892	1001000178	B8	Periphery
GSM2243893	1001000178	D5	Periphery
GSM2243894	1001000178	F1	Periphery
GSM2243895	1001000178	E6	Periphery
GSM2243896	1001000178	C1	Periphery
GSM2243897	1001000178	B6	Periphery
GSM2243898	1001000178	F12	Periphery
GSM2243899	1001000178	E4	Periphery
GSM2243900	1001000178	B10	Periphery
GSM2243901	1001000178	F7	Periphery
GSM2243902	1001000178	A10	Periphery
GSM2243903	1001000178	B4	Periphery
GSM2243904	1001000178	G4	Periphery
GSM2243905	1001000178	D4	Periphery
GSM2243906	1001000178	A5	Periphery
GSM2243907	1001000178	D6	Periphery
GSM2243908	1001000178	C6	Periphery
GSM2243909	1001000178	C11	Periphery
GSM2243910	1001000178	B2	Periphery
GSM2243911	1001000178	B9	Periphery
GSM2243912	1001000178	E9	Periphery
GSM2243913	1001000178	E2	Periphery
GSM2243914	1001000178	D2	Periphery
GSM2243915	1001000178	G6	Periphery
GSM2243916	1001000178	D9	Periphery
GSM2243917	1001000178	G2	Periphery
GSM2243918	1001000178	F5	Periphery
GSM2243919	1001000178	E10	Periphery
GSM2243920	1001000178	C8	Periphery
GSM2243921	1001000178	A7	Periphery
GSM2243922	1001000178	B11	Periphery
GSM2243923	1001000178	E7	Periphery
GSM2243924	1001000178	H5	Periphery
GSM2243925	1001000178	H3	Periphery
GSM2243926	1001000178	G12	Periphery
GSM2243927	1001000178	H9	Periphery
GSM2243928	1001000178	H10	Periphery
GSM2243929	1001000178	H7	Periphery
GSM2243930	1001000178	G11	Periphery
GSM2243931	1001000178	H4	Periphery
GSM2243932	1001000178	H2	Periphery
GSM2243933	1001000178	G9	Periphery
GSM2243934	1001000178	H1	Periphery
GSM2243935	1001000178	H8	Periphery
GSM2243936	1001000178	H11	Periphery
GSM2243937	1001000178	H6	Periphery
GSM2243938	1001000178	G10	Periphery
GSM2243939	1001000179	F10	Periphery
GSM2243940	1001000179	B12	Periphery
GSM2243941	1001000179	H7	Periphery
GSM2243942	1001000179	C1	Periphery
GSM2243943	1001000179	G9	Periphery
GSM2243944	1001000179	A10	Periphery
GSM2243945	1001000179	B4	Periphery
GSM2243946	1001000179	C7	Periphery
GSM2243947	1001000179	D9	Periphery
GSM2243948	1001000179	E6	Periphery
GSM2243949	1001000179	A4	Periphery
GSM2243950	1001000179	G3	Periphery
GSM2243951	1001000179	D11	Periphery
GSM2243952	1001000179	H5	Periphery
GSM2243953	1001000179	D6	Periphery
GSM2243954	1001000179	B8	Periphery
GSM2243955	1001000179	C4	Periphery
GSM2243956	1001000179	F1	Periphery
GSM2243957	1001000179	B10	Periphery
GSM2243958	1001000179	A2	Periphery
GSM2243959	1001000179	F5	Periphery
GSM2243960	1001000179	C10	Periphery
GSM2243961	1001000179	D4	Periphery
GSM2243962	1001000179	H3	Periphery
GSM2243963	1001000179	F4	Periphery
GSM2243964	1001000179	D3	Periphery
GSM2243965	1001000179	B7	Periphery
GSM2243966	1001000179	E9	Periphery
GSM2243967	1001000179	E12	Periphery
GSM2243968	1001000179	A1	Periphery
GSM2243969	1001000179	G5	Periphery
GSM2243970	1001000179	H11	Periphery
GSM2243971	1001000179	E3	Periphery
GSM2243972	1001000179	B3	Periphery
GSM2243973	1001000179	C3	Periphery
GSM2243974	1001000179	A9	Periphery
GSM2243975	1001000179	F6	Periphery
GSM2243976	1001000179	H9	Periphery
GSM2243977	1001000179	C12	Periphery
GSM2243978	1001000179	H1	Periphery
GSM2243979	1001000179	G6	Periphery
GSM2243980	1001000179	D1	Periphery
GSM2243981	1001000179	F9	Periphery
GSM2243982	1001000179	B1	Periphery
GSM2243983	1001000179	C9	Periphery
GSM2243984	1001000179	A12	Periphery
GSM2243985	1001000179	A7	Periphery
GSM2243986	1001000179	E5	Periphery
GSM2243987	1001000179	H4	Periphery
GSM2243988	1001000179	C8	Periphery
GSM2243989	1001000179	E1	Periphery
GSM2243990	1001000179	A5	Periphery
GSM2243991	1001000179	H10	Periphery
GSM2243992	1001000179	E7	Periphery
GSM2243993	1001000179	G8	Periphery
GSM2243994	1001000179	D10	Periphery
GSM2243995	1001000179	G2	Periphery
GSM2243996	1001000179	D7	Periphery
GSM2243997	1001000179	G11	Periphery
GSM2243998	1001000179	H6	Periphery
GSM2243999	1001000179	F8	Periphery
GSM2244000	1001000179	C6	Periphery
GSM2244001	1001000179	C5	Periphery
GSM2244002	1001000179	G1	Periphery
GSM2244003	1001000179	F2	Periphery
GSM2244004	1001000179	E2	Periphery
GSM2244005	1001000179	A3	Periphery
GSM2244006	1001000179	G4	Periphery
GSM2244007	1001000179	D5	Periphery
GSM2244008	1001000179	D8	Periphery
GSM2244009	1001000179	B11	Periphery
GSM2244010	1001000179	B9	Periphery
GSM2244011	1001000179	D12	Periphery
GSM2244012	1001000179	F11	Periphery
GSM2244013	1001000179	E11	Periphery
GSM2244014	1001000179	A8	Periphery
GSM2244015	1001000179	G10	Periphery
GSM2244016	1001000179	E4	Periphery
GSM2244017	1001000179	C11	Periphery
GSM2244018	1001000179	H2	Periphery
GSM2244019	1001000179	F3	Periphery
GSM2244020	1001000179	F7	Periphery
GSM2244021	1001000179	G12	Periphery
GSM2244022	1001000179	D2	Periphery
