DATA	GSM995552	GSM995553	GSM995554	GSM995555	GSM995556	GSM995557	GSM995558	GSM995559	GSM995560	GSM995561	GSM995562	GSM995563	GSM995564	GSM995565	GSM995566	GSM995567	GSM995568	GSM995569	GSM995570	GSM995571	GSM995572	GSM995573	GSM995574	GSM995575	GSM995576	GSM995577	GSM995578	GSM995579	GSM995580	GSM995581	GSM995582	GSM995583	GSM995584	GSM995585	GSM995586	GSM995587	GSM995588	GSM995589	GSM995590	GSM995591	GSM995592	GSM995593	GSM995594	GSM995595	GSM995596	GSM995597	GSM995598	GSM995599	GSM995600	GSM995601	GSM995602	GSM995603	GSM995604	GSM995605	GSM995606	GSM995607	GSM995608	GSM995609	GSM995610	GSM995611	GSM995612	GSM995613	GSM995614	GSM995615	GSM995616	GSM995617	GSM995618	GSM995619	GSM995620	GSM995621	GSM995622	GSM995623	GSM995624	GSM995625	GSM995626	GSM995627	GSM995628	GSM995629	GSM995630	GSM995631	GSM995632	GSM995633	GSM995634	GSM995635	GSM995636	GSM995637	GSM995638	GSM995639	GSM995640	GSM995641	GSM995642	GSM995643	GSM995644	GSM995645	GSM995646	GSM995647	GSM995648	GSM995649	GSM995650	GSM995651	GSM995652	GSM995653	GSM995654	GSM995655	GSM995656	GSM995657	GSM995658	GSM995659	GSM995660	GSM995661	GSM995662	GSM995663	GSM995664	GSM995665	GSM995666	GSM995667	GSM995668	GSM995669	GSM995670	GSM995671
hcmv-miR-US25-1	2.334270782	2.321928095	2.567686595	5.819969565	4.295612835	5.021071024	3.265357378	4.419646753	3.695682086	2.321928095	3.051109295	2.321928095	2.321928095	4.415974946	4.761269314	3.584722032	2.321928095	4.661179522	4.391252183	2.321928095	3.175393659	3.446004729	5.073940167	4.676735666	2.321928095	5.222371811	5.491330425	7.550300443	6.859795659	2.321928095	3.54915163	5.388764709	6.396084118	6.926367164	2.321928095	6.704982596	7.249217769	8.274270981	5.382483965	8.146202069	7.660965685	7.288395478	5.268015119	5.230037734	4.21109788	5.157359063	5.601672749	5.681612304	2.321928095	2.321928095	8.146660313	8.052388722	2.321928095	2.321928095	4.305664153	2.321928095	2.321928095	2.321928095	3.450274293	2.321928095	5.863710534	3.980500635	2.321928095	6.383422637	5.316620044	3.048883091	4.939052579	5.603816219	4.563829279	2.321928095	5.164810409	2.321928095	4.672215995	5.582396431	4.878215257	4.264131038	4.04920382	3.822526219	2.321928095	4.060972557	4.791913025	3.408521663	2.321928095	2.321928095	6.173519243	5.232019843	4.914626707	2.321928095	4.259762092	6.775972349	5.728734123	2.321928095	5.42793463	6.119192225	2.321928095	6.151116014	4.675646591	6.246392885	5.159980291	2.321928095	2.321928095	4.398938603	5.283199503	5.091602523	4.520579396	5.475448106	4.641482447	4.024062539	3.500980467	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	3.618955126	4.852772929	2.321928095	2.321928095	2.321928095	5.043484498
hsa-miR-330-5p	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095
hsa-miR-330-3p	4.837819664	4.952545097	2.321928095	5.071771739	5.688410577	4.301900163	5.144230917	4.722130721	4.225178449	2.321928095	4.252741698	4.799270849	4.526394727	5.775749614	5.590370947	5.542778023	4.596509828	5.800170886	5.926855435	5.354524098	4.663926079	5.032609956	5.238427665	4.502655329	4.482541533	5.549547844	5.57908875	2.321928095	4.948353738	5.523963036	4.291200965	4.779221861	3.818412129	3.904566925	5.468630545	5.122345914	4.662425184	5.698700035	4.267269513	5.837829592	4.835916928	6.592119917	5.33739412	5.374409836	3.114731433	2.321928095	5.089127381	5.155653926	4.005313221	2.321928095	5.1143263	4.53426954	4.832200577	4.48485915	5.108412704	5.005775505	5.415950994	2.321928095	2.321928095	5.076180037	4.51282896	2.853712615	4.485807196	2.321928095	4.82977329	5.163280555	5.287250294	5.110162915	4.457606543	4.234468005	2.321928095	4.139290023	4.787076765	4.062134047	5.583023303	4.95825994	5.159496112	6.069789837	5.171733531	5.579845257	4.803073878	5.350189477	5.05793664	2.321928095	4.239834267	4.954125464	5.161453331	3.434839926	4.851597044	5.855026081	3.989576303	4.84065057	3.662382516	4.718820345	4.857205343	4.834976851	5.72436684	4.859331863	4.656580648	5.262801971	5.738803846	5.186158344	2.972608764	2.321928095	4.820230034	4.794389328	2.321928095	3.201142704	2.321928095	2.321928095	4.250785829	4.266289203	2.321928095	3.54241667	5.019298792	5.027860458	3.838549813	5.359010698	3.666127636	2.321928095
hsa-miR-130b*	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095
hsa-miR-130a*	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	6.052265001	2.321928095	2.321928095	2.321928095	3.422948976	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	6.44059626	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095
hsa-miR-526b*	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095
hsa-miR-625*	3.702678901	3.384378488	3.267453952	2.321928095	3.777035665	2.321928095	2.463739311	2.321928095	2.321928095	2.321928095	3.511743432	2.321928095	3.575375751	2.321928095	3.30883138	2.321928095	3.817578025	2.321928095	4.735648388	2.321928095	2.321928095	2.321928095	3.281030654	2.772184479	2.321928095	2.586843198	4.0751502	2.321928095	3.204184023	3.08770001	2.321928095	2.321928095	2.474464564	2.438733011	2.321928095	3.327717691	3.544669176	2.321928095	2.321928095	4.422504749	3.644298045	3.995661357	3.996302192	3.837726175	2.321928095	2.321928095	2.321928095	3.109857213	3.249466416	2.321928095	2.321928095	3.608600485	4.05018463	2.321928095	3.656816346	2.321928095	3.127047751	2.321928095	3.785755527	2.321928095	2.457210649	2.659688274	3.229585738	3.580382269	4.335430888	4.014312299	3.398234827	3.31171206	3.543244464	3.763114109	4.251485896	5.029552578	3.572722268	2.779652222	3.943788804	3.665780764	4.290410399	4.438692535	4.671612163	4.12283841	4.533595144	4.314645389	4.059086152	2.321928095	4.08101935	2.929543011	4.388186352	3.575367206	3.577366065	6.396545338	2.914601918	3.91279463	2.347197786	2.773619636	3.328569831	3.447265178	4.233079685	4.112584973	4.263041484	4.253504001	4.37805426	5.286757348	3.476358886	2.321928095	3.441121723	3.260091186	2.321928095	2.913862856	2.321928095	2.321928095	3.0271968	5.280458001	4.263967051	3.925285677	3.907175696	4.19160269	3.548147054	4.556906087	2.321928095	4.370995918
hsa-miR-624*	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095
hsa-miR-629*	6.160059306	5.432898498	7.4456012	4.847229827	6.227287548	4.628510763	5.417144887	4.587393894	5.199379652	4.860666154	4.260300909	3.140921251	4.329028734	4.160225634	4.747120912	2.815816191	4.251618806	4.716045526	4.110476531	2.321928095	2.321928095	2.321928095	4.602545183	4.883821308	5.089125975	4.045550854	4.582123711	5.101302085	4.668408639	4.325088457	4.243037716	4.433618935	3.26988962	3.837224251	4.920900465	4.988810885	3.566442707	4.503828708	4.456269711	2.321928095	5.039931569	4.149312719	3.90327625	3.715286989	3.212340369	2.321928095	4.595238074	6.297766172	4.693242814	2.321928095	4.313564007	3.453974952	4.160732661	4.51552969	4.529468767	4.075185874	4.195941061	5.25130773	4.560992515	3.101396389	3.276539477	3.034191415	3.888956936	4.146784464	5.111172125	5.789817893	6.193124279	5.14933144	4.863257292	4.434137525	2.321928095	3.840518577	4.121071241	4.489369413	7.21032211	3.568801658	4.162306084	5.357477776	4.275952694	4.063354385	3.54136699	3.543034986	4.964118408	2.321928095	5.540905146	4.401106521	5.262283274	2.321928095	4.642945885	6.100253284	4.341082535	5.599672769	3.335813391	4.784409623	5.613584996	5.515473816	5.011021189	5.201282863	3.888751973	6.080868808	3.873956436	4.598578394	2.745562485	4.299908362	5.454673528	5.085362796	2.321928095	4.376909468	4.194013622	2.321928095	3.164620073	3.649810106	2.321928095	4.138817788	4.852563519	4.428108578	3.51663674	5.084252694	3.446201535	2.321928095
hsa-miR-616*	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095
