	GSM995558	GSM995559	GSM995560	GSM995561	GSM995562	GSM995563	GSM995564	GSM995565	GSM995619	GSM995620	GSM995621	GSM995622	GSM995623	GSM995624	GSM995625
hcmv-miR-US25-1-5p	3.265357378	4.419646753	3.695682086	2.321928095	3.051109295	2.321928095	2.321928095	4.415974946	5.603816219	4.563829279	2.321928095	5.164810409	2.321928095	4.672215995	5.582396431
hsa-miR-330-5p	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095
hsa-miR-330-3p	5.144230917	4.722130721	4.225178449	2.321928095	4.252741698	4.799270849	4.526394727	5.775749614	5.110162915	4.457606543	4.234468005	2.321928095	4.139290023	4.787076765	4.062134047
hsa-miR-130b-5p	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095
hsa-miR-130a-5p	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095
hsa-miR-526b-3p	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095
hsa-miR-625-3p	2.463739311	2.321928095	2.321928095	2.321928095	3.511743432	2.321928095	3.575375751	2.321928095	3.31171206	3.543244464	3.763114109	4.251485896	5.029552578	3.572722268	2.779652222
hsa-miR-624-5p	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095
hsa-miR-629-3p	5.417144887	4.587393894	5.199379652	4.860666154	4.260300909	3.140921251	4.329028734	4.160225634	5.14933144	4.863257292	4.434137525	2.321928095	3.840518577	4.121071241	4.489369413
hsa-miR-616-5p	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095
hsa-miR-628-5p	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095
hsa-miR-628-3p	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.512407615	2.321928095	2.321928095	2.321928095	2.321928095	2.365512345
hsa-miR-138-2-3p	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.859178133
hsa-miR-138-1-3p	2.347223628	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.544826934	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.370747273
hcmv-miR-UL36-3p	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095
hsa-miR-208a-3p	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095
hsa-miR-208b-3p	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095
hsa-miR-200a-3p	9.948525127	10.92983232	10.94806793	10.110141	9.830298968	9.841395665	2.321928095	9.306378353	8.491529989	9.172362983	9.052137878	8.102356132	7.653728116	9.455035105	9.699044516
hsa-miR-200b-3p	10.05350626	10.54460705	10.90375141	9.631884245	10.03461848	10.23905415	2.321928095	9.375409683	8.486407405	9.536113634	8.896507139	7.779027624	6.950490465	9.341211747	9.306179925
hsa-miR-200c-3p	10.80587414	9.745681723	9.763707193	10.25001862	10.30523124	10.88717665	2.321928095	10.52082862	8.370469776	9.688422463	9.284754278	9.085177555	9.205175618	10.20559037	9.244980964
hsa-miR-202-5p	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095
hcmv-miR-UL22A-5p	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095
ebv-miR-BART8-5p	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095
ebv-miR-BART9-3p	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095
ebv-miR-BART7-3p	4.134377032	4.546882116	4.207955305	3.050580055	5.396460933	2.321928095	3.010215896	4.984479982	5.654083188	4.692549947	3.620727154	5.871683504	4.170149403	4.887032916	6.61388963
ebv-miR-BART4-5p	2.414933802	2.445157245	2.392954816	2.321928095	2.321928095	2.321928095	2.321928095	2.989411531	3.940664794	2.803832511	2.321928095	4.422791399	2.321928095	3.090983809	3.558047171
ebv-miR-BART5-5p	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095
ebv-miR-BART3-3p	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095
hsa-miR-491-5p	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095
hsa-miR-491-3p	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095
ebv-miR-BART17-3p	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.804361318	3.462746007	4.047861162	2.321928095	3.992324317	2.321928095	3.099670559	3.469547398
ebv-miR-BART17-5p	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095
hsa-miR-548a-3p	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095
hsa-miR-548a-5p	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095
hsa-miR-299-5p	2.412046197	2.321928095	2.321928095	2.321928095	2.321928095	2.379109771	4.093306617	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	3.289483481
hsa-miR-299-3p	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	4.297180325	2.321928095	2.579778239	2.818162979	3.537721979	2.321928095	2.321928095	2.321928095	4.216031067
