model	auc	n.mirna	mclust
1	0.507450980392157	1	3
2	0.558954248366013	1	3
3	0.556601307189542	1	3
4	0.456993464052288	1	1
5	0.537254901960784	1	3
6	0.493856209150327	1	3
7	0.565751633986928	1	3
8	0.502483660130719	1	3
9	0.57359477124183	1	3
10	0.505359477124183	1	3
11	0.568627450980392	2	3
12	0.57359477124183	2	3
13	0.547712418300654	2	3
14	0.528104575163399	2	3
15	0.511633986928105	2	3
16	0.565228758169935	2	3
17	0.489673202614379	2	3
18	0.571241830065359	2	3
19	0.499346405228758	2	3
20	0.628758169934641	2	3
21	0.593202614379085	2	3
22	0.584575163398693	2	3
23	0.55921568627451	2	3
24	0.612287581699346	2	3
25	0.570980392156863	2	3
26	0.61202614379085	2	3
27	0.553986928104575	2	3
28	0.561045751633987	2	3
29	0.56078431372549	2	3
30	0.550849673202614	2	3
31	0.596339869281046	2	3
32	0.426143790849673	2	1
33	0.431895424836601	2	1
34	0.562875816993464	2	3
35	0.542745098039216	2	3
36	0.570980392156863	2	3
37	0.58797385620915	2	3
38	0.571764705882353	2	3
39	0.564444444444444	2	3
40	0.563660130718954	2	3
41	0.46483660130719	2	1
42	0.58718954248366	2	3
43	0.557647058823529	2	3
44	0.572287581699346	2	3
45	0.543006535947712	2	3
46	0.561045751633987	2	3
47	0.496732026143791	2	3
48	0.568104575163399	2	3
49	0.484705882352941	2	3
50	0.565490196078431	2	3
51	0.596862745098039	2	3
52	0.618823529411765	2	3
53	0.596862745098039	2	3
54	0.487843137254902	2	3
55	0.581699346405229	2	3
56	0.62640522875817	3	3
57	0.591372549019608	3	3
58	0.589281045751634	3	3
59	0.573071895424837	3	3
60	0.623790849673203	3	3
61	0.580653594771242	3	3
62	0.616209150326797	3	3
63	0.566274509803922	3	3
64	0.576209150326797	3	3
65	0.573333333333333	3	3
66	0.566797385620915	3	3
67	0.592679738562091	3	3
68	0.577516339869281	3	3
69	0.578300653594771	3	3
70	0.573071895424837	3	3
71	0.454640522875817	3	1
72	0.569673202614379	3	3
73	0.587450980392157	3	3
74	0.574901960784314	3	3
75	0.569150326797386	3	3
76	0.561830065359477	3	3
77	0.469281045751634	3	1
78	0.583267973856209	3	3
79	0.449411764705882	3	1
80	0.573856209150327	3	3
81	0.541960784313726	3	3
82	0.563137254901961	3	3
83	0.50797385620915	3	3
84	0.570980392156863	3	3
85	0.510849673202614	3	3
86	0.569673202614379	3	3
87	0.597908496732026	3	3
88	0.630588235294118	3	3
89	0.597385620915033	3	3
90	0.488104575163399	3	3
91	0.577777777777778	3	3
92	0.629803921568627	3	3
93	0.630849673202614	3	3
94	0.630326797385621	3	3
95	0.661437908496732	3	3
96	0.630065359477124	3	3
97	0.636862745098039	3	3
98	0.627712418300654	3	3
99	0.595294117647059	3	3
100	0.620130718954248	3	3
101	0.644183006535948	3	3
102	0.590326797385621	3	3
103	0.623006535947712	3	3
104	0.591895424836601	3	3
105	0.584313725490196	3	3
106	0.618039215686275	3	3
107	0.583790849673203	3	3
108	0.611241830065359	3	3
109	0.581960784313726	3	3
110	0.61202614379085	3	3
111	0.573071895424837	3	3
112	0.610980392156863	3	3
113	0.552418300653595	3	3
114	0.61202614379085	3	3
115	0.626666666666667	3	3
116	0.63921568627451	3	3
117	0.614640522875817	3	3
118	0.567058823529412	3	3
119	0.617777777777778	3	3
120	0.575686274509804	3	3
121	0.562352941176471	3	3
122	0.597908496732026	3	3
123	0.601045751633987	3	3
124	0.431372549019608	3	1
125	0.568888888888889	3	3
126	0.550588235294118	3	3
127	0.587712418300654	3	3
128	0.584052287581699	3	3
129	0.57202614379085	3	3
130	0.562352941176471	3	3
131	0.586666666666667	3	3
132	0.428496732026144	3	1
133	0.564705882352941	3	3
134	0.55921568627451	3	3
135	0.597385620915033	3	3
136	0.602875816993464	3	3
137	0.660130718954248	3	3
138	0.615424836601307	3	3
139	0.422483660130719	3	1
140	0.580653594771242	3	3
141	0.579607843137255	3	3
142	0.577254901960784	3	3
143	0.57437908496732	3	3
144	0.570980392156863	3	3
145	0.565751633986928	3	3
146	0.582745098039216	3	3
147	0.616209150326797	3	3
148	0.566013071895425	3	3
149	0.586928104575163	3	3
150	0.596078431372549	3	3
151	0.595816993464052	3	3
152	0.65202614379085	3	3
153	0.628235294117647	3	3
154	0.578562091503268	3	3
155	0.575424836601307	3	3
156	0.580130718954248	3	3
157	0.45281045751634	3	1
158	0.568104575163399	3	3
159	0.540130718954248	3	3
160	0.585098039215686	3	3
161	0.598692810457516	3	3
162	0.64	3	3
163	0.594771241830065	3	3
164	0.55843137254902	3	3
165	0.579607843137255	3	3
166	0.56	3	3
167	0.594248366013072	3	3
168	0.606013071895425	3	3
169	0.595816993464052	3	3
170	0.521045751633987	3	3
171	0.576732026143791	3	3
172	0.620915032679739	3	3
173	0.624313725490196	3	3
174	0.635816993464052	3	3
175	0.578039215686274	3	3
176	0.628235294117647	4	3
177	0.630849673202614	4	3
178	0.629281045751634	4	3
179	0.664313725490196	4	3
180	0.627712418300654	4	3
181	0.636862745098039	4	3
182	0.629281045751634	4	3
183	0.597385620915033	4	3
184	0.62483660130719	4	3
185	0.643660130718954	4	3
186	0.592418300653595	4	3
187	0.623006535947712	4	3
188	0.594509803921569	4	3
189	0.591372549019608	4	3
190	0.626666666666667	4	3
191	0.584575163398693	4	3
192	0.616470588235294	4	3
193	0.580130718954248	4	2
194	0.620392156862745	4	3
195	0.58562091503268	4	3
196	0.618039215686275	4	3
197	0.571764705882353	4	2
198	0.62562091503268	4	3
199	0.634248366013072	4	3
200	0.643398692810457	4	3
201	0.616470588235294	4	3
202	0.575424836601307	4	2
203	0.619084967320261	4	3
204	0.58483660130719	4	3
205	0.570196078431373	4	3
206	0.597908496732026	4	3
207	0.594771241830065	4	3
208	0.578039215686274	4	2
209	0.589019607843137	4	3
210	0.567058823529412	4	3
211	0.590588235294118	4	3
212	0.587712418300654	4	3
213	0.583006535947712	4	2
214	0.570980392156863	4	2
215	0.41281045751634	4	1
216	0.429019607843137	4	1
217	0.576993464052288	4	2
218	0.564705882352941	4	3
219	0.592418300653595	4	3
220	0.602875816993464	4	3
221	0.657254901960784	4	3
222	0.617777777777778	4	3
223	0.581960784313726	4	2
224	0.587450980392157	4	3
225	0.583790849673203	4	2
226	0.581699346405229	4	2
227	0.573856209150327	4	2
228	0.578039215686274	4	2
229	0.569673202614379	4	2
230	0.583790849673203	4	2
231	0.615947712418301	4	3
232	0.570196078431373	4	2
233	0.585098039215686	4	2
234	0.596339869281046	4	3
235	0.599738562091503	4	3
236	0.654640522875817	4	3
237	0.626143790849673	4	3
238	0.580915032679739	4	2
239	0.582222222222222	4	2
240	0.580130718954248	4	2
241	0.459084967320261	4	1
242	0.567843137254902	4	2
243	0.540653594771242	4	3
244	0.58640522875817	4	2
245	0.596339869281046	4	3
246	0.639738562091503	4	3
247	0.595555555555556	4	3
248	0.550849673202614	4	3
249	0.581437908496732	4	2
250	0.562875816993464	4	3
251	0.595032679738562	4	3
252	0.613333333333333	4	3
253	0.595816993464052	4	3
254	0.518169934640523	4	3
255	0.581437908496732	4	2
256	0.621960784313725	4	4
257	0.630849673202614	4	4
258	0.640261437908497	4	4
259	0.581437908496732	4	2
260	0.638692810457516	4	4
261	0.624575163398693	4	4
262	0.661437908496732	4	3
263	0.62640522875817	4	4
264	0.633464052287582	4	4
265	0.627450980392157	4	4
266	0.630326797385621	4	4
267	0.663529411764706	4	3
268	0.626928104575163	4	4
269	0.638692810457516	4	4
270	0.631111111111111	4	4
271	0.658823529411765	4	3
272	0.631111111111111	4	4
273	0.631372549019608	4	4
274	0.630065359477124	4	4
275	0.658300653594771	4	3
276	0.659607843137255	4	3
277	0.677908496732026	4	3
278	0.635294117647059	4	4
279	0.635294117647059	4	4
280	0.638692810457516	4	4
281	0.624313725490196	4	4
282	0.649673202614379	4	4
283	0.589281045751634	4	2
284	0.632156862745098	4	4
285	0.589803921568627	4	2
286	0.648627450980392	4	4
287	0.627450980392157	4	4
288	0.628235294117647	4	4
289	0.621699346405229	4	4
290	0.645751633986928	4	4
291	0.641307189542484	4	4
292	0.673464052287582	4	3
293	0.638954248366013	4	4
294	0.586928104575163	4	2
295	0.626143790849673	4	4
296	0.614901960784314	4	4
297	0.414640522875817	4	1
298	0.611241830065359	4	4
299	0.578562091503268	4	2
300	0.621437908496732	4	4
301	0.62640522875817	4	4
302	0.647058823529412	4	4
303	0.614901960784314	4	4
304	0.579084967320261	4	2
305	0.615947712418301	4	4
306	0.611503267973856	4	4
307	0.625098039215686	4	4
308	0.63921568627451	4	4
309	0.613856209150327	4	4
310	0.572549019607843	4	2
311	0.617777777777778	4	4
312	0.632418300653595	4	4
313	0.645228758169935	4	4
314	0.647320261437908	4	4
315	0.615686274509804	4	4
316	0.580130718954248	4	2
317	0.584575163398693	4	2
318	0.597908496732026	4	4
319	0.579869281045752	4	2
320	0.579607843137255	4	2
321	0.586666666666667	4	2
322	0.619607843137255	4	4
323	0.568366013071895	4	2
324	0.579607843137255	4	2
325	0.611764705882353	4	4
326	0.601307189542484	4	4
327	0.668235294117647	4	4
328	0.637908496732026	4	4
329	0.607843137254902	4	4
330	0.580653594771242	4	2
331	0.584575163398693	4	2
332	0.579346405228758	4	2
333	0.57202614379085	4	2
334	0.559477124183007	4	3
335	0.605751633986928	4	4
336	0.602352941176471	4	4
337	0.659346405228758	4	4
338	0.615424836601307	4	4
339	0.584575163398693	4	2
340	0.584052287581699	4	2
341	0.405751633986928	4	1
342	0.597385620915033	4	4
343	0.642352941176471	4	4
344	0.615686274509804	4	4
345	0.568888888888889	4	2
346	0.580653594771242	4	2
347	0.636339869281046	4	4
348	0.664313725490196	4	4
349	0.661437908496732	4	4
350	0.611764705882353	4	4
351	0.577777777777778	4	2
352	0.615686274509804	4	4
353	0.591895424836601	4	2
354	0.601307189542484	4	4
355	0.598692810457516	4	4
356	0.590326797385621	4	2
357	0.644967320261438	4	4
358	0.625359477124183	4	4
359	0.576732026143791	4	2
360	0.584052287581699	4	2
361	0.61202614379085	4	4
362	0.594248366013072	4	2
363	0.62797385620915	4	4
364	0.636339869281046	4	4
365	0.627712418300654	4	4
366	0.585098039215686	4	2
367	0.649150326797386	4	4
368	0.656732026143791	4	4
369	0.646013071895425	4	4
370	0.623529411764706	4	4
371	0.586666666666667	4	2
372	0.595555555555556	4	2
373	0.614117647058824	4	4
374	0.592679738562092	4	2
375	0.541176470588235	4	3
376	0.578562091503268	4	2
377	0.61281045751634	4	4
378	0.645228758169935	4	4
379	0.64078431372549	4	4
380	0.582222222222222	4	2
381	0.620392156862745	4	4
382	0.397647058823529	4	1
383	0.62640522875817	4	4
384	0.579346405228758	4	2
385	0.648888888888889	4	4
386	0.641045751633987	5	4
387	0.627712418300654	5	4
388	0.663006535947712	5	4
389	0.628496732026144	5	4
390	0.632418300653595	5	4
391	0.62718954248366	5	4
392	0.629542483660131	5	4
393	0.666928104575163	5	4
394	0.62562091503268	5	4
395	0.641045751633987	5	4
396	0.630326797385621	5	4
397	0.664052287581699	5	4
398	0.629019607843137	5	4
399	0.633986928104575	5	4
400	0.630326797385621	5	4
401	0.66797385620915	5	4
402	0.663006535947712	5	4
403	0.67843137254902	5	4
404	0.637124183006536	5	4
405	0.629803921568627	5	4
406	0.637647058823529	5	4
407	0.641307189542484	5	4
408	0.647843137254902	5	4
409	0.596078431372549	5	2
410	0.635555555555556	5	4
411	0.596339869281046	5	2
412	0.648366013071895	5	4
413	0.639477124183007	5	4
414	0.625882352941176	5	4
415	0.62562091503268	5	4
416	0.65124183006536	5	4
417	0.64156862745098	5	4
418	0.673725490196078	5	4
419	0.634771241830065	5	4
420	0.593202614379085	5	2
421	0.625882352941176	5	4
422	0.624575163398693	5	4
423	0.586928104575163	5	2
424	0.618039215686275	5	4
425	0.586666666666667	5	2
426	0.62797385620915	5	4
427	0.633464052287582	5	4
428	0.650457516339869	5	4
429	0.617777777777778	5	4
430	0.583267973856209	5	2
431	0.618562091503268	5	4
432	0.620915032679739	5	4
433	0.631372549019608	5	4
434	0.642352941176471	5	4
435	0.616993464052288	5	4
436	0.578823529411765	5	2
437	0.625882352941176	5	4
438	0.644183006535948	5	4
439	0.649150326797386	5	4
440	0.65359477124183	5	4
441	0.619084967320261	5	4
442	0.581960784313726	5	2
443	0.588496732026144	5	2
444	0.591895424836601	5	2
445	0.598692810457516	5	4
446	0.590326797385621	5	2
447	0.586928104575163	5	2
448	0.618823529411765	5	4
449	0.576209150326797	5	2
450	0.582483660130719	5	2
451	0.61281045751634	5	4
452	0.608104575163399	5	4
453	0.665359477124183	5	4
454	0.640522875816994	5	4
455	0.604967320261438	5	4
456	0.591895424836601	5	2
457	0.411241830065359	5	1
458	0.581960784313726	5	2
459	0.580653594771242	5	2
460	0.565228758169935	5	2
461	0.606535947712418	5	4
462	0.604967320261438	5	4
463	0.656209150326797	5	4
464	0.617254901960784	5	4
465	0.587450980392157	5	2
466	0.585359477124183	5	2
467	0.592679738562092	5	2
468	0.599738562091503	5	4
469	0.639738562091503	5	4
470	0.616993464052288	5	4
471	0.578300653594771	5	2
472	0.591633986928105	5	2
473	0.631372549019608	5	4
474	0.662222222222222	5	4
475	0.656993464052288	5	4
476	0.611241830065359	5	4
477	0.581437908496732	5	2
478	0.614117647058824	5	4
479	0.58797385620915	5	2
480	0.595816993464052	5	2
481	0.60156862745098	5	4
482	0.597385620915033	5	2
483	0.647320261437909	5	4
484	0.623790849673203	5	4
485	0.579346405228758	5	2
486	0.586143790849673	5	2
487	0.611764705882353	5	4
488	0.593464052287582	5	2
489	0.629019607843137	5	4
490	0.637124183006536	5	4
491	0.628496732026144	5	4
492	0.58640522875817	5	2
493	0.650980392156863	5	4
494	0.656993464052288	5	4
495	0.65202614379085	5	4
496	0.62483660130719	5	4
497	0.586928104575163	5	2
498	0.592941176470588	5	2
499	0.612549019607843	5	4
500	0.593986928104575	5	2
501	0.458300653594771	5	1
502	0.579869281045752	5	2
503	0.61516339869281	5	4
504	0.644444444444444	5	4
505	0.642875816993464	5	4
506	0.586143790849673	5	2
507	0.621699346405229	5	4
508	0.607320261437909	5	4
509	0.630065359477124	5	4
510	0.578823529411765	5	2
511	0.648888888888889	5	4
512	0.648888888888889	5	4
513	0.669542483660131	5	4
514	0.632156862745098	5	4
515	0.645751633986928	5	4
516	0.637124183006536	5	4
517	0.654901960784314	5	4
518	0.64078431372549	5	4
519	0.635555555555556	5	4
520	0.630326797385621	5	4
521	0.663006535947712	5	4
522	0.656470588235294	5	4
523	0.686535947712418	5	4
524	0.645490196078431	5	4
525	0.627450980392157	5	4
526	0.634771241830065	5	4
527	0.658039215686275	5	4
528	0.627712418300654	5	4
529	0.63921568627451	5	4
530	0.629542483660131	5	4
531	0.658300653594771	5	4
532	0.66640522875817	5	4
533	0.678954248366013	5	4
534	0.635294117647059	5	4
535	0.62718954248366	5	4
536	0.644705882352941	5	4
537	0.660915032679739	5	4
538	0.654640522875817	5	4
539	0.673464052287582	5	4
540	0.634771241830065	5	4
541	0.635294117647059	5	4
542	0.638169934640523	5	4
543	0.667450980392157	5	4
544	0.681830065359477	5	4
545	0.683398692810458	5	4
546	0.639738562091503	5	4
547	0.648888888888889	5	4
548	0.631895424836601	5	4
549	0.631895424836601	5	4
550	0.630588235294118	5	4
551	0.649934640522876	5	4
552	0.653071895424837	5	4
553	0.674509803921569	5	4
554	0.643660130718954	5	4
555	0.585359477124183	5	2
556	0.636339869281046	5	4
557	0.649934640522876	5	4
558	0.641307189542484	5	4
559	0.660915032679739	5	4
560	0.653856209150327	5	4
561	0.62718954248366	5	4
562	0.634509803921569	5	4
563	0.670588235294118	5	4
564	0.675294117647059	5	4
565	0.663790849673203	5	4
566	0.63921568627451	5	4
567	0.615424836601307	5	4
568	0.62562091503268	5	4
569	0.630849673202614	5	4
570	0.610980392156863	5	4
571	0.415947712418301	5	1
572	0.617254901960784	5	4
573	0.633464052287582	5	4
574	0.646274509803922	5	4
575	0.646797385620915	5	4
576	0.615947712418301	5	4
577	0.635294117647059	5	4
578	0.634771241830065	5	4
579	0.644444444444444	5	4
580	0.615424836601307	5	4
581	0.65281045751634	5	4
582	0.422483660130719	5	1
583	0.620130718954248	5	4
584	0.586666666666667	5	2
585	0.591372549019608	5	2
586	0.610196078431373	5	4
587	0.597647058823529	5	2
588	0.665098039215686	5	4
589	0.634509803921569	5	4
590	0.609150326797386	5	4
591	0.595816993464052	5	2
592	0.614901960784314	5	4
593	0.597124183006536	5	2
594	0.636862745098039	5	4
595	0.637385620915033	5	4
596	0.635816993464052	5	4
597	0.578300653594771	5	2
598	0.651503267973856	5	4
599	0.680261437908497	5	4
600	0.661176470588235	5	4
601	0.645228758169935	5	4
602	0.599477124183007	5	2
603	0.597385620915033	5	2
604	0.642614379084967	5	4
605	0.610980392156863	5	4
606	0.580130718954248	5	2
607	0.58562091503268	5	2
608	0.635032679738562	5	4
609	0.673725490196078	5	4
610	0.660130718954248	5	4
611	0.615947712418301	5	4
612	0.636339869281046	5	4
613	0.655424836601307	5	4
614	0.644444444444444	5	4
615	0.611503267973856	5	4
616	0.676078431372549	5	4
617	0.609150326797386	5	4
618	0.587712418300654	5	2
619	0.635294117647059	5	4
620	0.640522875816994	5	4
621	0.625098039215686	5	4
622	0.602352941176471	5	2
