Gene	Entrezid	FDR
CYP17A1	1586	0.000954069
FLNC	2318	0.000954069
FUT4	2526	0.000954069
ITGA6	3655	0.000954069
KRT6A	3853	0.000954069
KRT8	3856	0.000954069
SHC1	6464	0.000954069
VDAC1	7416	0.000954069
RGS20	8601	0.000954069
PLEK2	26499	0.000954069
LINGO2	158038	0.000954069
KRT6C	286887	0.000954069
PLK1	5347	0.001246868
VEGFC	7424	0.001343868
PKP2	5318	0.001430168
DLGAP5	9787	0.001430168
ECT2	1894	0.001436128
KRT6B	3854	0.001436128
LOXL2	4017	0.001436128
FOSL1	8061	0.001436128
CTSL	1514	0.001544707
KIF14	9928	0.001544707
SLC2A1	6513	0.001686142
CCNB1	891	0.00171359
HMMR	3161	0.00171359
ASPM	259266	0.00171359
CCNA2	890	0.001768515
HMGA1	3159	0.001768515
RRM2	6241	0.001768515
EXO1	9156	0.001768515
PKM	5315	0.00181238
TNS4	84951	0.00181238
EHBP1	23301	0.001843297
MAP4K4	9448	0.001908214
LAMC2	3918	0.001923511
PRC1	9055	0.001923511
ERLIN1	10613	0.001923511
ANP32B	10541	0.001947745
HJURP	55355	0.001947745
SMS	6611	0.002184859
KYNU	8942	0.002184859
NEIL3	55247	0.002184859
CDKN3	1033	0.002186332
TPX2	22974	0.002186332
TGIF1	7050	0.002321019
NEK2	4751	0.002461469
LAMB1	3912	0.002582341
MYO1E	4643	0.002582341
AKAP12	9590	0.002582341
OIP5	11339	0.002582341
PXN	5829	0.002677536
JAG1	182	0.002696042
LPGAT1	9926	0.002696042
FOXM1	2305	0.002725746
GNG7	2788	0.002725746
PFKP	5214	0.003001652
TPI1	7167	0.003001652
ADM	133	0.003084187
CDC25C	995	0.003162828
CHEK1	1111	0.003178275
SMOX	54498	0.003178275
PSMD2	5708	0.003326959
XCR1	2829	0.003342366
SLC16A1	6566	0.003342366
SPC25	57405	0.003342366
MKI67	4288	0.00336399
RHOF	54509	0.003454214
APOL1	8542	0.003487711
KIF4A	24137	0.003530385
SHCBP1	79801	0.003530385
CDK1	983	0.003913595
KIF11	3832	0.003913595
WDHD1	11169	0.003913595
SFTPB	6439	0.003938287
KIF18A	81930	0.003938287
XRCC6	2547	0.004001742
CENPF	1063	0.004084557
LAMC1	3915	0.004226514
TK1	7083	0.004226514
CACNA2D2	9254	0.004226514
NDC80	10403	0.004226514
PAICS	10606	0.004226514
DEPDC1	55635	0.004226514
PBK	55872	0.004226514
FCRL1	115350	0.004226514
STAP1	26228	0.004303086
PGAM1	5223	0.004343967
PMEPA1	56937	0.004343967
