Drug	Subtype	AUC
Cisplatin	Subtype1	0.911917839
Cisplatin	Subtype1	0.966375283
Cisplatin	Subtype1	0.934236597
Cisplatin	Subtype1	0.951205748
Cisplatin	Subtype1	0.9279444
Cisplatin	Subtype1	0.955990486
Cisplatin	Subtype1	0.959910306
Cisplatin	Subtype1	0.958494944
Cisplatin	Subtype1	0.967865792
Cisplatin	Subtype1	0.93931779
Cisplatin	Subtype1	0.953863671
Cisplatin	Subtype1	0.953394355
Cisplatin	Subtype1	0.941703799
Cisplatin	Subtype1	0.963624516
Cisplatin	Subtype1	0.957104931
Cisplatin	Subtype1	0.977351215
Cisplatin	Subtype1	0.919020928
Cisplatin	Subtype1	0.951866764
Cisplatin	Subtype1	0.947389069
Cisplatin	Subtype1	0.927168753
Cisplatin	Subtype1	0.973194063
Cisplatin	Subtype1	0.950702556
Cisplatin	Subtype1	0.949025838
Cisplatin	Subtype1	0.933137337
Cisplatin	Subtype1	0.946455853
Cisplatin	Subtype1	0.936484871
Cisplatin	Subtype1	0.920160448
Cisplatin	Subtype1	0.978871379
Cisplatin	Subtype1	0.937313105
Cisplatin	Subtype1	0.947984811
Cisplatin	Subtype1	0.972108896
Cisplatin	Subtype1	0.927023725
Cisplatin	Subtype1	0.953427472
Cisplatin	Subtype1	0.938654117
Cisplatin	Subtype1	0.9674249
Cisplatin	Subtype1	0.932675862
Cisplatin	Subtype1	0.956501738
Cisplatin	Subtype1	0.93616413
Cisplatin	Subtype1	0.953014189
Cisplatin	Subtype1	0.974194801
Cisplatin	Subtype1	0.934060587
Cisplatin	Subtype1	0.957318146
Cisplatin	Subtype1	0.916110883
Cisplatin	Subtype1	0.910854771
Cisplatin	Subtype1	0.947288804
Cisplatin	Subtype1	0.950990646
Cisplatin	Subtype1	0.972759734
Cisplatin	Subtype1	0.923040426
Cisplatin	Subtype1	0.964552687
Cisplatin	Subtype1	0.941169267
Cisplatin	Subtype1	0.970513392
Cisplatin	Subtype1	0.948716713
Cisplatin	Subtype1	0.947277776
Cisplatin	Subtype1	0.97042956
Cisplatin	Subtype1	0.951430276
Cisplatin	Subtype1	0.927209421
Cisplatin	Subtype1	0.958682547
Cisplatin	Subtype1	0.944427853
Cisplatin	Subtype1	0.950151933
Cisplatin	Subtype1	0.96442881
Cisplatin	Subtype1	0.999054819
Cisplatin	Subtype1	0.972634207
Cisplatin	Subtype1	0.935371335
Cisplatin	Subtype1	0.94760214
Cisplatin	Subtype1	0.933513641
Cisplatin	Subtype1	0.930363183
Cisplatin	Subtype1	0.966851325
Cisplatin	Subtype1	0.946954934
Cisplatin	Subtype1	0.930838696
Cisplatin	Subtype1	0.890510133
Cisplatin	Subtype1	0.93972494
Cisplatin	Subtype1	0.953640611
Cisplatin	Subtype1	0.954899357
Cisplatin	Subtype1	0.941647279
Cisplatin	Subtype1	0.915025828
Cisplatin	Subtype1	0.955517617
Cisplatin	Subtype1	0.925938829
Cisplatin	Subtype1	0.905100344
Cisplatin	Subtype1	0.945856677
Cisplatin	Subtype1	0.939063523
Cisplatin	Subtype1	0.940276577
Cisplatin	Subtype1	0.939856585
Cisplatin	Subtype1	0.910066375
Cisplatin	Subtype1	0.91626451
Cisplatin	Subtype1	0.93202626
Cisplatin	Subtype1	0.918618357
Cisplatin	Subtype1	0.937506147
Cisplatin	Subtype1	0.961048257
Cisplatin	Subtype1	0.933001592
Cisplatin	Subtype1	0.939060632
Cisplatin	Subtype1	0.948418433
Cisplatin	Subtype1	0.937897826
Cisplatin	Subtype1	0.94279067
Cisplatin	Subtype1	0.963149857
Cisplatin	Subtype1	0.95137783
Cisplatin	Subtype1	0.950284862
Cisplatin	Subtype1	0.928424948
Cisplatin	Subtype1	0.923208683
Cisplatin	Subtype1	0.963605216
Cisplatin	Subtype1	0.945028793
Cisplatin	Subtype1	0.953364506
Cisplatin	Subtype1	0.904772321
Cisplatin	Subtype1	0.922789227
Cisplatin	Subtype1	0.908630019
Cisplatin	Subtype1	0.899964307
Cisplatin	Subtype1	0.920205393
Cisplatin	Subtype1	0.921281103
Cisplatin	Subtype1	0.875147704
Cisplatin	Subtype1	0.926537232
Cisplatin	Subtype1	0.930772186
Cisplatin	Subtype1	0.953905311
Cisplatin	Subtype1	0.942587977
Cisplatin	Subtype1	0.917985084
Cisplatin	Subtype1	0.924732743
Cisplatin	Subtype1	0.955480032
Cisplatin	Subtype1	0.943350216
Cisplatin	Subtype1	0.945133913
Cisplatin	Subtype1	0.951540761
Cisplatin	Subtype1	0.95196198
Cisplatin	Subtype1	0.972510191
Cisplatin	Subtype1	0.922054942
Cisplatin	Subtype1	0.946935089
Cisplatin	Subtype1	0.955590676
Cisplatin	Subtype1	0.942281956
Cisplatin	Subtype1	0.938887296
Cisplatin	Subtype1	0.964591065
Cisplatin	Subtype1	0.949239001
Cisplatin	Subtype1	0.939324926
Cisplatin	Subtype1	0.931272299
Cisplatin	Subtype1	0.927879129
Cisplatin	Subtype1	0.928580333
Cisplatin	Subtype1	0.928430943
Cisplatin	Subtype1	0.917113414
Cisplatin	Subtype2	0.921759993
Cisplatin	Subtype2	0.861614137
Cisplatin	Subtype2	0.897936756
Cisplatin	Subtype2	0.855921851
Cisplatin	Subtype2	0.885038654
Cisplatin	Subtype2	0.895241713
Cisplatin	Subtype2	0.884923291
Cisplatin	Subtype2	0.878656193
Cisplatin	Subtype2	0.830215211
Cisplatin	Subtype2	0.856048921
