,x,y,PAM50,Cohort,Class,color
BRCA-A1OV-01A,9.81862162279466,-12.0653843380546,Her2,TCGA,Her2_TCGA,#B2DF8A
BRCA-A1P7-01A,3.0119718811895,-23.0692407564227,Normal,TCGA,Normal_TCGA,#CAB2D6
BRCA-A1P1-01A,-3.96605277402228,-22.9344789816772,Normal,TCGA,Normal_TCGA,#CAB2D6
BRCA-A1PG-01A,-11.8296703294172,-11.1441058326523,Normal,TCGA,Normal_TCGA,#CAB2D6
BRCA-A5RW-01A,20.7617474792101,2.43861891983323,Basal,TCGA,Basal_TCGA,#A6CEE3
BRCA-A07R-01A,24.3191059034705,7.74319038941924,Basal,TCGA,Basal_TCGA,#A6CEE3
BRCA-A5QP-01A,-8.61572747630071,-4.90923102324979,LumA,TCGA,LumA_TCGA,#FB9A99
BRCA-A5QM-01A,-8.52335974613716,-5.52801321399406,LumA,TCGA,LumA_TCGA,#FB9A99
BRCA-A041-01A,-5.57330307144512,3.20726949464636,LumA,TCGA,LumA_TCGA,#FB9A99
BRCA-A26W-01A,1.07213135917995,-2.62654899119319,LumB,TCGA,LumB_TCGA,#FDBF6F
BRCA-A0XP-01A,-10.9208083219568,8.26751158077434,LumA,TCGA,LumA_TCGA,#FB9A99
BRCA-A0FZ-01A,-3.581649074944,11.0321661750146,LumA,TCGA,LumA_TCGA,#FB9A99
BRCA-A134-01A,22.8934102632734,-4.13969506037372,Basal,TCGA,Basal_TCGA,#A6CEE3
BRCA-A130-01A,7.25231154510541,2.92968304465803,LumB,TCGA,LumB_TCGA,#FDBF6F
BRCA-A1HN-01A,4.87378644764386,13.1713353999559,LumB,TCGA,LumB_TCGA,#FDBF6F
BRCA-A138-01A,2.25548663548529,-5.91727917701599,Her2,TCGA,Her2_TCGA,#B2DF8A
BRCA-A0AK-01A,12.6026050012082,16.3296991328196,LumB,TCGA,LumB_TCGA,#FDBF6F
BRCA-A1HL-01A,2.34158744546897,4.87387613316424,LumB,TCGA,LumB_TCGA,#FDBF6F
BRCA-A12L-01A,14.3641815707391,4.68788649543828,Her2,TCGA,Her2_TCGA,#B2DF8A
BRCA-A1HE-01A,-12.8603198104025,7.03900244532847,LumA,TCGA,LumA_TCGA,#FB9A99
BRCA-A6IV-01A,-5.80397622331315,-15.067696504631,LumA,TCGA,LumA_TCGA,#FB9A99
BRCA-A1XA-01A,-4.92806652299182,7.9443125558765,LumA,TCGA,LumA_TCGA,#FB9A99
BRCA-A1IH-01A,-5.95816175445674,-16.6251300591382,LumA,TCGA,LumA_TCGA,#FB9A99
BRCA-A105-01A,1.20501735977174,14.8752037697336,LumA,TCGA,LumA_TCGA,#FB9A99
BRCA-A1KF-01A,16.461364054983,10.7453328363714,Basal,TCGA,Basal_TCGA,#A6CEE3
BRCA-A42T-01A,4.68905210293654,3.13687133930499,LumB,TCGA,LumB_TCGA,#FDBF6F
BRCA-A24P-01A,-8.52474506676282,-2.37967923431865,LumA,TCGA,LumA_TCGA,#FB9A99
BRCA-A0TR-01A,-9.89944182972868,20.6571756213825,LumA,TCGA,LumA_TCGA,#FB9A99
BRCA-A0XV-01A,-8.63151397297512,-4.41291505017045,LumA,TCGA,LumA_TCGA,#FB9A99
BRCA-A0XW-01A,-0.641441960214927,-11.2243158378866,LumA,TCGA,LumA_TCGA,#FB9A99
BRCA-A18T-01A,24.9741757674701,5.64255205003844,Basal,TCGA,Basal_TCGA,#A6CEE3
BRCA-A145-01A,-13.8732880445384,-7.07748552784262,LumA,TCGA,LumA_TCGA,#FB9A99
BRCA-A142-01A,9.77714907906356,-10.0249509832516,Basal,TCGA,Basal_TCGA,#A6CEE3
BRCA-A15S-01A,2.67578061435947,21.2279713149947,LumB,TCGA,LumB_TCGA,#FDBF6F
BRCA-A1Y3-01A,20.4713430934253,7.56644730685168,LumB,TCGA,LumB_TCGA,#FDBF6F
BRCA-A1Y2-01A,2.20308591660879,-14.5264872603934,LumB,TCGA,LumB_TCGA,#FDBF6F
BRCA-A15J-01A,-6.0274954033113,13.9366579982972,LumA,TCGA,LumA_TCGA,#FB9A99
BRCA-A1XL-01A,12.6694148397748,2.76878513888418,LumB,TCGA,LumB_TCGA,#FDBF6F
BRCA-A2LH-01A,3.98062796684134,-13.8248622550324,Normal,TCGA,Normal_TCGA,#CAB2D6
BRCA-A576-01A,3.04619660067632,12.4694306081337,LumA,TCGA,LumA_TCGA,#FB9A99
BRCA-A2LO-01A,-5.04820497920736,-9.59438221905884,LumA,TCGA,LumA_TCGA,#FB9A99
BRCA-A1AP-01A,-1.30771446380769,-1.29865296539432,LumA,TCGA,LumA_TCGA,#FB9A99
BRCA-A0TV-01A,10.031319338809,9.40652074687346,LumB,TCGA,LumB_TCGA,#FDBF6F
BRCA-A1AQ-01A,23.9427269966574,-8.02382893649032,Basal,TCGA,Basal_TCGA,#A6CEE3
BRCA-A24K-01A,-3.43185411187699,14.7629647636034,LumB,TCGA,LumB_TCGA,#FDBF6F
BRCA-A1AI-01A,26.1411973308716,-2.65792787276927,Basal,TCGA,Basal_TCGA,#A6CEE3
BRCA-A1AW-01A,7.34892337246872,-13.4819326657349,LumB,TCGA,LumB_TCGA,#FDBF6F
BRCA-A2LL-01A,-1.68674265211235,5.922965288758,LumB,TCGA,LumB_TCGA,#FDBF6F
BRCA-A24T-01A,-14.4379946718947,-10.2439432495837,LumA,TCGA,LumA_TCGA,#FB9A99
BRCA-A1AM-01A,-12.8381688222206,-6.87024312339877,LumA,TCGA,LumA_TCGA,#FB9A99
BRCA-A1AU-01A,-6.70066578530955,-1.42354278490102,LumA,TCGA,LumA_TCGA,#FB9A99
BRCA-A251-01A,15.0550411679348,-3.00021662664014,Basal,TCGA,Basal_TCGA,#A6CEE3
BRCA-A24N-01A,-3.57929555080865,4.19880738481979,LumB,TCGA,LumB_TCGA,#FDBF6F
BRCA-A24X-01A,-10.4356017205232,-1.33699405286037,LumA,TCGA,LumA_TCGA,#FB9A99
BRCA-A24L-01A,-7.85353143621957,1.10801491409272,LumA,TCGA,LumA_TCGA,#FB9A99
BRCA-A0TW-01A,5.81606074836,6.3814504934294,LumA,TCGA,LumA_TCGA,#FB9A99
BRCA-A0TZ-01A,-3.20107326455464,10.5421237250033,LumA,TCGA,LumA_TCGA,#FB9A99
BRCA-A27R-01A,5.91028662686783,1.67178705086243,LumB,TCGA,LumB_TCGA,#FDBF6F
BRCA-A1JG-01B,11.9672506429239,-4.38576853563932,Her2,TCGA,Her2_TCGA,#B2DF8A
BRCA-A1JT-01A,1.01254577364196,17.3075043624277,LumB,TCGA,LumB_TCGA,#FDBF6F
BRCA-A27G-01A,-7.86674797472396,-5.702070611618,LumA,TCGA,LumA_TCGA,#FB9A99
BRCA-A1XV-01A,-5.92881453597611,17.3905994380939,LumA,TCGA,LumA_TCGA,#FB9A99
BRCA-A090-01A,-1.0164468108895,4.10955984672052,LumA,TCGA,LumA_TCGA,#FB9A99
BRCA-A09G-01A,6.00364047758356,2.15168948153542,Her2,TCGA,Her2_TCGA,#B2DF8A
BRCA-A0FD-01A,-2.94916603099387,1.80020448279507,LumA,TCGA,LumA_TCGA,#FB9A99
BRCA-A07P-01A,-6.14411364488993,8.21850808792442,LumA,TCGA,LumA_TCGA,#FB9A99
BRCA-A097-01A,-0.887819881650068,-2.95051023032915,LumA,TCGA,LumA_TCGA,#FB9A99
BRCA-A27W-01A,2.88535724487374,6.5905586471695,LumB,TCGA,LumB_TCGA,#FDBF6F
BRCA-A15H-01A,-2.46480927920381,9.19270993048126,LumA,TCGA,LumA_TCGA,#FB9A99
BRCA-A075-01A,6.72019932845885,0.161903830397949,LumB,TCGA,LumB_TCGA,#FDBF6F
BRCA-A0AB-01A,-7.87984417049851,12.5616480823629,LumA,TCGA,LumA_TCGA,#FB9A99
BRCA-A06R-01A,5.1568675728952,-2.88994758940408,LumB,TCGA,LumB_TCGA,#FDBF6F
BRCA-A14Y-01A,22.8989252389698,7.46615705063664,Basal,TCGA,Basal_TCGA,#A6CEE3
BRCA-A08C-01A,-9.77733758257152,10.7580578728053,LumA,TCGA,LumA_TCGA,#FB9A99
BRCA-A06U-01A,6.45404766944972,7.21017989478047,LumA,TCGA,LumA_TCGA,#FB9A99
BRCA-A18P-01A,-1.43374171669173,1.09997771907711,Her2,TCGA,Her2_TCGA,#B2DF8A
BRCA-A09E-01A,2.05895202181564,15.7282747921234,LumB,TCGA,LumB_TCGA,#FDBF6F
BRCA-A06T-01A,-3.01276604145421,9.26689392635015,LumA,TCGA,LumA_TCGA,#FB9A99
BRCA-A0TQ-01A,6.33763548310853,3.55559728780608,LumB,TCGA,LumB_TCGA,#FDBF6F
BRCA-A250-01A,0.693276741636692,-3.80437167346919,LumB,TCGA,LumB_TCGA,#FDBF6F
BRCA-A08T-01A,-8.62371317459182,4.99848157860514,LumA,TCGA,LumA_TCGA,#FB9A99
