,Class,color,shape,label,avgx,avgy,sdx,sdy
1,Her2_TCGA,#B2DF8A,closed,HT,7.68632139695027,-1.23985690499364,5.07587335184434,7.65725399645358
2,Normal_TCGA,#CAB2D6,closed,NT,-2.11940246877761,-13.2923374081308,8.13832907361498,7.91491476002141
3,Basal_TCGA,#A6CEE3,closed,BT,18.8795921133581,-2.76728017333717,5.5196861100948,8.19903069459881
4,LumA_TCGA,#FB9A99,closed,LaT,-7.35340519120406,-0.298383263927281,5.36488683341048,9.71366027138496
5,LumB_TCGA,#FDBF6F,closed,LbT,2.61525787049562,7.08286046719771,5.4304157153627,8.64395225838244
6,LumB_Yau,#FF7F00,opened,LbY,1.01244425051718,11.6164761693618,7.39350539340795,8.5677304388562
7,Basal_Yau,#1F78B4,opened,BY,19.1704436614114,-5.40136983995649,9.68343274626575,8.13984483734172
8,Her2_Yau,#33A02C,opened,HY,7.26002136512369,-1.61402158830877,7.11307435109442,8.06864152661746
9,Normal_Yau,#6A3D9A,opened,NY,-13.4266025850246,-11.5629926576089,9.60002653481506,7.88327813378803
10,LumA_Yau,#E31A1C,opened,LaY,-16.2304290277102,0.78735201112394,8.38242440625118,10.812892254641
