TCGA-2V-A95S-01A-11R-A37K-07	TCGA-2Y-A9GS-01A-12R-A38B-07	TCGA-2Y-A9GT-01A-11R-A38B-07	TCGA-2Y-A9GU-01A-11R-A38B-07
ENSG00000000003.15	3231	5531	9031	5363
ENSG00000000005.6	0	0	4	0
ENSG00000000419.13	1083	1597	740	1334
ENSG00000000457.14	452	580	351	577
ENSG00000000460.17	157	507	70	149
ENSG00000000938.13	397	222	181	74
ENSG00000000971.16	63946	61716	91953	121655
ENSG00000001036.14	3609	4338	908	1987
ENSG00000001084.13	4322	7097	2625	1762
ENSG00000001167.14	605	1062	412	618
ENSG00000001460.18	127	379	61	38
ENSG00000001461.17	505	650	338	477
ENSG00000001497.18	1383	3496	1742	896
ENSG00000001561.7	827	1055	316	299
ENSG00000001617.12	539	815	659	544
ENSG00000001626.16	31	456	28	3
ENSG00000001629.10	708	1585	795	861
ENSG00000001630.17	75	266	68	157
ENSG00000001631.16	219	237	128	131
ENSG00000002016.18	121	236	249	339
ENSG00000002079.14	5	8	11	3
ENSG00000002330.14	536	441	227	327
ENSG00000002549.12	14938	5394	7350	5063
ENSG00000002586.20	5243	17361	4879	3187
ENSG00000002586.20_PAR_Y	0	0	0	0
ENSG00000002587.10	52	65	30	32
ENSG00000002726.21	40	5130	930	1
ENSG00000002745.13	16	9	3	0
ENSG00000002746.15	2	114	0	1
ENSG00000002822.15	22	6	16	40
ENSG00000002834.18	17877	16778	6117	15560
ENSG00000002919.15	1150	1181	596	463
ENSG00000002933.9	14132	42521	23156	17987
ENSG00000003056.8	317	2006	1129	765
ENSG00000003096.14	90	261	8	161
ENSG00000003137.8	405	34	204	141
ENSG00000003147.19	1213	1059	147	988
ENSG00000003249.15	474	5684	1014	239
ENSG00000003393.15	1604	1962	841	927
ENSG00000003400.15	717	882	788	410
ENSG00000003402.20	3560	3785	3261	1960
ENSG00000003436.16	20648	13902	9591	894
ENSG00000003509.16	512	731	335	406
ENSG00000003756.17	1927	2269	1604	960
ENSG00000003987.14	67	47	52	46
ENSG00000003989.18	3200	3019	18255	11060
ENSG00000004059.11	3071	3308	1847	2749
ENSG00000004139.14	118	269	232	58
ENSG00000004142.12	6535	16091	5525	8168
ENSG00000004399.13	2440	5047	2764	4436
ENSG00000004455.17	7158	8863	4795	3626
ENSG00000004468.13	857	96	254	49
ENSG00000004478.8	2089	2738	2345	4141
ENSG00000004487.17	1597	3112	977	1315
ENSG00000004534.15	3446	2540	2743	884
ENSG00000004660.15	76	85	68	34
ENSG00000004700.16	215	627	282	284
ENSG00000004766.17	827	909	361	480
ENSG00000004776.13	13	102	57	30
ENSG00000004777.18	383	473	298	138
ENSG00000004779.10	2075	3212	1390	2893
ENSG00000004799.8	504	5178	3856	1461
ENSG00000004809.14	2	2	0	2
ENSG00000004838.14	57	68	38	4
ENSG00000004846.16	223	4	0	0
ENSG00000004848.8	2	1	0	35
ENSG00000004864.14	2497	12093	3798	8788
ENSG00000004866.22	871	1796	1100	645
ENSG00000004897.12	1897	3271	900	1205
ENSG00000004939.15	0	1	4	1
ENSG00000004948.16	1	7	1	1
ENSG00000004961.15	1446	1199	512	823
ENSG00000004975.12	1458	996	282	556
ENSG00000005001.10	42	8	1	1
ENSG00000005007.13	4591	5320	3768	10245
ENSG00000005020.13	1421	1716	930	237
ENSG00000005022.6	10006	16322	12319	10169
ENSG00000005059.16	805	216	140	92
ENSG00000005073.6	43	1	0	17
ENSG00000005075.15	1789	1242	754	973
ENSG00000005100.13	546	930	380	1187
ENSG00000005102.14	44	21	20	3
ENSG00000005108.16	856	154	200	76
ENSG00000005156.12	790	1280	491	681
ENSG00000005175.10	1383	1215	472	753
ENSG00000005187.12	51	1182	1681	514
ENSG00000005189.20	274	576	132	147
ENSG00000005194.15	1933	2082	840	1477
ENSG00000005206.17	1200	1060	1339	1565
ENSG00000005238.20	456	360	313	299
ENSG00000005243.10	551	1487	1072	225
ENSG00000005249.13	53	48	27	11
ENSG00000005302.19	1061	1118	676	285
ENSG00000005339.15	1919	5136	2485	2260
ENSG00000005379.17	289	208	300	143
ENSG00000005381.8	5	16	3	12
ENSG00000005421.9	6520	22051	15931	22876
ENSG00000005436.14	385	983	490	581
ENSG00000005448.17	305	135	86	56
ENSG00000005469.12	812	4082	4039	3152
ENSG00000005471.19	224	8597	7940	1933
ENSG00000005483.21	1023	1969	1129	1359
ENSG00000005486.17	4006	3720	1449	1819
ENSG00000005513.10	8	12	4	2
ENSG00000005700.15	3567	4920	3095	6320
ENSG00000005801.18	656	796	186	490
ENSG00000005810.18	1068	853	1008	852
ENSG00000005812.11	891	955	1034	1127
ENSG00000005844.19	2401	2966	1947	524
ENSG00000005882.12	737	2028	913	1326
ENSG00000005884.18	237	478	428	330
ENSG00000005889.16	1406	1632	919	1414
ENSG00000005893.16	14219	30979	20848	8412
ENSG00000005961.19	10	5	4	21
ENSG00000005981.13	30	41	23	145
ENSG00000006007.12	1384	1697	804	832
ENSG00000006015.18	2290	1139	1101	1850
ENSG00000006016.11	7	14	65	251
ENSG00000006025.12	295	636	183	109
ENSG00000006042.12	1579	3134	81	307
ENSG00000006047.13	48	80	39	93
ENSG00000006059.4	0	0	0	0
ENSG00000006062.17	614	2356	943	271
ENSG00000006071.15	0	16	2	22
ENSG00000006116.4	0	1	0	0
ENSG00000006118.15	146	253	121	75
ENSG00000006125.18	3378	7762	2521	2334
ENSG00000006128.12	0	0	1	0
ENSG00000006194.10	1189	1440	713	746
ENSG00000006210.7	3917	1170	1631	377
ENSG00000006282.21	2310	7656	2015	3106
ENSG00000006283.18	1	5	1	13
ENSG00000006327.14	6432	2899	373	300
ENSG00000006377.11	8	0	0	0
ENSG00000006432.15	239	562	262	295
ENSG00000006451.8	1501	1757	665	1240
ENSG00000006453.14	5834	4530	1332	2759
ENSG00000006459.11	878	962	589	572
ENSG00000006468.14	378	871	106	64
ENSG00000006530.18	734	1046	356	629
ENSG00000006534.16	354	761	124	341
ENSG00000006555.11	316	797	150	245
ENSG00000006576.16	724	845	403	383
ENSG00000006606.9	7	11	0	4
ENSG00000006607.14	629	1169	893	460
ENSG00000006611.17	18	99	1	610
ENSG00000006625.18	755	888	244	855
ENSG00000006634.8	475	552	101	285
ENSG00000006638.13	69	109	73	46
ENSG00000006652.15	305	291	184	273
ENSG00000006659.13	2	0	0	0
ENSG00000006695.12	501	389	156	1149
