,Methods
B cell_TIMER,TIMER
T cell CD4+_TIMER,TIMER
T cell CD8+_TIMER,TIMER
Neutrophil_TIMER,TIMER
Macrophage_TIMER,TIMER
Myeloid dendritic cell_TIMER,TIMER
B cell naive_CIBERSORT,CIBERSORT
B cell memory_CIBERSORT,CIBERSORT
B cell plasma_CIBERSORT,CIBERSORT
T cell CD8+_CIBERSORT,CIBERSORT
T cell CD4+ naive_CIBERSORT,CIBERSORT
T cell CD4+ memory resting_CIBERSORT,CIBERSORT
T cell CD4+ memory activated_CIBERSORT,CIBERSORT
T cell follicular helper_CIBERSORT,CIBERSORT
T cell regulatory (Tregs)_CIBERSORT,CIBERSORT
T cell gamma delta_CIBERSORT,CIBERSORT
NK cell resting_CIBERSORT,CIBERSORT
NK cell activated_CIBERSORT,CIBERSORT
Monocyte_CIBERSORT,CIBERSORT
Macrophage M0_CIBERSORT,CIBERSORT
Macrophage M1_CIBERSORT,CIBERSORT
Macrophage M2_CIBERSORT,CIBERSORT
Myeloid dendritic cell resting_CIBERSORT,CIBERSORT
Myeloid dendritic cell activated_CIBERSORT,CIBERSORT
Mast cell activated_CIBERSORT,CIBERSORT
Mast cell resting_CIBERSORT,CIBERSORT
Eosinophil_CIBERSORT,CIBERSORT
Neutrophil_CIBERSORT,CIBERSORT
B cell naive_CIBERSORT-ABS,CIBERSORT-ABS
B cell memory_CIBERSORT-ABS,CIBERSORT-ABS
B cell plasma_CIBERSORT-ABS,CIBERSORT-ABS
T cell CD8+_CIBERSORT-ABS,CIBERSORT-ABS
T cell CD4+ naive_CIBERSORT-ABS,CIBERSORT-ABS
T cell CD4+ memory resting_CIBERSORT-ABS,CIBERSORT-ABS
T cell CD4+ memory activated_CIBERSORT-ABS,CIBERSORT-ABS
T cell follicular helper_CIBERSORT-ABS,CIBERSORT-ABS
T cell regulatory (Tregs)_CIBERSORT-ABS,CIBERSORT-ABS
T cell gamma delta_CIBERSORT-ABS,CIBERSORT-ABS
NK cell resting_CIBERSORT-ABS,CIBERSORT-ABS
NK cell activated_CIBERSORT-ABS,CIBERSORT-ABS
Monocyte_CIBERSORT-ABS,CIBERSORT-ABS
Macrophage M0_CIBERSORT-ABS,CIBERSORT-ABS
Macrophage M1_CIBERSORT-ABS,CIBERSORT-ABS
Macrophage M2_CIBERSORT-ABS,CIBERSORT-ABS
Myeloid dendritic cell resting_CIBERSORT-ABS,CIBERSORT-ABS
Myeloid dendritic cell activated_CIBERSORT-ABS,CIBERSORT-ABS
Mast cell activated_CIBERSORT-ABS,CIBERSORT-ABS
Mast cell resting_CIBERSORT-ABS,CIBERSORT-ABS
Eosinophil_CIBERSORT-ABS,CIBERSORT-ABS
Neutrophil_CIBERSORT-ABS,CIBERSORT-ABS
B cell_QUANTISEQ,QUANTISEQ
Macrophage M1_QUANTISEQ,QUANTISEQ
Macrophage M2_QUANTISEQ,QUANTISEQ
Monocyte_QUANTISEQ,QUANTISEQ
Neutrophil_QUANTISEQ,QUANTISEQ
NK cell_QUANTISEQ,QUANTISEQ
T cell CD4+ (non-regulatory)_QUANTISEQ,QUANTISEQ
T cell CD8+_QUANTISEQ,QUANTISEQ
T cell regulatory (Tregs)_QUANTISEQ,QUANTISEQ
Myeloid dendritic cell_QUANTISEQ,QUANTISEQ
uncharacterized cell_QUANTISEQ,QUANTISEQ
T cell_MCPCOUNTER,MCPCOUNTER
T cell CD8+_MCPCOUNTER,MCPCOUNTER
cytotoxicity score_MCPCOUNTER,MCPCOUNTER
NK cell_MCPCOUNTER,MCPCOUNTER
B cell_MCPCOUNTER,MCPCOUNTER
Monocyte_MCPCOUNTER,MCPCOUNTER
Macrophage/Monocyte_MCPCOUNTER,MCPCOUNTER
Myeloid dendritic cell_MCPCOUNTER,MCPCOUNTER
Neutrophil_MCPCOUNTER,MCPCOUNTER
Endothelial cell_MCPCOUNTER,MCPCOUNTER
Cancer associated fibroblast_MCPCOUNTER,MCPCOUNTER
Myeloid dendritic cell activated_XCELL,XCELL
B cell_XCELL,XCELL
T cell CD4+ memory_XCELL,XCELL
T cell CD4+ naive_XCELL,XCELL
T cell CD4+ (non-regulatory)_XCELL,XCELL
T cell CD4+ central memory_XCELL,XCELL
T cell CD4+ effector memory_XCELL,XCELL
T cell CD8+ naive_XCELL,XCELL
T cell CD8+_XCELL,XCELL
T cell CD8+ central memory_XCELL,XCELL
T cell CD8+ effector memory_XCELL,XCELL
Class-switched memory B cell_XCELL,XCELL
Common lymphoid progenitor_XCELL,XCELL
Common myeloid progenitor_XCELL,XCELL
Myeloid dendritic cell_XCELL,XCELL
Endothelial cell_XCELL,XCELL
Eosinophil_XCELL,XCELL
Cancer associated fibroblast_XCELL,XCELL
Granulocyte-monocyte progenitor_XCELL,XCELL
Hematopoietic stem cell_XCELL,XCELL
Macrophage_XCELL,XCELL
Macrophage M1_XCELL,XCELL
Macrophage M2_XCELL,XCELL
Mast cell_XCELL,XCELL
B cell memory_XCELL,XCELL
Monocyte_XCELL,XCELL
B cell naive_XCELL,XCELL
Neutrophil_XCELL,XCELL
NK cell_XCELL,XCELL
T cell NK_XCELL,XCELL
Plasmacytoid dendritic cell_XCELL,XCELL
B cell plasma_XCELL,XCELL
T cell gamma delta_XCELL,XCELL
T cell CD4+ Th1_XCELL,XCELL
T cell CD4+ Th2_XCELL,XCELL
T cell regulatory (Tregs)_XCELL,XCELL
immune score_XCELL,XCELL
stroma score_XCELL,XCELL
microenvironment score_XCELL,XCELL
B cell_EPIC,EPIC
Cancer associated fibroblast_EPIC,EPIC
T cell CD4+_EPIC,EPIC
