"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene","subtype"
"ENSMFAG00000046178",1.16047016786616e-17,1.88053522843162,1,0.974,2.45276974680191e-13,"Y","ENSMFAG00000046178","C1"
"FBXW12",4.51896790827748e-17,2.66086253857886,1,0.966,9.55129057093528e-13,"Y","FBXW12","C1"
"ZP2",6.71836112729689e-14,0.737812281512127,1,1,1.41999280786547e-09,"Y","ZP2","C1"
"MYL10",7.45570010571454e-13,3.13739710212485,0.983,0.819,1.57583677434383e-08,"Y","MYL10","C1"
"MT1X",1.49734961796741e-12,1.65668499919841,1,0.983,3.16479815253593e-08,"Y","MT1X","C1"
"DPPA5",2.2803547542001e-12,1.99955746804584,1,0.957,4.81975780847732e-08,"Y","DPPA5","C1"
"KHDC3L",3.98648472998862e-12,1.65652207311224,1,0.974,8.42583412530394e-08,"Y","KHDC3L","C1"
"KLK6",1.0311163635503e-09,2.22781341929795,0.881,0.655,2.17936754599991e-05,"Y","KLK6","C1"
"CYTB",2.830366117573e-09,1.38373172295675,1,1,5.9822618261023e-05,"Y","CYTB","C1"
"C15orf48",1.31130927100176e-08,2.45740668253499,1,0.991,0.000277158327518931,"Y","C15orf48","C1"
"ENSMFAG00000045742",1.7084504384411e-08,1.2488247209355,1,1,0.000361098084668911,"Y","ENSMFAG00000045742","C1"
"ENSMFAG00000033057",2.20341681072405e-08,1.74510268560944,0.831,0.431,0.000465714177114636,"Y","ENSMFAG00000033057","C1"
"ND2",5.50482955053336e-08,0.833114784934324,1,1,0.00116350077380073,"Y","ND2","C1"
"ENSMFAG00000031694",1.29161614955824e-07,1.71266319925929,0.949,0.94,0.00272995989370629,"Y","ENSMFAG00000031694","C1"
"ENSMFAG00000003279",1.91897439351962e-07,3.25480397803326,0.814,0.586,0.00405594427814306,"Y","ENSMFAG00000003279","C1"
"KPNA7",2.07636574905216e-07,0.811997568243438,1,1,0.00438860664719664,"Y","KPNA7","C1"
"RPL34",2.33319101880151e-07,0.683778744015509,1,1,0.00493143253733888,"Y","RPL34","C1"
"ATP6",2.98287302925887e-07,0.789338033557128,1,1,0.00630460043464154,"Y","ATP6","C1"
"PIWIL3",4.01384256274553e-07,2.41066845739572,0.847,0.56,0.00848365764061896,"Y","PIWIL3","C1"
"ZP4",3.01578635592072e-06,0.618431371976913,1,1,0.0637416604187403,"Y","ZP4","C1"
"ND4L",4.13681964598269e-06,0.705270705775915,1,0.991,0.0874358200374901,"Y","ND4L","C1"
"ENSMFAG00000035858",9.11645794729917e-06,3.09536653437772,0.814,0.655,0.192685455174115,"Y","ENSMFAG00000035858","C1"
"TMEM99",1.00418488376404e-05,1.58687608376005,0.847,0.793,0.212244517032367,"Y","TMEM99","C1"
"ENSMFAG00000032127",2.43347786027659e-05,1.39892425513777,0.746,0.638,0.514339880548061,"Y","ENSMFAG00000032127","C1"
"RPS21",2.70022844283715e-05,0.814988442359901,1,1,0.570720283678061,"Y","RPS21","C1"
"ALDH1A1",2.71558310468348e-05,1.92471940245385,0.729,0.612,0.573965645005901,"Y","ALDH1A1","C1"
"ENSMFAG00000042071",2.94572439134598e-05,1.81540716112862,0.814,0.698,0.622608307354887,"Y","ENSMFAG00000042071","C1"
"CSRP2",8.75171677884378e-05,1.11870045113226,0.966,0.991,1,"Y","CSRP2","C1"
"CCDC146",0.000101483509467632,0.62926792916943,1,1,1,"Y","CCDC146","C1"
"ENSMFAG00000030186",0.000126507464473511,1.21921218528419,0.763,0.56,1,"Y","ENSMFAG00000030186","C1"
"ENSMFAG00000041816",0.00013599555043522,1.64390719820725,1,1,1,"Y","ENSMFAG00000041816","C1"
"RDH12",0.000137256031636121,1.19282607120793,0.712,0.5,1,"Y","RDH12","C1"
"RPS24",0.000147003410466386,0.895516399060169,0.983,1,1,"Y","RPS24","C1"
"ENSMFAG00000007184",0.000165465543987054,0.671293265985797,1,1,1,"Y","ENSMFAG00000007184","C1"
"EGFL7",0.000204373794475806,1.70732278498092,0.763,0.707,1,"Y","EGFL7","C1"
"SREK1IP1",0.000205109762707703,0.675811861011019,1,0.991,1,"Y","SREK1IP1","C1"
"PET100",0.000247898379345914,1.05435572701292,0.983,0.991,1,"Y","PET100","C1"
"UPK3A",0.000257872799432328,1.59353810966159,0.763,0.741,1,"Y","UPK3A","C1"
"LGALS3",0.000274261757793177,1.09578291274842,0.932,0.94,1,"Y","LGALS3","C1"
"RPS29",0.000328733985985791,0.58939045725888,1,1,1,"Y","RPS29","C1"
"PPP1R3A",0.000343879557291084,1.72533221185187,1,0.94,1,"Y","PPP1R3A","C1"
"GADD45A",0.00040937123341167,1.79886897453874,0.864,0.776,1,"Y","GADD45A","C1"
