	V1	V2	avg1	avg2	dirct	altb.N	agtb.N	altb.T	agtb.T	p	FDR
A2M-AS1-FENDRR	A2M-AS1	FENDRR	-754.48	-960.32	same	24	1	15	10	0.00461407092132902	0.0193249529931748
AC004490.1-FENDRR	AC004490.1	FENDRR	-193.12	-960.32	same	25	0	3	22	5.18310938032434e-11	5.18451116785113e-10
AC004490.1-LINC00702	AC004490.1	LINC00702	-193.12	-952.36	same	24	1	1	24	9.90423221026572e-12	1.07975837375587e-10
AC004490.1-LINC00968	AC004490.1	LINC00968	-193.12	-1068.28	same	25	0	0	25	1.58214572048972e-14	5.8735919169197e-13
AC004490.1-PAN3-AS1	AC004490.1	PAN3-AS1	-193.12	-749.2	same	24	1	7	18	8.02119496594062e-07	4.66544361415866e-06
AC004490.1-PCAT19	AC004490.1	PCAT19	-193.12	-1046.2	same	24	1	0	25	4.11357887327329e-13	6.72816869554506e-12
AC005224.2-BANCR	AC005224.2	BANCR	-53.8	-685.4	same	24	1	5	20	3.98321955877924e-08	2.53425438781121e-07
AC005224.2-FENDRR	AC005224.2	FENDRR	-53.8	-960.32	same	25	0	3	22	5.18310938032434e-11	5.18451116785113e-10
AC005224.2-LINC00968	AC005224.2	LINC00968	-53.8	-1068.28	same	25	0	0	25	1.58214572048972e-14	5.8735919169197e-13
AC005224.2-PCAT19	AC005224.2	PCAT19	-53.8	-1046.2	same	24	1	0	25	4.11357887327329e-13	6.72816869554506e-12
AC005224.2-TBX5-AS1	AC005224.2	TBX5-AS1	-53.8	-888.2	same	24	1	3	22	1.06994186493838e-09	7.77155760397614e-09
AC005838.2-FENDRR	AC005838.2	FENDRR	-62.5600000000001	-960.32	same	25	0	2	23	5.55333147891892e-12	7.67812952328286e-11
AC005838.2-LINC00472	AC005838.2	LINC00472	-62.5600000000001	-894.16	same	24	1	3	22	1.06994186493838e-09	7.77155760397614e-09
AC005838.2-LINC00702	AC005838.2	LINC00702	-62.5600000000001	-952.36	same	24	1	2	23	1.23818724085526e-10	1.04033747216883e-09
