	V1	V2
A1BG-AS1-FENDRR	A1BG-AS1	FENDRR
A1BG-AS1-LINC00472	A1BG-AS1	LINC00472
A1BG-AS1-LINC00968	A1BG-AS1	LINC00968
A1BG-AS1-LINC01268	A1BG-AS1	LINC01268
A1BG-AS1-PCAT19	A1BG-AS1	PCAT19
A2M-AS1-FENDRR	A2M-AS1	FENDRR
AA06-FENDRR	AA06	FENDRR
AA06-LINC00472	AA06	LINC00472
AA06-LINC00968	AA06	LINC00968
AA06-PCAT19	AA06	PCAT19
AA06-TBX5-AS1	AA06	TBX5-AS1
AC004490.1-FENDRR	AC004490.1	FENDRR
AC004490.1-LINC00702	AC004490.1	LINC00702
AC004490.1-LINC00968	AC004490.1	LINC00968
AC004490.1-PAN3-AS1	AC004490.1	PAN3-AS1
AC004490.1-PCAT19	AC004490.1	PCAT19
AC005224.2-BANCR	AC005224.2	BANCR
AC005224.2-FENDRR	AC005224.2	FENDRR
AC005224.2-LINC00968	AC005224.2	LINC00968
AC005224.2-PCAT19	AC005224.2	PCAT19
AC005224.2-TBX5-AS1	AC005224.2	TBX5-AS1
AC005256.1-FENDRR	AC005256.1	FENDRR
AC005256.1-LINC00472	AC005256.1	LINC00472
AC005256.1-LINC00702	AC005256.1	LINC00702
AC005256.1-LINC00968	AC005256.1	LINC00968
AC005256.1-PAN3-AS1	AC005256.1	PAN3-AS1
AC005256.1-PCAT19	AC005256.1	PCAT19
AC005256.1-PGM5-AS1	AC005256.1	PGM5-AS1
AC005498.3-FENDRR	AC005498.3	FENDRR
AC005498.3-LINC00702	AC005498.3	LINC00702
AC005498.3-LINC00968	AC005498.3	LINC00968
AC005498.3-PCAT19	AC005498.3	PCAT19
AC005498.3-TBX5-AS1	AC005498.3	TBX5-AS1
AC005523.2-FENDRR	AC005523.2	FENDRR
AC005523.2-LINC00968	AC005523.2	LINC00968
AC005523.2-LINC01268	AC005523.2	LINC01268
AC005523.2-PCAT19	AC005523.2	PCAT19
AC005838.2-FENDRR	AC005838.2	FENDRR
AC005838.2-LINC00472	AC005838.2	LINC00472
AC005838.2-LINC00702	AC005838.2	LINC00702
AC005838.2-LINC00968	AC005838.2	LINC00968
AC005838.2-LINC01268	AC005838.2	LINC01268
AC005838.2-PCAT19	AC005838.2	PCAT19
AC005838.2-TBX5-AS1	AC005838.2	TBX5-AS1
AC006538.1-EPB41L4A-AS2	AC006538.1	EPB41L4A-AS2
AC006538.1-FENDRR	AC006538.1	FENDRR
AC006538.1-LINC00472	AC006538.1	LINC00472
AC006538.1-LINC00702	AC006538.1	LINC00702
AC006538.1-LINC00968	AC006538.1	LINC00968
AC006538.1-LINC01268	AC006538.1	LINC01268
AC006538.1-PAN3-AS1	AC006538.1	PAN3-AS1
AC006538.1-PCAT19	AC006538.1	PCAT19
AC006538.1-PGM5-AS1	AC006538.1	PGM5-AS1
AC006538.1-TBX5-AS1	AC006538.1	TBX5-AS1
AC007292.3-FENDRR	AC007292.3	FENDRR
AC007292.3-LINC00968	AC007292.3	LINC00968
AC007364.1-FENDRR	AC007364.1	FENDRR
AC007364.1-LINC00472	AC007364.1	LINC00472
AC007364.1-LINC00968	AC007364.1	LINC00968
AC007364.1-PAN3-AS1	AC007364.1	PAN3-AS1
AC007365.3-FENDRR	AC007365.3	FENDRR
AC007365.3-LINC00702	AC007365.3	LINC00702
AC007365.3-LINC00968	AC007365.3	LINC00968
AC007365.3-PCAT19	AC007365.3	PCAT19
AC007365.3-TBX5-AS1	AC007365.3	TBX5-AS1
AC007389.3-FENDRR	AC007389.3	FENDRR
AC007389.3-LINC00702	AC007389.3	LINC00702
AC007389.3-LINC00844	AC007389.3	LINC00844
AC007389.3-LINC00968	AC007389.3	LINC00968
AC007389.3-PAN3-AS1	AC007389.3	PAN3-AS1
AC007389.3-PCAT19	AC007389.3	PCAT19
AC007389.3-SPATA13	AC007389.3	SPATA13
AC007389.3-TBX5-AS1	AC007389.3	TBX5-AS1
AC007557.2-FENDRR	AC007557.2	FENDRR
AC007557.2-LINC00622	AC007557.2	LINC00622
AC007557.2-LINC00702	AC007557.2	LINC00702
AC007557.2-LINC00968	AC007557.2	LINC00968
AC007557.2-PCAT19	AC007557.2	PCAT19
AC007557.2-PGM5-AS1	AC007557.2	PGM5-AS1
AC007557.2-TBX5-AS1	AC007557.2	TBX5-AS1
AC009120.6-FENDRR	AC009120.6	FENDRR
AC009120.6-LINC00702	AC009120.6	LINC00702
AC009120.6-LINC00968	AC009120.6	LINC00968
AC009120.6-LINC01268	AC009120.6	LINC01268
AC009120.6-PCAT19	AC009120.6	PCAT19
AC009120.6-TBX5-AS1	AC009120.6	TBX5-AS1
AC010980.2-FENDRR	AC010980.2	FENDRR
AC010980.2-LINC00702	AC010980.2	LINC00702
AC010980.2-LINC00968	AC010980.2	LINC00968
AC010980.2-LINC01268	AC010980.2	LINC01268
AC010980.2-PCAT19	AC010980.2	PCAT19
AC010980.2-TBX5-AS1	AC010980.2	TBX5-AS1
AC011997.1-AC012499.1	AC011997.1	AC012499.1
AC011997.1-AC083843.1	AC011997.1	AC083843.1
AC011997.1-AC091133.1	AC011997.1	AC091133.1
AC011997.1-AC099684.1	AC011997.1	AC099684.1
AC011997.1-AC141928.1	AC011997.1	AC141928.1
AC011997.1-ACVR2B-AS1	AC011997.1	ACVR2B-AS1
AC011997.1-ADAMTS9-AS2	AC011997.1	ADAMTS9-AS2
AC011997.1-ADORA2A-AS1	AC011997.1	ADORA2A-AS1
AC011997.1-AF067845.1	AC011997.1	AF067845.1
AC011997.1-AF131215.3	AC011997.1	AF131215.3
