cancer,infiltrates,rho,p,adj.p
ACC (n=79),NK cell activated_CIBERSORT,0.0693162378392348,0.560083242209973,0.631079709532364
ACC (n=79),NK cell activated_CIBERSORT-ABS,0.365047820193356,0.00149583204203128,0.0036262594958334
ACC (n=79),NK cell resting_CIBERSORT,-0.0506717772348098,0.670296521995823,0.740900733264283
ACC (n=79),NK cell resting_CIBERSORT-ABS,-0.0408177618659391,0.731695696145687,0.788358999214208
ACC (n=79),NK cell_EPIC,-0.0884189266441619,0.456954279695623,0.524105267034406
ACC (n=79),NK cell_MCPCOUNTER,0.291077395041672,0.0124756955764259,0.0264385601619622
ACC (n=79),NK cell_QUANTISEQ,0.250855842119692,0.032300074657731,0.0611599046773604
ACC (n=79),NK cell_XCELL,0.162935186575257,0.16841500025786,0.235339738351595
BLCA (n=408),NK cell activated_CIBERSORT,0.0724600294343319,0.16540536063423,0.232147874574358
BLCA (n=408),NK cell activated_CIBERSORT-ABS,0.208453315921296,5.58775683549399e-05,0.000164861624601617
BLCA (n=408),NK cell resting_CIBERSORT,-0.012394711791544,0.812678521881915,0.852646318040042
BLCA (n=408),NK cell resting_CIBERSORT-ABS,-0.0115812888884583,0.824766012933595,0.859690958106678
BLCA (n=408),NK cell_EPIC,0.0812447772157353,0.119751921609034,0.177410254235605
BLCA (n=408),NK cell_MCPCOUNTER,0.216483490122475,2.80781575243719e-05,8.63943308442211e-05
BLCA (n=408),NK cell_QUANTISEQ,-0.0650166406166445,0.213385806034902,0.279850237422822
BLCA (n=408),NK cell_XCELL,0.0880657714855222,0.0916175939789778,0.140950144583043
BRCA (n=1100),NK cell activated_CIBERSORT,0.118723712636041,0.000175667847817861,0.000480459070954833
BRCA (n=1100),NK cell activated_CIBERSORT-ABS,0.359836185697639,9.42599814859288e-32,1.50815970377486e-30
BRCA (n=1100),NK cell resting_CIBERSORT,-0.215641102032471,6.36979034936806e-12,3.63988019963889e-11
BRCA (n=1100),NK cell resting_CIBERSORT-ABS,-0.193931933568024,7.04081499984881e-10,3.36277731336063e-09
BRCA (n=1100),NK cell_EPIC,0.164334662737546,1.88794773874163e-07,6.94417559077382e-07
BRCA (n=1100),NK cell_MCPCOUNTER,0.630958321310568,1.75381151711368e-111,5.61219685476378e-109
BRCA (n=1100),NK cell_QUANTISEQ,-0.0451696879491578,0.154726365209097,0.222028864874041
BRCA (n=1100),NK cell_XCELL,-0.00740402117076773,0.815651361494395,0.852968744046426
BRCA-Basal (n=191),NK cell activated_CIBERSORT,0.232564943305708,0.00201450418863199,0.00477512103972027
BRCA-Basal (n=191),NK cell activated_CIBERSORT-ABS,0.431807253289725,2.69568511438816e-09,1.16570167108677e-08
BRCA-Basal (n=191),NK cell resting_CIBERSORT,-0.187840787548334,0.0130623230025318,0.0274996273737511
BRCA-Basal (n=191),NK cell resting_CIBERSORT-ABS,-0.156177655457782,0.0395976846622248,0.0714489920110018
BRCA-Basal (n=191),NK cell_EPIC,0.273715038329035,0.000257615338228815,0.000681296762258023
BRCA-Basal (n=191),NK cell_MCPCOUNTER,0.66199535652645,2.63668956986075e-23,2.72174407211432e-22
BRCA-Basal (n=191),NK cell_QUANTISEQ,-0.135767050591391,0.0740568215812227,0.118490914529956
BRCA-Basal (n=191),NK cell_XCELL,0.0713977315583786,0.349166140119409,0.420049491872973
BRCA-Her2 (n=82),NK cell activated_CIBERSORT,0.244452353048521,0.0385034577672886,0.0704063227744706
BRCA-Her2 (n=82),NK cell activated_CIBERSORT-ABS,0.53035314750153,1.65468117017735e-06,5.57366288901844e-06
BRCA-Her2 (n=82),NK cell resting_CIBERSORT,-0.158125707335721,0.184633689606099,0.252490515700648
BRCA-Her2 (n=82),NK cell resting_CIBERSORT-ABS,-0.148944328263672,0.21177691765341,0.278883183741116
BRCA-Her2 (n=82),NK cell_EPIC,0.206020822261182,0.0825235089187289,0.129448641441143
BRCA-Her2 (n=82),NK cell_MCPCOUNTER,0.761843388387197,7.77612082001396e-15,5.65536059637379e-14
BRCA-Her2 (n=82),NK cell_QUANTISEQ,0.11567318290573,0.333246947199742,0.404403674816532
BRCA-Her2 (n=82),NK cell_XCELL,0.0686117537383552,0.566863825963509,0.634253231847283
BRCA-LumA (n=568),NK cell activated_CIBERSORT,0.0290239303585333,0.51023175576836,0.583122006592411
BRCA-LumA (n=568),NK cell activated_CIBERSORT-ABS,0.288309832262655,2.35669773934156e-11,1.23630045342508e-10
BRCA-LumA (n=568),NK cell resting_CIBERSORT,-0.260853995384957,1.72909545414098e-09,7.79310627218471e-09
BRCA-LumA (n=568),NK cell resting_CIBERSORT-ABS,-0.243342767604899,2.09336619176499e-08,8.47945799195945e-08
BRCA-LumA (n=568),NK cell_EPIC,0.0964170004690375,0.0283724804479196,0.054693938212857
BRCA-LumA (n=568),NK cell_MCPCOUNTER,0.566855379377845,2.77664341973169e-45,8.07750813012856e-44
BRCA-LumA (n=568),NK cell_QUANTISEQ,-0.0440560614921157,0.317411463768775,0.392273081622217
BRCA-LumA (n=568),NK cell_XCELL,-0.0611210334776203,0.165234063096007,0.232147874574358
BRCA-LumB (n=219),NK cell activated_CIBERSORT,0.150584915866365,0.0370834879859086,0.0685937350028368
BRCA-LumB (n=219),NK cell activated_CIBERSORT-ABS,0.332435816356883,2.46546891657109e-06,8.21822972190363e-06
BRCA-LumB (n=219),NK cell resting_CIBERSORT,-0.168213348447372,0.0196872310952949,0.0396221003175747
BRCA-LumB (n=219),NK cell resting_CIBERSORT-ABS,-0.148379075549841,0.0399796903654155,0.0714720721616366
BRCA-LumB (n=219),NK cell_EPIC,0.0783867773846906,0.279817119305475,0.352525504636818
