cancer,infiltrates,rho,p,adj.p
ACC (n=79),Macrophage M0_CIBERSORT,-0.174635648684994,0.139483792721307,0.164098579672126
ACC (n=79),Macrophage M0_CIBERSORT-ABS,-0.159287065751763,0.178279414883347,0.206103369807337
ACC (n=79),Macrophage M1_CIBERSORT,0.274573703305651,0.0187308693315075,0.0242732647924503
ACC (n=79),Macrophage M1_CIBERSORT-ABS,0.323659247637319,0.00521852802513511,0.0071161745797297
ACC (n=79),Macrophage M1_QUANTISEQ,-0.072416789268374,0.542623610157315,0.581382439454266
ACC (n=79),Macrophage M1_XCELL,-0.18187971545226,0.12355168224092,0.146503971036664
ACC (n=79),Macrophage M2_CIBERSORT,0.171266801532826,0.147400034936982,0.172734415941776
ACC (n=79),Macrophage M2_CIBERSORT-ABS,0.43764037977448,0.000108007624331423,0.00017706167923184
ACC (n=79),Macrophage M2_QUANTISEQ,0.405141905323526,0.000377198302669336,0.000575875271250895
ACC (n=79),Macrophage M2_TIDE,-0.293441357099041,0.0117480123597393,0.0153904092048986
ACC (n=79),Macrophage M2_XCELL,0.135418330490254,0.253322683326205,0.28516624764676
ACC (n=79),Macrophage_EPIC,0.0235582262156684,0.84317422478878,0.869251778132763
ACC (n=79),Macrophage_TIMER,0.37323924747167,0.0011447397322784,0.00166306014374585
ACC (n=79),Macrophage_XCELL,0.0402908126519992,0.735031082823727,0.765657377941382
ACC (n=79),Macrophage/Monocyte_MCPCOUNTER,0.455280157692158,5.18629551198741e-05,8.64382585331236e-05
BLCA (n=408),Macrophage M0_CIBERSORT,-0.27189642492176,1.16900242606652e-07,2.44390751094045e-07
BLCA (n=408),Macrophage M0_CIBERSORT-ABS,-0.187710410080412,0.000293583718529035,0.000454025593970286
BLCA (n=408),Macrophage M1_CIBERSORT,0.156315170280513,0.00263884516100518,0.00372542846259555
BLCA (n=408),Macrophage M1_CIBERSORT-ABS,0.237736911253022,4.0006369019891e-06,7.50119419122956e-06
BLCA (n=408),Macrophage M1_QUANTISEQ,0.0588519671804544,0.260118146214269,0.291177029344331
BLCA (n=408),Macrophage M1_XCELL,0.059548402748855,0.25451069959596,0.285967078197708
BLCA (n=408),Macrophage M2_CIBERSORT,-0.191264755566537,0.000223601988718078,0.000352129116091462
BLCA (n=408),Macrophage M2_CIBERSORT-ABS,0.0881144697771352,0.0914376434600764,0.1110578665507
BLCA (n=408),Macrophage M2_QUANTISEQ,0.167583683543262,0.00125216115306842,0.00181035347431578
BLCA (n=408),Macrophage M2_TIDE,-0.083047346511421,0.111732761320604,0.133811690204316
