cancer,infiltrates,rho,p,adj.p
ACC (n=79),Macrophage/Monocyte_MCPCOUNTER,0.455280157692158,5.18629551198741e-05,0.000116447012438963
ACC (n=79),Monocyte_CIBERSORT,-0.0939703634755863,0.429073780197159,0.523690049676532
ACC (n=79),Monocyte_CIBERSORT-ABS,0.137711771840565,0.245297502604492,0.32983505999926
ACC (n=79),Monocyte_MCPCOUNTER,0.455280157692158,5.18629551198741e-05,0.000116447012438963
ACC (n=79),Monocyte_QUANTISEQ,0.0268009728142815,0.821920356029261,0.87329037828109
ACC (n=79),Monocyte_XCELL,0.173774141992102,0.141477027072352,0.206557062407904
BLCA (n=408),Macrophage/Monocyte_MCPCOUNTER,0.0635486742574791,0.223925065122126,0.304538088566091
BLCA (n=408),Monocyte_CIBERSORT,0.033292599311253,0.524342075352374,0.61474588144761
BLCA (n=408),Monocyte_CIBERSORT-ABS,0.0976108854153265,0.0614005084988793,0.0955119021093679
BLCA (n=408),Monocyte_MCPCOUNTER,0.0635486742574791,0.223925065122126,0.304538088566091
BLCA (n=408),Monocyte_QUANTISEQ,-0.178926689776876,0.000563496799876427,0.00112699359975285
BLCA (n=408),Monocyte_XCELL,0.0885909310091744,0.0896919059002679,0.135966073912508
BRCA (n=1100),Macrophage/Monocyte_MCPCOUNTER,0.55876251859675,1.07586193381707e-82,1.28027570124232e-80
BRCA (n=1100),Monocyte_CIBERSORT,0.0376791993208939,0.235279820359217,0.318162484349395
BRCA (n=1100),Monocyte_CIBERSORT-ABS,0.230521408782731,1.86686958705691e-13,8.5445184946066e-13
BRCA (n=1100),Monocyte_MCPCOUNTER,0.55876251859675,1.07586193381707e-82,1.28027570124232e-80
BRCA (n=1100),Monocyte_QUANTISEQ,-0.0150500409381838,0.635554133218233,0.713499451443111
BRCA (n=1100),Monocyte_XCELL,0.314644927689656,2.7862430955663e-24,2.65250342697912e-23
BRCA-Basal (n=191),Macrophage/Monocyte_MCPCOUNTER,0.418060725785004,9.47231901413431e-09,3.00588256715196e-08
BRCA-Basal (n=191),Monocyte_CIBERSORT,0.104823800305463,0.1686514320918,0.240353537951188
BRCA-Basal (n=191),Monocyte_CIBERSORT-ABS,0.267085061697583,0.000367142172889742,0.000746836214938108
BRCA-Basal (n=191),Monocyte_MCPCOUNTER,0.418060725785004,9.47231901413431e-09,3.00588256715196e-08
BRCA-Basal (n=191),Monocyte_QUANTISEQ,-0.0491893440684804,0.519208743610904,0.6117409949475
BRCA-Basal (n=191),Monocyte_XCELL,0.26958709302484,0.000321535918828028,0.000665439553748441
BRCA-Her2 (n=82),Macrophage/Monocyte_MCPCOUNTER,0.296185159929154,0.0115307825894267,0.0204800466886832
BRCA-Her2 (n=82),Monocyte_CIBERSORT,0.22203944442025,0.0608523530288127,0.0952819738214304
BRCA-Her2 (n=82),Monocyte_CIBERSORT-ABS,0.330553428720955,0.0045691473969676,0.00863061174982769
BRCA-Her2 (n=82),Monocyte_MCPCOUNTER,0.296185159929154,0.0115307825894267,0.0204800466886832
BRCA-Her2 (n=82),Monocyte_QUANTISEQ,-0.0261303638750625,0.827522471511619,0.875334880976735
BRCA-Her2 (n=82),Monocyte_XCELL,0.227482638325135,0.0546373018992408,0.0872730057182504
BRCA-LumA (n=568),Macrophage/Monocyte_MCPCOUNTER,0.551720897140845,1.62348674020749e-42,3.21991536807818e-41
BRCA-LumA (n=568),Monocyte_CIBERSORT,0.0158295359371495,0.719537115940827,0.780605194923965
BRCA-LumA (n=568),Monocyte_CIBERSORT-ABS,0.237947760145523,4.34753537364179e-08,1.30976382142626e-07
BRCA-LumA (n=568),Monocyte_MCPCOUNTER,0.551720897140845,1.62348674020749e-42,3.21991536807818e-41
BRCA-LumA (n=568),Monocyte_QUANTISEQ,-0.0598806382628992,0.173998156506579,0.24503882395601
BRCA-LumA (n=568),Monocyte_XCELL,0.218554195523339,5.21665441773865e-07,1.42708477174919e-06
BRCA-LumB (n=219),Macrophage/Monocyte_MCPCOUNTER,0.571439820160217,4.8964709354815e-18,3.42556528920572e-17
BRCA-LumB (n=219),Monocyte_CIBERSORT,0.0987053433922393,0.173166698710428,0.24503882395601
BRCA-LumB (n=219),Monocyte_CIBERSORT-ABS,0.229707184619069,0.0013501566897786,0.0025914297755428
BRCA-LumB (n=219),Monocyte_MCPCOUNTER,0.571439820160217,4.8964709354815e-18,3.42556528920572e-17
BRCA-LumB (n=219),Monocyte_QUANTISEQ,-0.152118012323798,0.0351766838332152,0.0585458094566799
BRCA-LumB (n=219),Monocyte_XCELL,0.282345213614005,7.25463705800764e-05,0.000161364824280918
CESC (n=306),Macrophage/Monocyte_MCPCOUNTER,0.458214273811395,8.74624651988276e-16,4.62579260384911e-15
CESC (n=306),Monocyte_CIBERSORT,-0.020914038408968,0.728934783536355,0.785006689962228
CESC (n=306),Monocyte_CIBERSORT-ABS,0.151006745650866,0.0118582715242742,0.0209056935020538
CESC (n=306),Monocyte_MCPCOUNTER,0.458214273811395,8.74624651988276e-16,4.62579260384911e-15
CESC (n=306),Monocyte_QUANTISEQ,0.0215066270751665,0.72156782724064,0.780605194923965
CESC (n=306),Monocyte_XCELL,0.141306301345895,0.0186231773863431,0.0316594015567833
CHOL (n=36),Macrophage/Monocyte_MCPCOUNTER,0.102390863949182,0.558349406501682,0.645083294890293
CHOL (n=36),Monocyte_CIBERSORT,0.153707247687461,0.378006829987898,0.46614313749803
CHOL (n=36),Monocyte_CIBERSORT-ABS,0.41932430551401,0.0121612121980225,0.0212821213465395
CHOL (n=36),Monocyte_MCPCOUNTER,0.102390863949182,0.558349406501682,0.645083294890293
CHOL (n=36),Monocyte_QUANTISEQ,0.154384308257915,0.375884229301513,0.465939825905001
CHOL (n=36),Monocyte_XCELL,0.118502930789552,0.497767351529004,0.591553023741272
COAD (n=458),Macrophage/Monocyte_MCPCOUNTER,0.695403275810632,4.61120463051052e-41,7.83904787186788e-40
COAD (n=458),Monocyte_CIBERSORT,0.00405410932129671,0.946642333128043,0.954664725781671
COAD (n=458),Monocyte_CIBERSORT-ABS,0.154336967946669,0.0103740247628186,0.0188474648362659
COAD (n=458),Monocyte_MCPCOUNTER,0.695403275810632,4.61120463051052e-41,7.83904787186788e-40
COAD (n=458),Monocyte_QUANTISEQ,NA,NA,NA
COAD (n=458),Monocyte_XCELL,0.471842784382033,1.1873441976922e-16,7.43652418554587e-16
DLBC (n=48),Macrophage/Monocyte_MCPCOUNTER,0.31851081222126,0.0423980107694493,0.0686443983886322
DLBC (n=48),Monocyte_CIBERSORT,0.0907023784213223,0.572766076686427,0.65652431732158
DLBC (n=48),Monocyte_CIBERSORT-ABS,0.166411069371484,0.298399856959897,0.383887383548408
DLBC (n=48),Monocyte_MCPCOUNTER,0.31851081222126,0.0423980107694493,0.0686443983886322
DLBC (n=48),Monocyte_QUANTISEQ,-0.0660731661265522,0.681483211157169,0.750893538219473
DLBC (n=48),Monocyte_XCELL,0.162669868985165,0.309547409003129,0.391873847567791
ESCA (n=185),Macrophage/Monocyte_MCPCOUNTER,0.437443956870983,8.23914825442744e-10,3.16276981379634e-09
ESCA (n=185),Monocyte_CIBERSORT,0.0122350251054457,0.870508516263368,0.896887562210742
ESCA (n=185),Monocyte_CIBERSORT-ABS,0.251188008713819,0.000670756865088508,0.00133033444909221
ESCA (n=185),Monocyte_MCPCOUNTER,0.437443956870983,8.23914825442744e-10,3.16276981379634e-09
ESCA (n=185),Monocyte_QUANTISEQ,0.0340963007265011,0.649544473147401,0.722390582285427
ESCA (n=185),Monocyte_XCELL,0.050642229442085,0.499588898201662,0.591553023741272
GBM (n=153),Macrophage/Monocyte_MCPCOUNTER,0.356535944869038,1.90018134291574e-05,4.39071028751403e-05
GBM (n=153),Monocyte_CIBERSORT,0.128582959017618,0.134274009346513,0.197266754472038
GBM (n=153),Monocyte_CIBERSORT-ABS,0.323213291191886,0.000116977003919689,0.000253095699389872
GBM (n=153),Monocyte_MCPCOUNTER,0.356535944869038,1.90018134291574e-05,4.39071028751403e-05
GBM (n=153),Monocyte_QUANTISEQ,-0.383894662327614,3.6406863182571e-06,9.12087730258093e-06
GBM (n=153),Monocyte_XCELL,0.476890882074909,3.8314885715603e-09,1.3027061143305e-08
HNSC (n=522),Macrophage/Monocyte_MCPCOUNTER,0.575283043027416,1.07703786786123e-44,2.56335012550972e-43
