"","type","gene","immune_cells","cor","p.value","pvalue"
"cor","GBM","CD96","B.cells.naive",0.0327096503194752,0.69814823767542,"p≥0.05"
"cor1","GBM","CD96","B.cells.memory",-0.0261616641925841,0.756442820888424,"p≥0.05"
"cor2","GBM","CD96","Plasma.cells",0.0704530655772165,0.403075292126405,"p≥0.05"
"cor3","GBM","CD96","T.cells.CD8",-0.182809715389167,0.0288631853841539,"p<0.05"
"cor4","GBM","CD96","T.cells.CD4.naive",0.0262132812109052,0.755977378347024,"p≥0.05"
"cor5","GBM","CD96","T.cells.CD4.memory.resting",0.0623592504471949,0.459370454055197,"p≥0.05"
"cor6","GBM","CD96","T.cells.CD4.memory.activated",-0.102068552971107,0.22512188831556,"p≥0.05"
"cor7","GBM","CD96","T.cells.follicular.helper",0.0499966312186945,0.553183502574299,"p≥0.05"
"cor8","GBM","CD96","T.cells.regulatory..Tregs.",-0.13173875509892,0.116791633762326,"p≥0.05"
"cor9","GBM","CD96","T.cells.gamma.delta",0.0330198387727681,0.695426874541269,"p≥0.05"
"cor10","GBM","CD96","NK.cells.resting",0.0355074392801217,0.673745288574708,"p≥0.05"
"cor11","GBM","CD96","NK.cells.activated",0.0382756914336543,0.64992964925389,"p≥0.05"
"cor12","GBM","CD96","Monocytes",-0.0106391923277967,0.899642330558167,"p≥0.05"
"cor13","GBM","CD96","Macrophages.M0",0.00278488452819755,0.973666489022712,"p≥0.05"
"cor14","GBM","CD96","Macrophages.M1",-0.109494044659361,0.192990116005764,"p≥0.05"
"cor15","GBM","CD96","Macrophages.M2",0.065069635276183,0.440049779492741,"p≥0.05"
"cor16","GBM","CD96","Dendritic.cells.resting",-0.119363068804894,0.155628373455056,"p≥0.05"
"cor17","GBM","CD96","Dendritic.cells.activated",0.0794159119407236,0.34576714587534,"p≥0.05"
"cor18","GBM","CD96","Mast.cells.resting",-0.00111527463156575,0.989452515205067,"p≥0.05"
"cor19","GBM","CD96","Mast.cells.activated",-0.132097069802021,0.115791270447319,"p≥0.05"
"cor20","GBM","CD96","Eosinophils",0.0593051735900547,0.481693073048975,"p≥0.05"
"cor21","GBM","CD96","Neutrophils",0.0407424288142026,0.629001139868956,"p≥0.05"
"cor22","OV","CD96","B.cells.naive",0.0205835140087539,0.716798382746853,"p≥0.05"
"cor110","OV","CD96","B.cells.memory",-0.0991114139513959,0.0799877141052664,"p≥0.05"
"cor23","OV","CD96","Plasma.cells",0.0215589247439125,0.703994078631332,"p≥0.05"
"cor31","OV","CD96","T.cells.CD8",-0.0609181171399333,0.282626588370065,"p≥0.05"
"cor41","OV","CD96","T.cells.CD4.naive",-0.0956368811212595,0.091201565382567,"p≥0.05"
"cor51","OV","CD96","T.cells.CD4.memory.resting",0.0190980072095197,0.736450802248195,"p≥0.05"
"cor61","OV","CD96","T.cells.CD4.memory.activated",-0.0636903622281757,0.26125483213528,"p≥0.05"
"cor71","OV","CD96","T.cells.follicular.helper",0.0198210912853083,0.726862447670629,"p≥0.05"
"cor81","OV","CD96","T.cells.regulatory..Tregs.",-0.0730093854615649,0.197669472277308,"p≥0.05"
"cor91","OV","CD96","T.cells.gamma.delta",-0.0640259292692955,0.25874541574401,"p≥0.05"
"cor101","OV","CD96","NK.cells.resting",0.0488997557227076,0.388588716531416,"p≥0.05"
"cor111","OV","CD96","NK.cells.activated",-0.0255052233101235,0.653070123449214,"p≥0.05"
"cor121","OV","CD96","Monocytes",0.0521650534725959,0.35766267116766,"p≥0.05"
"cor131","OV","CD96","Macrophages.M0",0.0140956703315335,0.803830771749169,"p≥0.05"
"cor141","OV","CD96","Macrophages.M1",0.0627335325715373,0.268501878557158,"p≥0.05"
"cor151","OV","CD96","Macrophages.M2",0.053826721675238,0.342534104139514,"p≥0.05"
"cor161","OV","CD96","Dendritic.cells.resting",0.0529469433636994,0.350492577549298,"p≥0.05"
"cor171","OV","CD96","Dendritic.cells.activated",0.0117794040451753,0.835562906671426,"p≥0.05"
"cor181","OV","CD96","Mast.cells.resting",-0.0123072081418804,0.828306699734959,"p≥0.05"
"cor191","OV","CD96","Mast.cells.activated",-0.0625774243834991,0.269697157563261,"p≥0.05"
"cor201","OV","CD96","Eosinophils",-0.0284332174652792,0.616284086842613,"p≥0.05"
"cor211","OV","CD96","Neutrophils",-0.037019465072667,0.514049967831734,"p≥0.05"
"cor24","LUAD","CD96","B.cells.naive",-0.0323456345979278,0.469175319000039,"p≥0.05"
"cor112","LUAD","CD96","B.cells.memory",0.00557146985128746,0.900804500671799,"p≥0.05"
"cor25","LUAD","CD96","Plasma.cells",-0.00559799972636414,0.900334608945392,"p≥0.05"
"cor32","LUAD","CD96","T.cells.CD8",-0.00661348383537065,0.882376252408737,"p≥0.05"
"cor42","LUAD","CD96","T.cells.CD4.naive",-0.0429321655731571,0.336594597657515,"p≥0.05"
"cor52","LUAD","CD96","T.cells.CD4.memory.resting",0.0214261670462039,0.631655296350919,"p≥0.05"
"cor62","LUAD","CD96","T.cells.CD4.memory.activated",0.0297069095042117,0.506213204236986,"p≥0.05"
"cor72","LUAD","CD96","T.cells.follicular.helper",-0.0704589309609486,0.114506002354747,"p≥0.05"
"cor82","LUAD","CD96","T.cells.regulatory..Tregs.",0.00888547705605645,0.842428114734667,"p≥0.05"
